timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769480279.2671654,RECEIVED,0c0ada55-4ae4-4116-8daf-ae549513197f,155a6bc1-e128-4689-bec2-9e953e45b988,c4,c1,26,p1,?,surb={'id': 'ca226b70-cacc-44a3-a606-3b8b72a0433b', 'route': ['p1', 'e10', 'i9', 'x3', 'p1', 'c4']}
1769480279.3009562,RECEIVED,5dfd72ac-7e57-46e9-ba75-8909e77a2b5e,143c07b3-e83f-411d-8615-148311260df7,c4,c1,27,p1,?,surb={'id': '826b41e7-8d9b-45ac-aae7-79dff554a0d4', 'route': ['p1', 'e3', 'i3', 'x2', 'p1', 'c4']}
1769480279.3311105,RECEIVED,a9fc3b2b-5cbb-419b-947a-a5075c087e69,181e3671-5c2d-49cb-a822-dac1cbb6dde8,c4,c1,27,p1,?,surb={'id': '883f4569-6ad4-4d66-828e-125bb40a919f', 'route': ['p1', 'e8', 'i12', 'x5', 'p1', 'c4']}
1769480279.3472035,RECEIVED,fb059efa-712d-4b03-9263-408b5a18c4a7,7504c401-32af-4118-ac09-d8992d0726d8,c5,c1,26,p1,?,surb={'id': '98117269-0df9-45c9-b017-5fd7e9a394ed', 'route': ['p1', 'e6', 'i4', 'x10', 'p2', 'c5']}
1769480279.413542,RECEIVED,3fbc2abc-92c2-4783-b99d-487aa263d433,d00061fb-0719-4699-8e2b-f0a4acbc168b,c3,c1,27,p1,?,surb={'id': 'bbba8cf9-54b5-41d8-a3b4-38de0d396676', 'route': ['p1', 'e12', 'i8', 'x12', 'p3', 'c3']}
1769480279.447467,RECEIVED,c4baaa27-0334-4806-83a0-5bf61aaec49c,13b76377-1ef5-408c-beb6-b84b3032fad9,c3,c1,26,p1,?,surb={'id': 'f86317e4-70c7-439f-861b-07f8aed995bd', 'route': ['p1', 'e4', 'i4', 'x3', 'p3', 'c3']}
1769480279.529493,RECEIVED,54ed85b9-f415-46f5-b4e7-1149e333638d,a93e7d27-dca1-4c48-80f4-3c937f9cdba9,c5,c1,26,p1,?,surb={'id': '4a3a0ed8-b5b0-45f7-a5ae-edcab0b9c062', 'route': ['p1', 'e9', 'i10', 'x8', 'p2', 'c5']}
1769480279.5344424,RECEIVED,38d9e8ee-77b5-4a67-a8ae-d4a7b7ea68ce,98a7fae7-ddff-4bdb-86b2-b949467076f6,c2,c1,27,p1,?,surb={'id': '6d6c2e4b-f0ee-4d2a-a194-4e687379698e', 'route': ['p1', 'e10', 'i2', 'x7', 'p2', 'c2']}
1769480279.5619905,RECEIVED,6460ac2d-52f7-4228-b8d6-b5a3a66812dd,cfb83d24-d922-4745-b4cf-6aef5cfa7eae,c5,c1,27,p1,?,surb={'id': '5112756a-6819-4ec9-a45c-6e3f92428991', 'route': ['p1', 'e11', 'i6', 'x6', 'p2', 'c5']}
1769480279.6870089,RECEIVED,cad352f1-8405-4e3c-81ca-41b6277bfbfe,f97901f5-51b1-4ed6-bfbd-042e8d3ef12b,c2,c1,27,p1,?,surb={'id': '73d1c8d7-4323-4ee8-97eb-8d8cc7d327da', 'route': ['p1', 'e1', 'i1', 'x6', 'p2', 'c2']}
1769480279.9712381,RECEIVED,99e1e393-24a3-4f93-b39e-e23e9d59f00d,7135e2dc-a5b0-495c-a130-58dba8e3618f,c2,c1,27,p1,?,surb={'id': '246acc7c-7963-4e4b-8463-d8eecb603410', 'route': ['p1', 'e2', 'i3', 'x2', 'p2', 'c2']}
1769480280.0381494,RECEIVED,85dbf1d5-8205-4098-b80b-8a6e20a9262a,3fc18a84-de57-46db-89f8-7c7c3e1c8c90,c3,c1,27,p1,?,surb={'id': '9a5776a2-168b-411f-8ac5-98658a86bf32', 'route': ['p1', 'e1', 'i12', 'x1', 'p3', 'c3']}
1769480280.0989861,RECEIVED,002df2a2-28c5-4652-b808-c5c77ba286b0,71c19019-d474-4cb3-9102-fbf8fb786245,c5,c1,27,p1,?,surb={'id': '08ebace7-ea9f-41ae-b5ba-afeb0ce84d4e', 'route': ['p1', 'e12', 'i10', 'x9', 'p2', 'c5']}
1769480280.4516587,RECEIVED,0a7d6962-67e0-435a-9950-69d52974a7d9,ad1d9dc9-0629-4a96-80b1-d4b2aa9c9dc9,c3,c1,26,p1,?,surb={'id': '8af562dc-eb53-42ca-8110-78b1ad6a0f3a', 'route': ['p1', 'e7', 'i5', 'x4', 'p3', 'c3']}
1769480280.5828216,RECEIVED,355e914c-6951-447a-8276-df8f9e5084cf,6cae0ed6-103c-4773-af2b-3af4aa967a64,c4,c1,27,p1,?,surb={'id': '95ff02af-3e42-45e6-9f6f-18fde9d213f0', 'route': ['p1', 'e12', 'i8', 'x12', 'p1', 'c4']}
1769480280.6665623,RECEIVED,986a1931-4048-42eb-b441-b8d127adf02b,5baf0c66-2e5c-45c7-8026-99b246c16313,c2,c1,26,p1,?,surb={'id': '28b462f3-2b5c-48c5-8be7-beef6052e86c', 'route': ['p1', 'e1', 'i12', 'x1', 'p2', 'c2']}
1769480280.6864567,RECEIVED,b5871ce8-85db-4a01-bc9b-49db17d1ab3f,019df351-15d1-45d8-b55b-1ba53fd9a889,c2,c1,26,p1,?,surb={'id': 'c9bbea80-c93c-4b51-b37a-dc56854213e6', 'route': ['p1', 'e4', 'i10', 'x12', 'p2', 'c2']}
1769480280.7488866,RECEIVED,66db0a84-2c58-42ed-9feb-055f112c868b,7a45dec4-a2ed-4045-bad0-94ee53031359,c5,c1,27,p1,?,surb={'id': '076c14e7-25d5-413a-b690-7109a887cf95', 'route': ['p1', 'e9', 'i5', 'x8', 'p2', 'c5']}
1769480280.759897,RECEIVED,960f1cab-5eab-4a53-bb8d-1c178004a3cb,77b2bcf7-cb5f-41af-96a6-eb0881cd6cdc,c4,c1,27,p1,?,surb={'id': '15a342d1-380e-4acf-bf24-945938cd913f', 'route': ['p1', 'e5', 'i4', 'x1', 'p1', 'c4']}
1769480280.9407082,RECEIVED,4a5fbfd5-100d-46b7-810c-e7b7e6a44f23,50e29283-db9c-4d06-bd9e-ac0884830f33,c3,c1,27,p1,?,surb={'id': 'f8861b51-db8a-4ef0-85c1-6e9802d3f1a4', 'route': ['p1', 'e8', 'i2', 'x4', 'p3', 'c3']}
1769480280.9560113,SENT,b424bf73-9a30-4eee-a3bf-7a4c9aceeb7f,d7dc0078-ba81-4153-8f5c-9c6ecf2ac5c4,c1,c4,3379,?,p1,
1769480280.9561872,CREATED,79a9ce7f-d83a-40bd-9e63-7169da009218,341d8d5f-707a-466d-979d-ed9d2fe3d4b9,c1,c4,27,?,?,surb={'id': '05963ceb-41aa-4695-b7fd-80afcba5f88b', 'route': ['p1', 'e9', 'i2', 'x4', 'p1', 'c1']}
1769480281.012778,RECEIVED,03847087-c99c-4f06-b2d5-1f964d500d4e,7039eb4d-932a-4caf-a96c-c610f5b257c7,c4,c1,27,p1,?,surb={'id': 'dda35777-8f63-4d95-b69b-c313b9be155f', 'route': ['p1', 'e3', 'i2', 'x6', 'p1', 'c4']}
1769480281.083933,SENT,dca7fcee-2e68-4575-ae3b-508352a12bc8,5a309b99-63f0-4203-8d1e-0d5ec54b4768,c1,c4,3376,?,p1,
1769480281.0841022,CREATED,3c2fdf71-5c1e-4465-aa3c-11fd0963c0d0,3a271a2e-672f-40da-975d-7557ea13a09b,c1,c4,27,?,?,surb={'id': 'd762990f-c1c1-428d-b912-59434cd5d3c7', 'route': ['p1', 'e8', 'i11', 'x1', 'p1', 'c1']}
1769480281.1070318,SENT,e5d8ac1f-16ce-48fd-a790-5c126af78394,3f4fa4ff-897e-4e81-82ee-308303cbb935,c1,c4,3417,?,p1,
1769480281.1073146,CREATED,0b633861-dbd3-477d-8928-d8aaab0e547d,a162e71c-adbe-4925-ac0e-30ecc2a09a05,c1,c4,27,?,?,surb={'id': 'd1708df6-9f73-4ffa-84ff-8f43c2d24a2d', 'route': ['p1', 'e7', 'i11', 'x12', 'p1', 'c1']}
1769480281.1095634,RECEIVED,70a64ba0-23c8-4db1-a374-fc6f32086126,c8970903-b756-4666-9c16-75aa9306fd51,c5,c1,26,p1,?,surb={'id': '19321567-1cd4-4f7b-831b-db877068e688', 'route': ['p1', 'e11', 'i8', 'x8', 'p2', 'c5']}
