timestamp,event_type,packet_id,src,dst,size,flags
1765458619.974689,SENT,8fa3770f-5b1b-4ba9-8d38-455bb93a3f8e,?,?,18729,
1765458619.9747689,CREATED,8fa3770f-5b1b-4ba9-8d38-455bb93a3f8e,?,?,18729,
1765458620.1856935,SENT,48091ff4-593d-4076-bdd8-ccc92bd7d8b8,?,?,18389,
1765458620.1858387,CREATED,48091ff4-593d-4076-bdd8-ccc92bd7d8b8,?,?,18389,
1765458620.3915586,SENT,f5cc7ee1-39c2-4e58-a893-f3919dc2a98c,?,?,18389,
1765458620.39164,CREATED,f5cc7ee1-39c2-4e58-a893-f3919dc2a98c,?,?,18389,
1765458620.6081529,SENT,657fa1ef-0c6c-49fb-8247-a2eda68a5115,?,?,18729,
1765458620.6083407,CREATED,657fa1ef-0c6c-49fb-8247-a2eda68a5115,?,?,18729,
1765458620.8271332,SENT,0eaa49da-3b8a-46e9-a900-0f675b9f5fe4,?,?,18729,
1765458620.8273256,CREATED,0eaa49da-3b8a-46e9-a900-0f675b9f5fe4,?,?,18729,
1765458621.0453832,SENT,09fc0cc6-a92a-4cb0-8c6a-57b2a908e178,?,?,18729,
1765458621.0455701,CREATED,09fc0cc6-a92a-4cb0-8c6a-57b2a908e178,?,?,18729,
1765458621.2650275,SENT,143e05ab-7094-4d9c-8b78-b3bb4b55d50f,?,?,18389,
1765458621.2651753,CREATED,143e05ab-7094-4d9c-8b78-b3bb4b55d50f,?,?,18389,
1765458621.4827538,SENT,a131772f-45cc-4622-a992-d3379a703ffe,?,?,18389,
1765458621.4829416,CREATED,a131772f-45cc-4622-a992-d3379a703ffe,?,?,18389,
1765458621.6989706,SENT,272a3105-e637-4f91-b670-b1291a8702a8,?,?,18389,
1765458621.7000074,CREATED,272a3105-e637-4f91-b670-b1291a8702a8,?,?,18389,
1765458621.9159112,SENT,b31e7e08-01cd-44d6-85e3-278f645c560d,?,?,18729,
1765458621.916115,CREATED,b31e7e08-01cd-44d6-85e3-278f645c560d,?,?,18729,
1765458622.136648,SENT,62c43994-cbea-4c22-bb3a-3b74340cb2a4,?,?,18729,
1765458622.1368265,CREATED,62c43994-cbea-4c22-bb3a-3b74340cb2a4,?,?,18729,
1765458622.3528948,SENT,84e4989d-b85f-428d-b047-8bad8399fa12,?,?,18729,
1765458622.3530965,CREATED,84e4989d-b85f-428d-b047-8bad8399fa12,?,?,18729,
1765458622.5711381,SENT,79f7267c-424f-4b37-9244-92ec204c5a51,?,?,18729,
