timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741136.202695,RECEIVED,d450d852-cde5-4d80-ae3c-85177cf35af6,2bcff492-c7ee-4abb-83ae-071a63c78208,c5,c1,27,p1,?,surb={'id': '243ee26a-1df7-4865-937c-d75abf844308', 'route': ['p1', 'e11', 'i1', 'x2', 'p2', 'c5']}
1769741136.2094038,RECEIVED,96f4fd29-d865-46c4-bd5f-3287314548ce,9bc332ac-4d9a-4a92-b1c6-a95db341b020,c4,c1,27,p1,?,surb={'id': '93e82aa3-0f8b-47c6-8b6f-821994ca710e', 'route': ['p1', 'e4', 'i3', 'x3', 'p1', 'c4']}
1769741136.3415844,SENT,fa26dff0-aeb8-46ac-a194-752b53ce2571,e41c404f-e99e-4c52-b72e-85d5cfd41961,c1,c2,3385,?,p1,
1769741136.3417313,CREATED,7b59aeb7-310a-495f-9868-a1cc9e181c24,caf74f68-9f90-47ce-97ec-8a7e056fe528,c1,c2,27,?,?,surb={'id': '01a62b1e-7add-41b4-9855-df4cae99f9e1', 'route': ['p2', 'e1', 'i5', 'x8', 'p1', 'c1']}
1769741136.346251,RECEIVED,b100ea5f-5dd4-4a34-86d4-102e0b166ade,0ad7258b-aaf0-4172-a3c3-f68a76c2989b,c4,c1,26,p1,?,surb={'id': '479de0f1-2dd9-4024-903f-0c24f0e08fb0', 'route': ['p1', 'e2', 'i8', 'x11', 'p1', 'c4']}
1769741136.350747,RECEIVED,1532c4c9-9232-4a7a-b5e6-f6a46f404aff,2fef6c96-ba63-4996-b888-29f8beea75b1,c5,c1,26,p1,?,surb={'id': '9c0cbf66-2f51-4c78-a8e4-ab7a79cdf685', 'route': ['p1', 'e12', 'i12', 'x3', 'p2', 'c5']}
1769741136.3819516,SENT,abf0cc55-915e-4c4e-8d05-956dd4d30b04,f44f2378-6dd9-46be-95c1-05cbd49b70f0,c1,c2,3379,?,p1,
1769741136.3821266,CREATED,dc837d75-a124-410c-82f1-daf75b75361b,556b7696-c5ea-415d-a42c-cc248210eeea,c1,c2,27,?,?,surb={'id': '7598869a-717d-4380-b403-66724052305d', 'route': ['p2', 'e5', 'i9', 'x8', 'p1', 'c1']}
1769741136.3914123,RECEIVED,72818904-b0e1-4eb5-b4fa-a6e6e7537f90,fd4e9b94-9e70-4297-bc8b-f2aa79c2b90b,c4,c1,27,p1,?,surb={'id': 'a89d0260-82e9-4a8e-9b17-bc878ed797f2', 'route': ['p1', 'e2', 'i12', 'x12', 'p1', 'c4']}
1769741136.3969717,RECEIVED,9e6f2d3f-4163-4cea-98e5-07b1dc411292,efdb16bb-192a-4d72-a95a-6c79a64b72f5,c3,c1,27,p1,?,surb={'id': 'e2629c7b-79aa-4d62-b557-780a786e1c72', 'route': ['p1', 'e10', 'i12', 'x9', 'p3', 'c3']}
1769741136.4067488,RECEIVED,d3bf0344-59e2-40ea-ac2c-e982c406f275,cf59b633-c084-495f-a9b1-ddf90a2ec8c2,c3,c1,27,p1,?,surb={'id': 'b8743d5d-8150-4844-946e-9999afc950c4', 'route': ['p1', 'e11', 'i4', 'x8', 'p3', 'c3']}
1769741136.5571585,RECEIVED,96601371-d9bd-4cb5-8a02-8d11af7fdba8,d1896bca-4295-4205-aece-bbbb38e7b7bd,c4,c1,27,p1,?,surb={'id': 'dc58f95a-0cbe-4913-9d2c-91f2e17e38d8', 'route': ['p1', 'e1', 'i5', 'x7', 'p1', 'c4']}
1769741136.6167493,SENT,d709b7df-c811-4f13-beb3-9ceb057ced7d,d184e3f0-cf97-432c-9880-b91511725d9a,c1,c2,3395,?,p1,
1769741136.6168818,CREATED,cf36691e-ff2c-4f06-9ab3-d29b253d39a3,2659a4bb-426e-4bf9-8079-bb4d7a0e3789,c1,c2,27,?,?,surb={'id': 'b9a285b9-542f-4234-a143-5dd4196a43b7', 'route': ['p2', 'e6', 'i10', 'x5', 'p1', 'c1']}
1769741136.8016067,RECEIVED,21c58240-bef5-48d0-bf28-370a70e7edf6,2de849f0-c6e5-4cc8-95e4-3dcfbe48b8b3,c5,c1,27,p1,?,surb={'id': 'b3b4942c-a120-4a72-aeba-4906a3712454', 'route': ['p1', 'e8', 'i7', 'x7', 'p2', 'c5']}
1769741136.878964,SENT,324b6ebc-190f-4192-80cf-416771a58451,f7dc86e8-4b39-4b4a-8893-179b6307e14c,c1,c2,3381,?,p1,
1769741136.8791187,CREATED,84322811-d1bb-4d4d-98c4-05567f169b20,c1c01bd5-0cb8-45a5-9820-c2754747b729,c1,c2,27,?,?,surb={'id': '64ad6c18-f3ba-4489-a298-831e5ac9bb47', 'route': ['p2', 'e7', 'i11', 'x11', 'p1', 'c1']}
1769741137.0229237,SENT,c810a9b5-97a6-409e-85ea-263e2c5bd28c,aec78951-ffdf-4013-9044-e6110fd72311,c1,c2,3375,?,p1,
1769741137.0230994,CREATED,d9ae514d-3b5f-497d-8cb1-815304baa137,f148f2d3-6f7a-4441-9bca-c57083259950,c1,c2,27,?,?,surb={'id': 'aa4852e7-e504-46a7-a1f1-d1d568cf3a79', 'route': ['p2', 'e9', 'i12', 'x4', 'p1', 'c1']}
1769741137.1899881,SENT,a19b5e94-0910-4c0a-94d8-2bc1cfe09a45,d6799367-7488-4c0e-8306-2680f3f37b11,c1,c2,3384,?,p1,
1769741137.1901765,CREATED,0fef1d56-a0cb-43d5-89e2-e2e84b875dd7,401408ce-7033-48b3-8e7d-736c589b5160,c1,c2,27,?,?,surb={'id': '2ed0b642-d78c-4c00-be0e-f79cbbe397bb', 'route': ['p2', 'e11', 'i8', 'x6', 'p1', 'c1']}
1769741137.4166834,RECEIVED,266646a0-f026-4687-9b81-052cd151a695,1dfe2a67-1d27-44f3-93cc-beec942c7287,c5,c1,27,p1,?,surb={'id': '44ce3bc8-b455-4e0f-8b94-72a40ef28be8', 'route': ['p1', 'e7', 'i4', 'x10', 'p2', 'c5']}
1769741137.454289,RECEIVED,3fd66746-dc42-40c9-ba8c-87cf1b1c7999,dbb4a6d8-e5ff-4418-a10e-a2d638b22372,c4,c1,27,p1,?,surb={'id': 'c7fa559b-de3a-4621-93ab-31e2cf3e7a2d', 'route': ['p1', 'e5', 'i12', 'x12', 'p1', 'c4']}
1769741137.4641917,RECEIVED,88a6e6c8-2eae-4544-9c66-cfac235d983d,7529d753-4635-4bdd-840f-98bc71c2b3d8,c4,c1,26,p1,?,surb={'id': '63748032-836d-4b42-846d-eb6d073bf217', 'route': ['p1', 'e4', 'i5', 'x1', 'p1', 'c4']}
