timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741134.8880982,RECEIVED,34c915fa-0cea-45b9-854f-ff27e88611ae,cd2ecf37-c55b-4d4d-873c-fb4caae5ec24,c2,c5,27,p2,?,surb={'id': '69d5bf02-a19f-4b66-a048-9e69e604671c', 'route': ['p2', 'e10', 'i5', 'x8', 'p2', 'c2']}
1769741134.9493673,SENT,6ad5089e-32b1-413d-8e49-f7474d34efca,daab0d5b-3628-44dc-8294-e008e3052382,c5,c1,3359,?,p2,
1769741134.9495199,CREATED,c70a796d-8e77-4db2-aa7b-6df8f4bf0c98,176b8b4e-7489-4989-8095-ceea961533c0,c5,c1,27,?,?,surb={'id': 'cec1e86e-9aac-42f5-a910-d1651f114e45', 'route': ['p1', 'e10', 'i8', 'x9', 'p2', 'c5']}
1769741134.9881792,RECEIVED,34230aa9-18a1-4298-9cc4-85b467a995a0,9c564855-a42a-41a9-9716-98d51248e970,c2,c5,27,p2,?,surb={'id': '8b8ced87-9f8e-498f-814e-0fde251127e2', 'route': ['p2', 'e12', 'i12', 'x4', 'p2', 'c2']}
1769741134.9901676,RECEIVED,f7712b89-f50a-4728-a964-3b3ed03065f8,f1e0734f-c843-4ef3-b05b-e0bd41a98abc,c2,c5,27,p2,?,surb={'id': 'b2b830f7-bed2-4762-b863-12a07ca8be74', 'route': ['p2', 'e10', 'i7', 'x1', 'p2', 'c2']}
1769741135.4742224,SENT,39168752-c896-4b6b-91e6-bc4f1fb6afd0,c4630829-263b-489f-99e3-68c440aaa276,c5,c1,3374,?,p2,
1769741135.4743764,CREATED,21c58240-bef5-48d0-bf28-370a70e7edf6,2de849f0-c6e5-4cc8-95e4-3dcfbe48b8b3,c5,c1,27,?,?,surb={'id': 'b3b4942c-a120-4a72-aeba-4906a3712454', 'route': ['p1', 'e8', 'i7', 'x7', 'p2', 'c5']}
1769741135.5966895,RECEIVED,b0894011-8d6d-42c7-8aeb-453407d10aab,9e564b06-da72-42eb-8d29-7d478228f94d,c2,c5,27,p2,?,surb={'id': 'e62121e0-9b2d-4f2e-8b4c-2ef96c7bcf28', 'route': ['p2', 'e10', 'i10', 'x8', 'p2', 'c2']}
1769741135.767699,RECEIVED,c78bd9b2-8d7b-441c-9385-ac5ba6e9308f,67f2d008-d063-48b4-a71f-a868290a54a9,c2,c5,27,p2,?,surb={'id': '885144ab-dcfa-4b9c-bc3b-c604f3f61489', 'route': ['p2', 'e8', 'i10', 'x5', 'p2', 'c2']}
1769741135.815902,SENT,91c53afe-ba09-4606-8cf6-5e542e3636fa,654e8b13-528b-413f-918c-05e3aba3a0d7,c5,c1,3359,?,p2,
1769741135.8160338,CREATED,08aa6362-9ba7-484a-9e67-58341cce3379,3cb5748e-bbd2-400f-96fc-434dd1fb6847,c5,c1,26,?,?,surb={'id': 'b12bd3f1-3467-4677-9591-f6ef37371689', 'route': ['p1', 'e12', 'i9', 'x8', 'p2', 'c5']}
1769741135.9147098,SENT,fe66dd6b-bfe1-4374-86c6-24c1de94d8c4,4aa780d5-14c3-4c56-83a6-f5cb9cc6ec1c,c5,c1,3385,?,p2,
1769741135.9148595,CREATED,266646a0-f026-4687-9b81-052cd151a695,1dfe2a67-1d27-44f3-93cc-beec942c7287,c5,c1,27,?,?,surb={'id': '44ce3bc8-b455-4e0f-8b94-72a40ef28be8', 'route': ['p1', 'e7', 'i4', 'x10', 'p2', 'c5']}
1769741136.1032248,SENT,2c7fed3b-926f-4944-afb6-38465771657a,2574cf23-8401-47a7-b1da-f5eca9c8d7fe,c5,c1,3374,?,p2,
1769741136.103371,CREATED,078c40bd-bbab-4582-8995-2a729777514d,b5bbe832-d8f4-43f4-a3ba-a77bf2a3c9d9,c5,c1,27,?,?,surb={'id': '32433554-ff5b-42a2-91de-319a05844195', 'route': ['p1', 'e6', 'i4', 'x10', 'p2', 'c5']}
1769741136.2736368,RECEIVED,d82cb1fd-0abc-4462-9665-5900dba14830,38131d67-4cbd-43b6-acca-7357dcb4cde4,c2,c5,27,p2,?,surb={'id': '741b8e7d-65b1-4aa1-b52f-83d4860a44f6', 'route': ['p2', 'e8', 'i10', 'x4', 'p2', 'c2']}
1769741136.3983622,SENT,a5c2ada0-f1bb-481c-967f-f169fb70276c,e4ce4fec-2476-4375-8364-0803df72dbac,c5,c1,3389,?,p2,
1769741136.3984923,CREATED,697b2331-f8e2-491b-a606-7267ed00ea10,6b3770dd-f482-493b-8e6c-987ab20c0e65,c5,c1,26,?,?,surb={'id': 'f1aeadb9-835b-431f-99d8-5df076cf3d7d', 'route': ['p1', 'e1', 'i12', 'x7', 'p2', 'c5']}
1769741136.4464724,SENT,fcd5b8e4-67d6-4f3f-b73b-0bf913f94d3a,d749afba-2c60-47b6-bb9d-0c5efca2346c,c5,c1,3379,?,p2,
1769741136.4466047,CREATED,8c77e826-f844-404b-8bb6-0b33031ae52a,500d8f07-4c81-4dd1-8628-c81bc48b5bb6,c5,c1,27,?,?,surb={'id': '65d683a4-9fe1-420d-9d89-b6641a3d4c69', 'route': ['p1', 'e7', 'i1', 'x8', 'p2', 'c5']}
1769741136.5137308,SENT,9dda3720-a3c9-4ce2-80f1-0d55fc1a4f10,bcb07c3a-b232-484b-a340-d20bc82b8cd7,c5,c1,3360,?,p2,
1769741136.5138648,CREATED,bb6efa6b-b013-41a2-b277-ce3f97a95720,b7d56660-cf53-4468-b475-8eec60c9edab,c5,c1,27,?,?,surb={'id': 'aaff5a0b-2ed3-4997-9102-9630ff5d98a4', 'route': ['p1', 'e8', 'i4', 'x11', 'p2', 'c5']}
1769741137.0930066,SENT,974e3537-4f3f-412c-b329-ac9f7969821b,7893ef3c-8725-4566-b0a7-81b229ff7d85,c5,c1,3370,?,p2,
1769741137.0931587,CREATED,e269760a-52d5-4282-984e-17213c5b43e2,5dc1e6fe-9ca4-479b-8e9e-9fcfaea9ac98,c5,c1,27,?,?,surb={'id': '62cda911-dc8a-4a2d-8574-1dd9c535f0b7', 'route': ['p1', 'e8', 'i9', 'x5', 'p2', 'c5']}
1769741137.1211824,RECEIVED,ddc0d241-651c-4254-a0a4-79a4dd59f442,0bb2457a-8cce-4694-bb92-54e31d4a3b1c,c2,c5,27,p2,?,surb={'id': 'f04ed027-2341-4fe3-8c2a-2d231e31cb95', 'route': ['p2', 'e12', 'i2', 'x6', 'p2', 'c2']}
1769741137.1411748,SENT,b386fdb6-ac21-416f-b127-cbb6a6cb6059,f7818ff2-7519-4d8b-82f9-3d9b50a05ccd,c5,c1,3378,?,p2,
1769741137.1413062,CREATED,b5457d91-3f9e-4ff3-9130-f96b4d37f826,e6e80820-d8c3-4724-abc6-faa1129a9733,c5,c1,27,?,?,surb={'id': 'e19ba71c-4f5c-4f52-a53c-f732a692bb00', 'route': ['p1', 'e5', 'i6', 'x7', 'p2', 'c5']}
1769741137.3229003,SENT,482ff847-3a37-4012-be18-cadc6f4fd129,560fefa9-dbf4-4e41-bb50-246ba3cb8999,c5,c1,3384,?,p2,
1769741137.3230283,CREATED,f25c3208-ab9d-4639-b8bc-6122d5779138,42405d53-14c9-4bb1-a88c-1d7613dc59b0,c5,c1,26,?,?,surb={'id': '6425bdb7-b371-42b3-8793-fc5040cb5266', 'route': ['p1', 'e9', 'i10', 'x11', 'p2', 'c5']}
1769741137.443802,SENT,a223cabb-13b2-461f-b12a-91ed087dc03f,eb11a0f8-1d9d-41ee-a032-f13daa3cfc22,c5,c1,3380,?,p2,
1769741137.443936,CREATED,dff51724-a82a-4064-8d3e-fa7a5f0f4155,8f4fbf0b-5c49-4766-9938-1302bf293684,c5,c1,26,?,?,surb={'id': '756e6eee-ee1d-46ab-af9c-c6ee669ac4f8', 'route': ['p1', 'e2', 'i5', 'x3', 'p2', 'c5']}
1769741137.5966628,SENT,cc56b5e1-a6db-41de-a7bc-1e982268790b,a9b52aaf-cfef-4ecc-b66e-ccb26db5712c,c5,c1,3387,?,p2,
1769741137.5967925,CREATED,dd12eb5a-b132-4bd6-bb0a-2989d52ce6b4,83d7f337-cd6e-4edd-89dd-88d96cb8ad89,c5,c1,27,?,?,surb={'id': '6ca3a580-d76e-4e0c-9a09-fec54d18a77f', 'route': ['p1', 'e8', 'i12', 'x7', 'p2', 'c5']}
1769741138.2195282,SENT,1aab2f1c-933c-4b74-91ca-ee37075c0fcc,28e61f90-b18e-444c-a7cc-5c24258e2de6,c5,c1,3393,?,p2,
1769741138.2196634,CREATED,83374372-2454-41dd-8f8b-f6519de82725,27005f6f-5484-4f0c-aa44-7d6dcdea8757,c5,c1,27,?,?,surb={'id': '07c9d190-e852-4430-9321-88b805e25945', 'route': ['p1', 'e10', 'i10', 'x2', 'p2', 'c5']}
1769741138.4955895,SENT,b2f64988-1b3f-46b2-906e-f19077877823,9360b367-c0c1-4843-88db-7e2af1b87101,c5,c1,3378,?,p2,
1769741138.4957232,CREATED,48846d0e-23ae-410a-9055-86ecb78c34a7,14f3f3ae-69ab-4953-8a09-a8bc8409b532,c5,c1,27,?,?,surb={'id': '5d05b1ba-851f-4014-aa44-7ff5f2b7202e', 'route': ['p1', 'e8', 'i4', 'x2', 'p2', 'c5']}
