timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741132.4109297,SENT,759ab497-fe25-46f0-ac01-12c2e401fb8a,c85c222c-192b-4b15-a0eb-6b5e1c189cb5,c2,c5,3375,?,p2,
1769741132.4110985,CREATED,34c915fa-0cea-45b9-854f-ff27e88611ae,cd2ecf37-c55b-4d4d-873c-fb4caae5ec24,c2,c5,27,?,?,surb={'id': '69d5bf02-a19f-4b66-a048-9e69e604671c', 'route': ['p2', 'e10', 'i5', 'x8', 'p2', 'c2']}
1769741132.5767393,SENT,2e830d6c-d63a-429d-a808-02a39ad35f52,78945ef2-15ba-40be-b474-7de0d10b0df6,c2,c5,3399,?,p2,
1769741132.5768914,CREATED,b0894011-8d6d-42c7-8aeb-453407d10aab,9e564b06-da72-42eb-8d29-7d478228f94d,c2,c5,27,?,?,surb={'id': 'e62121e0-9b2d-4f2e-8b4c-2ef96c7bcf28', 'route': ['p2', 'e10', 'i10', 'x8', 'p2', 'c2']}
1769741132.632652,SENT,55f93b07-269d-448f-84d0-cd0a4af9b8d6,a89e16cb-d269-4c67-982f-8ac4da78f2a5,c2,c5,3405,?,p2,
1769741132.6327987,CREATED,34230aa9-18a1-4298-9cc4-85b467a995a0,9c564855-a42a-41a9-9716-98d51248e970,c2,c5,27,?,?,surb={'id': '8b8ced87-9f8e-498f-814e-0fde251127e2', 'route': ['p2', 'e12', 'i12', 'x4', 'p2', 'c2']}
1769741132.7605839,SENT,4bded569-9362-450f-ac6c-a43e251afa41,a6663208-7a30-44de-bbb1-8858664ae6fb,c2,c5,3391,?,p2,
1769741132.7607155,CREATED,c78bd9b2-8d7b-441c-9385-ac5ba6e9308f,67f2d008-d063-48b4-a71f-a868290a54a9,c2,c5,27,?,?,surb={'id': '885144ab-dcfa-4b9c-bc3b-c604f3f61489', 'route': ['p2', 'e8', 'i10', 'x5', 'p2', 'c2']}
1769741132.8490164,SENT,6079c8ec-e772-413d-a500-0202d8610bec,2a30d541-fb0f-4a37-9fd7-b5d636d98fee,c2,c5,3375,?,p2,
1769741132.8491986,CREATED,5ae4dd48-3d32-44a1-afa4-891b6eeaf388,9f45ece0-9dd6-4e6c-93f8-d4a19c4cf6a2,c2,c5,26,?,?,surb={'id': '32682c41-7f68-4570-acec-d8be878df164', 'route': ['p2', 'e5', 'i9', 'x1', 'p2', 'c2']}
1769741132.9379203,SENT,ac20acdd-b44b-4567-91dd-c485c4e9f349,f9387c7d-c96c-4f78-b235-32f28a4c7296,c2,DROP,2015,?,p2,
1769741132.9380593,CREATED,f678e715-d4e0-4bb6-adec-997852daa24b,bcba0458-c402-40b1-bfaf-1334cd78ed07,c2,DROP,27,?,?,
1769741133.6919503,SENT,acbf34f0-f9a0-4765-9e36-f8a685d82bff,e9a6b57a-7f7e-4401-aa00-6b0b2a667702,c2,DROP,2032,?,p2,
1769741133.6921124,CREATED,639d8b2b-0e88-47cc-81ae-5f52041b06d8,7006e710-d331-480e-899d-b9518774e49d,c2,DROP,26,?,?,
1769741134.2158177,SENT,c79d074a-c0ca-4bd4-bd62-787d7708f2d6,fcf38aaf-7d7b-4503-a1c7-1257c629e758,c2,c5,3377,?,p2,
1769741134.2159452,CREATED,f7712b89-f50a-4728-a964-3b3ed03065f8,f1e0734f-c843-4ef3-b05b-e0bd41a98abc,c2,c5,27,?,?,surb={'id': 'b2b830f7-bed2-4762-b863-12a07ca8be74', 'route': ['p2', 'e10', 'i7', 'x1', 'p2', 'c2']}
1769741134.4315276,SENT,d39f34a3-739d-4954-8728-8a2b22e3a38f,c674270e-f64b-48dd-a0c5-e2afec491f8f,c2,DROP,2018,?,p2,
1769741134.43164,CREATED,c122dced-22b2-4ab3-b723-7c7718656a22,0379ec0c-5672-4eeb-b7b1-2cf95ba81e76,c2,DROP,27,?,?,
1769741134.7952237,SENT,256dee4f-7141-4999-9de2-d360f67492f5,64940c98-ebf1-40a5-be9d-6c2145750fa5,c2,c5,3392,?,p2,
1769741134.795355,CREATED,ddc0d241-651c-4254-a0a4-79a4dd59f442,0bb2457a-8cce-4694-bb92-54e31d4a3b1c,c2,c5,27,?,?,surb={'id': 'f04ed027-2341-4fe3-8c2a-2d231e31cb95', 'route': ['p2', 'e12', 'i2', 'x6', 'p2', 'c2']}
1769741134.9785712,SENT,8632ae52-185c-40f3-9a51-af0da2810f98,d1ee6035-ca95-431c-a630-2a386b590325,c2,c5,3392,?,p2,
1769741134.9787054,CREATED,d82cb1fd-0abc-4462-9665-5900dba14830,38131d67-4cbd-43b6-acca-7357dcb4cde4,c2,c5,27,?,?,surb={'id': '741b8e7d-65b1-4aa1-b52f-83d4860a44f6', 'route': ['p2', 'e8', 'i10', 'x4', 'p2', 'c2']}
1769741135.3714006,RECEIVED,4f6048e2-0eb2-4a4e-9b26-e8ffc0b8354a,74bf0d8d-a2d6-4211-b789-4427266ed9b6,c1,c2,27,p2,?,surb={'id': 'b4831a76-8155-4b38-9b7e-9c6e4927e341', 'route': ['p2', 'e7', 'i9', 'x2', 'p1', 'c1']}
1769741135.7969756,SENT,d91cb4c1-5a23-4e19-9195-1af309c01fb9,c3c9d990-9b52-4303-ac70-f9c7b67461eb,c2,c5,3371,?,p2,
1769741135.7971382,CREATED,3f3188fe-76df-4e1f-8c74-49b1701ba2ee,d05977e2-b896-4072-a651-8900449ef380,c2,c5,26,?,?,surb={'id': '475c8ad8-fa58-4c32-81fb-6b57b91e62d3', 'route': ['p2', 'e5', 'i9', 'x2', 'p2', 'c2']}
1769741136.421759,SENT,fcc3af95-9d08-4633-b3b5-cf580042a1ce,b004edb8-de51-4248-b697-4d31f04f6c3e,c2,c5,3376,?,p2,
1769741136.4218922,CREATED,b46817e2-7436-4050-b65d-229751a4d5b6,347678d4-e650-4491-99e1-127fbd9f2ee9,c2,c5,26,?,?,surb={'id': '4f91276f-9344-43a1-9a08-4f71db1f7961', 'route': ['p2', 'e8', 'i11', 'x5', 'p2', 'c2']}
1769741136.5229485,RECEIVED,f36f4432-7572-4777-8bf2-502f2478e01b,3f61fee3-91bf-4b5a-b626-77ff19c731a8,c1,c2,27,p2,?,surb={'id': 'baf44fba-d41d-4a4d-aa2a-5d8584f923d3', 'route': ['p2', 'e6', 'i2', 'x7', 'p1', 'c1']}
1769741136.9095345,SENT,18ee8b11-7d07-46ac-a0d4-8e0911480f69,6449487d-2972-43b9-80e1-ee1346542682,c2,c5,3367,?,p2,
1769741136.9096599,CREATED,fb2183ab-8e70-43b4-a90b-f98ea7080399,6fe04cb4-3318-4d60-b60a-66961c05d510,c2,c5,26,?,?,surb={'id': '0536bb73-cdec-4299-8cc7-93bea37db14b', 'route': ['p2', 'e11', 'i1', 'x1', 'p2', 'c2']}
1769741136.9696078,RECEIVED,30659ce4-09dd-41f5-95c9-d5571cc7deae,82b61be2-94dc-40f0-940e-01ea89d7d9ca,c1,c2,26,p2,?,surb={'id': 'a72da62e-047d-4313-9692-12253fee3dc1', 'route': ['p2', 'e7', 'i5', 'x10', 'p1', 'c1']}
