timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769483363.148878,SENT,bc4e4290-131e-4a8f-bdae-67b8ca9df3e6,0c0acc8c-28f2-44bc-a349-6c0bbb5bedcd,c2,c4,3387,?,p2,
1769483363.1490266,CREATED,852c526f-06ed-46b4-95b7-7af660959035,16f4954a-fd83-4d5a-ad1d-19b2a2271e6c,c2,c4,27,?,?,surb={'id': 'fc2e1837-d36c-401a-8288-e7cbee8e3228', 'route': ['p1', 'e5', 'i6', 'x1', 'p2', 'c2']}
1769483363.199842,RECEIVED,e2827ca9-5d9f-455e-a9ac-42a25b3eab7f,0a2cf7e2-0830-478b-adb7-ccec1a98b949,c1,c2,27,p2,?,surb={'id': '0b14248a-856b-447c-8c70-2c01c0e04e4d', 'route': ['p2', 'e10', 'i4', 'x3', 'p1', 'c1']}
1769483363.2062647,SENT,8d09d8aa-6d17-4828-95f9-d331ba259793,4078ce7e-91c5-4a6b-8e18-6ef363ea9dea,c2,c4,3380,?,p2,
1769483363.2064142,CREATED,f498159d-4616-4829-b27c-04e85f202595,6822a320-50f8-4f95-90d0-672e4d647e15,c2,c4,26,?,?,surb={'id': '43b8f3ec-98b2-4cf5-98a4-7411edc8051a', 'route': ['p1', 'e3', 'i9', 'x6', 'p2', 'c2']}
1769483363.7382166,SENT,15c39c02-2d87-47c1-9c7d-b2e59336358a,baeb0379-1f82-4f4f-bf69-b2df3fdce32a,c2,c4,3396,?,p2,
1769483363.7383623,CREATED,28e039bf-e7c3-402e-9375-37cc6cfdce4c,fd179263-a979-4152-8836-e4b868cd195c,c2,c4,27,?,?,surb={'id': '0ee6ab37-879d-42d6-b78f-0130157ffed3', 'route': ['p1', 'e4', 'i9', 'x8', 'p2', 'c2']}
1769483363.774523,RECEIVED,6e7c38a7-a2ed-4afa-bb81-5224cb4a8756,984421ca-a4e0-4f02-be5e-e75120a25955,c1,c2,26,p2,?,surb={'id': '528a5493-6328-4ba2-838c-daaa709798c9', 'route': ['p2', 'e7', 'i3', 'x6', 'p1', 'c1']}
1769483363.843496,RECEIVED,cc65e214-cbc0-40a7-89cd-aa420a843cc3,a53e4d30-4837-4506-b856-e1bf25d09b87,c4,c2,27,p2,?,surb={'id': 'd32d8d56-2024-4f6a-98fc-3b2ac8804342', 'route': ['p2', 'e2', 'i2', 'x7', 'p1', 'c4']}
1769483363.9272761,RECEIVED,572901e3-3906-4896-81ad-239e61be1b64,4317f385-cc6f-48cc-8f48-a03da4059c99,c4,c2,26,p2,?,surb={'id': '4dad0af9-cb61-467d-8c04-000200395713', 'route': ['p2', 'e8', 'i2', 'x11', 'p1', 'c4']}
