timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769483358.8335073,SENT,02541bd0-8541-492f-8fdd-486e4b3bff1f,8b91e9da-ddd6-4cbf-8f68-30caaa9f153f,c5,DROP,2015,?,p2,
1769483358.8336294,CREATED,7f441c34-3908-48e0-b1a0-719f1cd0e8d4,ff151cbf-507e-4754-a7c6-ce1fdc64f9f6,c5,DROP,27,?,?,
1769483359.1962914,SENT,7346b3a9-41a4-4e06-a5fc-62f247c64717,43cfd291-518a-4d9f-892c-10a94dbf12d7,c5,DROP,2028,?,p2,
1769483359.1964257,CREATED,b705e194-8f9a-4dde-8f4e-0bfa08a530b6,936228f0-712e-49f1-951c-598ab6656a03,c5,DROP,27,?,?,
1769483359.2662897,SENT,f9ebebff-73f9-4739-9e12-a117268ce942,05d17276-c1d4-479a-aa60-61eebd5e8ef6,c5,c3,3383,?,p2,
1769483359.2664459,CREATED,0cf7b10f-3c49-4100-a338-a6fe6037e6a5,8ac6612a-afdc-4d8e-bc4e-7cac9c901780,c5,c3,27,?,?,surb={'id': '632b8536-884a-41ea-9253-4edbbc2143f3', 'route': ['p3', 'e3', 'i12', 'x12', 'p2', 'c5']}
1769483359.6282413,SENT,6983200d-b284-4671-a971-e999e261e833,e51d9bc8-99d4-4219-83c3-8a1a34b764d5,c5,DROP,2015,?,p2,
1769483359.628374,CREATED,63ab5bc8-db11-4ab6-9594-43137b184742,b25ed27e-1251-42fa-9732-0aa68350bb31,c5,DROP,27,?,?,
1769483360.0988643,SENT,e725436d-b727-4a5c-bb6a-15a6ba5d06e0,0696fd20-aa13-4276-9465-65bc9a7db8ce,c5,c3,3376,?,p2,
1769483360.099017,CREATED,ed68d74a-5812-4809-be47-527defb10fad,abe37438-13ea-4c56-a3bb-15a038f8e7b6,c5,c3,26,?,?,surb={'id': '906b6e3a-23b5-4d25-9188-afc3bb915ece', 'route': ['p3', 'e9', 'i3', 'x8', 'p2', 'c5']}
1769483360.8204393,RECEIVED,bde8b26d-26b3-4e96-adac-5b37737c7620,751a3c0d-1d61-437b-9b36-c5c92a7a22b5,c3,c5,27,p2,?,surb={'id': 'b6a9ad05-7232-4aee-ade9-ef162ed39ba7', 'route': ['p2', 'e12', 'i11', 'x10', 'p3', 'c3']}
1769483360.989788,SENT,e21bc3a1-0410-43f5-af2c-75c86871042c,31ae06b3-6442-4c80-ad6c-1b7ffc7cca6a,c5,c3,3397,?,p2,
1769483360.9899325,CREATED,a1302fb9-ac5a-4412-add3-dd9c86ef1192,172bd7b3-86a4-4cbd-a4d5-6cc1f4852d17,c5,c3,27,?,?,surb={'id': '47a27f11-7ee1-4a1e-ae26-4936ed910623', 'route': ['p3', 'e8', 'i6', 'x4', 'p2', 'c5']}
1769483361.2971435,SENT,c1d58f28-f860-4b18-8afb-90ea070c6466,c6e1a428-80d3-4131-864b-40435a1f7ef8,c5,c3,3372,?,p2,
1769483361.2973032,CREATED,b606dcfb-9fea-4889-b79e-6647d1200b6f,b39e7090-af30-49e9-8313-769ae8acd843,c5,c3,27,?,?,surb={'id': '2758f9e7-89db-4e98-8d50-1bb5f542a255', 'route': ['p3', 'e4', 'i5', 'x9', 'p2', 'c5']}
1769483361.56657,SENT,4f1c25b1-977f-4135-943b-3ec7d148cb93,c048c5e6-45d0-40e3-9019-349018be5678,c5,c3,3389,?,p2,
