timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769736814.8260179,SENT,c94e59b0-c226-4084-b83c-0e7c8cdf551a,9ba5b229-814b-4a4d-94fb-2203c189b266,c2,c5,3374,?,p2,
1769736814.8263326,CREATED,5d7488ff-3b07-4f21-8dc6-15725f19abdb,0300ab37-0638-4d53-8697-c628d2e4d315,c2,c5,27,?,?,surb={'id': '40b681f3-64f0-40af-861e-a5f2adec72d2', 'route': ['p2', 'e1', 'i9', 'x7', 'p2', 'c2']}
1769736815.2069523,SENT,04c43575-c5e4-438f-9c75-02fde06cb457,609f35b4-fccc-401c-a87e-5caabeb246e1,c2,c5,3363,?,p2,
1769736815.207112,CREATED,e857edc1-1c81-4abf-b575-10e71015bba4,0300ab37-0638-4d53-8697-c628d2e4d315,c2,c5,27,?,?,surb={'id': '40b681f3-64f0-40af-861e-a5f2adec72d2', 'route': ['p2', 'e1', 'i9', 'x7', 'p2', 'c2']}
1769736815.6314337,SENT,17217b3e-9b5b-444f-8817-7be5dc76d6f2,135570e6-20b9-4038-9901-e5bd56e9737f,c2,c5,3383,?,p2,
1769736815.631567,CREATED,90168652-9c4b-4b59-a483-3f81611282f3,f945626a-2d1a-4234-80f5-a0374edd515f,c2,c5,27,?,?,surb={'id': '7dbf7dd4-db1b-431f-beed-389893179995', 'route': ['p2', 'e3', 'i1', 'x7', 'p2', 'c2']}
1769736815.6428525,SENT,5b912852-4648-439c-90cb-5db14441befc,9930b5c4-66b5-48aa-8f25-a85cfeb5380e,c2,c5,3379,?,p2,
1769736815.6429842,CREATED,bf6baa99-7619-401a-9ea9-3c3ac6cf3c84,f945626a-2d1a-4234-80f5-a0374edd515f,c2,c5,27,?,?,surb={'id': '7dbf7dd4-db1b-431f-beed-389893179995', 'route': ['p2', 'e3', 'i1', 'x7', 'p2', 'c2']}
1769736815.8460324,SENT,1e5a95e4-ba8d-4344-a084-6fe76200d68e,99a03a31-949a-45f5-968a-2fab452f9681,c2,c5,3367,?,p2,
1769736815.8461947,CREATED,76b3ca48-a1dd-4f93-b306-25330578e126,8ea34c65-d707-493d-bd24-49fae5c01775,c2,c5,27,?,?,surb={'id': 'd610f3f5-5c8d-4762-865e-6382d4105a23', 'route': ['p2', 'e10', 'i3', 'x9', 'p2', 'c2']}
1769736816.1392295,SENT,f8b4b6c7-ae2e-4db4-affc-7f91db1dbc86,86e15a6c-056c-4e35-9ebe-de5a4dceb7ac,c2,c5,3367,?,p2,
1769736816.1394382,CREATED,40ea3d65-9ec0-4dfc-ad39-708a49f68cdd,8ea34c65-d707-493d-bd24-49fae5c01775,c2,c5,27,?,?,surb={'id': 'd610f3f5-5c8d-4762-865e-6382d4105a23', 'route': ['p2', 'e10', 'i3', 'x9', 'p2', 'c2']}
