timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769736817.156309,CREATED,9186ebb1-a27f-44a1-aa2c-779263029242,d27558d1-4361-4a08-bf21-9f3aaf5da462,c3,c2,26,?,?,surb={'id': 'ebc5bc1b-17db-4054-b37e-4d0a9409574b', 'route': ['p2', 'e9', 'i6', 'x12', 'p3', 'c3']}
1769736817.5895705,RECEIVED,ec6a7e89-dbec-4127-a6b3-6de60021082a,4d7d6133-5a2f-4302-a8fe-61a1bdf49b01,c4,c3,26,p3,?,surb={'id': 'ecc6c3a6-872e-42ae-ade2-64fcb54b41ab', 'route': ['p3', 'e12', 'i10', 'x7', 'p1', 'c4']}
1769736817.6708226,SENT,2ed4f103-6208-4ef2-8e40-36cf05b408ff,0b00e4c7-605a-4d4b-942c-257c8ec5497f,c3,c2,3368,?,p3,
1769736817.6709578,CREATED,e87082b7-0985-40a9-831d-43caa5355a3e,d27558d1-4361-4a08-bf21-9f3aaf5da462,c3,c2,26,?,?,surb={'id': 'ebc5bc1b-17db-4054-b37e-4d0a9409574b', 'route': ['p2', 'e9', 'i6', 'x12', 'p3', 'c3']}
1769736817.68313,SENT,24e785ac-6a2c-4742-b1e9-43a15491653a,f55b0b80-4c79-49b9-a6ea-596d14fc88e6,c3,c2,3359,?,p3,
1769736817.6832645,CREATED,cc09005b-24e9-4f91-b9d2-e610c54f8149,b8f9458b-67cb-4f32-914f-f0765974fbd4,c3,c2,26,?,?,surb={'id': '2324d604-59ad-4eac-ae83-96458cb6762b', 'route': ['p2', 'e6', 'i4', 'x9', 'p3', 'c3']}
1769736817.9809527,RECEIVED,cc9221c4-add1-4c8a-8033-6624ca5344d0,07b2bee2-17bb-47ff-9ff6-035378af9d92,c1,c3,27,p3,?,surb={'id': '15957036-9e76-4d10-bcef-ac7dc4a9a3bd', 'route': ['p3', 'e1', 'i3', 'x2', 'p1', 'c1']}
1769736817.988633,RECEIVED,26b8d51f-d976-4d50-8890-2fa8c0a99cb7,6dcf8d16-6f7d-493d-b48b-3590e3405a25,c1,c3,27,p3,?,surb={'id': 'dc24a71a-c280-4aad-a6ae-1690b7bc339d', 'route': ['p3', 'e4', 'i7', 'x6', 'p1', 'c1']}
1769736818.054451,SENT,b973b000-2a1e-433c-8110-e815c49a936f,f3da450d-651f-42f2-8b94-39e29740bebf,c3,c2,3368,?,p3,
1769736818.0548854,CREATED,970a985c-5c3a-4bba-a0be-27fb4f5160e0,b8f9458b-67cb-4f32-914f-f0765974fbd4,c3,c2,26,?,?,surb={'id': '2324d604-59ad-4eac-ae83-96458cb6762b', 'route': ['p2', 'e6', 'i4', 'x9', 'p3', 'c3']}
1769736818.1321745,RECEIVED,fa8b7342-aabb-4e1c-9439-d0739e148a2f,c25f3d05-16d7-4404-8324-5e98faba8407,c4,c3,27,p3,?,surb={'id': 'bc917477-de91-4a74-82d3-4162b9e07429', 'route': ['p3', 'e4', 'i9', 'x10', 'p1', 'c4']}
1769736818.2508688,SENT,aaa26fa1-9359-434c-b213-bfb690a37e33,960d3119-9af1-46cb-b250-9d742420c862,c3,c2,3408,?,p3,
1769736818.2510028,CREATED,4b327920-a626-4c8f-919f-aa4eb1654d72,1ee013f3-841f-40ab-8e1d-8ecac40ce05f,c3,c2,26,?,?,surb={'id': '2595b24e-0f93-4ef8-af5a-4f8a1d59c992', 'route': ['p2', 'e12', 'i12', 'x3', 'p3', 'c3']}
1769736818.398534,RECEIVED,a1717014-4cfe-42cf-925f-e4c68aa6518b,c5055cc7-cc07-4dfc-a109-c78cfc99648a,c4,c3,27,p3,?,surb={'id': 'e436bbad-fc9a-4776-82a8-eb668b4a3e03', 'route': ['p3', 'e9', 'i8', 'x12', 'p1', 'c4']}
1769736818.4007325,RECEIVED,f4486006-cbc7-45c6-abcf-2205b43266d8,d96d8414-de08-4aa7-aa2d-2283cab2cd9c,c1,c3,27,p3,?,surb={'id': '0fe05b8f-baa9-4bf2-b127-cd524c3fb121', 'route': ['p3', 'e8', 'i4', 'x4', 'p1', 'c1']}
1769736818.412035,SENT,4d93cb08-4e96-43ac-ad9e-9e0e824c1b11,fdf85e59-1688-4cef-9550-8caf0e942050,c3,c2,3383,?,p3,
1769736818.4122014,CREATED,f7c22ceb-05a2-4873-adc7-43f4554e41ce,1ee013f3-841f-40ab-8e1d-8ecac40ce05f,c3,c2,26,?,?,surb={'id': '2595b24e-0f93-4ef8-af5a-4f8a1d59c992', 'route': ['p2', 'e12', 'i12', 'x3', 'p3', 'c3']}
1769736818.5846543,SENT,ed99f9b9-2eb1-47a8-a924-58fbddc89ba5,1acff6ce-917c-4914-b3e5-41f8b0030236,c3,c2,3371,?,p3,
1769736818.5847988,CREATED,863e7f08-7d2c-44ac-81ec-d0ae882b9932,8813f903-8e66-4151-932c-730ca89844b7,c3,c2,26,?,?,surb={'id': 'c87ed284-9a6d-46d8-83cf-c0530867515d', 'route': ['p2', 'e9', 'i8', 'x10', 'p3', 'c3']}
1769736818.612406,RECEIVED,c0006975-109d-4fdf-8adf-41e4e8fd1958,6dcf8d16-6f7d-493d-b48b-3590e3405a25,c1,c3,27,p3,?,surb={'id': 'dc24a71a-c280-4aad-a6ae-1690b7bc339d', 'route': ['p3', 'e4', 'i7', 'x6', 'p1', 'c1']}
1769736818.6474504,RECEIVED,45e960dc-2b8f-4170-9e4e-d8a6904c894b,844f9a8b-11f7-4a3f-be24-d16faab7cba3,c1,c3,27,p3,?,surb={'id': '454afbf0-1b2c-483b-970c-14faf808d057', 'route': ['p3', 'e10', 'i10', 'x2', 'p1', 'c1']}
1769736818.7488198,RECEIVED,d9209b5f-042b-43fd-a18c-52e684206853,07b2bee2-17bb-47ff-9ff6-035378af9d92,c1,c3,27,p3,?,surb={'id': '15957036-9e76-4d10-bcef-ac7dc4a9a3bd', 'route': ['p3', 'e1', 'i3', 'x2', 'p1', 'c1']}
1769736818.8590343,RECEIVED,29940f13-83de-41ce-a4a6-e84c3b12af7f,844f9a8b-11f7-4a3f-be24-d16faab7cba3,c1,c3,27,p3,?,surb={'id': '454afbf0-1b2c-483b-970c-14faf808d057', 'route': ['p3', 'e10', 'i10', 'x2', 'p1', 'c1']}
1769736818.888199,RECEIVED,ba33927a-4804-4b9c-bd11-b0c52fe56552,c5055cc7-cc07-4dfc-a109-c78cfc99648a,c4,c3,27,p3,?,surb={'id': 'e436bbad-fc9a-4776-82a8-eb668b4a3e03', 'route': ['p3', 'e9', 'i8', 'x12', 'p1', 'c4']}
1769736818.9011183,SENT,5e2f7458-6223-4497-b527-8c57b3995ead,fff94972-b531-4aea-b81d-facdc9acb44e,c3,c2,3384,?,p3,
1769736818.9012651,CREATED,19d12cbf-432f-4bd7-b6ec-e27371fb81ee,8813f903-8e66-4151-932c-730ca89844b7,c3,c2,26,?,?,surb={'id': 'c87ed284-9a6d-46d8-83cf-c0530867515d', 'route': ['p2', 'e9', 'i8', 'x10', 'p3', 'c3']}
1769736818.9196484,SENT,e059b921-e7d3-4409-b2c2-55e6a421eed1,f54e6029-b136-4dd0-9de6-bc7c9ee983e3,c3,c2,3396,?,p3,
1769736818.9197826,CREATED,3ed6ea8f-e8db-42e8-897c-ff1dca5298f4,4523151b-ef4b-42a0-b537-9c9ea3773c23,c3,c2,27,?,?,surb={'id': '31ea8abb-0fc1-4f26-a353-ea46090eedb5', 'route': ['p2', 'e11', 'i11', 'x9', 'p3', 'c3']}
1769736819.0314941,RECEIVED,21d2a2f7-e3d3-4f20-b5c0-8edc080ddfb2,ba2e04ab-5571-4b21-aa61-bfa697208b0b,c4,c3,27,p3,?,surb={'id': '8a748ac5-cbdd-4aed-a352-a69e139c5751', 'route': ['p3', 'e10', 'i4', 'x12', 'p1', 'c4']}
1769736819.2324724,RECEIVED,cd657f37-d182-4267-b1ee-40743b8310a6,5904f651-ac31-4f9d-a329-6d594a80ec58,c4,c3,27,p3,?,surb={'id': '5a8d91f5-61f6-412f-a4c2-e41843140a8a', 'route': ['p3', 'e6', 'i3', 'x10', 'p1', 'c4']}
1769736819.54461,SENT,6936a164-3644-40e4-89b8-0acf3a29651c,90e36233-b388-4703-9e34-886f8c879e54,c3,c2,3400,?,p3,
1769736819.544742,CREATED,da363c4d-999c-4d07-8130-d2a0f02c4613,4523151b-ef4b-42a0-b537-9c9ea3773c23,c3,c2,27,?,?,surb={'id': '31ea8abb-0fc1-4f26-a353-ea46090eedb5', 'route': ['p2', 'e11', 'i11', 'x9', 'p3', 'c3']}
1769736819.561844,RECEIVED,934ea357-150e-4781-b188-c1a5cd3a09aa,ba2e04ab-5571-4b21-aa61-bfa697208b0b,c4,c3,27,p3,?,surb={'id': '8a748ac5-cbdd-4aed-a352-a69e139c5751', 'route': ['p3', 'e10', 'i4', 'x12', 'p1', 'c4']}
1769736819.5953636,RECEIVED,05990194-a541-4518-b733-43ffe2446db4,4d7d6133-5a2f-4302-a8fe-61a1bdf49b01,c4,c3,26,p3,?,surb={'id': 'ecc6c3a6-872e-42ae-ade2-64fcb54b41ab', 'route': ['p3', 'e12', 'i10', 'x7', 'p1', 'c4']}
1769736819.6355882,SENT,ae2a1dc4-32cd-4ace-9ef2-d38ac29f20f5,07ed212a-f8db-4a15-8366-e7a2364c0d16,c3,c2,3369,?,p3,
1769736819.6357183,CREATED,d71c6b46-5390-40f9-9f33-d588fca99c2c,019722b5-53f3-4155-82b7-e19abdf74c74,c3,c2,26,?,?,surb={'id': 'a405ec8e-1347-4793-a8f1-0bc69b2039ef', 'route': ['p2', 'e4', 'i12', 'x7', 'p3', 'c3']}
1769736819.6730618,RECEIVED,099fef71-b399-4fb8-a8df-4f94900e51f2,db44e0e6-cda1-429a-b5e3-78f0a1d520f3,c4,c3,27,p3,?,surb={'id': '5b28ba53-f530-4fc0-8223-e2d3d950a319', 'route': ['p3', 'e10', 'i9', 'x2', 'p1', 'c4']}
1769736819.7158408,RECEIVED,84702633-511f-4742-8c64-7142c9701a6e,cf49f72b-fef2-4ed2-bc96-d4cae0f120c2,c1,c3,27,p3,?,surb={'id': '80795acd-15eb-4ea2-aade-1409a25b49b6', 'route': ['p3', 'e8', 'i4', 'x7', 'p1', 'c1']}
1769736820.00202,RECEIVED,36cf1b5b-4b3a-4c72-83bb-dfe67e427878,6e0cf10f-e2ba-4683-91b6-2cd02fe1bfbc,c4,c3,27,p3,?,surb={'id': 'b845b9c6-8b00-4f4c-b2d4-08c84562187a', 'route': ['p3', 'e6', 'i5', 'x5', 'p1', 'c4']}
1769736820.203483,RECEIVED,cfe69512-09ee-4c8f-be04-5b6fad734319,db44e0e6-cda1-429a-b5e3-78f0a1d520f3,c4,c3,27,p3,?,surb={'id': '5b28ba53-f530-4fc0-8223-e2d3d950a319', 'route': ['p3', 'e10', 'i9', 'x2', 'p1', 'c4']}
1769736820.2184215,RECEIVED,54f7a5b3-def6-43d5-ada7-054e6cfadb3c,6e0cf10f-e2ba-4683-91b6-2cd02fe1bfbc,c4,c3,27,p3,?,surb={'id': 'b845b9c6-8b00-4f4c-b2d4-08c84562187a', 'route': ['p3', 'e6', 'i5', 'x5', 'p1', 'c4']}
1769736820.2643743,SENT,4a9a766c-3d18-42f5-b22f-584d4c84b8d8,875a11dd-0fa2-455b-8d5f-acb21670284e,c3,c2,3368,?,p3,
1769736820.2645087,CREATED,373e6679-cda9-4db5-a2c3-defaaf192f03,019722b5-53f3-4155-82b7-e19abdf74c74,c3,c2,26,?,?,surb={'id': 'a405ec8e-1347-4793-a8f1-0bc69b2039ef', 'route': ['p2', 'e4', 'i12', 'x7', 'p3', 'c3']}
1769736820.3562894,RECEIVED,ff903559-248d-45f4-b8df-571756efcfab,5904f651-ac31-4f9d-a329-6d594a80ec58,c4,c3,27,p3,?,surb={'id': '5a8d91f5-61f6-412f-a4c2-e41843140a8a', 'route': ['p3', 'e6', 'i3', 'x10', 'p1', 'c4']}
1769736820.5225987,SENT,79f40e8a-0c8e-455c-b918-f997e853b3cd,9e00e320-a616-4782-8de2-9aebfaa13f5d,c3,c2,3383,?,p3,
1769736820.522726,CREATED,2ada35e8-4599-4e63-a613-d689cd5e116d,bd30b661-1f7e-40dc-8e21-b59aaf332e73,c3,c2,26,?,?,surb={'id': '495a87e4-fe19-4c39-bf48-844eaefeb2ab', 'route': ['p2', 'e8', 'i4', 'x6', 'p3', 'c3']}
1769736820.6305714,SENT,7c4d8789-0d46-4e36-9f28-89103c2d92b9,15b07739-45fd-467c-ad0b-4bcecbc7c731,c3,c2,3384,?,p3,
1769736820.6307068,CREATED,72cd2e00-e0a9-494d-81e7-bb6a78ecb4d5,bd30b661-1f7e-40dc-8e21-b59aaf332e73,c3,c2,26,?,?,surb={'id': '495a87e4-fe19-4c39-bf48-844eaefeb2ab', 'route': ['p2', 'e8', 'i4', 'x6', 'p3', 'c3']}
1769736820.6383846,SENT,6e0d268b-a6ff-49a3-accd-d26e45101cfa,fa1c7fb5-c9e7-44a9-be87-3c415c88de5e,c3,c2,3383,?,p3,
1769736820.6385272,CREATED,09b477f5-f9fa-4085-b7ff-b64a454c5810,99bd64bd-6035-45c4-a0b8-30aeb30d4b57,c3,c2,27,?,?,surb={'id': '24bf2b4b-f1a9-41a0-bf4c-6bea8b3bdb7d', 'route': ['p2', 'e1', 'i7', 'x5', 'p3', 'c3']}
1769736820.7887669,SENT,6fe91ce9-64d5-4d7b-bc2b-9d138a73d516,540cc5d7-f058-42e3-8d20-217e60d2f353,c3,c2,3399,?,p3,
1769736820.7888987,CREATED,222ba5b5-d14f-4923-ae1b-b39f44719885,99bd64bd-6035-45c4-a0b8-30aeb30d4b57,c3,c2,27,?,?,surb={'id': '24bf2b4b-f1a9-41a0-bf4c-6bea8b3bdb7d', 'route': ['p2', 'e1', 'i7', 'x5', 'p3', 'c3']}
1769736821.1173174,RECEIVED,799485a7-7342-41d0-ab61-b1902cc2650c,d96d8414-de08-4aa7-aa2d-2283cab2cd9c,c1,c3,27,p3,?,surb={'id': '0fe05b8f-baa9-4bf2-b127-cd524c3fb121', 'route': ['p3', 'e8', 'i4', 'x4', 'p1', 'c1']}
1769736821.2668955,RECEIVED,e503736b-74d1-45cb-9baf-40b9bb83a67f,9bddb5bf-c357-4dcf-82f7-f703bf7b4280,c4,c3,27,p3,?,surb={'id': '34afa1e7-e08a-4d84-952e-9b73a06622c3', 'route': ['p3', 'e7', 'i1', 'x11', 'p1', 'c4']}
1769736821.269595,RECEIVED,2c05e5cb-b60b-43a1-a00d-6c27c9f3a53f,acc5bb3b-b5b1-462d-a0d5-341e7928de0e,c1,c3,27,p3,?,surb={'id': 'f678798c-f9ee-45b4-a70d-eef5e66221ca', 'route': ['p3', 'e8', 'i3', 'x2', 'p1', 'c1']}
1769736821.2745965,RECEIVED,7bcbc04d-9181-4ff9-8a77-abe4f3d916e5,02b4097b-a1dc-4d55-8355-7cf08da2cad8,c1,c3,27,p3,?,surb={'id': '69247037-2f43-4210-bec3-4cc28eab4be0', 'route': ['p3', 'e6', 'i11', 'x5', 'p1', 'c1']}
1769736821.4959815,RECEIVED,c1611611-2099-4bf7-9814-416e308bc90a,9bddb5bf-c357-4dcf-82f7-f703bf7b4280,c4,c3,27,p3,?,surb={'id': '34afa1e7-e08a-4d84-952e-9b73a06622c3', 'route': ['p3', 'e7', 'i1', 'x11', 'p1', 'c4']}
1769736821.5528984,SENT,2e224173-fc08-4507-aeab-6f96f0f6d907,41f25677-ffc8-4a08-be1c-0cd01cd30441,c3,c2,3379,?,p3,
1769736821.5530317,CREATED,051396fc-2ee2-45db-b6a6-a6b4aad2d68d,57a8f4ca-069c-4fe3-a9cd-114ec56c1da0,c3,c2,27,?,?,surb={'id': 'e671b3c9-83b0-4699-89cc-c72af087f153', 'route': ['p2', 'e5', 'i3', 'x5', 'p3', 'c3']}
1769736821.5998516,RECEIVED,b3e8c8ba-280d-40fa-9e14-b5216f0e6fb9,e2af4bce-3997-472b-aafe-b15eaf99fac7,c4,c3,26,p3,?,surb={'id': '2707840e-6325-4489-bfce-8ffeec58f8bb', 'route': ['p3', 'e7', 'i9', 'x2', 'p1', 'c4']}
1769736821.7055855,RECEIVED,6087a4fe-4d48-4f90-b249-8f0ea28250a2,78dbe4db-2481-4f39-9c3e-00762cc89191,c1,c3,27,p3,?,surb={'id': 'bc3a1a8e-0032-4109-8a2f-e84fdd3435d1', 'route': ['p3', 'e12', 'i11', 'x4', 'p1', 'c1']}
1769736821.7114902,RECEIVED,cb91d6ae-f4ad-415c-8065-d270fe2318c3,acc5bb3b-b5b1-462d-a0d5-341e7928de0e,c1,c3,27,p3,?,surb={'id': 'f678798c-f9ee-45b4-a70d-eef5e66221ca', 'route': ['p3', 'e8', 'i3', 'x2', 'p1', 'c1']}
1769736821.8235188,RECEIVED,6cb900e0-4bec-4933-9452-dff8fba4f387,02b4097b-a1dc-4d55-8355-7cf08da2cad8,c1,c3,27,p3,?,surb={'id': '69247037-2f43-4210-bec3-4cc28eab4be0', 'route': ['p3', 'e6', 'i11', 'x5', 'p1', 'c1']}
1769736821.968135,SENT,1cf157a0-1f98-4b33-a0a5-8cb1aedc4ba4,ad989523-39c7-4768-a856-b076a115b0c6,c3,c2,3379,?,p3,
1769736821.9682732,CREATED,2b613efe-b862-484e-afd1-6e3944d896e3,57a8f4ca-069c-4fe3-a9cd-114ec56c1da0,c3,c2,27,?,?,surb={'id': 'e671b3c9-83b0-4699-89cc-c72af087f153', 'route': ['p2', 'e5', 'i3', 'x5', 'p3', 'c3']}
1769736822.305529,SENT,3821060c-6e01-4b90-a3b5-391e0265411c,4b3bea3e-2131-4b95-85f8-391afc75ea95,c3,c2,3383,?,p3,
1769736822.3056564,CREATED,9969344f-a4c6-4f4d-aaed-1c95afa8d513,2aa5deb9-7d68-4796-b008-9ed15113ed71,c3,c2,26,?,?,surb={'id': '56e3e116-71d6-4943-97af-3cf8cb2a609b', 'route': ['p2', 'e1', 'i9', 'x2', 'p3', 'c3']}
1769736822.399946,SENT,5dd3851f-9e3b-470b-bb8f-27a2081cd1b6,8e772e79-dc2d-4813-b5c4-d73d03c4450e,c3,c2,3376,?,p3,
1769736822.4001343,CREATED,5772bf6d-c8a3-40f3-8494-b152dd980812,2aa5deb9-7d68-4796-b008-9ed15113ed71,c3,c2,26,?,?,surb={'id': '56e3e116-71d6-4943-97af-3cf8cb2a609b', 'route': ['p2', 'e1', 'i9', 'x2', 'p3', 'c3']}
1769736822.4367797,SENT,003078e4-f991-4045-9ac9-b693b212bb5d,b74b1fa8-f0ff-4755-9806-225195c9a151,c3,c2,3396,?,p3,
1769736822.4369142,CREATED,9d3fbcf8-cbe3-476f-9631-c066773e5579,a169f75b-b9df-4ed2-ad37-1facc1687f3e,c3,c2,27,?,?,surb={'id': '521a489b-6fa3-45d9-9c9d-b7799c0790bf', 'route': ['p2', 'e10', 'i6', 'x10', 'p3', 'c3']}
