timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769736814.6317,SENT,8625e0e6-f217-4ae9-9992-1b8edba1dc14,da232bd2-0de0-4b43-a058-92940e91e0af,c5,DROP,2020,?,p2,
1769736814.6318293,CREATED,8c351cc0-4017-41ad-96ba-51c05b61538a,39903828-ebb6-4c5e-acab-ab1e740f4c3d,c5,DROP,27,?,?,
1769736814.9578104,SENT,d2a509c7-0b9f-4c00-9ad5-fc2ac9a210f6,5802dbb6-b695-44cd-9683-283a63f95838,c5,c4,3389,?,p2,
1769736814.9579475,CREATED,d315f306-3bbf-442b-bbda-218cbed43939,f27d711c-3655-4ce5-8eff-a51a8fc9f374,c5,c4,27,?,?,surb={'id': '5b13ac53-3219-442d-9358-f8f97aaeec81', 'route': ['p1', 'e11', 'i4', 'x2', 'p2', 'c5']}
1769736815.1148129,SENT,2e9f353d-6a26-46fa-824c-932dbe6dab47,f63dbe2c-e445-46f7-a02e-a2ec8aaf7ae8,c5,c4,3399,?,p2,
1769736815.1149626,CREATED,b38ea1a4-ba0a-44ae-a6e2-0fb8a3bfb8b5,f27d711c-3655-4ce5-8eff-a51a8fc9f374,c5,c4,27,?,?,surb={'id': '5b13ac53-3219-442d-9358-f8f97aaeec81', 'route': ['p1', 'e11', 'i4', 'x2', 'p2', 'c5']}
1769736815.4284108,SENT,b302f05f-62e6-493f-87d0-50f8410467c5,5fbc07f7-6d24-4d2b-afe7-dbd41380cdce,c5,c4,3382,?,p2,
1769736815.4285583,CREATED,f81e1f7b-a271-4039-8c8a-c0e2425da6ee,0964575b-134d-4b38-af91-b221317fa4b0,c5,c4,27,?,?,surb={'id': 'a959f75b-dc04-442a-94b0-d4309007f5b7', 'route': ['p1', 'e8', 'i8', 'x6', 'p2', 'c5']}
1769736815.5213273,SENT,4ae1e11a-fd4c-4b8c-a044-6ce0bc520ffa,1d650f8e-37b2-45e6-b4b6-6554084935a5,c5,c4,3378,?,p2,
1769736815.5214603,CREATED,54e53688-7c85-4cda-9587-ac7231870e49,0964575b-134d-4b38-af91-b221317fa4b0,c5,c4,27,?,?,surb={'id': 'a959f75b-dc04-442a-94b0-d4309007f5b7', 'route': ['p1', 'e8', 'i8', 'x6', 'p2', 'c5']}
1769736815.7848706,SENT,3c83c7ba-ef80-4b5d-a5d7-9b85242de8eb,89e4353f-5547-43f8-bac1-fb27108466ff,c5,c4,3392,?,p2,
1769736815.7850006,CREATED,a0960686-b1cc-4c22-8c43-9d980161dafb,b2250230-ce01-41ac-9b2f-b32b4482c778,c5,c4,27,?,?,surb={'id': '03a48ae2-b182-4904-917c-eb032e233937', 'route': ['p1', 'e9', 'i11', 'x8', 'p2', 'c5']}
1769736816.197776,SENT,9dc0b9f9-47b0-4bf6-a0fd-317093fd2b85,6370460c-239d-4e26-9f3a-588a25860b80,c5,c4,3380,?,p2,
1769736816.1979065,CREATED,1dedafc3-759e-48ac-acea-d12f03fc1352,b2250230-ce01-41ac-9b2f-b32b4482c778,c5,c4,27,?,?,surb={'id': '03a48ae2-b182-4904-917c-eb032e233937', 'route': ['p1', 'e9', 'i11', 'x8', 'p2', 'c5']}
1769736816.4606214,SENT,3a2c5eb3-94f2-4ffd-a7a6-16d63b802840,e5b4846f-fc7d-4cd0-ba16-8ad5b5911e58,c5,c4,3392,?,p2,
1769736816.4607558,CREATED,a57ba4f1-422d-4610-ae4c-9650c8eccff7,592e84b9-b72b-4e24-9859-1e4e890642ca,c5,c4,27,?,?,surb={'id': '54d7ddd7-8765-46a0-87b0-a7c21cd8ce4e', 'route': ['p1', 'e12', 'i11', 'x2', 'p2', 'c5']}
1769736816.5049033,SENT,df9cdefe-c5bc-499c-a631-c0c9bf621fdc,50008a88-b91e-4850-b4b5-1c0ccaa495bb,c5,c4,3383,?,p2,
1769736816.5050676,CREATED,01211b0c-fd83-4529-9bbc-2526b6634473,592e84b9-b72b-4e24-9859-1e4e890642ca,c5,c4,27,?,?,surb={'id': '54d7ddd7-8765-46a0-87b0-a7c21cd8ce4e', 'route': ['p1', 'e12', 'i11', 'x2', 'p2', 'c5']}
1769736817.1219056,SENT,0525d283-676f-4e15-a344-a293d56befa6,30f8941f-67cf-4ea7-8eff-1a0c4616e48d,c5,c4,3399,?,p2,
