timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745537.943636,RECEIVED,e5fda260-7787-4312-9b1c-cafb57273009,8850f506-3648-4fee-8a9b-6a5ed0c8efc0,c1,c3,27,p3,?,surb={'id': '26e0d6a7-6334-4762-bfcc-117353a88316', 'route': ['p3', 'e1', 'i8', 'x12', 'p1', 'c1']}
1769745537.962921,RECEIVED,b447d4b3-6710-477a-93b4-0929ce39f8bf,3a5a955a-01c2-4569-9d99-da024afa92a8,c1,c3,26,p3,?,surb={'id': '2ec071ff-f9c6-4c94-bcd4-ad8ac7e1c7a7', 'route': ['p3', 'e3', 'i1', 'x2', 'p1', 'c1']}
1769745538.1019702,RECEIVED,6951c60e-6247-42a5-b462-bbd5befdbbd8,7a70264e-d2b8-4117-98fa-c82fa96f145c,c1,c3,26,p3,?,surb={'id': 'bb4caf8f-5d62-454d-b133-cd0e30a40e60', 'route': ['p3', 'e2', 'i5', 'x2', 'p1', 'c1']}
1769745538.185145,RECEIVED,6eedf7cd-cc94-4300-b277-072c2cd9940b,dd22bb77-ff54-4f45-b8f1-8ddbb9b36e79,c1,c3,27,p3,?,surb={'id': '96f8e4c4-7bcb-4418-890e-aaf4d1b25c35', 'route': ['p3', 'e6', 'i3', 'x5', 'p1', 'c1']}
1769745538.218618,SENT,f7443a8c-60c0-421c-8570-f79df2f0750c,9dcfe278-907e-4be4-9c93-aaae9864c5e1,c3,c2,3376,?,p3,
1769745538.2187688,CREATED,5f299f42-f494-4d23-98ab-aeac93a610a6,285c635f-2429-491a-aad0-7dae0d4f104d,c3,c2,26,?,?,surb={'id': '1ac716d4-2bb5-452f-ad51-5308db8691ab', 'route': ['p2', 'e4', 'i8', 'x10', 'p3', 'c3']}
1769745538.230086,SENT,c01eaa22-6f07-445b-a588-36e88ee2fb16,3b77fdee-dfc3-4156-a4db-9be8e4d7324c,c3,c2,3377,?,p3,
1769745538.230236,CREATED,2b49fece-451b-4b68-88bb-45a825cfc243,26c903b0-8498-4ecf-b9a2-4476c9998825,c3,c2,27,?,?,surb={'id': 'fd8eedf9-303e-4eb7-86c5-c5f560496a9f', 'route': ['p2', 'e8', 'i6', 'x7', 'p3', 'c3']}
1769745538.4062507,RECEIVED,0046d07b-3b83-47a9-9c57-871d309e95ca,7c258771-80d5-409c-b958-638aee19c4b0,c1,c3,26,p3,?,surb={'id': 'c875de48-c202-43a8-b28a-f1954a89e735', 'route': ['p3', 'e11', 'i8', 'x3', 'p1', 'c1']}
1769745538.423549,SENT,3b863061-543f-4aed-addf-383ba419b6c5,9d7f4022-afbc-43a8-86cb-5d3d388d52d1,c3,c2,3362,?,p3,
1769745538.4236505,CREATED,b40c5240-b737-4cb3-a00b-2cf426522122,44306cb8-be0f-4362-8e4b-9945cde52e69,c3,c2,27,?,?,surb={'id': 'b6677562-992c-4aed-8f83-fd79683b9e60', 'route': ['p2', 'e2', 'i8', 'x9', 'p3', 'c3']}
1769745538.449563,RECEIVED,23323b2b-8372-431b-86dc-37df403c5e8f,67d7ce80-8e4e-4548-8258-8be2452898af,c2,c3,27,p3,?,surb={'id': '5f8e6354-cb26-4c19-9f38-3fc18a1c550d', 'route': ['p3', 'e8', 'i2', 'x2', 'p2', 'c2']}
1769745538.4577796,SENT,f4b79fa3-5416-4398-96c5-45c9340432bb,1f7bdb82-7c2e-4ef7-a213-292b14c5f8ee,c3,c2,3359,?,p3,
1769745538.457878,CREATED,72d9ac26-471a-432d-8b51-ed138c4d5dad,4e11d670-5003-4d75-a489-e0515f53a19d,c3,c2,26,?,?,surb={'id': 'f3937dee-3631-40f2-b19c-ad73515a4173', 'route': ['p2', 'e1', 'i7', 'x9', 'p3', 'c3']}
1769745538.476311,SENT,9785f538-ef2d-48e1-ad4f-117dca3c5cf1,b3b870c1-b202-4236-b4f4-48fbcd958149,c3,c2,3384,?,p3,
1769745538.4764116,CREATED,4919128a-f6af-4e1b-ab72-6affbe08f5b7,eb58912d-c91f-4f64-b720-488c009efb06,c3,c2,27,?,?,surb={'id': '75381cb7-1ed2-4f88-a48e-bfe85137a14b', 'route': ['p2', 'e5', 'i6', 'x10', 'p3', 'c3']}
1769745538.5133774,RECEIVED,27f5d389-7da4-4e2b-bae8-1738790a8b4f,a6704df6-b83a-4879-8d81-fe7b31df64be,c2,c3,27,p3,?,surb={'id': '310d96bf-35c6-4b22-9b91-a8124c205778', 'route': ['p3', 'e3', 'i12', 'x4', 'p2', 'c2']}
1769745538.540264,SENT,c9a11302-fa35-4fca-9cd0-fa9ef6b1e2b2,9a710f91-3b33-437a-8413-fe949b59f38b,c3,c2,3399,?,p3,
1769745538.540364,CREATED,77668530-1efd-47eb-8e70-27cc06bffcb3,5215020e-4725-42f2-8d1e-0e273d70ff5d,c3,c2,27,?,?,surb={'id': 'ca8b305b-ca38-49ae-86fe-7ff99b9fa3d8', 'route': ['p2', 'e1', 'i9', 'x10', 'p3', 'c3']}
1769745538.558884,RECEIVED,d5b2f70f-1f94-4e73-a307-50784dde4a71,ef314e67-14d6-4e0f-9045-3b08bf41b997,c2,c3,27,p3,?,surb={'id': '8def0c3f-4e9a-4a60-b467-a1debae51dcb', 'route': ['p3', 'e7', 'i6', 'x3', 'p2', 'c2']}
1769745538.625698,SENT,9814ba55-5e6e-4a06-a5d6-44d51f80ccce,ae184947-cee0-4f67-86cf-3dc2220f6c18,c3,c2,3400,?,p3,
1769745538.6258008,CREATED,422d7fa1-1e8e-4884-a185-3adbd6424122,bc06dc42-73aa-4b1e-be79-2f79d7fb68ba,c3,c2,27,?,?,surb={'id': '83d85f00-711f-4376-9135-37bec1d59171', 'route': ['p2', 'e12', 'i11', 'x10', 'p3', 'c3']}
1769745538.6369953,RECEIVED,05a3607e-c4d8-496c-9d0d-17b2643c78c7,c762e0e6-8aa1-43bb-a396-0c3c84e8cbf7,c1,c3,27,p3,?,surb={'id': '148897c7-42b5-4415-9fb0-e5da0f98c9b4', 'route': ['p3', 'e1', 'i2', 'x3', 'p1', 'c1']}
1769745538.836891,SENT,5c4ebbb8-34fe-4bc5-a0c9-b24c93120a65,35d6bd88-22ca-4ce2-a633-7d9f468af901,c3,DROP,2028,?,p3,
1769745538.8369782,CREATED,b8a0b1c5-89a8-4ae6-8e78-f2bf0603637d,b350d14e-a403-4fe9-b7db-17cd431daffc,c3,DROP,27,?,?,
1769745538.9926596,RECEIVED,43592a1c-0e22-49f0-8447-d2456c7f44ae,73fb0a90-61fc-4341-84d8-004358787314,c1,c3,26,p3,?,surb={'id': '6662ac69-167f-4d4c-82e4-32ce8af404c3', 'route': ['p3', 'e11', 'i1', 'x10', 'p1', 'c1']}
1769745539.031546,RECEIVED,d806ccac-65c7-49a3-bfce-535b19085119,b54e44ee-311a-4797-a76e-abe2a87fc5d5,c2,c3,27,p3,?,surb={'id': '7cb530b8-5f1f-4328-b76d-8ae58bb82fcf', 'route': ['p3', 'e3', 'i2', 'x7', 'p2', 'c2']}
1769745539.0603464,RECEIVED,601c4d6c-f51e-474d-957f-d3e289531020,bd84fc33-c480-4ad6-abf3-70a00a0817ef,c2,c3,27,p3,?,surb={'id': 'c7e3000a-fc94-4ba8-b1b5-c49b886b3813', 'route': ['p3', 'e6', 'i10', 'x9', 'p2', 'c2']}
1769745539.250983,RECEIVED,6d29dd4a-30b5-4641-8838-29f7cdfbd138,5be6ada8-25f6-4f1d-b948-b1e8becfc250,c2,c3,27,p3,?,surb={'id': '9a6a002d-0075-44f5-a6ab-64f6f3b42f0a', 'route': ['p3', 'e4', 'i1', 'x2', 'p2', 'c2']}
1769745539.2979527,SENT,c1625a23-f5bf-4297-99c8-8d4863d8b15a,0e784668-a209-446e-a7fe-cd0ba6d3d93a,c3,DROP,2038,?,p3,
1769745539.2980597,CREATED,f4b8baa8-6794-45c5-b871-064eca1de73f,5755b87c-8cdb-49e5-9628-26cb7a6b0b22,c3,DROP,27,?,?,
1769745539.356515,SENT,30786995-ec46-4ef8-a455-17c13ba9f681,46893c46-438c-46a3-8eec-ba2a2b732619,c3,DROP,2014,?,p3,
1769745539.356604,CREATED,bdca382b-e735-4343-8ef3-9bc442d8914f,767e7182-7dfb-486b-a663-9b8361953a84,c3,DROP,27,?,?,
1769745539.4006734,SENT,239857b9-d4fb-474a-a095-805115f85062,42ff4845-3b29-491b-a46d-c66428073de7,c3,c2,3376,?,p3,
1769745539.400777,CREATED,b1edf8b4-ff15-4178-97a4-e861fba2b1af,ec770ddc-976c-4d37-b2b2-225653e837f9,c3,c2,27,?,?,surb={'id': 'd91d4efc-343f-42ac-b1e7-71fa579e341d', 'route': ['p2', 'e12', 'i4', 'x4', 'p3', 'c3']}
1769745539.427022,RECEIVED,fc73c40d-4e07-4a63-bc9e-72984a4ae1b2,da1c9015-2d9b-4c4c-a063-9918ea23e24a,c1,c3,27,p3,?,surb={'id': '2115a4df-4ab0-451f-88f3-e11ae9d43c5d', 'route': ['p3', 'e2', 'i6', 'x9', 'p1', 'c1']}
1769745539.4974923,SENT,a62166c1-eb7e-424c-859e-50829f9e6215,796f7614-a632-4b3f-864d-067999e5e95e,c3,DROP,2033,?,p3,
1769745539.4975812,CREATED,33fa18c5-d03f-4c74-a287-120d3007dda1,8c51a8f6-11a0-4ee7-a407-ce565063982a,c3,DROP,26,?,?,
1769745539.514182,RECEIVED,85d68747-46f8-49c9-9245-a42821ab450c,02d6e891-4c1c-4e36-8745-2e842a3cad34,c1,c3,27,p3,?,surb={'id': 'e0a1db82-7d20-486f-a5d7-f64ce4bfec05', 'route': ['p3', 'e7', 'i11', 'x11', 'p1', 'c1']}
1769745539.5574749,SENT,33c52a1b-cc06-4907-a86c-1fc6af30a959,b6391954-e595-4aea-939d-d794fbee29c5,c3,DROP,2020,?,p3,
1769745539.5575657,CREATED,b9320719-43ce-490e-b660-bfba4d5ebc01,1514b961-4f54-4709-be1e-6b37779babf6,c3,DROP,27,?,?,
1769745539.7984152,RECEIVED,b72b0f51-65be-4fd6-baa2-f354fe9374f7,7c6cbe24-147c-4839-8734-8d24915c46df,c2,c3,26,p3,?,surb={'id': 'b7145d50-c200-41b6-b434-51c4dfa5c519', 'route': ['p3', 'e5', 'i2', 'x2', 'p2', 'c2']}
1769745540.0291817,SENT,87644762-755e-4dd5-9637-33fc7582f857,cb6f9a4b-f6aa-46a8-b578-a0d01e1b6f29,c3,DROP,2027,?,p3,
1769745540.0293174,CREATED,4b9609a3-9db5-4f8e-89a3-55cfb74766f9,8fe993c6-a796-4166-b968-cc477c1d22f4,c3,DROP,27,?,?,
1769745540.240246,RECEIVED,508071b5-0a0c-4cf9-8a00-274ad87c5870,389229ef-16b8-453a-aade-8154f53beb2e,c2,c3,27,p3,?,surb={'id': '14d58946-465a-4c48-a509-c5b4955558b5', 'route': ['p3', 'e12', 'i10', 'x11', 'p2', 'c2']}
1769745540.3453689,RECEIVED,da31026b-abde-460c-8d35-d494cdb147d9,bd5cbb3a-42dd-4011-8534-e96bb1ad0542,c2,c3,27,p3,?,surb={'id': '2c0b0bc4-225a-4f48-899b-9753dffbb2d4', 'route': ['p3', 'e11', 'i1', 'x3', 'p2', 'c2']}
1769745540.4301922,RECEIVED,a7009881-ca56-4b02-ad31-ca69242428d9,364fd193-e422-4a87-b8ab-9dd8f2be3e8b,c2,c3,27,p3,?,surb={'id': '515c3a34-a679-44bf-b526-135009cbfe24', 'route': ['p3', 'e4', 'i1', 'x2', 'p2', 'c2']}
1769745540.747826,SENT,14fa7d4b-4bbb-4164-85fd-cf23b794616b,4695d2a4-81a0-4df2-8934-32c541ee68d4,c3,c2,3376,?,p3,
1769745540.7479465,CREATED,cfa94a6b-90c7-4df5-be9f-8e88e36e7bae,c0f2b0fb-7e8d-42cb-86fb-cf309ed9d2c3,c3,c2,26,?,?,surb={'id': '0379c94f-6bef-438c-82a4-88780e840bee', 'route': ['p2', 'e8', 'i2', 'x9', 'p3', 'c3']}
1769745540.820293,SENT,28604455-0620-4839-bd82-6fff617d633f,ae870474-0509-4d59-a5c2-47fddc4ed4b7,c3,c2,3383,?,p3,
1769745540.8203597,CREATED,bd4d4f03-c042-4978-a23a-e08d942aa0ba,acc962e1-a353-40b3-8d7d-dbbdeb8f7bdb,c3,c2,26,?,?,surb={'id': 'ab31461d-51be-4121-a601-d3d451b67768', 'route': ['p2', 'e2', 'i6', 'x2', 'p3', 'c3']}
1769745540.846857,SENT,8a987073-3e01-4022-947e-d1ad39b5d588,33166c44-8e2d-413f-942b-f54346efb7ab,c3,c2,3376,?,p3,
1769745540.846922,CREATED,64500f3f-afa5-4b7f-9d56-f2683dc19817,15710f5c-849c-4d23-87ce-ec757b4197d4,c3,c2,26,?,?,surb={'id': '2bc9a867-8a0d-4c0e-92fe-d381da7de152', 'route': ['p2', 'e7', 'i4', 'x1', 'p3', 'c3']}
1769745540.9093397,SENT,d9e5a430-4c77-4c9f-83fd-a57aa8442f34,b5b91c3c-0a95-4a35-a514-a47d89d2a9b6,c3,DROP,2015,?,p3,
1769745540.9093995,CREATED,b8e212e1-6f72-4afd-934d-815f83fa334b,962bb2b2-e1ee-416b-bb55-16696034ab9e,c3,DROP,27,?,?,
1769745541.0923564,RECEIVED,604a0a8f-a46c-4c7e-b4c8-ca2dca548bbc,76fe470f-115e-49bd-9552-8583dd19a96f,c1,c3,26,p3,?,surb={'id': '3e4ccac3-28e6-48ab-9e66-e974ba0a4fa6', 'route': ['p3', 'e6', 'i6', 'x2', 'p1', 'c1']}
1769745541.2778122,RECEIVED,b264f5d1-88c6-4392-a87b-9674d1c7f934,6abf925e-fe8f-4e36-8ba6-80b55d520c43,c1,c3,27,p3,?,surb={'id': 'acd7b41e-4c1d-47ff-8bc7-9cbd946c12b8', 'route': ['p3', 'e6', 'i2', 'x11', 'p1', 'c1']}
1769745541.6314178,RECEIVED,b3571e8e-383a-4de8-9acb-280ffc07a0bd,94574645-dc24-46de-8a93-38bb60573c83,c1,c3,27,p3,?,surb={'id': 'a024676b-b6db-4039-be24-16991a758a30', 'route': ['p3', 'e12', 'i3', 'x6', 'p1', 'c1']}
1769745541.761979,RECEIVED,404c6abd-c244-4381-ab2e-7cfddb1c7207,1c05633d-0483-45f8-a71f-50065989d8e5,c1,c3,26,p3,?,surb={'id': 'd45c31a6-5201-49fa-8478-78d5ba5d14e1', 'route': ['p3', 'e10', 'i11', 'x10', 'p1', 'c1']}
1769745541.7682052,RECEIVED,a79e49eb-1e29-4ad1-a3c2-2c561a35354d,30082716-cf57-451a-9aa9-e07f56dc77da,c1,c3,27,p3,?,surb={'id': 'ce8275f5-4b4f-4f84-bad9-4cdac7263810', 'route': ['p3', 'e9', 'i6', 'x7', 'p1', 'c1']}
1769745542.0364509,SENT,82ac114d-1c60-43da-a5e2-dbfc0fecf200,6cbd0cc2-9032-4aac-ac08-69a3be8f461b,c3,c2,3385,?,p3,
1769745542.0365684,CREATED,9e05898e-8a1c-43d5-96b7-837da1e8115a,9e2afdfd-6048-4983-a9de-625a9966fdef,c3,c2,26,?,?,surb={'id': '84b73b0d-b20f-4769-83a7-a6bde143dd18', 'route': ['p2', 'e1', 'i10', 'x6', 'p3', 'c3']}
1769745542.0887935,RECEIVED,f1dd29ff-08fc-4ef4-ade7-ad73634652ec,c362f164-07fd-40c6-9c3c-49446edfbb76,c2,c3,27,p3,?,surb={'id': '404451f8-00d9-48a4-a719-ec9642ab7999', 'route': ['p3', 'e3', 'i6', 'x1', 'p2', 'c2']}
1769745542.2907248,RECEIVED,1b9e38a5-8045-4cb8-93d5-6adf5b372319,3ed013d8-07d4-41c3-be95-15aa1d2b0a65,c2,c3,27,p3,?,surb={'id': '78e3e73f-258a-429b-95d1-a2354a3c58dc', 'route': ['p3', 'e7', 'i8', 'x9', 'p2', 'c2']}
1769745542.3164637,SENT,8c2d42ff-b32c-4159-a5c7-687217f2b08f,9cd05008-f9de-40cd-b41e-136e80225a56,c3,c2,3397,?,p3,
1769745542.3165338,CREATED,695925b3-e435-4e07-8472-024eb33f4745,5c2104fb-7f39-4d82-8a80-6bec23882221,c3,c2,25,?,?,surb={'id': '2b9dc9a7-cbbf-410e-8ff2-efd974eed0c5', 'route': ['p2', 'e8', 'i11', 'x11', 'p3', 'c3']}
1769745542.3431864,SENT,dd8152aa-1797-43c6-b41e-14cd63076fb6,69f836ae-b0ae-4d9f-b1c8-b8cac9430551,c3,c2,3364,?,p3,
1769745542.3432674,CREATED,4c1bc27a-5479-4bf6-9177-a408912ce610,9f0e1122-5650-40c4-b631-77aea8611b27,c3,c2,27,?,?,surb={'id': 'c6888750-1917-4dda-839c-fefbb551eff1', 'route': ['p2', 'e7', 'i1', 'x11', 'p3', 'c3']}
1769745542.7608628,RECEIVED,c0775c83-fad6-44e3-8982-d50c6c30d71b,f027b14e-8809-4055-8c38-7b83b391da06,c2,c3,27,p3,?,surb={'id': 'a2e87269-ebb0-4e5d-bd9c-6c4b19b85591', 'route': ['p3', 'e12', 'i3', 'x4', 'p2', 'c2']}
1769745542.771712,SENT,9c295e20-7b72-431d-b85b-4dce12304d99,ea9027e3-5883-4359-af0a-8c37008c76ff,c3,DROP,2015,?,p3,
1769745542.7718732,CREATED,c1878bb7-6dd6-432e-bd38-d03ef615d46c,ee97b1c6-5253-43c7-a3e4-99492c414d07,c3,DROP,27,?,?,
1769745543.0168953,SENT,b36a6390-a215-490b-83be-c4a615995408,80504d70-ec3c-43ef-9d69-117b753559f4,c3,DROP,2019,?,p3,
1769745543.017034,CREATED,0605a87c-00a6-4a68-8fb0-7be9ea2bf5d1,204f9d5c-cc9c-40c0-8241-6ce2dbb121e5,c3,DROP,27,?,?,
1769745543.0898178,RECEIVED,60b88931-7c0a-4e49-b030-529870a7d356,c4ee58ff-8dd6-4abc-9481-ed31656e079b,c2,c3,27,p3,?,surb={'id': 'b2f418d3-0fa3-4efb-9c1e-f39563fdb8ce', 'route': ['p3', 'e2', 'i1', 'x10', 'p2', 'c2']}
1769745543.2003431,RECEIVED,68baee5e-5823-4b96-9a8e-0647f895aa59,2671f160-8952-476e-85dd-36bab858160b,c2,c3,26,p3,?,surb={'id': 'd5571cbf-e676-4279-979c-3a5b506b0022', 'route': ['p3', 'e11', 'i8', 'x2', 'p2', 'c2']}
1769745543.393738,SENT,7887afb9-eeec-4a03-b202-d4a90074cc95,d09f2aec-43fd-4ba5-b9f2-9db78be88320,c3,c2,3389,?,p3,
1769745543.393873,CREATED,05ffbb8a-cc6c-4c3f-ab65-e99303b83089,7ab4bcd8-24f5-4fa0-8ea6-60b5111ab1d2,c3,c2,26,?,?,surb={'id': 'b47792ec-abb8-4fe0-a3b5-7a16e8c3f2e7', 'route': ['p2', 'e1', 'i9', 'x10', 'p3', 'c3']}
1769745543.6690266,RECEIVED,983bc6a2-af70-4e6f-ae28-ff61f15142a6,49d86879-9ba6-4165-9d87-ea36f1df8e76,c2,c3,27,p3,?,surb={'id': '3672744f-b2f1-49ee-a824-78da9ed01dd4', 'route': ['p3', 'e2', 'i1', 'x2', 'p2', 'c2']}
1769745543.6880736,SENT,a07fe5d1-0de1-4d2c-9881-43c7106402f0,2d67d2e7-5cfd-45d4-96a6-8ad637afd9f8,c3,c2,3393,?,p3,
1769745543.6882427,CREATED,d6317662-f1d1-4c45-a443-2530a7dcc1f2,af8157cf-4ecc-434b-a584-f29f7d127fb2,c3,c2,27,?,?,surb={'id': 'fef8050d-454f-486d-9991-f81fca63c557', 'route': ['p2', 'e1', 'i4', 'x12', 'p3', 'c3']}
1769745543.7747753,RECEIVED,a92096b9-4b2b-4567-8100-814813d93653,199681c9-d67e-4fd1-828d-e195cbed9c1a,c1,c3,27,p3,?,surb={'id': 'ab23fca3-50d8-42c2-ad77-0f60777804d1', 'route': ['p3', 'e1', 'i11', 'x3', 'p1', 'c1']}
1769745543.9317088,RECEIVED,b75d8461-e148-4a99-aee3-8c94b02c7aab,39ceaa6d-4920-4efb-ac9f-1f1598d3692f,c2,c3,27,p3,?,surb={'id': '8784cb14-0fd2-4520-9722-578719b1f5b4', 'route': ['p3', 'e2', 'i7', 'x6', 'p2', 'c2']}
1769745543.94715,RECEIVED,e42ac111-2c63-46e3-931a-1e5ff261d019,c8b5b27d-f039-43e9-b99a-1c07c86e32bb,c1,c3,27,p3,?,surb={'id': 'c405916e-a425-4d7e-82dc-bd28d7daca36', 'route': ['p3', 'e7', 'i12', 'x4', 'p1', 'c1']}
1769745544.0875902,RECEIVED,8e666e25-6bb4-458c-9754-01519e47d59f,4b575171-37f3-44e6-97f4-42e4084b1ebc,c1,c3,27,p3,?,surb={'id': '99fb464f-58cd-4086-9028-2334fb6ab286', 'route': ['p3', 'e5', 'i2', 'x6', 'p1', 'c1']}
1769745544.121675,RECEIVED,d99479e5-9aa2-4025-b227-fab612a79199,3cd73a14-8d96-4338-9dd0-478bdee1f777,c2,c3,27,p3,?,surb={'id': '8cb36254-e580-4993-a7c9-34f6fb4b66ae', 'route': ['p3', 'e11', 'i1', 'x11', 'p2', 'c2']}
1769745544.372885,RECEIVED,76d03985-8864-4a10-9cc4-d7f4a77a53ae,11bfad3c-b75d-4e75-8a3a-07c8c69b68cb,c2,c3,26,p3,?,surb={'id': 'bd80d52f-c0ab-4347-9201-c62daa7a6404', 'route': ['p3', 'e8', 'i3', 'x11', 'p2', 'c2']}
1769745544.4908407,SENT,79b68417-eeb4-4994-9d40-0a9e4cc3ae3f,51aa60c5-b853-4ad8-b536-6f0a7ffadf6b,c3,c2,3380,?,p3,
1769745544.490973,CREATED,01ed0fb7-52f7-49f6-bd64-c91bbfb45d33,2f02935f-7c70-4084-ad62-11144172f39b,c3,c2,27,?,?,surb={'id': '9d9ca4e2-b16e-4116-8a21-5c9e6f75df19', 'route': ['p2', 'e5', 'i3', 'x3', 'p3', 'c3']}
1769745544.6302712,RECEIVED,2e221076-bac5-4f70-83a3-2bab2a985879,61d51d11-27f6-483c-890b-7b262c86f9ac,c1,c3,25,p3,?,surb={'id': '7295176e-380f-4af7-a350-0bfbee28b9b6', 'route': ['p3', 'e10', 'i5', 'x1', 'p1', 'c1']}
1769745544.659369,RECEIVED,74e8d869-0831-48d2-bd0f-2890744a0ddf,400357bf-e540-4883-94e4-96a103412793,c1,c3,26,p3,?,surb={'id': '4a783e23-28d6-487b-807b-7fb10ebc4bfa', 'route': ['p3', 'e9', 'i6', 'x2', 'p1', 'c1']}
1769745545.1453207,RECEIVED,cf094b92-a6c3-4e77-8c52-a0651c4eb563,d190d9eb-1f9c-4a89-bc30-cfd1dec7819d,c1,c3,26,p3,?,surb={'id': 'a84895eb-4948-4959-88cf-98495264b2d4', 'route': ['p3', 'e8', 'i11', 'x3', 'p1', 'c1']}
1769745545.1813667,RECEIVED,d7d11ba5-7cc7-497b-a315-47379ba8d47b,ffb6c5cd-0ff7-4729-95e1-3f9b80b594ec,c1,c3,27,p3,?,surb={'id': 'f6221925-7d69-4e3b-95e5-c46859539a69', 'route': ['p3', 'e8', 'i2', 'x3', 'p1', 'c1']}
1769745545.2397182,SENT,a9f8ea10-e869-4379-9225-220933dc7d5a,89504dc7-85a7-45c3-833f-3dbadd6ab2f6,c3,c2,3400,?,p3,
1769745545.239864,CREATED,08a0bec7-525a-4ef2-be05-79f773714009,64fd3ae4-47e2-4e7f-8c6c-ff7ac459a5c0,c3,c2,27,?,?,surb={'id': '046ef964-6dae-485f-85ec-8ca1426eb49f', 'route': ['p2', 'e5', 'i12', 'x11', 'p3', 'c3']}
1769745545.3789728,RECEIVED,1dd889e5-d4c0-4580-880e-814e64c83cc7,f492897f-df4e-4035-bdf3-2fdd9e1974c4,c2,c3,27,p3,?,surb={'id': '7eab6c26-9b0e-4eeb-a69e-c03ba5bd93f8', 'route': ['p3', 'e7', 'i8', 'x4', 'p2', 'c2']}
1769745545.4219706,RECEIVED,84e9a642-50d7-4f95-a453-7d8a0acce433,193f3644-f709-4a2c-b8f8-fe98fc4175de,c2,c3,26,p3,?,surb={'id': 'b66fc0a0-9cbb-4d4f-994f-e561ace950b0', 'route': ['p3', 'e3', 'i7', 'x5', 'p2', 'c2']}
1769745545.5410767,RECEIVED,7a53c53c-24d4-4eda-9f30-7980f32580fd,72e7a7a7-b257-4ee7-baeb-0a223676cb75,c1,c3,27,p3,?,surb={'id': 'a3709bb3-5043-4b0d-8007-464ccc598d18', 'route': ['p3', 'e3', 'i7', 'x9', 'p1', 'c1']}
1769745545.6135795,SENT,01de4cdb-0f3b-4ece-873f-b2cfc5af3eda,905db1c4-9519-4598-a6e4-b556217580b4,c3,c2,3384,?,p3,
1769745545.61365,CREATED,2d3943e6-0a52-41ef-92fc-eb1a378a5d2c,21cd7b43-0e2b-467e-9131-e88b0c345833,c3,c2,27,?,?,surb={'id': 'ea79dece-d868-4be9-a5e1-faa3710e8ad2', 'route': ['p2', 'e9', 'i11', 'x9', 'p3', 'c3']}
1769745545.747745,RECEIVED,a79f8590-d834-49e5-9535-cbca77747e15,af6b8dcc-81fe-4bc5-937f-cdf127cc9ab3,c1,c3,27,p3,?,surb={'id': '5acc77ae-bfb5-4392-8237-afcbf7bb2b0c', 'route': ['p3', 'e8', 'i5', 'x11', 'p1', 'c1']}
1769745545.8649685,RECEIVED,0b095e50-19f9-4f90-a297-979cf1cf4003,4ff48291-54ef-4afa-92c5-42eddce81c01,c2,c3,27,p3,?,surb={'id': 'b63e12ed-75b1-4dbf-bc51-5fb1058e6bcc', 'route': ['p3', 'e11', 'i6', 'x2', 'p2', 'c2']}
1769745546.1488907,RECEIVED,5da84d69-84e6-4245-abdf-f9d30b30e03d,596190d6-1e2d-4830-b3c1-ffed0da0ff3a,c2,c3,27,p3,?,surb={'id': '491d8669-4fd8-465f-ab36-fdf8df15562e', 'route': ['p3', 'e4', 'i3', 'x1', 'p2', 'c2']}
1769745546.2537348,RECEIVED,2ddbf5dc-346d-45fd-8a04-f4d0a89b54e0,9e47bc80-0fe2-4b4a-8a8c-3c05153ff41d,c2,c3,27,p3,?,surb={'id': 'ea0678f9-6a38-4663-ac09-ff51c4f95ea7', 'route': ['p3', 'e11', 'i11', 'x3', 'p2', 'c2']}
1769745546.3276496,SENT,7f5cf344-3049-49ba-bb3b-be093641281d,308fb784-0611-462c-830d-710f6af4eeb2,c3,c2,3376,?,p3,
1769745546.327715,CREATED,2b537531-c0fe-49b2-9c02-d5e25ef7ca4e,cd8baaeb-4e1b-4c85-8652-59de4382170c,c3,c2,27,?,?,surb={'id': '5d8289b2-aa58-47e5-8e13-3c7c2459dcf1', 'route': ['p2', 'e6', 'i9', 'x9', 'p3', 'c3']}
1769745546.3522227,SENT,58019c3e-0145-4853-a6ae-380b10ea8ec6,0fa8f30b-8331-4fe2-9e1a-b5c746c3ed13,c3,c2,3373,?,p3,
1769745546.3522897,CREATED,0ba7ba8a-2b3f-4477-9e20-275c7d3886a4,d19bb99f-cc90-49d6-b014-501421dd7cb8,c3,c2,27,?,?,surb={'id': '620ea731-89d4-489a-bf3a-39a859bcf03a', 'route': ['p2', 'e5', 'i9', 'x2', 'p3', 'c3']}
1769745546.4204218,RECEIVED,6d8fd064-6f4f-4dbf-b03b-f692a084d5b2,805a18ff-e400-4bdc-a003-02f395ad60f1,c1,c3,27,p3,?,surb={'id': '486c7778-152d-43a9-917e-a83db19f7266', 'route': ['p3', 'e6', 'i6', 'x9', 'p1', 'c1']}
1769745546.47966,RECEIVED,2d2342ac-3fe7-4e62-9510-4bb1b27bdb3c,b92e36fe-de99-4254-ae07-eabdf0d3028d,c2,c3,25,p3,?,surb={'id': '723240f2-f428-4e1b-903e-2025509be08a', 'route': ['p3', 'e6', 'i10', 'x5', 'p2', 'c2']}
