timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745451.925425,SENT,7a0d3767-9c13-48d9-a5b3-ae3b278c5ca2,f73ceb09-477f-4ca2-86fe-0c18eec53d7a,c3,c2,3376,?,p3,
1769745451.925789,CREATED,df0e3977-b978-41c2-bdb9-b58e8b9c81f4,99a237a9-738e-4f31-ad5c-fdf5df51ae43,c3,c2,27,?,?,surb={'id': '48ac51b7-4a2a-4389-8389-73acb3b5d665', 'route': ['p2', 'e3', 'i3', 'x1', 'p3', 'c3']}
1769745452.0196607,SENT,9fe1eee8-e972-4923-802b-f3012a7c42a9,58e4abb7-b572-4c81-84a5-7305d1c0160d,c3,c2,3359,?,p3,
1769745452.0197926,CREATED,d0a3cac8-fe83-44da-93bf-c21697f38467,5e60b66e-5aaf-4519-a32f-4b9ab5637cf2,c3,c2,26,?,?,surb={'id': '87920b8b-2da3-423a-82db-ca65a0fa62c5', 'route': ['p2', 'e8', 'i10', 'x5', 'p3', 'c3']}
1769745452.1609602,RECEIVED,43f5be96-b7ff-4762-ae97-f8aa596f8945,6a917b16-8c61-4f3a-8355-c9a3b59420ae,c1,c3,27,p3,?,surb={'id': '5ebabd70-3a77-4cc5-b3fd-5cc62f0f3295', 'route': ['p3', 'e1', 'i9', 'x9', 'p1', 'c1']}
1769745452.2890952,RECEIVED,96efbd9c-e886-4b1e-bf6f-2cc92065983b,2edeb007-1458-4450-a0ea-ed18fd14035f,c1,c3,27,p3,?,surb={'id': 'f5e47b3d-5d66-44f1-a394-928e77b371cc', 'route': ['p3', 'e11', 'i4', 'x9', 'p1', 'c1']}
1769745452.339205,SENT,81ba8524-7760-4e96-9663-393302f94aad,e890d33f-4f21-4dac-a3bf-e8c6602a0151,c3,c2,3397,?,p3,
1769745452.3393393,CREATED,e82c1299-385a-4c6a-9f37-d5b70f02285d,ea239923-bf63-4fae-b865-ee4bbbce4894,c3,c2,27,?,?,surb={'id': 'f7e2c898-49ee-489b-8892-71953abfe66c', 'route': ['p2', 'e9', 'i7', 'x9', 'p3', 'c3']}
1769745452.4432993,RECEIVED,c5674bc1-b8f4-428d-904a-7eea4cf05a91,fb044f04-4823-4c77-a5ab-8dc360332514,c2,c3,27,p3,?,surb={'id': '6003ed39-fd71-4289-b96b-8b0fc291c6b4', 'route': ['p3', 'e11', 'i7', 'x2', 'p2', 'c2']}
1769745452.512894,RECEIVED,495cff24-9442-4513-8fd6-f6e5e4064568,ef81e03f-20d5-4871-87a7-e918607fd9d1,c1,c3,27,p3,?,surb={'id': '2aa842f8-ce8a-4e86-8593-1326ddebe417', 'route': ['p3', 'e8', 'i4', 'x1', 'p1', 'c1']}
