timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745453.0674589,RECEIVED,c9c63007-712c-42f2-87a0-78de5c2d5949,6ecf055d-b5af-4332-bdb5-1920a80336cf,c3,c2,27,p2,?,surb={'id': '4a405a97-c4d5-43a5-b963-08a5f807514f', 'route': ['p2', 'e6', 'i9', 'x10', 'p3', 'c3']}
1769745453.1186244,RECEIVED,b46d8f16-cd6d-4070-881a-3fe42d77a773,a5d87d1b-0fe4-4d45-8541-5bddd7c57c01,c4,c2,27,p2,?,surb={'id': 'cf0eab7f-a75f-45d8-bf3a-920e39d54530', 'route': ['p2', 'e6', 'i12', 'x1', 'p1', 'c4']}
1769745453.348979,RECEIVED,52427f9c-460a-482a-8756-223b6b4be790,b58093e0-cf6c-4c2b-8947-7f580a926d45,c3,c2,27,p2,?,surb={'id': '42aefeba-bab7-4f42-9a5e-c4e32174a571', 'route': ['p2', 'e9', 'i3', 'x7', 'p3', 'c3']}
1769745453.4052103,RECEIVED,80947351-a90b-49ef-8236-09fd1d3597f7,08bac8e3-630a-405f-ac3b-216aea4391ee,c3,c2,27,p2,?,surb={'id': '24493b45-5f9d-403e-ba27-b137c9f536be', 'route': ['p2', 'e4', 'i9', 'x12', 'p3', 'c3']}
1769745453.418714,RECEIVED,fa6aa557-cd5e-4e34-a63f-62a8dbd2e8f4,93962630-7a10-4c0c-8a02-13b67f87cf0e,c5,c2,27,p2,?,surb={'id': '1f313b3a-66ba-4979-9cbd-4166a35f51cc', 'route': ['p2', 'e11', 'i12', 'x10', 'p2', 'c5']}
1769745453.4728208,SENT,a057374e-df9d-40b9-b0d4-bba51ed9032a,c0597549-2641-4291-9c58-b58c64aa5311,c2,c3,3392,?,p2,
1769745453.4729543,CREATED,8f7b463e-68d9-4377-8670-fd27d0f6e95e,4947e195-ae91-44a3-9cbf-86168f5569a9,c2,c3,27,?,?,surb={'id': 'c36e821a-aa66-4e84-8a74-6aacc9113efb', 'route': ['p3', 'e11', 'i5', 'x11', 'p2', 'c2']}
1769745453.695307,RECEIVED,cf23d2cf-4a31-4b12-b79d-772495bfdf39,60103ecf-b837-46ad-a534-1786dac0eaff,c5,c2,27,p2,?,surb={'id': '8ed11b05-04a0-4062-ac8d-f4bbd8659e08', 'route': ['p2', 'e2', 'i8', 'x11', 'p2', 'c5']}
1769745453.7337828,RECEIVED,df0e3977-b978-41c2-bdb9-b58e8b9c81f4,99a237a9-738e-4f31-ad5c-fdf5df51ae43,c3,c2,27,p2,?,surb={'id': '48ac51b7-4a2a-4389-8389-73acb3b5d665', 'route': ['p2', 'e3', 'i3', 'x1', 'p3', 'c3']}
1769745453.7424722,SENT,75d7b92c-8586-4e76-8626-aad0a433bd18,79c3ad25-ef84-437f-a9d9-9c729dea0651,c2,c3,3379,?,p2,
