timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391953.1586823,SENT,871eb55a-925d-4137-a780-0836887c1347,fbc7ba33-67d9-4f87-bbba-e51d55224ac3,c2,c5,3367,?,p2,
1769391953.1588402,CREATED,072e5f72-82aa-459a-af1c-8811848a9527,6fa54d43-3766-4ad5-b797-35922fb393fb,c2,c5,27,?,?,surb={'id': 'db5369ff-9d7e-4c70-b235-946e50d00a1e', 'route': ['p2', 'e3', 'i2', 'x8', 'p2', 'c2']}
1769391953.1792688,SENT,6fedc067-dff6-4d5e-a009-621ac9ebd436,ae979420-ecb8-4765-81a4-26d50132932a,c2,c5,3380,?,p2,
1769391953.179418,CREATED,7bebeed9-15df-4872-9c11-c1fad93affbf,51e89f4e-7d1a-48e0-9593-a4464ce261b3,c2,c5,27,?,?,surb={'id': '7e094f90-7ecf-4117-b4fe-f62d1f3617d9', 'route': ['p2', 'e5', 'i3', 'x1', 'p2', 'c2']}
1769391953.5576327,SENT,a5065c98-c0d1-48aa-a0fb-87aed40d8ac5,ad1d9abf-f910-468c-8bd8-070794514725,c2,c5,3387,?,p2,
1769391953.5577857,CREATED,5ebaa157-9d17-46c9-a10b-df449ce37d0e,f58c62f4-a92f-4d06-b6fb-22bad4f0c6b0,c2,c5,26,?,?,surb={'id': '11a4426c-5254-4645-80be-bbec97fc8bb6', 'route': ['p2', 'e8', 'i12', 'x11', 'p2', 'c2']}
1769391954.16723,SENT,45c3e66c-1733-480d-bc61-f55ecd523d89,a32cf01f-e65e-4296-b611-ea29f508414b,c2,c5,3376,?,p2,
1769391954.1673763,CREATED,a87c2f5b-6b48-4b21-8f55-d5a619372dd4,e10f4a35-04f8-4f6d-a950-1cf5f2d2a6bd,c2,c5,27,?,?,surb={'id': 'c311eab9-9c7f-4b70-9263-f391c42a2940', 'route': ['p2', 'e7', 'i1', 'x8', 'p2', 'c2']}
1769391954.3802974,SENT,01da0f1f-96ad-47e6-a7e1-6a9b78048e89,af400ace-8916-4e94-b1df-c474b1fbbef5,c2,c5,3359,?,p2,
1769391954.380443,CREATED,4fa3ffe5-d8a9-438d-8544-10cf4fe729b4,0ec6350c-c63e-42b7-8b3d-a2f0bb2395fe,c2,c5,27,?,?,surb={'id': '58636286-0a5d-4f49-b788-848a1dfe59f5', 'route': ['p2', 'e12', 'i5', 'x12', 'p2', 'c2']}
1769391954.9387054,RECEIVED,a6728b50-b7f0-483a-b204-2e6a972c99fa,40d9a94d-8292-4fb6-a9bc-7065edd1dbdb,c4,c2,27,p2,?,surb={'id': 'f828c6f8-d626-4de5-a5c8-d97ec7c680fa', 'route': ['p2', 'e3', 'i5', 'x2', 'p1', 'c4']}
1769391954.970491,SENT,260039c4-1355-4d1c-a936-4acad7da411e,7c190303-127d-4d31-8dc6-c9af24c50d27,c2,c5,3377,?,p2,
1769391954.9706402,CREATED,2fa0431e-96b0-4e54-ba14-a09a47052ebc,5602719d-6615-4cde-9f92-913c971cccf1,c2,c5,27,?,?,surb={'id': '4c075098-d1a3-4657-a614-e36c0651829b', 'route': ['p2', 'e8', 'i2', 'x11', 'p2', 'c2']}
1769391955.046262,SENT,573ebe8a-d9d8-40c4-861e-cc13f31e4ddb,4be36e0f-b05c-4112-a248-2ab74eea6326,c2,DROP,2021,?,p2,
