timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391956.4116788,SENT,173e0747-8058-41b8-b493-c65e26332752,f114bf48-e511-4086-bd41-0213a687dfe5,c5,c4,3392,?,p2,
1769391956.4118176,CREATED,5ae7cd49-367c-4c9c-8627-6aa5e506460f,5756f448-c6c3-4189-95ce-ad9598facd3e,c5,c4,27,?,?,surb={'id': '7e55f861-31d9-416e-9406-b0163328e257', 'route': ['p1', 'e10', 'i4', 'x1', 'p2', 'c5']}
1769391956.9847243,SENT,6247df7b-51f2-44e0-b0b6-94432c3d9255,bb340ea4-8cb6-43b5-b10e-33c64007bd4c,c5,c4,3363,?,p2,
1769391956.9848917,CREATED,b8591600-cb51-4f06-a865-40bf84eab358,4c36053e-dac8-4aeb-b8ca-1514d4e73048,c5,c4,26,?,?,surb={'id': '85be86dc-4da7-4f35-a8c9-5e78fe82db39', 'route': ['p1', 'e6', 'i12', 'x5', 'p2', 'c5']}
1769391957.0096262,RECEIVED,072e5f72-82aa-459a-af1c-8811848a9527,6fa54d43-3766-4ad5-b797-35922fb393fb,c2,c5,27,p2,?,surb={'id': 'db5369ff-9d7e-4c70-b235-946e50d00a1e', 'route': ['p2', 'e3', 'i2', 'x8', 'p2', 'c2']}
1769391957.3967986,SENT,dc3ccf9e-79ad-42d5-94dc-efbe308d3861,2ad16024-9110-4b1d-a777-1ec287a63304,c5,c4,3375,?,p2,
1769391957.3969498,CREATED,c37b603e-d342-44e5-903b-4a0a2269cd7c,b294e39a-a28c-4bb0-9e7a-e631796c134d,c5,c4,26,?,?,surb={'id': '9d7bd0e2-3317-45de-b2b8-92992d92fab8', 'route': ['p1', 'e8', 'i9', 'x8', 'p2', 'c5']}
1769391957.752745,RECEIVED,8fa30646-f0f6-4be4-90bf-ca19670094e8,3ac11af2-e940-4272-a7cf-bf2e96213fda,c1,c5,26,p2,?,surb={'id': 'f447d083-c601-47c6-a04f-cfc1c16fe257', 'route': ['p2', 'e7', 'i3', 'x9', 'p1', 'c1']}
1769391958.0622292,RECEIVED,2e4e390f-3526-4a22-8296-8844072dad46,562b5ffa-fd84-46eb-974a-2220b07fefde,c1,c5,27,p2,?,surb={'id': 'dacc009f-c274-4299-bad0-e09d4a95772d', 'route': ['p2', 'e1', 'i2', 'x12', 'p1', 'c1']}
1769391958.3285797,RECEIVED,4fa3ffe5-d8a9-438d-8544-10cf4fe729b4,0ec6350c-c63e-42b7-8b3d-a2f0bb2395fe,c2,c5,27,p2,?,surb={'id': '58636286-0a5d-4f49-b788-848a1dfe59f5', 'route': ['p2', 'e12', 'i5', 'x12', 'p2', 'c2']}
