timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391952.5821116,SENT,7f45edc9-7b52-4c80-9122-c3b9d3134803,77bf380c-da46-4b19-8fdd-de947c0448df,c1,DROP,2015,?,p1,
1769391952.5822566,CREATED,ff65168c-ad92-4459-90ed-0906a30a8d6c,1a79f612-9c6b-4480-8e0d-2d20b74dc816,c1,DROP,26,?,?,
1769391952.908414,SENT,94016538-84f7-4763-bd59-c092035f5806,970d9d33-1ebd-41cb-884d-129e8d9257a9,c1,c5,3388,?,p1,
1769391952.9093819,CREATED,3573a929-2119-4ada-88f7-98bad62c40d5,11b8f7fc-b8f7-40f1-9929-bf9852146085,c1,c5,27,?,?,surb={'id': '45abf199-af6c-4a80-b572-78ab9a1feb08', 'route': ['p2', 'e5', 'i6', 'x11', 'p1', 'c1']}
1769391953.1108491,SENT,a0d7f8de-246b-4dd6-aaec-0e28d4820111,df9cb855-4d1c-49f6-bdcb-7d443223e196,c1,c5,3397,?,p1,
1769391953.1109967,CREATED,e503d90e-5034-4a01-b9cb-97e723684a23,7cd76820-3a78-44bf-8689-f8091dcaac1c,c1,c5,27,?,?,surb={'id': '7167b994-f39a-412c-afcb-cc22aa88c93c', 'route': ['p2', 'e7', 'i12', 'x8', 'p1', 'c1']}
1769391954.1036417,SENT,5124f6c6-551f-4842-9049-cc92a56004fb,39d3068a-5d11-472d-bc29-d8cb2b940f1a,c1,c5,3375,?,p1,
1769391954.1037893,CREATED,f8d88067-cd00-471c-867f-75a601f896e0,22ce9942-21cc-4b28-a930-8ecb8ae75bfc,c1,c5,26,?,?,surb={'id': 'd20a5756-4a1e-413e-8be3-248150760cc9', 'route': ['p2', 'e9', 'i8', 'x1', 'p1', 'c1']}
1769391954.6747952,SENT,b90020c1-bcaf-4665-8385-b5cecbc6ab2d,fad8148c-cdaa-41a3-a20e-c667362da721,c1,c5,3378,?,p1,
1769391954.6749456,CREATED,4b2a413a-b6ae-47ef-9b5f-932992af9031,62b5a4ab-4e29-4810-bab3-fa06118c7e84,c1,c5,27,?,?,surb={'id': '6c19ec3a-5927-4c2f-a65e-5e611f6eb8ba', 'route': ['p2', 'e11', 'i10', 'x9', 'p1', 'c1']}
1769391954.8155613,SENT,6c8826e1-4817-4726-a04f-932c79188820,4bdd37b2-64b1-4bec-9f5f-e27ddf35fa4c,c1,c5,3373,?,p1,
1769391954.815709,CREATED,db2c9226-d5c8-4cc5-89c2-fd0c3093a73c,cf64857c-ca36-49cc-8556-cf31c682522f,c1,c5,26,?,?,surb={'id': 'cbf24156-b5f9-4092-8e06-066951cfdad2', 'route': ['p2', 'e3', 'i3', 'x6', 'p1', 'c1']}
1769391954.8329027,SENT,4c67c107-7086-4461-b904-0ff100e3ce39,0ee6f00f-c2d1-4738-a5fc-8b8320a1e51b,c1,c5,3388,?,p1,
1769391954.8330822,CREATED,f8d3bccd-419b-4af0-91a8-fe1c9455a844,e1424622-c934-4419-8cb0-cbebf12419fc,c1,c5,27,?,?,surb={'id': '98f54547-cd24-4124-a698-3c96ea5795f0', 'route': ['p2', 'e8', 'i2', 'x1', 'p1', 'c1']}
1769391955.006635,SENT,29a045c5-749a-47e8-aad0-0284bb1645ba,23380e87-d9dd-469d-883c-0a2328c61cdb,c1,c5,3402,?,p1,
1769391955.0067894,CREATED,e0db22dc-62a2-4f6f-b6f9-27b84537771b,793b71e6-3d6a-4cb1-8ee6-b3f5deb02b12,c1,c5,27,?,?,surb={'id': '6b27d81d-c78a-4ab6-9c5d-a13f9d38f087', 'route': ['p2', 'e7', 'i10', 'x2', 'p1', 'c1']}
1769391955.037814,SENT,dbcdbd6e-027f-4ff1-84b9-593e215c4910,e75cc34b-4351-4dcb-ad1d-9a055f3b207a,c1,c5,3364,?,p1,
1769391955.037962,CREATED,a09c2736-c087-481f-8d4d-b34a752d0854,363b05d8-6f05-4fd0-94b0-cca352593dcb,c1,c5,27,?,?,surb={'id': 'f624f281-8d63-4f71-a1b5-99b02d7b3cd8', 'route': ['p2', 'e8', 'i8', 'x10', 'p1', 'c1']}
1769391955.1394956,SENT,95a1f186-1a38-4ebd-9866-fd8184d67471,9327565c-2fc2-4bb8-8399-f94177aeab3f,c1,c5,3359,?,p1,
1769391955.1396408,CREATED,3fdee8b4-49f3-416a-ae3d-bfadcb2ba300,749c8cfc-b27a-4c8f-b5e0-f9ab3321305b,c1,c5,26,?,?,surb={'id': '2716b380-19b0-4bee-9ddd-4944a43696c8', 'route': ['p2', 'e2', 'i2', 'x8', 'p1', 'c1']}
1769391955.5574994,SENT,8979fd1c-f168-4054-b99a-12ca70d13839,205437eb-eb40-499c-91cd-60cfb2fafd3c,c1,c5,3381,?,p1,
1769391955.5576267,CREATED,1a95e2eb-0150-4c45-af12-80edba37039a,79e41371-74ec-4961-b6de-bd39172d8cc6,c1,c5,27,?,?,surb={'id': '928e3326-d068-4646-867c-53d3f2731dc5', 'route': ['p2', 'e2', 'i5', 'x8', 'p1', 'c1']}
1769391955.708673,SENT,8eba8207-5ddf-4f72-b453-3e941f1a6ed3,865ccd51-6aff-4920-a460-e73696bbc454,c1,c5,3373,?,p1,
1769391955.708801,CREATED,5f775d90-6aec-481a-a529-2b377cff3815,08e861e6-d308-4958-b2a5-c1e738083ad5,c1,c5,26,?,?,surb={'id': '4404f653-e3af-4ffb-9ce7-c06a77f1a3e1', 'route': ['p2', 'e8', 'i8', 'x11', 'p1', 'c1']}
1769391955.9533844,SENT,5ad8cb22-4dbe-40a6-b6ef-90fb3167d566,7402879b-4295-477e-abb0-ad00d2b9b359,c1,c5,3359,?,p1,
1769391955.9535232,CREATED,8fa30646-f0f6-4be4-90bf-ca19670094e8,3ac11af2-e940-4272-a7cf-bf2e96213fda,c1,c5,26,?,?,surb={'id': 'f447d083-c601-47c6-a04f-cfc1c16fe257', 'route': ['p2', 'e7', 'i3', 'x9', 'p1', 'c1']}
1769391956.0335934,SENT,1cf06c91-ccab-4023-b7af-8c42f72ca118,f3337430-1517-4f1f-870a-aa1daa7c073d,c1,c5,3361,?,p1,
1769391956.0337431,CREATED,2e4e390f-3526-4a22-8296-8844072dad46,562b5ffa-fd84-46eb-974a-2220b07fefde,c1,c5,27,?,?,surb={'id': 'dacc009f-c274-4299-bad0-e09d4a95772d', 'route': ['p2', 'e1', 'i2', 'x12', 'p1', 'c1']}
1769391956.2068973,SENT,975c2656-9bc0-4fd6-8791-1c6497541ac1,34661d40-f02d-45e4-aa42-d36c3fbd6b88,c1,DROP,2020,?,p1,
