timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769762720.6069517,SENT,230a2096-0f0e-46fb-a863-02423f7c6b83,2b03ce95-a799-4a79-8e6f-944dc02536ec,c5,DROP,2018,?,p2,
1769762720.6071339,CREATED,b5e9b7a6-cf70-47a6-b54b-c652e3345627,b8a072bb-451e-4a5b-8860-feb88497804b,c5,DROP,27,?,?,
1769762720.7005687,SENT,60318cbe-bdff-4e37-bbde-6bebfb858383,b6181ef5-0d7a-435c-92c9-a760744881bb,c5,DROP,2035,?,p2,
1769762720.700703,CREATED,3617f27e-4ec4-4a5f-af47-b96cf8e30ade,f4f3a6e4-0edb-4de3-babc-89465d75aace,c5,DROP,26,?,?,
1769762720.8332617,SENT,4acbdff4-6204-48b6-993a-c2563a0c995a,1d358356-7bfd-43ee-9c02-c901ce37718f,c5,DROP,2032,?,p2,
1769762720.833382,CREATED,3fb25ad8-9569-4d64-900e-17e423ab9423,f91bfaec-701b-40d2-9afa-847750683996,c5,DROP,26,?,?,
1769762721.3796213,SENT,cb3189f6-c29b-492c-a3e8-b513b911cc46,d2478c3b-c271-451e-8514-95b75d11dca0,c5,c4,3372,?,p2,
1769762721.3797731,CREATED,bffb40ff-e95b-4d93-a10d-4e838c22b024,65052f82-0996-4169-852c-85737802735a,c5,c4,26,?,?,surb={'id': 'b6c5d059-7725-4f43-b7da-d29f6f96b2a8', 'route': ['p1', 'e9', 'i10', 'x6', 'p2', 'c5']}
1769762721.4795215,SENT,5a48c2a2-a03f-4e32-9e2a-49450c4588d9,412ba779-77f4-4a10-8633-eeb9088a2653,c5,c4,3375,?,p2,
1769762721.4799998,CREATED,94b632d7-f194-4a90-924b-aa64641728e3,65052f82-0996-4169-852c-85737802735a,c5,c4,26,?,?,surb={'id': 'b6c5d059-7725-4f43-b7da-d29f6f96b2a8', 'route': ['p1', 'e9', 'i10', 'x6', 'p2', 'c5']}
1769762721.955566,SENT,cf858b47-e5b0-4e2e-822f-dc1eb898fa14,230558ac-1543-4c00-82b6-c237c4a4bc17,c5,c4,3385,?,p2,
1769762721.955709,CREATED,0d655030-0f83-45b0-b998-014ec62fcbb6,1042f2ac-aed1-4add-8248-724878aa8976,c5,c4,27,?,?,surb={'id': '4f5b5fc3-89e8-4f84-9890-6b00db93754e', 'route': ['p1', 'e5', 'i7', 'x6', 'p2', 'c5']}
1769762722.251697,RECEIVED,3c95fdb8-0cde-450d-83d6-1f0a70af1d8e,dc401720-3f0c-4656-922e-8561173e0a92,c4,c5,27,p2,?,surb={'id': '23098c77-a744-41ec-b228-f78e80378508', 'route': ['p2', 'e12', 'i12', 'x6', 'p1', 'c4']}
1769762722.4932985,SENT,3d3687bb-4d1a-499a-9e14-da515f99ec26,dfe7d59f-b53e-46cd-b05f-c9645f73420e,c5,c4,3400,?,p2,
1769762722.493446,CREATED,10cee574-9850-4ac4-831d-8bb74b18f47e,1042f2ac-aed1-4add-8248-724878aa8976,c5,c4,27,?,?,surb={'id': '4f5b5fc3-89e8-4f84-9890-6b00db93754e', 'route': ['p1', 'e5', 'i7', 'x6', 'p2', 'c5']}
1769762722.6158836,SENT,58114eb9-2f27-4ba1-be14-d12c76718186,f6f2cfec-cd49-4415-996b-f6d41ed30753,c5,c4,3387,?,p2,
1769762722.616034,CREATED,9408642a-18ff-4b48-8914-bfd5052049b9,d11fd6bd-d847-4d85-b4a1-d8b466172fbe,c5,c4,26,?,?,surb={'id': '569dc62c-5e7b-4d85-b753-85828b7d458f', 'route': ['p1', 'e12', 'i2', 'x4', 'p2', 'c5']}
1769762722.8871763,RECEIVED,7f29f9d0-0ac4-4da9-9ab4-105d17e3bfa2,408efb64-ad27-4e22-aad3-5c7c0c295db5,c1,c5,26,p2,?,surb={'id': 'a856091a-dcb4-40d2-81b0-79013e7e519d', 'route': ['p2', 'e3', 'i8', 'x7', 'p1', 'c1']}
