timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769762726.171012,CREATED,6640ba67-c4ab-4f0d-b4be-7af4edeb5ec0,7a17f5f8-5cfb-4136-aae3-cad2dde76d7d,c3,c2,27,?,?,surb={'id': '707dedd3-c330-4290-80af-6bbea1f80642', 'route': ['p2', 'e11', 'i8', 'x12', 'p3', 'c3']}
1769762726.2323418,RECEIVED,e05c08d5-c50c-4fdf-a1fa-e178c4c4f514,09733c2a-14c3-449f-bf77-e32df7fc1034,c2,c3,27,p3,?,surb={'id': '7244af4e-4d89-4b8d-bc57-34be76af3b41', 'route': ['p3', 'e12', 'i6', 'x11', 'p2', 'c2']}
1769762726.4870758,RECEIVED,bcab7ba2-a667-48b0-954a-1f876010219b,a2460bba-11a6-4a67-bb90-65e66b954925,c2,c3,27,p3,?,surb={'id': '5711f97f-23f6-4550-8911-dcdf30bf26b5', 'route': ['p3', 'e8', 'i10', 'x2', 'p2', 'c2']}
1769762726.5054123,RECEIVED,6ca9cc3d-3d4c-45bd-9110-fd056afabbcc,a2460bba-11a6-4a67-bb90-65e66b954925,c2,c3,27,p3,?,surb={'id': '5711f97f-23f6-4550-8911-dcdf30bf26b5', 'route': ['p3', 'e8', 'i10', 'x2', 'p2', 'c2']}
1769762726.7267625,SENT,15837367-b26c-448a-b6e1-5d253c362186,13adaae3-978b-46e0-9d0c-23f1ce88f5d8,c3,c2,3388,?,p3,
1769762726.7269144,CREATED,313c1f8e-26f8-4607-848d-31a956d1c62a,4b7a9133-54bb-41ca-bd7d-51654dd92638,c3,c2,27,?,?,surb={'id': '1d968048-fd15-4781-a474-d586f5724121', 'route': ['p2', 'e4', 'i11', 'x9', 'p3', 'c3']}
1769762727.1194642,SENT,fd75bc02-4240-44ce-ab30-bcdb4af67387,8fcd4457-a0f5-425b-b61e-24860989493e,c3,c2,3400,?,p3,
1769762727.1195996,CREATED,59c2c331-0fc9-4270-919c-56fc5f8360a8,4b7a9133-54bb-41ca-bd7d-51654dd92638,c3,c2,27,?,?,surb={'id': '1d968048-fd15-4781-a474-d586f5724121', 'route': ['p2', 'e4', 'i11', 'x9', 'p3', 'c3']}
1769762727.1546412,SENT,d002e78f-e7b1-4722-b1f6-de81873114b9,e842328f-91fc-4826-88fc-d515f5ea4fc0,c3,c2,3375,?,p3,
1769762727.1556804,CREATED,11035531-6c0f-401b-8e62-70bab209e9c2,c1055ed2-48f5-4c09-bd22-2a20e8671df9,c3,c2,27,?,?,surb={'id': '9af10733-abb5-4533-947d-7ed64a7bb78f', 'route': ['p2', 'e11', 'i4', 'x4', 'p3', 'c3']}
