timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769762720.4296117,SENT,c15a4702-a02e-4c5d-ae7d-d09514515001,0485589f-e659-4b63-a278-18fa85fb127b,c4,DROP,2015,?,p1,
1769762720.4297557,CREATED,c9c29392-4830-457b-adcd-993e9fef519a,39eee6c5-cbae-42f5-a591-ae8c0a13bc66,c4,DROP,27,?,?,
1769762720.8689413,SENT,9461ffc5-dde1-46f4-ae02-802f499e61b8,aee9842d-cd38-438a-a92e-a8503b9d512c,c4,c5,3387,?,p1,
1769762720.8691185,CREATED,d817e99b-8e8e-49a1-8af2-57897387af8c,278dff3c-c10e-40a7-801b-313613585d75,c4,c5,27,?,?,surb={'id': '650d8db6-a523-4080-be1e-a87c41b3f0a9', 'route': ['p2', 'e6', 'i10', 'x7', 'p1', 'c4']}
1769762721.0643897,SENT,3d484c9d-6823-4aae-9136-37181d0a5c97,5a509a71-27c6-4e37-a5eb-8050deb4f479,c4,c5,3393,?,p1,
1769762721.0645397,CREATED,353fde10-f06a-4ea7-a786-a9fd4cc7ab3f,278dff3c-c10e-40a7-801b-313613585d75,c4,c5,27,?,?,surb={'id': '650d8db6-a523-4080-be1e-a87c41b3f0a9', 'route': ['p2', 'e6', 'i10', 'x7', 'p1', 'c4']}
1769762721.1247976,SENT,db3cb7de-1aa5-455d-ad24-e60576c2fda2,9537a0a8-31a4-40b2-b73b-eb1fbcdd70d1,c4,c5,3395,?,p1,
1769762721.1249304,CREATED,7f6d0133-f1fa-4b1b-a209-9afe25dc4d4f,dc401720-3f0c-4656-922e-8561173e0a92,c4,c5,27,?,?,surb={'id': '23098c77-a744-41ec-b228-f78e80378508', 'route': ['p2', 'e12', 'i12', 'x6', 'p1', 'c4']}
1769762721.153314,SENT,9a0399c0-e03e-4dc2-aacd-992063e34149,004ea1a8-e1bf-4282-b6f3-eab2e076f4a3,c4,c5,3382,?,p1,
1769762721.1534476,CREATED,3c95fdb8-0cde-450d-83d6-1f0a70af1d8e,dc401720-3f0c-4656-922e-8561173e0a92,c4,c5,27,?,?,surb={'id': '23098c77-a744-41ec-b228-f78e80378508', 'route': ['p2', 'e12', 'i12', 'x6', 'p1', 'c4']}
1769762721.741598,SENT,5345100b-8879-44e6-9581-7e58401996fe,c3ddd0f7-ad57-4913-a3ae-90884cc1c4bb,c4,c5,3363,?,p1,
1769762721.741729,CREATED,9b04a500-51dd-4dd2-8c7b-72dad86a7b95,815145b5-d9d9-4cda-aab4-1412b80250e7,c4,c5,26,?,?,surb={'id': 'a2e221fd-3f49-4d9d-8ee8-2dca831a342e', 'route': ['p2', 'e10', 'i2', 'x4', 'p1', 'c4']}
1769762721.8577275,SENT,83448c2d-edc4-462c-9520-7da4c55b899b,ba936ff8-1c74-4ddf-a281-419e2e3c70e4,c4,c5,3368,?,p1,
1769762721.8578568,CREATED,8a84d2e1-ae24-423f-9e31-fb9d05c12b82,815145b5-d9d9-4cda-aab4-1412b80250e7,c4,c5,26,?,?,surb={'id': 'a2e221fd-3f49-4d9d-8ee8-2dca831a342e', 'route': ['p2', 'e10', 'i2', 'x4', 'p1', 'c4']}
1769762722.6719892,SENT,87d56a23-43c9-4509-80df-a8c14aae4d02,40cd4b24-a5ed-4a05-b903-b6c78c8712cf,c4,c5,3383,?,p1,
1769762722.6721685,CREATED,78c1931a-359a-4990-918f-c4a5886ee7f3,d86b7454-d6b5-4eb3-a4b9-4e40ca92d8dd,c4,c5,27,?,?,surb={'id': '2cda63f4-c711-48d4-af67-f07b5c0b59bf', 'route': ['p2', 'e2', 'i11', 'x8', 'p1', 'c4']}
1769762722.7966824,SENT,a4d1d6df-21a1-40f1-ac72-2154b1ac5871,691d56d5-d468-482c-adcb-f142542ec293,c4,c5,3388,?,p1,
