link,llr,obs_count,rate
c4->p1,28.18759364935042,13327,21.967965373240474
p1->c4,18.977173959345716,9793,16.14258909733203
p3->e11,10.139853778048991,469,0.773090399943707
x2->p1,9.372358975910885,1082,1.7835475751366545
p3->e6,8.824969483904393,480,0.791222584164135
p3->e9,7.034861921562101,454,0.7483646941885778
i2->x10,6.767563232245016,306,0.5044043974046362
p3->e4,6.523695847033891,452,0.7450679334212272
x5->p1,6.4115196427739845,1049,1.7291510224753701
e6->i3,6.3543835766737855,286,0.47143678973113046
x10->p3,5.603999529878308,203,0.3346212178860821
x12->p1,5.579252320624319,1042,1.7176123597896433
i7->x4,5.4097589649646975,286,0.47143678973113046
e3->i2,5.237761107402848,262,0.43187566052292375
p3->e12,5.1696425953778675,481,0.7928709645478104
i5->x8,5.142616358096945,300,0.4945141151025844
i1->x8,4.98555414267927,313,0.5159430600903631
p3->e5,4.898360701371601,450,0.7417711726538766
p3->e2,4.8865067343425,485,0.7994644860825115
p3->e3,4.411645541309709,468,0.7714420195600317
p3->e8,4.39597513527643,470,0.7747387803273823
e5->i2,4.340788935422865,288,0.47473355049848104
e9->i1,4.2619724252525435,272,0.44835946435967655
i2->x12,4.166523009221158,259,0.4269305193718979
i3->x1,4.004097496551663,263,0.433524040906599
i3->x8,3.975717742360624,280,0.46154650742907877
i6->x5,3.9466371811899643,283,0.4664916485801046
e6->i10,3.705871522676648,272,0.44835946435967655
i8->x5,3.609456737265041,300,0.4945141151025844
e4->i8,3.5958393096873777,295,0.486272213184208
i3->x4,3.4887001451825963,284,0.46814002896377993
i12->x12,3.435798787603532,302,0.497810875869935
i8->x7,3.3884674085792694,297,0.4895689739515586
e7->i2,3.3273278919017635,303,0.49945925625361026
e6->i1,3.31880424572873,261,0.43022728013924844
e3->i5,3.285372611786131,311,0.5126462993230125
e11->i5,3.274210560330956,275,0.4533046055107024
i4->x2,3.227648826903536,266,0.43846918205762486
i7->x12,3.184225840096464,291,0.4796786916495069
e6->i4,3.092283530254229,281,0.4631948878127541
i1->x6,3.088496463308018,316,0.5208882012413889
i2->x9,2.9343935885228616,292,0.48132707203318215
i3->x9,2.9342906616348845,280,0.46154650742907877
i4->x12,2.8059778769489983,276,0.45495298589437766
e6->i12,2.7995196481772506,280,0.46154650742907877
e11->i6,2.743116631452046,266,0.43846918205762486
e4->i5,2.739496568224647,296,0.4879205935678833
x4->x12,2.728429611494776,32,0.05274817227760901
e2->i3,2.5353410928307127,277,0.4566013662780529
x10->i3,2.5076336003585693,26,0.04285788997555732
x1->i6,2.4942951128548394,38,0.06263845457966069
x4->e5,2.46321935301199,34,0.05604493304495957
e2->i2,2.4511118043550137,302,0.497810875869935
x4->p3,2.443495252425649,188,0.3098955121309529
e5->i4,2.421374083460604,290,0.4780303112658316
e4->i6,2.395189078158528,317,0.5225365816250642
i4->x10,2.3764254661184427,271,0.44671108397600123
e1->i1,2.326108667961665,314,0.5175914404740384
i6->x9,2.2960747761299656,279,0.4598981270454035
i10->x10,2.2941583403694032,289,0.4763819308821563
e11->i7,2.2611846355409657,288,0.47473355049848104
i9->x8,2.2430245582587442,261,0.43022728013924844
e12->i2,2.2310073844515133,290,0.4780303112658316
x5->p3,2.121150711087715,179,0.29506008867787537
e9->i2,2.1029989614361373,284,0.46814002896377993
i5->x7,2.0103890250997942,259,0.4269305193718979
e7->i12,2.0087516258467017,278,0.45824974666172824
i3->x2,1.9942316102380282,300,0.4945141151025844
i2->x7,1.9318503501641375,293,0.48297545241685746
i3->x7,1.9297373823656425,276,0.45495298589437766
e8->i4,1.9282459771102722,264,0.4351724212902743
i2->x1,1.918911770338818,296,0.4879205935678833
p3->e7,1.9168970859813959,454,0.7483646941885778
e6->i8,1.8373878126879797,299,0.49286573471890915
