timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458072.383124,RECEIVED,00e30487-913c-4f20-9760-b16544e37daa,46764f7b-1bc9-4599-a5c5-95a16794f2b3,c4,c1,27,p1,?,surb={'id': '1065c151-f5d4-4a56-bd45-bc28a0f763c4', 'route': ['p1', 'e3', 'i11', 'x9', 'p1', 'c4']}
1769458072.3913927,SENT,e181fe11-bd4e-4f8d-9bab-fdefeffd618a,ecfcdd03-a69b-4424-9278-e7aa951e3d54,c1,c5,3385,?,p1,
1769458072.3915315,CREATED,24be5b07-d802-422e-acfc-8d1ed07e6007,322d5fd1-096d-4ace-ab24-b09d7eee77f5,c1,c5,27,?,?,surb={'id': '4fe6b9d9-b3a7-438c-814d-2d5d80750a1c', 'route': ['p2', 'e3', 'i7', 'x5', 'p1', 'c1']}
1769458072.3928046,RECEIVED,7db74755-06c4-421e-b5eb-5ff6a1d46e48,77310d4c-81ea-45da-9503-1fcf69c662fd,c4,c1,27,p1,?,surb={'id': 'e0620eb8-0137-42ac-9bc5-d301cadb1c8b', 'route': ['p1', 'e1', 'i2', 'x2', 'p1', 'c4']}
1769458072.6587777,RECEIVED,f6e82611-6ec8-4d49-bc3a-205fb9a0257f,e99977bb-9f58-47ff-bbf4-bbc1c9a818d2,c2,c1,27,p1,?,surb={'id': 'cae55513-e65a-4824-a7e8-dbc68a35bfc2', 'route': ['p1', 'e1', 'i10', 'x12', 'p2', 'c2']}
1769458072.794807,RECEIVED,1be5b115-5431-46b0-8f33-fde416bdf41e,d9134f5b-73f0-42d5-a3cf-e537892b0a31,c4,c1,27,p1,?,surb={'id': 'ac1a9afb-6849-4d67-9f00-15b6cf59d1f9', 'route': ['p1', 'e9', 'i12', 'x10', 'p1', 'c4']}
1769458073.23273,RECEIVED,7dfba506-a6ae-4f33-8902-71f5dc473381,eab84cd1-8328-4592-ab37-6b0cf20f7415,c4,c1,27,p1,?,surb={'id': 'f70b8c3b-40af-4c32-977e-e794cb9199ed', 'route': ['p1', 'e6', 'i5', 'x8', 'p1', 'c4']}
1769458073.4187613,SENT,45849ca9-fdbd-438d-ac85-a55fe3026d52,74e798a6-8a34-4bbc-8c21-4f58d933962a,c1,c5,3377,?,p1,
1769458073.4188964,CREATED,5c75c604-c3e3-46e4-98d5-ab8eb1cc589f,6d9d74e0-cf8f-4c7c-8681-a31dba19b3b1,c1,c5,27,?,?,surb={'id': '7c1544f6-901a-4d04-aa86-86dff6107c69', 'route': ['p2', 'e7', 'i4', 'x6', 'p1', 'c1']}
1769458073.6629233,RECEIVED,c258dc4f-25cd-4bd3-a193-60ef8e46f282,2e0fdc0a-1c97-4737-b1ca-1498b7a9f8ce,c4,c1,26,p1,?,surb={'id': 'f0cc64ce-4dba-47be-b7f1-0690ad9c049b', 'route': ['p1', 'e5', 'i9', 'x1', 'p1', 'c4']}
1769458073.7257679,RECEIVED,6df8570a-e71a-4e82-9094-72e9c240a76f,c3ff2748-eebc-4457-a2f7-3b74e263d1b0,c2,c1,26,p1,?,surb={'id': 'f288a5a7-aecc-4232-bc1a-a43f41e77d2d', 'route': ['p1', 'e4', 'i11', 'x10', 'p2', 'c2']}
1769458073.7301164,RECEIVED,f9e6ecd7-e9f7-4f6d-9f73-f9d2b87f08bd,69505c4f-e964-46ec-b870-8d407c954cf6,c4,c1,27,p1,?,surb={'id': '32057eb6-3511-4168-9350-03da587f264b', 'route': ['p1', 'e3', 'i11', 'x3', 'p1', 'c4']}
1769458073.7337456,SENT,1c73dd04-4d3e-448a-a591-65fe7167b2e8,4d364271-f42e-489b-af2a-561d495ffc37,c1,c5,3383,?,p1,
1769458073.7338834,CREATED,9d048a4e-0637-4364-9e4d-5bd28b420e37,ba4283d2-1fe4-4fee-94f4-83de1f1b205b,c1,c5,27,?,?,surb={'id': 'ad3688a5-5172-4e81-9619-1864f62005a4', 'route': ['p2', 'e4', 'i12', 'x10', 'p1', 'c1']}
1769458073.772589,SENT,b8214f98-c070-44c1-8894-334b52b3c808,e9c537b7-ac56-4727-9064-5ddb6b177a28,c1,c5,3375,?,p1,
1769458073.772736,CREATED,0c9a283c-5636-47b1-88b6-67bb2674433c,2a197efb-e9fb-43b8-98d7-c1598ff05eea,c1,c5,27,?,?,surb={'id': '7acf67ad-047a-4946-a23e-1c98769027c5', 'route': ['p2', 'e11', 'i7', 'x11', 'p1', 'c1']}
1769458073.8345993,RECEIVED,5b4fdc85-0c5c-426f-a5ba-944a5d7466c7,0fd1bce5-8645-4850-b0a0-6b9f0606522d,c2,c1,27,p1,?,surb={'id': '45374528-a57e-4a83-ab13-a4159a68d4bc', 'route': ['p1', 'e5', 'i2', 'x1', 'p2', 'c2']}
1769458073.945042,RECEIVED,66209b85-e3ff-485f-9019-a973f5bd332c,c8534b09-edbd-46a5-b1a5-fbbf245b3d2c,c2,c1,27,p1,?,surb={'id': 'e724b381-ca0b-4310-a2d7-25b292271221', 'route': ['p1', 'e12', 'i10', 'x9', 'p2', 'c2']}
1769458074.0505192,RECEIVED,c0ba8606-7cbc-4b43-9e59-ae47d10b4f69,2cb80d8b-430f-4eed-950d-8cbe527cdc19,c4,c1,27,p1,?,surb={'id': '5b9b5afd-ec3e-4a2b-afad-cb4c25cc5d2f', 'route': ['p1', 'e7', 'i1', 'x11', 'p1', 'c4']}
1769458074.2495134,SENT,f62750d3-af64-4ef4-a69f-1932ea5f7fe7,7eddec35-7667-4e4c-9651-ebcd3064f776,c1,c5,3381,?,p1,
1769458074.2496755,CREATED,3b59b151-baf1-4ed9-94bf-2bc1cbcc621f,91911cb2-6a5a-4566-8388-b687b7f32aef,c1,c5,27,?,?,surb={'id': '758e20d0-d578-44dd-9aa8-980743143bd2', 'route': ['p2', 'e3', 'i8', 'x11', 'p1', 'c1']}
1769458074.3256,RECEIVED,ca35b069-33a9-4480-a65d-3fc09ff8329d,15a6d162-dab4-479b-8256-d8ad7008a280,c2,c1,27,p1,?,surb={'id': '1654dfc1-37b9-4e40-839b-f1d9191f0824', 'route': ['p1', 'e2', 'i2', 'x10', 'p2', 'c2']}
