Run,Client,Experiment,TTC_Packets,TTC_Duration,Status
Testrun_20260119_222724_06_backup_mixes_long,c3,Backup Mixes,2500,6.421292066574097,Compromised
Testrun_20260119_222724_06_backup_mixes_long,c4,Backup Mixes,45000,89.21334171295166,Compromised
Testrun_20260119_222724_06_backup_mixes_long,c5,Backup Mixes,10000,21.680806398391724,Compromised
Testrun_20260120_101526_01_baseline_no_errors_no_noise,c1,Baseline (Ideal),5000,13.10762643814087,Compromised
Testrun_20260120_101526_01_baseline_no_errors_no_noise,c2,Baseline (Ideal),10000,23.15476870536804,Compromised
Testrun_20260120_101526_01_baseline_no_errors_no_noise,c3,Baseline (Ideal),12500,28.452226877212524,Compromised
Testrun_20260120_101526_01_baseline_no_errors_no_noise,c4,Baseline (Ideal),12500,28.452226877212524,Compromised
Testrun_20260120_101526_01_baseline_no_errors_no_noise,c5,Baseline (Ideal),7500,18.40884828567505,Compromised
Testrun_20260120_102543_02_baseline_errors_no_noise,c1,Baseline (Lossy),15000,35.927918434143066,Compromised
Testrun_20260120_102543_02_baseline_errors_no_noise,c2,Baseline (Lossy),27500,65.54710650444031,Compromised
Testrun_20260120_102543_02_baseline_errors_no_noise,c3,Baseline (Lossy),17500,41.43323230743408,Compromised
Testrun_20260120_102543_02_baseline_errors_no_noise,c4,Baseline (Lossy),10000,24.472651720047,Compromised
Testrun_20260120_102543_02_baseline_errors_no_noise,c5,Baseline (Lossy),30000,72.4853184223175,Compromised
Testrun_20260120_103600_03_retransmission_no_noise,c1,Retransmission,25000,29.648598432540894,Compromised
Testrun_20260120_103600_03_retransmission_no_noise,c2,Retransmission,7500,10.835169553756714,Compromised
Testrun_20260120_103600_03_retransmission_no_noise,c3,Retransmission,45000,52.575379610061646,Compromised
Testrun_20260120_103600_03_retransmission_no_noise,c4,Retransmission,7500,10.835169553756714,Compromised
Testrun_20260120_103600_03_retransmission_no_noise,c5,Retransmission,5000,7.933347225189209,Compromised
Testrun_20260120_104617_04_path_reestablishment_no_noise,c1,Path Re-est.,35000,42.26242256164551,Compromised
Testrun_20260120_104617_04_path_reestablishment_no_noise,c2,Path Re-est.,22500,28.495930910110477,Compromised
Testrun_20260120_104617_04_path_reestablishment_no_noise,c3,Path Re-est.,60000,73.90546917915344,Compromised
Testrun_20260120_104617_04_path_reestablishment_no_noise,c4,Path Re-est.,25000,31.36956667900085,Compromised
Testrun_20260120_104617_04_path_reestablishment_no_noise,c5,Path Re-est.,12500,16.842209815979004,Compromised
Testrun_20260120_110652_06_backup_mixes_no_noise,c1,Backup Mixes,10000,23.80177092552185,Compromised
Testrun_20260120_110652_06_backup_mixes_no_noise,c2,Backup Mixes,15000,34.789734840393066,Compromised
Testrun_20260120_110652_06_backup_mixes_no_noise,c3,Backup Mixes,15000,34.789734840393066,Compromised
Testrun_20260120_110652_06_backup_mixes_no_noise,c4,Backup Mixes,37500,86.56797552108765,Compromised
Testrun_20260120_110652_06_backup_mixes_no_noise,c5,Backup Mixes,15000,34.789734840393066,Compromised
