packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
2500,4.102143287658691,0.8353656999172482,-3.94519923647964,1.3240233087575206,1.584962500721156,-0.936569755385257,c3,c1,False
5000,7.461817741394043,0.7940264633170668,-3.8422312143192325,1.2585021689377935,1.584962500721156,1.6165484078455137,c1,c1,True
7500,10.63529109954834,0.1547735218280186,-3.944089877280791,0.24531022820195678,1.584962500721156,-3.8165897530750357,c4,c1,False
10000,13.872740507125854,0.07247832045737382,-3.9832023063497477,0.11487542004018853,1.584962500721156,-3.8518066453504787,c4,c1,False
12500,16.91053318977356,0.023302709722216472,-4.069217174190017,0.03693392107490342,1.584962500721156,-5.8955703494240765,c4,c1,False
15000,19.912894010543823,0.4871094357102554,-4.044113970388616,0.7720501893481976,1.584962500721156,-3.6469133802273177,c4,c1,False
17500,22.96570873260498,0.6296348178860077,-4.039783925176261,0.9979475754977165,1.584962500721156,-1.0026788883648692,c4,c1,False
20000,26.480374097824097,0.024767112081829107,-4.022545388325595,0.03925494390085702,1.584962500721156,-1.132315170209779,c4,c1,False
22500,29.774004697799683,0.15977486085973508,-3.99660497982855,0.2532371630206205,1.584962500721156,-0.414236555849925,c4,c1,False
25000,33.15599751472473,0.08638012887799744,-3.9910162142482237,0.13690926507908657,1.584962500721156,-2.674640370784232,c4,c1,False
27500,36.12121057510376,0.23008224852988382,-3.969898112802564,0.3646717360014712,1.584962500721156,-0.15261730223505765,c4,c1,False
30000,39.65473699569702,0.03928461514523919,-3.9739421089811886,0.062264641860466506,1.584962500721156,-2.0070844940808,c4,c1,False
32500,42.92820119857788,0.09921106523736203,-3.959484173828473,0.1572458180578191,1.584962500721156,-1.4135504263323355,c4,c1,False
35000,46.37705969810486,0.07828936505351371,-3.949912016688446,0.12408570781508857,1.584962500721156,-1.6299557481549982,c4,c1,False
37500,49.710256814956665,0.015013916340128,-3.948143215898324,0.023796494388067503,1.584962500721156,-1.2892529955254304,c4,c1,False
40000,52.827658891677856,0.020427929850821414,-3.9486885524313453,0.03237750278091426,1.584962500721156,-1.0918558396954268,c4,c1,False
42500,56.45700430870056,0.0014409949527580776,-3.9622867935357577,0.002283922963850007,1.584962500721156,-3.748261638792087,c4,c1,False
45000,61.15106010437012,0.02449407684555596,-3.953119772023708,0.03882219328998854,1.584962500721156,-3.3171781605349224,c4,c1,False
47500,65.62318873405457,0.08124798031261918,-3.940549142205508,0.12877500205483214,1.584962500721156,-4.908224204875069,c4,c1,False
50000,69.98798680305481,0.1820610277841552,-3.937063405358174,0.2885599018806385,1.584962500721156,-4.269102715673171,c4,c1,False
52500,74.21174263954163,0.5195655375512692,-3.9330101970707925,0.8234918936857913,1.584962500721156,-4.0238131912578865,c4,c1,False
55000,78.54286479949951,0.14660625443315278,-3.9375032816965807,0.2323654156477319,1.584962500721156,-6.144924223093312,c4,c1,False
57500,83.21149492263794,0.8305535837237418,-3.9194500557114837,1.3163962850417,1.584962500721156,-3.847616103240398,c4,c1,False
60000,87.52233028411865,0.1082155906330062,-3.9219843260559264,0.17151765314670642,1.584962500721156,-8.097093970525975,c4,c1,False
62500,91.53414869308472,0.44899297505987806,-3.929872986741201,0.711637028557136,1.584962500721156,-8.066133783161604,c4,c1,False
