timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759022.180974,RECEIVED,74fed3ef-8fb3-440b-989f-ed9b7521acfe,d0a3a0fb-fbf4-4e61-8162-9d8fc6df6607,c3,c5,27,p2,?,surb={'id': '9d291c67-2bb7-458a-b71b-1a95f6c0866e', 'route': ['p2', 'e10', 'i4', 'x5', 'p3', 'c3']}
1769759022.567978,RECEIVED,ce7f84a0-b093-427e-b8b4-474b361fb33c,0410432d-9690-4962-9e00-2b1a9d127140,c3,c5,26,p2,?,surb={'id': 'd512f5d7-129d-40f6-86b5-38cbec58c9ea', 'route': ['p2', 'e3', 'i6', 'x6', 'p3', 'c3']}
1769759022.936357,RECEIVED,ff9b4b41-5d7f-4294-bd02-37ceb69ef511,b1580771-3cfc-413c-8757-a8ba00dec185,c3,c5,26,p2,?,surb={'id': '348d8cd3-3d79-4487-901d-6870969c96e6', 'route': ['p2', 'e10', 'i10', 'x3', 'p3', 'c3']}
1769759023.078381,RECEIVED,037f07e3-1f25-428c-8efd-28d665cbb04b,0410432d-9690-4962-9e00-2b1a9d127140,c3,c5,26,p2,?,surb={'id': 'd512f5d7-129d-40f6-86b5-38cbec58c9ea', 'route': ['p2', 'e3', 'i6', 'x6', 'p3', 'c3']}
1769759023.098234,RECEIVED,e17047e7-8162-4f32-9787-35645bb13284,ecf51a80-573c-4e74-9c55-133b8353a6b0,c3,c5,27,p2,?,surb={'id': '3bf769d2-30d2-4318-be3b-c681b6fdf7e8', 'route': ['p2', 'e8', 'i7', 'x10', 'p3', 'c3']}
1769759023.1122212,RECEIVED,e53f3886-5ea1-4ad7-984a-226e14afc1aa,5a7636cf-3b6b-4f6e-870c-4fad8925ca84,c1,c5,26,p2,?,surb={'id': '59e1191f-b91d-433d-837a-72d0bcca1392', 'route': ['p2', 'e5', 'i5', 'x10', 'p1', 'c1']}
1769759023.1592472,RECEIVED,05975495-da6c-4dd0-8cca-6514b5e1218d,ecf51a80-573c-4e74-9c55-133b8353a6b0,c3,c5,27,p2,?,surb={'id': '3bf769d2-30d2-4318-be3b-c681b6fdf7e8', 'route': ['p2', 'e8', 'i7', 'x10', 'p3', 'c3']}
1769759023.1762893,RECEIVED,cc28904a-223a-4e91-b9cb-7cc5feef0158,a379486f-d4e7-4da3-b0da-5f43d753a741,c1,c5,27,p2,?,surb={'id': '463bc359-7099-430c-ae0a-8d802747af9b', 'route': ['p2', 'e8', 'i6', 'x9', 'p1', 'c1']}
1769759023.3266776,SENT,775211a7-4134-4b1b-9d27-99d4be6f5c18,88467097-b78a-485f-b589-b3ba13eb0367,c5,c3,3361,?,p2,
1769759023.3268104,CREATED,d58c7c27-d9bc-4662-9ac3-14b7101e8c67,bce080e9-8248-4185-a937-edbd54786d25,c5,c3,27,?,?,surb={'id': '39eb96eb-b240-4b07-b1a9-14e052956ac4', 'route': ['p3', 'e8', 'i5', 'x5', 'p2', 'c5']}
1769759023.4910307,RECEIVED,866ad95b-f5fc-40e5-b8d5-d17a3a71743f,b1580771-3cfc-413c-8757-a8ba00dec185,c3,c5,26,p2,?,surb={'id': '348d8cd3-3d79-4487-901d-6870969c96e6', 'route': ['p2', 'e10', 'i10', 'x3', 'p3', 'c3']}
1769759023.5084224,RECEIVED,0292614d-a064-4b15-88a7-819e38a5ab23,5248aa17-bceb-46d9-89cc-b19aea039168,c3,c5,27,p2,?,surb={'id': '649f8f53-764b-4734-b5da-bf371f4dfc8d', 'route': ['p2', 'e11', 'i5', 'x2', 'p3', 'c3']}
1769759023.5110798,RECEIVED,e20e3bc1-632c-4cf9-891f-70c529ba2d82,b0dd6d40-4a2f-4d53-b939-3ead700f4ad2,c3,c5,27,p2,?,surb={'id': '77372b62-7467-4258-83b7-2ee629beda53', 'route': ['p2', 'e7', 'i3', 'x2', 'p3', 'c3']}
1769759023.5693989,SENT,687b1f8c-40de-498b-a14b-d302e1ad47b4,3d473d0c-2883-44fc-b8db-7c6524066828,c5,c3,3381,?,p2,
1769759023.5695353,CREATED,5b0f31fe-857c-4b44-b050-d60ccabd9792,5c065761-3b3c-4a3c-821f-e8054663ae4e,c5,c3,27,?,?,surb={'id': '81a261b9-9d5c-466f-a5b4-f6bb0bc84ae5', 'route': ['p3', 'e11', 'i1', 'x10', 'p2', 'c5']}
1769759023.5969775,SENT,5ea11fe6-f266-4cf9-b5a7-0e8cd4fcccbe,c3ddc8e9-1b8f-4985-bf5d-618139546151,c5,c3,3385,?,p2,
1769759023.5971348,CREATED,7f95ecc0-5e73-48b6-9694-4a5b60b0fabc,5c065761-3b3c-4a3c-821f-e8054663ae4e,c5,c3,27,?,?,surb={'id': '81a261b9-9d5c-466f-a5b4-f6bb0bc84ae5', 'route': ['p3', 'e11', 'i1', 'x10', 'p2', 'c5']}
1769759023.7948356,RECEIVED,f80fb11d-9b74-4a66-a9d3-d26208284da2,4756b79f-fca3-4c51-8ef6-e6193344c6ba,c1,c5,27,p2,?,surb={'id': '14595a9a-30b2-4e5a-a925-2f454fdf1fe5', 'route': ['p2', 'e4', 'i11', 'x8', 'p1', 'c1']}
1769759023.853868,RECEIVED,0c500e9d-168f-4f64-8590-62df9a7e8183,e6a1e68c-43fa-4d18-8bb7-1bad2913440e,c1,c5,27,p2,?,surb={'id': '501cc6b1-ff87-4fe3-a6e4-9f0e206d8867', 'route': ['p2', 'e12', 'i5', 'x10', 'p1', 'c1']}
1769759023.867967,RECEIVED,0e11788d-971e-4c05-bf01-53b28bf74bfc,4756b79f-fca3-4c51-8ef6-e6193344c6ba,c1,c5,27,p2,?,surb={'id': '14595a9a-30b2-4e5a-a925-2f454fdf1fe5', 'route': ['p2', 'e4', 'i11', 'x8', 'p1', 'c1']}
