timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475340.9563694,SENT,67988f97-88a1-4bb4-be03-0d3716bddcf0,1db99a93-1351-441f-b9f3-e6265efbb0e3,c2,c3,3393,?,p2,
1769475340.9565587,CREATED,3fcf5a6e-ded9-4db0-b9c7-49b92679a1cd,50285213-8073-45b5-b6b2-1c52271f5089,c2,c3,27,?,?,surb={'id': '641c8d27-1ed8-4915-b3f7-e575bbe21e8d', 'route': ['p3', 'e10', 'i7', 'x4', 'p2', 'c2']}
1769475341.3898919,SENT,4a1033b1-0cf0-41e2-894a-6e05cc48fd29,27ef95c6-1c29-4af8-aa8b-8c3597f8aaeb,c2,c3,3395,?,p2,
1769475341.390075,CREATED,b8751550-3b23-4d7c-90dd-1c3d71cf07f0,50285213-8073-45b5-b6b2-1c52271f5089,c2,c3,27,?,?,surb={'id': '641c8d27-1ed8-4915-b3f7-e575bbe21e8d', 'route': ['p3', 'e10', 'i7', 'x4', 'p2', 'c2']}
1769475341.561866,SENT,3ea03434-0817-4880-a6f6-220083ab2f28,64a52090-474a-46ca-95b1-2c9de1cd87b4,c2,c3,3380,?,p2,
1769475341.5620112,CREATED,8632f42e-69eb-46ef-929a-d34056ac2392,ce119a32-b5a7-4c3f-9f01-c714fe97735c,c2,c3,27,?,?,surb={'id': 'f11ebbf8-349c-4a5c-8fd7-2f677d7c96f2', 'route': ['p3', 'e5', 'i11', 'x6', 'p2', 'c2']}
1769475341.6840403,SENT,4217fad3-c34f-435e-b1f0-7a246159a123,ee816ed2-8c60-4544-a4c9-12e49b570088,c2,c3,3388,?,p2,
1769475341.68422,CREATED,17ae7a8d-2505-4f4b-9026-26b572869e9a,ce119a32-b5a7-4c3f-9f01-c714fe97735c,c2,c3,27,?,?,surb={'id': 'f11ebbf8-349c-4a5c-8fd7-2f677d7c96f2', 'route': ['p3', 'e5', 'i11', 'x6', 'p2', 'c2']}
1769475341.6981552,RECEIVED,8031e6ed-128d-426c-b896-f1b425812ad0,23d83d24-2430-4d63-94d4-ab20f5295e3d,c3,c2,27,p2,?,surb={'id': '5cd3cbd4-389e-4596-96db-38e625821d93', 'route': ['p2', 'e12', 'i12', 'x7', 'p3', 'c3']}
1769475341.7421474,SENT,49acf78f-20ab-48ed-91f5-19ca357b4d54,4788a22c-3b61-4669-aab7-6091e8106b87,c2,c3,3368,?,p2,
1769475341.7422988,CREATED,7188b49b-0ab9-4ebc-b8d6-a1ffd2863f20,1a946a89-ca96-4ed4-a680-8e3315ecd815,c2,c3,27,?,?,surb={'id': '98df76b8-a246-4e85-8753-911aa1444680', 'route': ['p3', 'e8', 'i6', 'x11', 'p2', 'c2']}
1769475341.800005,SENT,efa72bf0-89c1-4d28-abe1-5b3b4c7b2ae0,7950cc54-e060-4978-aaaf-e12e14e39f1c,c2,c3,3390,?,p2,
