timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475483.027882,SENT,45b712c5-8f20-4d95-b046-f4c88f2a0002,2ecfa458-a964-43d4-bcdf-8962a01127a2,c1,c4,3360,?,p1,
1769475483.0280137,CREATED,24b8d772-4a1c-4699-837d-af46da951e7f,f45ea711-e21a-452b-8256-0a02d79112e5,c1,c4,26,?,?,surb={'id': '50e3b682-a380-41f1-9c84-15a69593113d', 'route': ['p1', 'e3', 'i11', 'x9', 'p1', 'c1']}
1769475483.33547,SENT,75f5d342-2c31-46e5-b523-a9230d23fa7f,cb7051a1-e74e-40ad-bf32-7fca8a743ffb,c1,c4,3367,?,p1,
1769475483.3355923,CREATED,72bf5356-c797-4e5d-b5e4-b2ef6f3bfa2e,9af93856-59a7-4071-92ad-346cd65176a6,c1,c4,27,?,?,surb={'id': 'cb5efc8e-c666-40c3-8342-43a9e60a5749', 'route': ['p1', 'e7', 'i4', 'x9', 'p1', 'c1']}
1769475483.477137,RECEIVED,81c99aff-316b-4018-927f-1e4ddb8cc27f,36898e45-c778-4611-9ccf-28e99148ebe8,c4,c1,26,p1,?,surb={'id': '56723d22-d665-43cb-be7a-331ab6f199b5', 'route': ['p1', 'e9', 'i7', 'x6', 'p1', 'c4']}
1769475483.5383246,RECEIVED,4826913c-0c4b-4ee8-af0f-5de55bc630a7,156d6756-6f39-48ea-b242-19fef198b65b,c4,c1,26,p1,?,surb={'id': '3b206c26-3ec4-44b1-b4a9-1acf4b723ef3', 'route': ['p1', 'e5', 'i12', 'x7', 'p1', 'c4']}
1769475483.661808,RECEIVED,6819f995-c703-481d-89ba-6bac35425f88,156d6756-6f39-48ea-b242-19fef198b65b,c4,c1,26,p1,?,surb={'id': '3b206c26-3ec4-44b1-b4a9-1acf4b723ef3', 'route': ['p1', 'e5', 'i12', 'x7', 'p1', 'c4']}
1769475483.7551546,RECEIVED,f376f4cf-d22b-486f-af4e-438ee16d7f31,81d74f82-1b7c-4df1-ad54-bfddb7f83394,c4,c1,27,p1,?,surb={'id': '149e5435-cd6b-4a2b-ad99-625683f8ce0f', 'route': ['p1', 'e11', 'i10', 'x5', 'p1', 'c4']}
1769475483.9917867,SENT,afc592b8-7eef-44fb-9a8e-d6ad2a4f7184,5e104549-ffba-40a0-8ef8-92984aaae237,c1,c4,3380,?,p1,
1769475483.9918566,CREATED,a96269b7-dcaf-465d-844c-d27519b0cdc3,9af93856-59a7-4071-92ad-346cd65176a6,c1,c4,27,?,?,surb={'id': 'cb5efc8e-c666-40c3-8342-43a9e60a5749', 'route': ['p1', 'e7', 'i4', 'x9', 'p1', 'c1']}
1769475484.264653,RECEIVED,bbaeb39d-6749-498b-a03c-cd33ab0356af,f927faf7-074d-44d8-adec-c24043ec83b1,c4,c1,26,p1,?,surb={'id': '53cf40a6-50d5-41a1-810d-19eb8e761654', 'route': ['p1', 'e10', 'i9', 'x11', 'p1', 'c4']}
1769475484.4095376,SENT,3adf66e5-e70a-4a08-bf6f-09bd7415e1bd,11ea0841-5188-440f-aeaf-7a41df0ebbc5,c1,c4,3398,?,p1,
1769475484.4097276,CREATED,71b2ff4a-82c2-4546-b827-330fdd65851b,703eb091-9332-4f79-8041-393652566784,c1,c4,27,?,?,surb={'id': '6717f7e6-e8a5-435a-a977-9173c534ba28', 'route': ['p1', 'e9', 'i4', 'x3', 'p1', 'c1']}
1769475484.6608353,RECEIVED,007ccc98-4b8c-44e4-b24c-6a9e2429e09c,107499d3-1b2a-4f07-9b71-991c68a67416,c4,c1,27,p1,?,surb={'id': '8d913732-d46a-4292-8d64-b9487e395367', 'route': ['p1', 'e3', 'i10', 'x6', 'p1', 'c4']}
1769475484.8771698,SENT,bd9fb134-b820-46c1-8a4f-647812d34533,1d032e47-70ca-46f6-94da-0f4256d60229,c1,c4,3363,?,p1,
1769475484.8773139,CREATED,f42cb8ba-b3d5-4b18-88c1-f2dad7066527,703eb091-9332-4f79-8041-393652566784,c1,c4,27,?,?,surb={'id': '6717f7e6-e8a5-435a-a977-9173c534ba28', 'route': ['p1', 'e9', 'i4', 'x3', 'p1', 'c1']}
1769475484.989318,RECEIVED,ed316ee9-cba9-4a88-9cb3-2cb33e12c075,eca5f0a8-f215-470d-896b-e7d1f896d023,c4,c1,27,p1,?,surb={'id': 'b2d7d1c9-f8dc-44a9-a8c6-ddcd47e91a55', 'route': ['p1', 'e9', 'i3', 'x9', 'p1', 'c4']}
1769475485.192537,SENT,1dfc1c84-02c3-4b4e-9fcf-cc20cea24acc,99d72001-be44-4c97-9f10-d5c79f817fd9,c1,c4,3388,?,p1,
1769475485.192632,CREATED,96c351f0-7552-497e-a607-dd785749b953,248ee446-e438-44c8-a69d-09b6a95102c8,c1,c4,27,?,?,surb={'id': 'c605dfcd-fd48-4f96-9c2a-cae71821ef57', 'route': ['p1', 'e2', 'i1', 'x12', 'p1', 'c1']}
1769475485.62924,RECEIVED,d25c503d-0630-495f-b847-99b8d11a0dd9,107499d3-1b2a-4f07-9b71-991c68a67416,c4,c1,27,p1,?,surb={'id': '8d913732-d46a-4292-8d64-b9487e395367', 'route': ['p1', 'e3', 'i10', 'x6', 'p1', 'c4']}
1769475485.7015898,SENT,13f4385c-5403-4457-867a-42a571e605ec,c3c17a4a-d4a3-49a2-8426-219c312d31ff,c1,c4,3392,?,p1,
1769475485.7017212,CREATED,f90a8cdf-0816-43bb-9edb-a3f8e18c010c,248ee446-e438-44c8-a69d-09b6a95102c8,c1,c4,27,?,?,surb={'id': 'c605dfcd-fd48-4f96-9c2a-cae71821ef57', 'route': ['p1', 'e2', 'i1', 'x12', 'p1', 'c1']}
1769475485.8295794,RECEIVED,dec81f6f-e4bd-4cab-95ab-0b3df5361bdb,65af2071-de93-41ef-94f4-4324a72ddc27,c4,c1,27,p1,?,surb={'id': 'e4c03d42-077d-412a-9ce1-0cc7c2da7d68', 'route': ['p1', 'e8', 'i1', 'x9', 'p1', 'c4']}
1769475485.8372006,RECEIVED,864bae85-8bbf-46a6-bb57-176ea9633e96,c25c21c6-ae06-47f8-a4e6-24cfc23edd5d,c4,c1,27,p1,?,surb={'id': '181c49a2-d01d-457e-96ca-633f776c57ec', 'route': ['p1', 'e8', 'i3', 'x5', 'p1', 'c4']}
1769475485.970952,SENT,ca60829e-b621-49ee-8a62-eb8213a5d784,f26d403e-8a7b-4b0b-aa1c-c2625ea4b9e2,c1,c4,3393,?,p1,
1769475485.9711027,CREATED,6d73e92b-5b69-4540-9c94-9a4b2de109c4,a4b87d19-4801-4b23-929a-972043cc1ffb,c1,c4,27,?,?,surb={'id': 'e975d0c7-ea61-4528-8fdf-d30bb9294b20', 'route': ['p1', 'e3', 'i5', 'x8', 'p1', 'c1']}
1769475485.982554,SENT,b95af4c5-f468-48ff-a9e4-d36810a3aabc,36935d59-fec7-44b9-9e9d-76d0c0b042a1,c1,c4,3359,?,p1,
1769475485.9826882,CREATED,009d3205-553a-4a3b-8d28-a5f12aa7e0f1,a4b87d19-4801-4b23-929a-972043cc1ffb,c1,c4,27,?,?,surb={'id': 'e975d0c7-ea61-4528-8fdf-d30bb9294b20', 'route': ['p1', 'e3', 'i5', 'x8', 'p1', 'c1']}
1769475486.083197,SENT,4019640e-ebc9-46ee-a39a-2a97009f1829,c1001306-fe73-4de8-9b9a-9d035972f44f,c1,c4,3395,?,p1,
1769475486.0833304,CREATED,a1c8103d-5401-4aa1-95e0-4647d9c12df0,03679131-372a-411b-b81e-8bce421847ae,c1,c4,27,?,?,surb={'id': 'f29fefb7-a270-429b-a032-0cc5893971c7', 'route': ['p1', 'e12', 'i6', 'x12', 'p1', 'c1']}
1769475486.2733266,RECEIVED,f7f03736-ec57-48f3-baac-0b7583a3ca17,65af2071-de93-41ef-94f4-4324a72ddc27,c4,c1,27,p1,?,surb={'id': 'e4c03d42-077d-412a-9ce1-0cc7c2da7d68', 'route': ['p1', 'e8', 'i1', 'x9', 'p1', 'c4']}
1769475486.441216,SENT,d0761bf1-df85-4b96-b133-c0bdba68957b,d026e7a4-4f03-48b6-9730-8889a97916bf,c1,c4,3374,?,p1,
1769475486.4413476,CREATED,2963ad0e-9c0e-4291-a33e-8f2752a58e1a,03679131-372a-411b-b81e-8bce421847ae,c1,c4,27,?,?,surb={'id': 'f29fefb7-a270-429b-a032-0cc5893971c7', 'route': ['p1', 'e12', 'i6', 'x12', 'p1', 'c1']}
1769475486.9885488,RECEIVED,8688ee30-b8c3-4ed1-ac49-55c9c9e182c5,6091efc4-8a5d-422c-80a4-a365f047badf,c4,c1,27,p1,?,surb={'id': '8872d5c1-a787-4e17-9cb9-697ecdb15a67', 'route': ['p1', 'e10', 'i9', 'x9', 'p1', 'c4']}
1769475487.4220214,RECEIVED,4a9d8af9-2bf3-435e-ad08-d26e651a44ac,f927faf7-074d-44d8-adec-c24043ec83b1,c4,c1,26,p1,?,surb={'id': '53cf40a6-50d5-41a1-810d-19eb8e761654', 'route': ['p1', 'e10', 'i9', 'x11', 'p1', 'c4']}
1769475487.4752686,SENT,ca0fbee4-4578-411a-a13d-4d3d2ba75c3f,c64716dc-1268-47dc-9d6b-50c5eedf19a0,c1,c4,3388,?,p1,
1769475487.4776802,CREATED,6b169a57-d991-468b-a260-62b1b93cd58b,71a93d62-9a14-4b05-b36b-95f6433a7e1f,c1,c4,27,?,?,surb={'id': '61444c2e-56bf-404a-b458-85cfe62fd9d3', 'route': ['p1', 'e4', 'i10', 'x8', 'p1', 'c1']}
1769475487.527407,RECEIVED,ca8c610c-38b4-495a-afea-d06e78adca3e,897c079c-ca89-4e82-a18e-e33624758fcb,c4,c1,27,p1,?,surb={'id': '1d4f4267-d422-417d-a3f6-30c5df82d0f5', 'route': ['p1', 'e12', 'i11', 'x6', 'p1', 'c4']}
1769475487.7488194,RECEIVED,309d0230-e6ec-4a41-9d6e-b3140dad2e05,c25c21c6-ae06-47f8-a4e6-24cfc23edd5d,c4,c1,27,p1,?,surb={'id': '181c49a2-d01d-457e-96ca-633f776c57ec', 'route': ['p1', 'e8', 'i3', 'x5', 'p1', 'c4']}
1769475487.8444703,SENT,c1e9c1be-674e-40d9-81fc-e7f46b7d3971,6d1dfd81-4ab5-4ac7-a88f-d75e261b3f91,c1,c4,3392,?,p1,
1769475487.844608,CREATED,1df7c859-cdd1-4967-83c2-148210b75a1d,71a93d62-9a14-4b05-b36b-95f6433a7e1f,c1,c4,27,?,?,surb={'id': '61444c2e-56bf-404a-b458-85cfe62fd9d3', 'route': ['p1', 'e4', 'i10', 'x8', 'p1', 'c1']}
1769475488.0042133,SENT,bdff78f0-e9c7-452e-9a0b-428274d55a59,a5b24dda-43d6-45db-bea3-5642e7807f12,c1,c4,3401,?,p1,
1769475488.0043528,CREATED,4464cf53-c3ca-4e45-8cd8-2a74dbdb2acc,b129c6d0-3908-41d6-a712-49fd45c28dd8,c1,c4,27,?,?,surb={'id': '737f73b7-8cdb-4679-8141-5fb19590f06c', 'route': ['p1', 'e1', 'i3', 'x3', 'p1', 'c1']}
1769475488.1346543,SENT,177ff3d4-ec7d-45d9-bfdf-591ea7912e20,6f600bce-430a-47c1-ab12-c18f9833ce92,c1,c4,3358,?,p1,
1769475488.1347768,CREATED,0ecbc4fd-71a4-4456-b5fe-0c48567f82f0,b129c6d0-3908-41d6-a712-49fd45c28dd8,c1,c4,27,?,?,surb={'id': '737f73b7-8cdb-4679-8141-5fb19590f06c', 'route': ['p1', 'e1', 'i3', 'x3', 'p1', 'c1']}
1769475488.1442416,SENT,4a3c2dab-5c7b-41cc-a7f1-91b7c58f8a90,fee9fb8a-3da2-451c-b469-e01699b7db54,c1,c4,3379,?,p1,
1769475488.1443756,CREATED,65c11c15-ae40-43ae-8586-98e42c958795,897030e4-778b-4e99-ba40-036828d3c615,c1,c4,27,?,?,surb={'id': 'e00c7cfc-d122-4c68-95de-e59f3e15d9e1', 'route': ['p1', 'e2', 'i7', 'x4', 'p1', 'c1']}
1769475488.2652416,SENT,f51cf0f9-d1a9-48d5-ad52-6ef601b140a8,b23eb32d-a40a-464c-b5c0-a552a6b739d7,c1,c4,3372,?,p1,
1769475488.2653925,CREATED,c48d3890-ec4f-477e-8cdd-66c753377821,897030e4-778b-4e99-ba40-036828d3c615,c1,c4,27,?,?,surb={'id': 'e00c7cfc-d122-4c68-95de-e59f3e15d9e1', 'route': ['p1', 'e2', 'i7', 'x4', 'p1', 'c1']}
1769475488.4460857,RECEIVED,d917453a-1d31-4c4b-ab79-5fc4ba550a9b,6091efc4-8a5d-422c-80a4-a365f047badf,c4,c1,27,p1,?,surb={'id': '8872d5c1-a787-4e17-9cb9-697ecdb15a67', 'route': ['p1', 'e10', 'i9', 'x9', 'p1', 'c4']}
1769475488.6200128,SENT,f98adc7d-cef9-493d-8122-ba717d1236ae,200357ec-4855-484a-8f62-198ff548b934,c1,c4,3359,?,p1,
1769475488.6201923,CREATED,c29f8027-1fd1-4059-b8fe-6382d1fa315e,d5116524-2878-4c2b-aba3-630df0874058,c1,c4,27,?,?,surb={'id': 'b438ba64-0785-4aa8-9232-7ee5fa5a4b32', 'route': ['p1', 'e1', 'i3', 'x3', 'p1', 'c1']}
1769475488.8272572,RECEIVED,a2fa1628-790e-4f67-968e-61aac1a5a193,2b022af0-a135-45ff-af63-a339fa8609c4,c4,c1,27,p1,?,surb={'id': 'da7c54be-97be-42b0-88d2-7ccda0745605', 'route': ['p1', 'e11', 'i10', 'x7', 'p1', 'c4']}
1769475488.8400354,RECEIVED,f20749bc-1974-4a50-ba92-09b043a38584,897c079c-ca89-4e82-a18e-e33624758fcb,c4,c1,27,p1,?,surb={'id': '1d4f4267-d422-417d-a3f6-30c5df82d0f5', 'route': ['p1', 'e12', 'i11', 'x6', 'p1', 'c4']}
1769475489.0491645,SENT,0241286c-d03e-40a6-b505-d33ec57f4876,56405bb6-f776-4658-917a-f0a57ae43da5,c1,c4,3376,?,p1,
1769475489.0493174,CREATED,0869fbec-a229-45af-bb8b-2847fe0386fb,d5116524-2878-4c2b-aba3-630df0874058,c1,c4,27,?,?,surb={'id': 'b438ba64-0785-4aa8-9232-7ee5fa5a4b32', 'route': ['p1', 'e1', 'i3', 'x3', 'p1', 'c1']}
1769475489.2602062,SENT,625efa55-e08e-4889-aac4-bf7f8eb3e456,e08eb0cc-a7db-473a-916d-682fa1b25d7f,c1,c4,3396,?,p1,
1769475489.2603607,CREATED,6bdde611-2891-456f-ade3-b36e61f5c55c,ab8275bc-8b1c-4398-8298-c284f735472f,c1,c4,27,?,?,surb={'id': '034d4bac-10bc-4359-9720-27ab742e2648', 'route': ['p1', 'e10', 'i7', 'x1', 'p1', 'c1']}
1769475490.0979724,RECEIVED,255acf2a-f342-4ab7-a58f-00dd127f7c5e,2b022af0-a135-45ff-af63-a339fa8609c4,c4,c1,27,p1,?,surb={'id': 'da7c54be-97be-42b0-88d2-7ccda0745605', 'route': ['p1', 'e11', 'i10', 'x7', 'p1', 'c4']}
1769475490.8111737,SENT,bbd68640-f829-4aea-894b-7567a9b16381,2569fb82-6372-43bb-84de-7993e351c030,c1,c4,3406,?,p1,
1769475490.811311,CREATED,8a9576da-1b50-4dd5-8d35-1d23c9dae95e,ab8275bc-8b1c-4398-8298-c284f735472f,c1,c4,27,?,?,surb={'id': '034d4bac-10bc-4359-9720-27ab742e2648', 'route': ['p1', 'e10', 'i7', 'x1', 'p1', 'c1']}
1769475491.1608706,RECEIVED,5b380eeb-72ad-4dde-a395-cfdbbda33fe5,2e8abf08-5b13-4615-be48-cb8df022abb3,c4,c1,27,p1,?,surb={'id': '6dac21bb-5bcf-4759-b14a-db03070ec705', 'route': ['p1', 'e3', 'i3', 'x1', 'p1', 'c4']}
1769475491.2473233,SENT,a8878f2a-8b99-461c-9d32-73b95bac4161,10d016a1-9f13-46af-a6cc-f8979383d9d0,c1,c4,3380,?,p1,
1769475491.2474413,CREATED,0f1a492c-ae44-46ac-9ac3-5db347d2a4ba,aac5fb28-2591-480f-8854-0f8663d0b1a1,c1,c4,26,?,?,surb={'id': 'fc2e202e-54c7-4b14-b3d4-dd283744d564', 'route': ['p1', 'e4', 'i1', 'x4', 'p1', 'c1']}
1769475491.9603136,SENT,698b7b94-9426-48be-a476-e5719e9f1a4d,8afdfc2a-79f4-4606-865a-850be62578db,c1,c4,3367,?,p1,
1769475491.9604628,CREATED,440a210f-8975-426d-b8ca-8f0fa1e4c251,aac5fb28-2591-480f-8854-0f8663d0b1a1,c1,c4,26,?,?,surb={'id': 'fc2e202e-54c7-4b14-b3d4-dd283744d564', 'route': ['p1', 'e4', 'i1', 'x4', 'p1', 'c1']}
1769475492.158615,RECEIVED,99fc420b-0834-4c00-8304-7748247ef236,3c2b7bac-790c-47ae-90a9-76863ee9fe16,c4,c1,27,p1,?,surb={'id': 'c9b574bd-749e-4e20-9540-fe5849aebf0a', 'route': ['p1', 'e12', 'i5', 'x11', 'p1', 'c4']}
1769475492.2806668,RECEIVED,d0f2b435-38e5-4824-9300-39715c4a33ea,1b0ada41-29fc-4d46-bfd2-1442e8a1e4b6,c4,c1,27,p1,?,surb={'id': 'de3f7fea-80c4-404f-8565-dc75e8ceb339', 'route': ['p1', 'e11', 'i12', 'x8', 'p1', 'c4']}
1769475492.3329127,SENT,fa7805e9-6fa2-490e-9aab-a08c9ba6d4f7,e2f3793d-6138-4921-a8a1-f480e89ee71b,c1,c4,3393,?,p1,
1769475492.3331,CREATED,5804125c-5d36-43c6-b006-125ec4d163a7,de3255fe-97a9-450c-83ad-c28c7d8153f2,c1,c4,26,?,?,surb={'id': '4ae7d945-e0b4-4747-bba2-d390849182fa', 'route': ['p1', 'e11', 'i1', 'x5', 'p1', 'c1']}
1769475492.5884805,SENT,1f5d4b7f-ba7e-42e9-bf05-3250c41895f4,2cbd1636-7eb2-4f3c-9f9a-6f4dab376a78,c1,c4,3367,?,p1,
1769475492.5886312,CREATED,88f8d82a-094e-4376-9452-a2317b014334,de3255fe-97a9-450c-83ad-c28c7d8153f2,c1,c4,26,?,?,surb={'id': '4ae7d945-e0b4-4747-bba2-d390849182fa', 'route': ['p1', 'e11', 'i1', 'x5', 'p1', 'c1']}
1769475492.6458135,RECEIVED,7c758163-1774-4c87-a4f3-0ecc7840f33c,56599ce4-5779-4a31-a204-537308b18aaf,c4,c1,26,p1,?,surb={'id': 'd228cdf9-808c-488f-9af9-1430ad9eb0b9', 'route': ['p1', 'e8', 'i7', 'x4', 'p1', 'c4']}
1769475492.6885893,SENT,675bca40-a41c-4a54-a305-9147648bf640,ce16a8ea-fd8f-4e7c-b0a4-9bcdf86a6f1b,c1,c4,3377,?,p1,
1769475492.6887362,CREATED,4d23bafa-8c8a-4377-ba8c-b0e6865ab4b1,4a722d11-c910-41a4-bfc3-947ef2d4ea82,c1,c4,27,?,?,surb={'id': '35c6341a-2788-4014-8ce0-4e965a3b2f78', 'route': ['p1', 'e4', 'i8', 'x5', 'p1', 'c1']}
1769475492.8226724,SENT,87a00c01-202d-42ec-a7e2-0f441762bec5,8c7a886f-76f0-485f-98cf-e6351911b936,c1,c4,3387,?,p1,
1769475492.822819,CREATED,d9ddd229-9834-498a-8e84-245d13ac6282,4a722d11-c910-41a4-bfc3-947ef2d4ea82,c1,c4,27,?,?,surb={'id': '35c6341a-2788-4014-8ce0-4e965a3b2f78', 'route': ['p1', 'e4', 'i8', 'x5', 'p1', 'c1']}
1769475492.8493984,RECEIVED,c3283528-434f-4e49-84eb-6dd42fb4fe27,9312ecbe-01e0-489c-b11a-80215764f2ad,c4,c1,26,p1,?,surb={'id': 'ede5abdd-c887-4d50-b1ff-71dfaa41e055', 'route': ['p1', 'e7', 'i7', 'x6', 'p1', 'c4']}
1769475492.8506904,SENT,23743aac-5e9b-48aa-94f6-f984f6f8feef,f5097239-6d22-49aa-b422-2d9b0567f6b0,c1,c4,3383,?,p1,
1769475492.8508627,CREATED,86d7f9b2-14eb-4e43-bb4f-6f3f47c4ab31,61c01c62-0527-4e49-ade1-b50f2509a252,c1,c4,26,?,?,surb={'id': 'd53f306f-98b4-49f0-a00b-041ff6ab5ddd', 'route': ['p1', 'e5', 'i12', 'x7', 'p1', 'c1']}
1769475492.8561082,RECEIVED,75457749-ae49-4121-b6b0-da2e4d41611c,8181b869-7c94-4617-99e4-b3114e8d11c3,c4,c1,27,p1,?,surb={'id': '7387c407-fc6f-47e1-a09c-ddcd4280c1da', 'route': ['p1', 'e9', 'i4', 'x8', 'p1', 'c4']}
1769475493.0255902,SENT,a26f49fc-dadb-4d36-b564-63c61579f6ff,5e099bff-fec5-45d6-942d-2525f7bf4b56,c1,c4,3364,?,p1,
1769475493.0257397,CREATED,12fa066e-49e6-458a-9405-ec2a11bfaa85,61c01c62-0527-4e49-ade1-b50f2509a252,c1,c4,26,?,?,surb={'id': 'd53f306f-98b4-49f0-a00b-041ff6ab5ddd', 'route': ['p1', 'e5', 'i12', 'x7', 'p1', 'c1']}
1769475493.3335786,RECEIVED,77d51759-1e3c-4054-927a-0bed1d8193b3,cce2c3f1-20e0-4fe7-b974-b624389ff532,c4,c1,27,p1,?,surb={'id': 'd63362d6-f258-4ae5-a51b-f34f0900f29a', 'route': ['p1', 'e10', 'i5', 'x3', 'p1', 'c4']}
1769475493.3571262,RECEIVED,066f2ddb-9e26-4fbf-986e-7bdeb4c4e162,1817f400-1955-4740-b648-73d8020a01ec,c4,c1,26,p1,?,surb={'id': 'dc01e61d-3184-4b9c-a1be-46656a1016da', 'route': ['p1', 'e1', 'i2', 'x3', 'p1', 'c4']}
1769475493.3689573,SENT,261422f0-7172-48a4-b36d-a366b6b26412,22e6194d-0c4c-468f-8e2d-d25fe464df6f,c1,c4,3391,?,p1,
1769475493.3691595,CREATED,7b115913-529a-4e72-9290-bf482e96c20f,756d71d6-8319-44e9-8cae-dd035c6267e7,c1,c4,25,?,?,surb={'id': '54f1a7a9-5fce-4f7c-9122-585f9cc6c4f9', 'route': ['p1', 'e2', 'i3', 'x12', 'p1', 'c1']}
1769475493.4572723,RECEIVED,876a86d5-b66c-4fb6-9029-37946c1dc88c,56599ce4-5779-4a31-a204-537308b18aaf,c4,c1,26,p1,?,surb={'id': 'd228cdf9-808c-488f-9af9-1430ad9eb0b9', 'route': ['p1', 'e8', 'i7', 'x4', 'p1', 'c4']}
1769475493.9132676,SENT,af517b3d-a87a-4cfb-afad-94f41a2dc2a5,ba9acdc0-3bb0-41bd-bd97-fb903857a89e,c1,c4,3374,?,p1,
1769475493.9134223,CREATED,89040d88-26c3-40d6-9117-b69795b3ff16,756d71d6-8319-44e9-8cae-dd035c6267e7,c1,c4,25,?,?,surb={'id': '54f1a7a9-5fce-4f7c-9122-585f9cc6c4f9', 'route': ['p1', 'e2', 'i3', 'x12', 'p1', 'c1']}
1769475493.9159806,RECEIVED,b9628e5c-768c-4421-873c-176bf0aa8700,8181b869-7c94-4617-99e4-b3114e8d11c3,c4,c1,27,p1,?,surb={'id': '7387c407-fc6f-47e1-a09c-ddcd4280c1da', 'route': ['p1', 'e9', 'i4', 'x8', 'p1', 'c4']}
1769475494.0301342,RECEIVED,fe770678-d7a2-4991-bcf2-9b9eaa60f00f,1817f400-1955-4740-b648-73d8020a01ec,c4,c1,26,p1,?,surb={'id': 'dc01e61d-3184-4b9c-a1be-46656a1016da', 'route': ['p1', 'e1', 'i2', 'x3', 'p1', 'c4']}
1769475494.5352674,RECEIVED,0ea60353-f866-443d-8841-2cf8b46b3769,1b0ada41-29fc-4d46-bfd2-1442e8a1e4b6,c4,c1,27,p1,?,surb={'id': 'de3f7fea-80c4-404f-8565-dc75e8ceb339', 'route': ['p1', 'e11', 'i12', 'x8', 'p1', 'c4']}
1769475494.7111585,SENT,65893b05-98d7-43df-98b6-1bd69d3f4b10,ee0b12ca-f83b-4eec-a733-73e366206568,c1,c4,3400,?,p1,
1769475494.711323,CREATED,2b5f2d8b-cb8a-4226-b4e7-1981ae2fadfd,1919758b-93f6-48a5-accf-d38b657fb69e,c1,c4,27,?,?,surb={'id': '3c751f8a-f6f5-41d4-991e-96e9388111c3', 'route': ['p1', 'e8', 'i7', 'x6', 'p1', 'c1']}
1769475495.0769448,SENT,717901a0-a06f-4962-bb4c-43e082cc1676,05db1303-f13d-49ad-bc96-b5bd08778dd5,c1,c4,3372,?,p1,
1769475495.0771234,CREATED,85182dfe-8b18-4ca5-896f-aac2bc02d431,1919758b-93f6-48a5-accf-d38b657fb69e,c1,c4,27,?,?,surb={'id': '3c751f8a-f6f5-41d4-991e-96e9388111c3', 'route': ['p1', 'e8', 'i7', 'x6', 'p1', 'c1']}
1769475495.2446053,RECEIVED,c97a9db8-abb8-4d3d-98f3-2f6c8c571588,9312ecbe-01e0-489c-b11a-80215764f2ad,c4,c1,26,p1,?,surb={'id': 'ede5abdd-c887-4d50-b1ff-71dfaa41e055', 'route': ['p1', 'e7', 'i7', 'x6', 'p1', 'c4']}
1769475495.3181393,RECEIVED,07dee516-b830-44f1-8267-25f7af29b103,b2e4cb7d-ea5c-460b-a546-ca7395a895f8,c4,c1,26,p1,?,surb={'id': 'e7ce6881-4d83-4fdf-ba51-f3ba83b32def', 'route': ['p1', 'e12', 'i6', 'x11', 'p1', 'c4']}
1769475495.3425524,SENT,29c5ab73-34e0-4b77-a5d0-709401a68706,3540f83f-6e92-4aac-b4dc-c16111977f2d,c1,c4,3365,?,p1,
1769475495.3427022,CREATED,308e886c-f8f4-43b9-b26e-54dba206fb21,0bc35a24-1d41-4c8a-9ed1-96887ccfc315,c1,c4,27,?,?,surb={'id': '1be189cf-7324-4d15-a912-165f14221747', 'route': ['p1', 'e12', 'i9', 'x8', 'p1', 'c1']}
1769475495.7127423,RECEIVED,137f8148-9481-4802-8387-0ba8be08cf98,88674d03-759c-4c77-b49e-0af61a272429,c4,c1,27,p1,?,surb={'id': 'cfdb6559-14fb-4577-9802-cdc93652d04f', 'route': ['p1', 'e3', 'i8', 'x3', 'p1', 'c4']}
1769475495.7913,SENT,dae2ce72-eeca-4f82-b31c-802e4258c73e,a4e49b47-5ae0-43e7-853c-d50edccfa0f8,c1,c4,3371,?,p1,
1769475495.7914515,CREATED,9cee065d-b10c-4676-8e18-89dffbcd6aa7,0bc35a24-1d41-4c8a-9ed1-96887ccfc315,c1,c4,27,?,?,surb={'id': '1be189cf-7324-4d15-a912-165f14221747', 'route': ['p1', 'e12', 'i9', 'x8', 'p1', 'c1']}
1769475495.823737,RECEIVED,af5d3c03-a237-4cd0-a7a3-a152af335a49,cce2c3f1-20e0-4fe7-b974-b624389ff532,c4,c1,27,p1,?,surb={'id': 'd63362d6-f258-4ae5-a51b-f34f0900f29a', 'route': ['p1', 'e10', 'i5', 'x3', 'p1', 'c4']}
1769475495.917879,SENT,48fee0b8-b9da-4d84-aeb4-f7b5c889721f,9eff04d0-4608-4538-94e2-2c799ba77663,c1,c4,3357,?,p1,
1769475495.9180279,CREATED,46b32a9c-499a-4f4e-aefd-9d256250a0f9,97d22231-8e4b-4a94-8122-39d99df2d3e0,c1,c4,26,?,?,surb={'id': '525e3864-be0b-442f-baa2-2449a23cb0ab', 'route': ['p1', 'e3', 'i2', 'x3', 'p1', 'c1']}
1769475496.3219981,SENT,1aa5e1b0-879c-4b15-815e-958455e2a629,64249bf9-0013-4bb6-a34e-74323e4e05c4,c1,c4,3387,?,p1,
1769475496.3224497,CREATED,2b024304-12c7-4253-87ed-ba3a19a3b9dc,97d22231-8e4b-4a94-8122-39d99df2d3e0,c1,c4,26,?,?,surb={'id': '525e3864-be0b-442f-baa2-2449a23cb0ab', 'route': ['p1', 'e3', 'i2', 'x3', 'p1', 'c1']}
1769475496.5992997,SENT,379bdc6d-bfb9-407d-b859-3626bf509b62,d5d4b35a-f208-4794-9776-b4f1d1e379d7,c1,c4,3363,?,p1,
