timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475341.9290829,CREATED,7e586ac0-7072-45e4-a2af-dbb9fc09f2e5,bdc9cf9a-cb2b-4c62-8b7b-6127e24670da,c1,c4,27,?,?,surb={'id': '2a99cc21-7de6-4e72-97d0-9d1659491021', 'route': ['p1', 'e6', 'i4', 'x1', 'p1', 'c1']}
1769475342.1532571,SENT,deec284b-8796-4435-88a9-e6ccf70a82f8,77df912d-97fb-4f57-8f17-a4076d138ea9,c1,c4,3371,?,p1,
1769475342.1533887,CREATED,f897776e-9af7-4aa1-b925-32fa6e2f8518,803c389a-56e5-4f89-a9f9-3fe95dced95b,c1,c4,27,?,?,surb={'id': '8312626f-b4bf-43ba-a391-1601966e7f6b', 'route': ['p1', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769475342.4904835,SENT,d358cf58-7766-4742-bc6f-b076557dd84a,433c66c3-64c0-450d-9d91-51d9ba9db049,c1,c4,3376,?,p1,
1769475342.4906344,CREATED,9d998597-19b9-47a2-a97e-b109009deb68,803c389a-56e5-4f89-a9f9-3fe95dced95b,c1,c4,27,?,?,surb={'id': '8312626f-b4bf-43ba-a391-1601966e7f6b', 'route': ['p1', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769475342.7132063,SENT,3b09e650-8256-4a22-a351-8c8c087bcf11,eb9d75be-1de3-4820-836a-0bdaef443ff4,c1,c4,3376,?,p1,
1769475342.7133977,CREATED,08370329-226a-4944-a9b5-5b276655afb2,e0631165-dc70-4f98-beee-5dcc4c32ef71,c1,c4,27,?,?,surb={'id': 'de88e46e-88c6-4cc9-82ee-ac04f18a3edb', 'route': ['p1', 'e9', 'i2', 'x2', 'p1', 'c1']}
1769475342.7316368,SENT,8af2ccf2-be09-4bcf-abad-3f87742b292b,04d314cb-14ea-436f-b5c8-583248368000,c1,c4,3387,?,p1,
1769475342.7317836,CREATED,126a25f7-27c6-4638-987b-711c6494bc79,e0631165-dc70-4f98-beee-5dcc4c32ef71,c1,c4,27,?,?,surb={'id': 'de88e46e-88c6-4cc9-82ee-ac04f18a3edb', 'route': ['p1', 'e9', 'i2', 'x2', 'p1', 'c1']}
1769475343.0441902,SENT,44c65345-eddc-4356-b8b9-07d09f5af561,b4a8416a-14fa-4cd6-b696-be1794c33491,c1,c4,3384,?,p1,
1769475343.0444489,CREATED,e6d0f908-a2f4-4753-a213-4d2748f17c90,13512525-aafd-48b6-92d7-3d9b91b387df,c1,c4,27,?,?,surb={'id': 'dd118e65-3a3d-4c39-a420-093c5cde1dfa', 'route': ['p1', 'e2', 'i2', 'x3', 'p1', 'c1']}
