timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475339.6471326,SENT,f7f694a6-2088-4b71-bc89-13773e8a9003,1e17e49b-11ec-400a-8fc5-f4acfa0dbd87,c4,c1,3396,?,p1,
1769475339.6472902,CREATED,76245b9e-fe19-40e4-8d4a-9ca96ed83c0c,e3f6fce0-aa38-4ff4-bee3-c54c0bd71d55,c4,c1,27,?,?,surb={'id': 'a0015d48-97cb-4f91-8113-6c63da7cba88', 'route': ['p1', 'e11', 'i2', 'x5', 'p1', 'c4']}
1769475339.9980247,SENT,1a6a6068-6421-4e10-a497-07805a36e144,1015c647-a76e-4b7f-b312-671fc13b74a0,c4,c1,3360,?,p1,
1769475339.9984756,CREATED,227b2bdb-3d99-4364-82e6-175ae6894df5,e3f6fce0-aa38-4ff4-bee3-c54c0bd71d55,c4,c1,27,?,?,surb={'id': 'a0015d48-97cb-4f91-8113-6c63da7cba88', 'route': ['p1', 'e11', 'i2', 'x5', 'p1', 'c4']}
1769475340.2250009,SENT,00565dfb-b464-4799-804a-ecf7881a77fb,952e2a86-1fd9-42b8-b9fc-af2782861147,c4,c1,3380,?,p1,
1769475340.2251832,CREATED,a3ae1f12-29f1-4751-bbca-65e90e3fef84,23007469-0b47-43d8-8e36-c3aad41c882e,c4,c1,27,?,?,surb={'id': '3c829501-4f6f-4c0e-8a51-6468f8687c08', 'route': ['p1', 'e7', 'i12', 'x6', 'p1', 'c4']}
1769475340.3271806,SENT,64a31178-8a8e-428f-9de3-0196fcd0c0ff,278f5c97-25cb-4603-9fb0-3a5e6b47ce71,c4,c1,3371,?,p1,
1769475340.3273265,CREATED,9a7ef607-49e1-41f5-a3e7-3b3fab6b271a,23007469-0b47-43d8-8e36-c3aad41c882e,c4,c1,27,?,?,surb={'id': '3c829501-4f6f-4c0e-8a51-6468f8687c08', 'route': ['p1', 'e7', 'i12', 'x6', 'p1', 'c4']}
1769475340.7519352,SENT,2a65936f-cdac-48d9-80c7-7a203cffdcb2,b54d8e97-c99a-479e-9e3e-41d17823c26f,c4,c1,3394,?,p1,
1769475340.7521029,CREATED,c0ff9591-f7f8-4539-a213-0ffb28d8464b,4666b41f-494c-48cf-bac2-3c64c7930c55,c4,c1,26,?,?,surb={'id': '3ee3aabe-9633-4aa6-9bea-de52c01b839c', 'route': ['p1', 'e4', 'i5', 'x10', 'p1', 'c4']}
1769475340.9329343,SENT,dda49602-d1a3-44b0-9eb1-ca733b92cf08,722406a8-6654-4d97-96f5-dd2a72562077,c4,c1,3376,?,p1,
1769475340.9333289,CREATED,a0179f0a-a041-4f9c-9eb6-ada3f716caac,4666b41f-494c-48cf-bac2-3c64c7930c55,c4,c1,26,?,?,surb={'id': '3ee3aabe-9633-4aa6-9bea-de52c01b839c', 'route': ['p1', 'e4', 'i5', 'x10', 'p1', 'c4']}
