timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769488297.544309,RECEIVED,3353f3e2-7083-4ab7-85fb-5a9180582744,2fde82c2-eac3-4b02-ac7a-0c90375eeee4,c1,c5,26,p2,?,surb={'id': '3eb59b1f-4c8e-4689-9a90-72aeef5c7edf', 'route': ['p2', 'e11', 'i5', 'x3', 'p1', 'c1']}
1769488297.622802,SENT,4931fce5-fa0d-48f2-b798-270774de5db6,be4eedff-a334-4446-95a1-d0912e5a94ef,c5,c3,3371,?,p2,
1769488297.6229472,CREATED,4b9e958d-a8f6-4a4c-b792-f6d93696c99f,5b3cdd76-1109-4f15-be83-b2b407113399,c5,c3,27,?,?,surb={'id': '1c8d64de-0471-4b26-afb3-385ebda1faa6', 'route': ['p3', 'e6', 'i1', 'x7', 'p2', 'c5']}
1769488297.8873732,SENT,81bcd12b-5814-45f5-a1f8-526a6656fc5f,9e62b7b2-e1ec-4fca-b3c0-f9fef812b0e6,c5,c3,3376,?,p2,
1769488297.8875291,CREATED,d3ad3f9c-691d-45d8-8a87-397f01c6e302,66dd9538-3ac4-43d2-9d87-5240a3d44be9,c5,c3,27,?,?,surb={'id': '80bb33ae-3ba4-4ce0-b25e-e15b89d09ff7', 'route': ['p3', 'e2', 'i11', 'x9', 'p2', 'c5']}
1769488298.0885556,SENT,bd1cab67-eb25-4dfa-a1ab-181ed3b1af19,b5bdc357-f3b8-47ed-a6c7-3834c24d8e97,c5,c3,3384,?,p2,
1769488298.088704,CREATED,e3bfbc19-5627-44cb-8b1e-ed49c994f8d9,35bcf9fb-29a0-404f-a48d-9c3c6997abd6,c5,c3,27,?,?,surb={'id': 'bb119bb3-490e-470f-aaa5-74f6cea6b0af', 'route': ['p3', 'e2', 'i7', 'x6', 'p2', 'c5']}
1769488298.325782,SENT,e0a3144d-cec6-4c79-9f77-8dfb290412d5,b9234641-523d-4a1e-bd8f-3e3f7edf94ce,c5,c3,3376,?,p2,
1769488298.3259408,CREATED,36ad106f-f001-4162-9f2c-b15bb0bca56b,e9332969-40b1-4be2-8651-e05595cd48e5,c5,c3,27,?,?,surb={'id': '54bb8528-2d75-40b9-9c18-b7ae8858e01d', 'route': ['p3', 'e5', 'i10', 'x6', 'p2', 'c5']}
1769488298.3394063,SENT,dbdb9bfb-1ae5-4d13-bd68-da6aeb39c1c8,7b959662-46b8-4e39-9a16-1e83d8f23d44,c5,c3,3372,?,p2,
1769488298.3395565,CREATED,8f76a568-ffc0-4a89-91fa-c706e2d2ac7f,b4194ee9-9dff-4fe0-9f5a-5f02b7df55ad,c5,c3,27,?,?,surb={'id': 'aa3ebe71-1cf4-4043-80a8-5655e0613479', 'route': ['p3', 'e7', 'i9', 'x8', 'p2', 'c5']}
1769488298.8845444,RECEIVED,18117408-b569-43f9-b0d9-2772645fb5d1,67934114-cd72-4eda-8b87-08ff1d198f06,c1,c5,26,p2,?,surb={'id': '918ba227-75d7-4a4f-b7df-0771fae4e2f4', 'route': ['p2', 'e12', 'i10', 'x4', 'p1', 'c1']}
1769488298.9501133,SENT,a77bdf00-6e59-4131-a237-65507ba66351,a632200d-96d6-4fd8-b866-098d8a7889f7,c5,c3,3376,?,p2,
1769488298.9502647,CREATED,1f6ed6e3-9599-470c-84cb-04cd7b768946,b8bb9805-1e3a-436e-8cd2-31d265fdf3c9,c5,c3,27,?,?,surb={'id': 'e53a92ec-4ed8-4a62-9a04-18dc4b59c499', 'route': ['p3', 'e6', 'i10', 'x5', 'p2', 'c5']}
1769488299.00874,RECEIVED,6199c52c-709f-4c71-90cd-fea7bdcd5725,54ce772f-3607-48c7-80bb-0845d2439607,c1,c5,26,p2,?,surb={'id': '0841b45a-77a0-4049-84af-bf313eff72a4', 'route': ['p2', 'e3', 'i8', 'x12', 'p1', 'c1']}
