timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769498167.5153654,SENT,40fde7d9-d68b-47f5-9f0e-77dafb7073fb,7f8e1db6-8c45-47e8-8e25-3c43ad0598a4,c4,c1,3410,?,p1,
1769498167.5155134,CREATED,1f23be37-c74e-49d6-92bd-032596d6ebda,37648594-f0cd-4f35-bd73-cbfa7b353621,c4,c1,27,?,?,surb={'id': '69c8ebf0-b5c1-4a60-b194-974bb5b113ff', 'route': ['p1', 'e7', 'i9', 'x11', 'p1', 'c4']}
1769498167.7834213,RECEIVED,8a010d67-a1fb-4157-b465-443414e0d1a8,897b0755-1f2c-409d-8173-bf444566eada,c3,c4,27,p1,?,surb={'id': 'a7fae131-c949-4ee5-9de4-79336c0fd0d3', 'route': ['p1', 'e6', 'i8', 'x10', 'p3', 'c3']}
1769498167.8970368,RECEIVED,84fb3714-baba-479e-8595-b22bafa6027b,120f3a60-cef6-4639-96ce-130754aea70f,c2,c4,27,p1,?,surb={'id': 'f52fd055-4750-4180-b6da-0dcff7934033', 'route': ['p1', 'e9', 'i1', 'x7', 'p2', 'c2']}
1769498168.0306113,RECEIVED,bef87a93-4d79-4e17-b22c-0f55c98883cd,7edd043e-6283-41ca-8b70-504d5749485d,c2,c4,26,p1,?,surb={'id': '3299124a-40ae-4c0e-9948-61bde44f82dd', 'route': ['p1', 'e12', 'i4', 'x4', 'p2', 'c2']}
1769498168.1303632,SENT,e1b75dcb-ec3e-4f5a-81d2-b396436170b1,b53ce325-3d3b-4aab-a64c-d92d4aa82535,c4,c1,3375,?,p1,
1769498168.13051,CREATED,a20405ad-16d2-4d75-a870-cfbc9cbcf3d1,5adac99b-f0c4-440f-8508-8f73e1ec1ce3,c4,c1,27,?,?,surb={'id': 'dde839fe-84e0-4fca-8a60-cfc8e54e71f5', 'route': ['p1', 'e8', 'i8', 'x2', 'p1', 'c4']}
1769498168.2827792,RECEIVED,9bd6bfcc-3a91-4adc-a314-3adfe9be9e30,29df0e21-83e5-437f-83ba-3cb3a8c8b205,c3,c4,26,p1,?,surb={'id': '54f26569-51f7-41ae-af63-30507daaa4c5', 'route': ['p1', 'e3', 'i10', 'x12', 'p3', 'c3']}
1769498168.7773027,SENT,7b0667e9-f889-4d99-a8d2-97ea46ad5af8,952742e3-279a-424e-a4dd-9260933046d0,c4,c1,3376,?,p1,
1769498168.7774544,CREATED,71a615ab-df5a-417c-8d52-c4bd3f9e5643,6e5ad2d4-4bdd-4b63-a589-7770a60b7afa,c4,c1,27,?,?,surb={'id': '7f775f3d-fd06-4a4f-b404-d151122dee9e', 'route': ['p1', 'e3', 'i8', 'x3', 'p1', 'c4']}
