Node,Mean_Entropy,Max_Entropy,Mean_Pool
e10,1.6163672504848794,3.2536410161459726,2.1055194805194803
e11,1.655089548887277,3.4246067539593534,2.117507886435331
e12,1.525195043088532,3.363100103101372,2.0056818181818183
e1,1.5195229605651268,3.3718937519822165,2.0008110300081103
e2,1.4772408133932626,3.1053885422075336,1.9517857142857142
e3,1.5768574981821635,3.2849007111261415,2.065735414954807
e4,1.640670386001179,3.3812308943821208,2.120218579234973
e5,1.4819637830866095,3.0088840705376363,1.9520714865962632
e6,1.522672740950963,3.2693704560662624,2.007328990228013
e7,1.6109481181772423,3.0260365115898047,2.0722222222222224
e8,1.4887623149389697,3.2616303590783344,1.9956896551724137
e9,1.5114970689713192,3.16839532032129,2.0015885623510723
i10,1.5175694715385135,3.3725288629159724,2.0261865793780687
i11,1.5525633364962232,3.2801826469111157,2.0472573839662447
i12,1.4609670856215617,3.128783493486176,1.936995153473344
i1,1.4961056836830553,3.4567522757625824,1.985774058577406
i2,1.4752381875155385,3.082216535759204,1.9492868462757529
i3,1.5596243428484606,3.2424991557615694,2.0419303797468356
i4,1.6951200224148089,3.271452690986907,2.1714285714285713
i5,1.5078994573390927,3.4381612013662677,2.038174273858921
i6,1.4747279185697395,3.0888840705376364,1.9650872817955112
i7,1.5871944222589234,3.3160910488394215,2.06753458096013
i8,1.5624400308648156,3.0390795706241747,2.0596293311845284
i9,1.5276758018498258,3.395995763561626,2.0131470829909612
p1,5.083866324821555,5.679827904672886,13.47280221636597
p2,4.749906330458015,5.4630315395262885,10.898777173913043
p3,2.6977361595217118,4.348376679883977,3.4502964771538194
x10,1.596140085880987,3.1658375756278154,2.0824175824175826
x11,1.5421299866823543,3.2368573034220742,2.0285493827160495
x12,1.5632107139345637,3.4831193478446143,2.0586319218241043
x1,1.5346478819730092,3.3378139233806228,2.0220228384991845
x2,1.5039170125516692,3.0220552088742005,1.9652542372881356
x3,1.5048669093668559,3.1847000187467374,1.991769547325103
x4,1.5067873343103984,3.418385544478034,2.0008445945945947
x5,1.5699742474092635,3.26446478983694,2.045304777594728
x6,1.613737193974096,3.226631317329672,2.0779220779220777
x7,1.6187419938602041,3.4389471900553206,2.111816019032514
x8,1.5779660149054198,3.1961688334630205,2.0776942355889725
x9,1.4586101384443577,3.105776078702696,1.943163097199341
