timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733117.9878764,RECEIVED,c22b654b-2b9a-4cdd-bee0-3f589be49e6a,e2668905-3c67-4558-b3c0-0679fd155f64,c2,c4,27,p1,?,surb={'id': '50c8362e-10ac-4941-8138-b730477ef1ee', 'route': ['p1', 'e1', 'i1', 'x1', 'p2', 'c2']}
1769733118.1674075,RECEIVED,e563bbb0-3389-42e0-94a2-90e560414a46,b23fe9f7-5a9b-4c12-bb17-d13f5c2fb9a0,c5,c4,27,p1,?,surb={'id': '04b67c79-3ff2-4922-ab93-3ab4c980444d', 'route': ['p1', 'e3', 'i11', 'x3', 'p2', 'c5']}
1769733118.1892564,SENT,2763ba60-e9ba-4c37-bb8b-52f2b0be3414,db2afc9e-65ba-45b7-9030-cbef8dd314dc,c4,c2,3400,?,p1,
1769733118.1893835,CREATED,197bdcd4-3293-40ec-9e22-ba48a6939eff,2dda6093-5996-4b09-b0ff-562051d4985c,c4,c2,27,?,?,surb={'id': 'e3536a75-ab61-4689-9007-a33b42a17f68', 'route': ['p2', 'e1', 'i6', 'x8', 'p1', 'c4']}
1769733118.3812757,RECEIVED,b71d5c10-1a94-4bc1-a3b2-6fd462bb08b2,b23fe9f7-5a9b-4c12-bb17-d13f5c2fb9a0,c5,c4,27,p1,?,surb={'id': '04b67c79-3ff2-4922-ab93-3ab4c980444d', 'route': ['p1', 'e3', 'i11', 'x3', 'p2', 'c5']}
1769733118.4140153,SENT,5fbad1f7-b8dc-4459-a341-23f193967b93,ca6de173-3c1f-4c53-a10a-c66df88b5ba4,c4,c2,3359,?,p1,
1769733118.414193,CREATED,00a7d075-6833-4a27-bb87-24fd7d6fd1a7,2dda6093-5996-4b09-b0ff-562051d4985c,c4,c2,27,?,?,surb={'id': 'e3536a75-ab61-4689-9007-a33b42a17f68', 'route': ['p2', 'e1', 'i6', 'x8', 'p1', 'c4']}
1769733118.7443664,RECEIVED,f783f683-274c-4e6c-9e60-3909296aeab0,cda1b7e2-baa3-4a98-ae88-40274453b49d,c5,c4,26,p1,?,surb={'id': 'c0923370-cfcc-41df-ab92-d60e4c99d7e8', 'route': ['p1', 'e2', 'i3', 'x6', 'p2', 'c5']}
1769733118.8304033,SENT,36a95822-e4be-406e-9f1b-80754dc2cd04,92c0d5e0-42aa-4a73-85b7-0f9b38a7a9c9,c4,c2,3360,?,p1,
1769733118.8305378,CREATED,7b61887d-697f-4e1b-93e3-d3e679ca29d6,a262db95-11c8-4039-a45b-392cc0b4b2d9,c4,c2,27,?,?,surb={'id': '76fbefe8-aae2-4719-8d1d-fdc62c40a815', 'route': ['p2', 'e12', 'i6', 'x3', 'p1', 'c4']}
1769733119.0099554,SENT,0ed87bb5-1377-4ff8-91fe-9adf01d58832,6ca1752e-1201-46b5-9c45-d0ce5ea939f9,c4,c2,3359,?,p1,
1769733119.0101433,CREATED,2e25083e-9591-4d75-b81c-77bab120a0ee,a262db95-11c8-4039-a45b-392cc0b4b2d9,c4,c2,27,?,?,surb={'id': '76fbefe8-aae2-4719-8d1d-fdc62c40a815', 'route': ['p2', 'e12', 'i6', 'x3', 'p1', 'c4']}
1769733119.119808,RECEIVED,68c01258-9a1b-4806-8ace-2564a8639316,b02b5c63-7885-4463-a443-528965b8f03a,c5,c4,27,p1,?,surb={'id': '1b1aa3d2-33a9-4d4b-9ad5-dac992049022', 'route': ['p1', 'e8', 'i11', 'x5', 'p2', 'c5']}
1769733119.1376922,SENT,fc4f1fb3-294c-4dcc-86ee-ae7fe2a5a361,c4dcb303-379c-4b68-b83e-a1ea69f42f9f,c4,c2,3363,?,p1,
1769733119.1378255,CREATED,f14a2d06-a1c6-4f5d-b91d-1f56faad4114,bccfb3b5-358c-4e80-ba79-021d3e37d757,c4,c2,27,?,?,surb={'id': 'f6cc6f42-2d84-4fdb-ae08-550e28c5a0fb', 'route': ['p2', 'e7', 'i1', 'x7', 'p1', 'c4']}
1769733119.283387,SENT,df43c4ae-b843-47e6-a768-8f2cacc4bc35,238fd790-6d16-472f-b421-9b91ee08a3c5,c4,c2,3384,?,p1,
1769733119.283509,CREATED,24f06e5e-7f47-451b-8a96-f6d08a8153db,bccfb3b5-358c-4e80-ba79-021d3e37d757,c4,c2,27,?,?,surb={'id': 'f6cc6f42-2d84-4fdb-ae08-550e28c5a0fb', 'route': ['p2', 'e7', 'i1', 'x7', 'p1', 'c4']}
1769733119.3357112,SENT,6963517a-96e7-4679-9ce8-d442b5b67eb6,fb43ee7a-f031-47ce-9cd9-cbd9e26fb247,c4,c2,3397,?,p1,
