timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733113.211325,SENT,e85a67d8-93ca-4464-ab94-a73b299bdb11,f4a35481-c448-461e-8ff8-5e99eb7d71fc,c2,c4,3388,?,p2,
1769733113.211466,CREATED,c605c2b5-4d06-4578-a167-4383dbf52b96,717387e4-7d87-4cbf-abbc-ca83cfa68b6d,c2,c4,26,?,?,surb={'id': '97700c0c-bc79-4b34-baf3-9a3e9c3da6c7', 'route': ['p1', 'e9', 'i12', 'x4', 'p2', 'c2']}
1769733114.4703097,SENT,913c2527-9c55-4eed-a45c-ee6ecc17933d,ad20fa6c-1903-416e-b29e-12af24eec192,c2,c4,3375,?,p2,
1769733114.4704611,CREATED,2742d86d-0423-4a31-8035-9ef09af1d366,717387e4-7d87-4cbf-abbc-ca83cfa68b6d,c2,c4,26,?,?,surb={'id': '97700c0c-bc79-4b34-baf3-9a3e9c3da6c7', 'route': ['p1', 'e9', 'i12', 'x4', 'p2', 'c2']}
1769733114.655655,SENT,a30d0fcf-735c-4abd-bc58-1555a97f774a,15ef27bb-27d5-4cf0-83e9-c2b8cc455284,c2,c4,3387,?,p2,
1769733114.655797,CREATED,c22b654b-2b9a-4cdd-bee0-3f589be49e6a,e2668905-3c67-4558-b3c0-0679fd155f64,c2,c4,27,?,?,surb={'id': '50c8362e-10ac-4941-8138-b730477ef1ee', 'route': ['p1', 'e1', 'i1', 'x1', 'p2', 'c2']}
1769733115.0415375,SENT,b9e824ec-69c4-4046-a00a-1ad2f5036be3,c4d19c69-9442-4b10-9b1b-1cf703d43f0d,c2,c4,3379,?,p2,
1769733115.0416863,CREATED,598bb4b1-1b32-4c68-bec6-b27548cfee52,e2668905-3c67-4558-b3c0-0679fd155f64,c2,c4,27,?,?,surb={'id': '50c8362e-10ac-4941-8138-b730477ef1ee', 'route': ['p1', 'e1', 'i1', 'x1', 'p2', 'c2']}
1769733115.2173164,SENT,c86498cb-750b-4edc-9273-2f8022a8fd92,5623a1d8-2d62-4949-b565-72123dda7339,c2,c4,3367,?,p2,
1769733115.2174592,CREATED,ecb4f321-1999-4ce5-88fb-7e37276fb321,eca91357-9266-4e03-904c-2e3386b4e9d0,c2,c4,26,?,?,surb={'id': '17416f0c-fe36-4710-816d-568da0d3d55a', 'route': ['p1', 'e8', 'i3', 'x11', 'p2', 'c2']}
1769733115.5046716,SENT,300fa847-80bd-4b5a-a808-7e2ea0b44421,304179b3-6909-4f91-ab96-ffbd3f208c5a,c2,c4,3372,?,p2,
1769733115.5048034,CREATED,8e97aa18-f675-4eb1-8f24-3e95f3e011ea,eca91357-9266-4e03-904c-2e3386b4e9d0,c2,c4,26,?,?,surb={'id': '17416f0c-fe36-4710-816d-568da0d3d55a', 'route': ['p1', 'e8', 'i3', 'x11', 'p2', 'c2']}
