timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769497547.6789017,SENT,65e4929c-c26f-4e38-a010-6335dab9dc8d,64eb091b-235a-4cd2-8571-b7ddc3d76e59,c4,DROP,2016,?,p1,
1769497547.6790414,CREATED,1b9efe81-0599-4a3b-bb47-8c60003337e7,625366bf-00c8-41ae-9935-2b0b2138d43b,c4,DROP,27,?,?,
1769497548.0298066,SENT,2af4677d-4630-4a1f-86bd-b15b1d7135ff,1c2e5224-63c7-46ef-8668-fb50db609cbf,c4,DROP,2031,?,p1,
1769497548.0299258,CREATED,0fb3a44d-eede-4e58-86a9-973210753fb2,3ef7b5f0-5c55-46c6-b243-b32024bf70a7,c4,DROP,27,?,?,
1769497548.2647858,SENT,06bc9c18-a016-428a-89ae-93434c55dcf3,05b3b1ba-eca9-4797-b681-11709109b679,c4,DROP,2032,?,p1,
1769497548.2649045,CREATED,615f260c-50a4-4bbe-a561-801e0989ff2d,a2460bae-185b-464b-b8ae-cdff1194bb13,c4,DROP,27,?,?,
1769497549.0057824,SENT,58e3daee-f605-4b90-b9d0-316608f12ae6,66622fbc-5197-49c3-be15-742815676e4d,c4,c3,3396,?,p1,
1769497549.0059192,CREATED,b85c289d-1834-4a7b-9ead-5aab63f66e39,297cb2d0-1070-4b7b-9adf-d5b7f5e8e512,c4,c3,26,?,?,surb={'id': '72c6bd16-888e-4cf1-992c-6d1250660a60', 'route': ['p3', 'e7', 'i12', 'x10', 'p1', 'c4']}
1769497549.6164916,SENT,16c9db0f-7c4e-4d1d-8a19-7a2bc3c269e0,eaba42e7-7002-488a-9ceb-c5e387a065e6,c4,c3,3394,?,p1,
1769497549.6166463,CREATED,7cc0be7f-aa3c-4280-8d82-caae049c2082,297cb2d0-1070-4b7b-9adf-d5b7f5e8e512,c4,c3,26,?,?,surb={'id': '72c6bd16-888e-4cf1-992c-6d1250660a60', 'route': ['p3', 'e7', 'i12', 'x10', 'p1', 'c4']}
1769497549.6317194,SENT,89d6ded2-f7f2-4974-a574-6c80fc9caac3,ef8e9841-5505-434f-9ddc-4827293f6fbf,c4,c3,3375,?,p1,
1769497549.6318533,CREATED,2bbcf617-ef66-4d27-a51a-d72ba711f352,f6b33046-f576-4fe9-a02f-1415dea76ef8,c4,c3,27,?,?,surb={'id': 'd5982b55-26ed-4fff-aef9-d049ad81ec83', 'route': ['p3', 'e8', 'i11', 'x8', 'p1', 'c4']}
1769497550.0828688,RECEIVED,ff1fe58e-ec42-4462-bf39-392096349f09,f6021c46-5aad-4854-aab6-098845f7c188,c3,c4,26,p1,?,surb={'id': '399b4aea-20a2-4ba4-add9-0395f5029893', 'route': ['p1', 'e2', 'i9', 'x7', 'p3', 'c3']}
1769497550.5902398,RECEIVED,663828d0-d915-4c35-999e-cadfcaa0c10f,f6021c46-5aad-4854-aab6-098845f7c188,c3,c4,26,p1,?,surb={'id': '399b4aea-20a2-4ba4-add9-0395f5029893', 'route': ['p1', 'e2', 'i9', 'x7', 'p3', 'c3']}
1769497550.6037667,SENT,64cad033-30eb-4b04-aac0-4966515e756d,1d107ae3-5e31-402a-b0e1-377e8e4c1203,c4,c3,3371,?,p1,
1769497550.6039155,CREATED,311bb9c8-5585-41bb-accd-43e2a4f617aa,f6b33046-f576-4fe9-a02f-1415dea76ef8,c4,c3,27,?,?,surb={'id': 'd5982b55-26ed-4fff-aef9-d049ad81ec83', 'route': ['p3', 'e8', 'i11', 'x8', 'p1', 'c4']}
1769497551.5930862,SENT,ae6200d6-b746-44e0-937e-1b3303782396,95e24618-525b-44d7-b362-411645005fac,c4,c3,3391,?,p1,
1769497551.593261,CREATED,69a40204-4fdc-4d7a-b5d7-d4093dd8d025,8c8bb815-c849-41fc-be1f-15dabe9f553a,c4,c3,27,?,?,surb={'id': 'a8ac3eb7-c209-46b1-9dcc-7d6909360ed6', 'route': ['p3', 'e10', 'i10', 'x9', 'p1', 'c4']}
1769497551.6098194,RECEIVED,20ce5c4c-db2d-4cae-9b5a-9563adfbe989,96924ccc-df7c-4435-8fe9-89dbe1508281,c3,c4,27,p1,?,surb={'id': 'e51b85c4-e2d7-4fd6-94f8-90bbaefdc0f4', 'route': ['p1', 'e2', 'i12', 'x12', 'p3', 'c3']}
1769497552.1839135,SENT,cce843d4-f769-43f3-ba63-375b0613dcd4,0757edfb-6b7e-43d2-97f7-b7e69e9d965f,c4,c3,3387,?,p1,
1769497552.184088,CREATED,f7bea831-7b0e-4221-8535-7f61d48541a3,8c8bb815-c849-41fc-be1f-15dabe9f553a,c4,c3,27,?,?,surb={'id': 'a8ac3eb7-c209-46b1-9dcc-7d6909360ed6', 'route': ['p3', 'e10', 'i10', 'x9', 'p1', 'c4']}
1769497552.2191608,SENT,52c86cb7-5029-4200-936b-6a078c3da169,2390afd3-f785-4f70-a157-0010cf076fd4,c4,c3,3387,?,p1,
