timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769497547.3017447,SENT,07e3b6a2-821d-4ac4-94b8-e136c11d1bb8,03b4fb2c-a8c8-4466-8873-9afe256b9b08,c2,c1,3396,?,p2,
1769497547.3019025,CREATED,b63789b4-c579-4d9d-b7d7-0cc3a8194818,4e024b63-186a-49b2-96ae-21ed68b6f4b2,c2,c1,27,?,?,surb={'id': 'd991c29d-138f-4835-bcad-8268526c462d', 'route': ['p1', 'e3', 'i9', 'x12', 'p2', 'c2']}
1769497550.1638248,RECEIVED,f7b1816e-072d-4229-96ee-9a458c1ccc7b,0a2f3b10-761f-49e0-9b9f-29c43ec1de1b,c5,c2,27,p2,?,surb={'id': '28ff7e61-2340-42b5-850e-c8f98270f0f5', 'route': ['p2', 'e5', 'i12', 'x6', 'p2', 'c5']}
1769497550.177099,RECEIVED,81a5a331-c8ae-45a8-8d49-3174d0a02354,2d569d89-a789-499c-9f41-f1e2f58fad22,c5,c2,27,p2,?,surb={'id': '4b522d63-df0a-46a1-a8d8-4f3c2c91ff40', 'route': ['p2', 'e10', 'i9', 'x2', 'p2', 'c5']}
1769497550.2096689,RECEIVED,653b9088-d300-4e76-bcce-b5713395f18e,19c1bb8e-cc15-403b-9be6-e90c9c8e0487,c5,c2,26,p2,?,surb={'id': '6c70bd9a-668a-40ac-b64b-7847f55a8b57', 'route': ['p2', 'e12', 'i10', 'x10', 'p2', 'c5']}
1769497550.2253263,RECEIVED,cf47b4ef-5fab-4a94-8447-ed4a9c0abff8,d0c885ec-32ed-4d66-8791-82e519751ee0,c5,c2,27,p2,?,surb={'id': 'fdfd6fe4-b875-465a-a243-6c9da650f863', 'route': ['p2', 'e2', 'i2', 'x6', 'p2', 'c5']}
1769497550.237476,RECEIVED,d8b805d2-6fb1-4a22-84f0-9046897e3619,19c1bb8e-cc15-403b-9be6-e90c9c8e0487,c5,c2,26,p2,?,surb={'id': '6c70bd9a-668a-40ac-b64b-7847f55a8b57', 'route': ['p2', 'e12', 'i10', 'x10', 'p2', 'c5']}
1769497550.3284128,SENT,19891c89-f039-44ce-8b52-6e6f2277c777,33d1eecd-0270-41b1-bd33-ad7014bed19b,c2,c1,3375,?,p2,
1769497550.328558,CREATED,f14b5b41-8d76-4a1c-853d-8ad6c88ccc55,110636de-6ff0-4a86-b612-7818700cf933,c2,c1,27,?,?,surb={'id': 'cfe04508-09e2-4b5a-ab28-7a4484afc90b', 'route': ['p1', 'e7', 'i5', 'x3', 'p2', 'c2']}
1769497550.680223,RECEIVED,2df0d3c6-b9fe-4d6a-9542-c1635fb878a9,0a2f3b10-761f-49e0-9b9f-29c43ec1de1b,c5,c2,27,p2,?,surb={'id': '28ff7e61-2340-42b5-850e-c8f98270f0f5', 'route': ['p2', 'e5', 'i12', 'x6', 'p2', 'c5']}
1769497550.7853293,SENT,fe43e0a6-f0b4-4eb3-961d-fb6f3c859013,910f613d-170e-4e72-b0a1-caee8dac09b1,c2,c1,3391,?,p2,
1769497550.7854774,CREATED,5e8f702a-2a1f-491e-82e6-348eeab05108,7f6becff-31c0-46b7-88e2-888fce8add33,c2,c1,27,?,?,surb={'id': 'f6073f77-1bd9-4757-b1b1-f50c3654117c', 'route': ['p1', 'e9', 'i11', 'x9', 'p2', 'c2']}
1769497551.1855934,SENT,cd5665d8-b23e-411a-adbf-3320345b222d,00030b7d-cd4e-4142-8b4d-bdf37b497fc7,c2,c1,3360,?,p2,
1769497551.1857407,CREATED,5f4f5600-5864-4fd3-b672-cab636ff88d0,7f6becff-31c0-46b7-88e2-888fce8add33,c2,c1,27,?,?,surb={'id': 'f6073f77-1bd9-4757-b1b1-f50c3654117c', 'route': ['p1', 'e9', 'i11', 'x9', 'p2', 'c2']}
1769497551.592676,SENT,f72deb10-d2a3-4c62-a002-7e51d9474dcc,bb0b515d-288d-4c42-8555-65844e6dec06,c2,c1,3363,?,p2,
1769497551.5928223,CREATED,52f2fca9-a8ea-409c-8534-2eafd4aadb37,f52f40af-c290-4720-8f81-18d1201d02b0,c2,c1,27,?,?,surb={'id': 'd7782408-0f1f-42cc-9611-e5de5f1e90e0', 'route': ['p1', 'e5', 'i1', 'x2', 'p2', 'c2']}
1769497551.6913207,RECEIVED,3d3c4ce7-4be6-4b0b-b2ae-e0922a1370ab,2d569d89-a789-499c-9f41-f1e2f58fad22,c5,c2,27,p2,?,surb={'id': '4b522d63-df0a-46a1-a8d8-4f3c2c91ff40', 'route': ['p2', 'e10', 'i9', 'x2', 'p2', 'c5']}
1769497552.2055404,SENT,fdd956ed-a2af-48a3-9e06-205ccaf1fdf0,ee991d34-f9f7-492c-8165-f48e221851ba,c2,c1,3363,?,p2,
1769497552.205694,CREATED,a472043d-c5d2-4e4d-959d-08e965bbd5f6,f52f40af-c290-4720-8f81-18d1201d02b0,c2,c1,27,?,?,surb={'id': 'd7782408-0f1f-42cc-9611-e5de5f1e90e0', 'route': ['p1', 'e5', 'i1', 'x2', 'p2', 'c2']}
1769497552.3264258,SENT,2fe530e7-6ecd-4d25-952a-481348c7c123,084586cd-2d56-4ecd-b73e-e7a5a86f4f66,c2,c1,3380,?,p2,
1769497552.3265758,CREATED,bab1fa93-707f-4e13-b5b9-362897e7755b,0b31eec5-7a18-442d-9f06-30f135f4d165,c2,c1,26,?,?,surb={'id': '2a588506-c768-4d2b-adb1-8c71433045f9', 'route': ['p1', 'e9', 'i6', 'x5', 'p2', 'c2']}
1769497552.4512937,SENT,01a360c8-584d-43d1-a45f-3b6c88fa6b74,2b225e7f-a062-4b60-9005-9a9449675fb7,c2,c1,3356,?,p2,
1769497552.45145,CREATED,ec71d089-e434-43b5-aa46-54f2af14eecd,0b31eec5-7a18-442d-9f06-30f135f4d165,c2,c1,26,?,?,surb={'id': '2a588506-c768-4d2b-adb1-8c71433045f9', 'route': ['p1', 'e9', 'i6', 'x5', 'p2', 'c2']}
1769497552.5094414,RECEIVED,37f1ac21-679b-42d9-9f08-34c264d064a0,87393924-a9ee-423c-853d-2af7ee24c3fd,c5,c2,27,p2,?,surb={'id': '18cb5223-c5b0-44ae-807c-3a02b6bc5e67', 'route': ['p2', 'e10', 'i10', 'x1', 'p2', 'c5']}
1769497552.691036,RECEIVED,8c9d0ac5-fd28-4917-962d-b04b82dbd439,87393924-a9ee-423c-853d-2af7ee24c3fd,c5,c2,27,p2,?,surb={'id': '18cb5223-c5b0-44ae-807c-3a02b6bc5e67', 'route': ['p2', 'e10', 'i10', 'x1', 'p2', 'c5']}
1769497552.7834494,SENT,a213ad84-07cc-496c-af45-f2cd3a69b526,27b0dc5a-b849-4b58-b086-288cb8dc980a,c2,c1,3360,?,p2,
1769497552.7836142,CREATED,abbb34cd-c499-4863-9e57-311cc2215d89,b847e27b-580f-4cdc-ba89-250f466f1656,c2,c1,26,?,?,surb={'id': '57b7eff2-9f1a-4ba8-844b-3ada291a109a', 'route': ['p1', 'e5', 'i5', 'x12', 'p2', 'c2']}
1769497553.036875,SENT,4d816426-6832-480c-90f1-af67a348e164,f45af436-2fe5-48cc-966d-ce97a7235de7,c2,c1,3375,?,p2,
1769497553.037027,CREATED,d8a9c3c5-f16f-4943-ac12-dffbc6b0f3c2,b847e27b-580f-4cdc-ba89-250f466f1656,c2,c1,26,?,?,surb={'id': '57b7eff2-9f1a-4ba8-844b-3ada291a109a', 'route': ['p1', 'e5', 'i5', 'x12', 'p2', 'c2']}
1769497553.1001859,SENT,248bf0ee-d824-4ecb-a7fb-a5903335d3ca,cebd3044-c27c-4284-9bc1-b6d29b1fdcb0,c2,c1,3363,?,p2,
1769497553.1004078,CREATED,27f31ea2-4820-48c0-acc3-62fb38910620,f34a5ff1-f351-4af3-ab5f-1916964ab8df,c2,c1,27,?,?,surb={'id': '0939447b-0a71-4ff2-ae41-ec12c4a06caa', 'route': ['p1', 'e4', 'i6', 'x6', 'p2', 'c2']}
1769497553.3875344,SENT,06f02503-68bd-4f7e-942d-2c6eae6f325d,fff540df-1f24-4ed1-9b9c-caf97a5f5e67,c2,c1,3375,?,p2,
1769497553.3877094,CREATED,aab9ce6d-fbfa-42df-9a11-36da9d7e4ef7,f34a5ff1-f351-4af3-ab5f-1916964ab8df,c2,c1,27,?,?,surb={'id': '0939447b-0a71-4ff2-ae41-ec12c4a06caa', 'route': ['p1', 'e4', 'i6', 'x6', 'p2', 'c2']}
1769497553.576542,SENT,722cfd02-1ef3-418e-a8ce-f30b473c14ef,82e40686-af33-40ff-bbb0-74e993b76d45,c2,c1,3376,?,p2,
1769497553.576693,CREATED,144b9448-7fb8-4ba1-848f-d461575688ff,c752e263-ccd5-4774-8b42-9f8a25581994,c2,c1,26,?,?,surb={'id': '6f705b01-b309-4049-9e3d-2a1195a5ea72', 'route': ['p1', 'e4', 'i4', 'x1', 'p2', 'c2']}
1769497553.8041835,SENT,93fdc783-e63a-4a90-9c55-3bb8765fc75f,a92a2442-d521-4ef7-a5c0-653e3769ce60,c2,c1,3359,?,p2,
1769497553.8043354,CREATED,db287330-e424-477d-a4ac-8718b265503b,c752e263-ccd5-4774-8b42-9f8a25581994,c2,c1,26,?,?,surb={'id': '6f705b01-b309-4049-9e3d-2a1195a5ea72', 'route': ['p1', 'e4', 'i4', 'x1', 'p2', 'c2']}
1769497553.8916519,RECEIVED,a00a84cf-ea56-44ad-9465-acb3689afa28,0b610a79-1542-4d6b-a4d5-869f905f0a27,c5,c2,27,p2,?,surb={'id': '1d8b7df3-06c7-420c-9f09-662eb1e48a0c', 'route': ['p2', 'e7', 'i8', 'x5', 'p2', 'c5']}
1769497553.9526186,SENT,7e8e5fef-dd13-4d7b-a49e-1622de81369d,3af7fd92-9d30-48cd-8658-caf9205d351d,c2,c1,3380,?,p2,
1769497553.9527593,CREATED,4e3c0ea0-5ca0-4f96-93bc-00739da642cd,fd911d78-57ab-4554-8812-d6bff61410a8,c2,c1,27,?,?,surb={'id': '1ed7cdf6-8756-4fed-82ad-754f27d64fbd', 'route': ['p1', 'e8', 'i5', 'x8', 'p2', 'c2']}
1769497553.989742,RECEIVED,5031ae93-2f04-4a95-a665-8a804cc0e22e,cad40a83-0561-4193-853d-25682bf749c5,c5,c2,27,p2,?,surb={'id': '4b35f8ca-25e3-4dad-838e-ba67908080e1', 'route': ['p2', 'e8', 'i4', 'x9', 'p2', 'c5']}
1769497554.0290174,RECEIVED,12cabda5-c1ef-47d8-a2a6-57f6a6410ce3,f56dcc68-0d65-42ed-939f-c5e71b180191,c5,c2,25,p2,?,surb={'id': '8614a3fd-eadd-46d0-9b8b-baf5c4c4559f', 'route': ['p2', 'e6', 'i9', 'x3', 'p2', 'c5']}
1769497554.285355,SENT,0bcff53f-f277-474d-85fd-8aa4b8707b97,5b12884f-34e5-437c-a86e-8f5511989d15,c2,c1,3379,?,p2,
1769497554.2855067,CREATED,b1685b10-c15c-4ecc-b278-ee9663a9952b,fd911d78-57ab-4554-8812-d6bff61410a8,c2,c1,27,?,?,surb={'id': '1ed7cdf6-8756-4fed-82ad-754f27d64fbd', 'route': ['p1', 'e8', 'i5', 'x8', 'p2', 'c2']}
1769497554.778787,RECEIVED,0d76d3c5-8e70-447c-84f7-ef6f00128690,3fdffc7b-6f84-4a80-aa62-36c6fa36b884,c5,c2,26,p2,?,surb={'id': '8e7b038a-b8df-417a-b207-fdf492a320b1', 'route': ['p2', 'e8', 'i6', 'x12', 'p2', 'c5']}
1769497554.8078277,SENT,c98e6fea-0977-44ae-8bb2-ec77559b08c9,59c9addb-841c-4f60-b652-42e726914889,c2,c1,3372,?,p2,
1769497554.808008,CREATED,60f7c746-cffb-45e3-a519-eca5ee9a7774,64af5f22-dd0f-4da6-84bb-ec8113d8afa7,c2,c1,26,?,?,surb={'id': '79b7bac3-f555-45a2-b670-2268c3bee737', 'route': ['p1', 'e4', 'i10', 'x5', 'p2', 'c2']}
1769497554.8185472,RECEIVED,e91adbd8-4ab8-4535-beca-59e760e538c0,8f715c46-d576-4df8-97ee-bc0932416bb5,c5,c2,26,p2,?,surb={'id': '34be3a3e-6473-4052-b262-d9e710337707', 'route': ['p2', 'e12', 'i1', 'x12', 'p2', 'c5']}
1769497554.8748941,RECEIVED,0888946f-ae9c-496e-aaa4-749f0278cd47,cad40a83-0561-4193-853d-25682bf749c5,c5,c2,27,p2,?,surb={'id': '4b35f8ca-25e3-4dad-838e-ba67908080e1', 'route': ['p2', 'e8', 'i4', 'x9', 'p2', 'c5']}
1769497555.0523753,SENT,d614ada2-7900-41c7-8a04-8d1f42d9203f,643bdafb-5a43-4a6d-bf0d-92cceec5b61a,c2,c1,3375,?,p2,
1769497555.052528,CREATED,88375ee5-5b2c-4aa4-b842-82b4109d80d9,64af5f22-dd0f-4da6-84bb-ec8113d8afa7,c2,c1,26,?,?,surb={'id': '79b7bac3-f555-45a2-b670-2268c3bee737', 'route': ['p1', 'e4', 'i10', 'x5', 'p2', 'c2']}
1769497555.2066028,RECEIVED,ba449f4f-d097-4ff5-b8b2-7c84ed0c6797,0b610a79-1542-4d6b-a4d5-869f905f0a27,c5,c2,27,p2,?,surb={'id': '1d8b7df3-06c7-420c-9f09-662eb1e48a0c', 'route': ['p2', 'e7', 'i8', 'x5', 'p2', 'c5']}
1769497555.2409272,SENT,259b4a3e-cb6b-4c42-b71d-72fec10e4218,c07d0621-4597-4dbf-b051-a53d9de30e94,c2,c1,3400,?,p2,
1769497555.241103,CREATED,64d1d13c-8fef-4ec2-94a2-17bdceb744ff,1ab49dbc-e764-44ec-a12d-069ea4e2dd24,c2,c1,27,?,?,surb={'id': '0c5d2617-95bf-4269-b496-f96f6f87c982', 'route': ['p1', 'e5', 'i2', 'x5', 'p2', 'c2']}
1769497555.3403876,RECEIVED,9289f063-4823-4dbf-b384-6b27e9c75f8c,f56dcc68-0d65-42ed-939f-c5e71b180191,c5,c2,25,p2,?,surb={'id': '8614a3fd-eadd-46d0-9b8b-baf5c4c4559f', 'route': ['p2', 'e6', 'i9', 'x3', 'p2', 'c5']}
1769497555.6278262,SENT,b5993dfd-d088-46b3-9d80-d911f038189d,0433a97d-8783-439e-8b19-69bb5ed0b25d,c2,c1,3385,?,p2,
1769497555.6280053,CREATED,9d55cf0d-a83a-4749-ac22-d37eb5bdc710,1ab49dbc-e764-44ec-a12d-069ea4e2dd24,c2,c1,27,?,?,surb={'id': '0c5d2617-95bf-4269-b496-f96f6f87c982', 'route': ['p1', 'e5', 'i2', 'x5', 'p2', 'c2']}
1769497555.8096404,RECEIVED,d52dfac2-7327-462a-8a43-eb343463c13b,348aaf19-03c7-45d8-b723-1aa525eada24,c5,c2,27,p2,?,surb={'id': 'c9254e88-2b8b-4e66-9865-f2bcad5b3a55', 'route': ['p2', 'e9', 'i10', 'x11', 'p2', 'c5']}
1769497555.853643,RECEIVED,011f9c7d-550b-469e-b1c7-0f2d66b21eb8,3fdffc7b-6f84-4a80-aa62-36c6fa36b884,c5,c2,26,p2,?,surb={'id': '8e7b038a-b8df-417a-b207-fdf492a320b1', 'route': ['p2', 'e8', 'i6', 'x12', 'p2', 'c5']}
1769497556.3237991,RECEIVED,bf24a408-bbef-4b29-a1a3-bbddae63322f,348aaf19-03c7-45d8-b723-1aa525eada24,c5,c2,27,p2,?,surb={'id': 'c9254e88-2b8b-4e66-9865-f2bcad5b3a55', 'route': ['p2', 'e9', 'i10', 'x11', 'p2', 'c5']}
1769497556.5382357,SENT,92599444-e796-4e75-98b5-6ca9be21f3e0,455d3cab-916c-42f4-ab44-2f96a6eff80d,c2,c1,3399,?,p2,
1769497556.538628,CREATED,3a7bb6a1-9d1b-418a-86a7-8474e913a84d,aaa5f456-8429-4e19-9529-82e446368d7a,c2,c1,27,?,?,surb={'id': '7a0f13b2-b4e8-4d76-8d2b-9969f76ff8ac', 'route': ['p1', 'e4', 'i10', 'x11', 'p2', 'c2']}
1769497556.6825845,SENT,f9a1f3ea-1dd0-4606-a82a-4cecf167d695,961da95d-601b-4aea-bff2-3c0d2bdb6789,c2,c1,3388,?,p2,
1769497556.6827376,CREATED,5543ecb8-8efc-4c12-9d8b-ef7aecc6e039,aaa5f456-8429-4e19-9529-82e446368d7a,c2,c1,27,?,?,surb={'id': '7a0f13b2-b4e8-4d76-8d2b-9969f76ff8ac', 'route': ['p1', 'e4', 'i10', 'x11', 'p2', 'c2']}
1769497556.784088,RECEIVED,c59040b1-e44e-4118-9e4d-3ad23b8f538d,b19fe449-62b2-4285-a4cf-fbf781e190b8,c5,c2,26,p2,?,surb={'id': '1092a857-b5be-4127-bdce-dc2602c45779', 'route': ['p2', 'e8', 'i8', 'x7', 'p2', 'c5']}
1769497556.8098545,SENT,d302047a-7bb1-43ed-9303-689922a38361,7c8eb418-b21b-4225-abd9-003672d6d9f0,c2,c1,3391,?,p2,
1769497556.810018,CREATED,d534b859-b1ab-475c-8017-6186d7b10ad5,5b6a95d0-ac95-4d87-bc29-45629c38f801,c2,c1,27,?,?,surb={'id': '07f670a4-f779-4851-bedc-f83b2360ca3d', 'route': ['p1', 'e1', 'i7', 'x2', 'p2', 'c2']}
1769497557.120445,SENT,683d3fe1-52fe-4ea3-8acf-375c7771c30c,53b3c9fe-b297-49b9-a147-13c0a552a786,c2,c1,3364,?,p2,
1769497557.120595,CREATED,6f30f7ed-3518-473c-bd52-fcdb3f27ad9f,5b6a95d0-ac95-4d87-bc29-45629c38f801,c2,c1,27,?,?,surb={'id': '07f670a4-f779-4851-bedc-f83b2360ca3d', 'route': ['p1', 'e1', 'i7', 'x2', 'p2', 'c2']}
1769497557.1899202,RECEIVED,364aaa1e-9adc-4592-8112-1b6533b2d2ab,a4560ed9-4d84-4dea-8918-8648a70b4a0b,c5,c2,27,p2,?,surb={'id': '770e158e-db28-4c18-94af-bc2a0845b623', 'route': ['p2', 'e12', 'i1', 'x11', 'p2', 'c5']}
1769497557.3536673,SENT,ed390ed6-f719-48d3-99f1-1926d82e200f,fb395f8b-d705-4b93-89d4-0f1dc47a5f8c,c2,c1,3389,?,p2,
1769497557.3538156,CREATED,91f9eb89-479b-4a9c-8dd7-dc7077d165fe,d2ed0b0f-86aa-4faf-a86c-e06d828601c5,c2,c1,26,?,?,surb={'id': 'fa86ebc4-f90a-4022-b99e-42ba7408f141', 'route': ['p1', 'e11', 'i10', 'x2', 'p2', 'c2']}
1769497557.5093858,RECEIVED,8d626322-0491-46cd-a6cb-571af2a6353c,8f715c46-d576-4df8-97ee-bc0932416bb5,c5,c2,26,p2,?,surb={'id': '34be3a3e-6473-4052-b262-d9e710337707', 'route': ['p2', 'e12', 'i1', 'x12', 'p2', 'c5']}
1769497557.5867856,SENT,60880937-53b4-4fd6-aaa7-3fe5ffbdb96c,a0d392d4-fa82-4072-8368-7d3a1ccac7bf,c2,c1,3379,?,p2,
1769497557.5869331,CREATED,8edc4007-575f-4158-8187-c26dde4d2160,d2ed0b0f-86aa-4faf-a86c-e06d828601c5,c2,c1,26,?,?,surb={'id': 'fa86ebc4-f90a-4022-b99e-42ba7408f141', 'route': ['p1', 'e11', 'i10', 'x2', 'p2', 'c2']}
1769497557.7562017,SENT,45b9e469-dc47-43d8-b4b7-a6772333b5d5,11293c94-bf3d-46c0-b9be-bbf678e1e667,c2,c1,3388,?,p2,
1769497557.756371,CREATED,5c15ca2f-2214-4a81-bea2-f65010403833,ca89828b-e87c-44a2-80b0-03585a201fba,c2,c1,27,?,?,surb={'id': 'ef97c099-15a6-4167-8530-96bf3270efc6', 'route': ['p1', 'e11', 'i10', 'x9', 'p2', 'c2']}
1769497557.8369336,RECEIVED,6884528a-7af7-4d63-b1ae-f011c5b6d1fe,3fc287f9-4f5d-42b0-a0eb-204ea6cf4481,c5,c2,26,p2,?,surb={'id': 'ec631736-d59d-45c4-bbac-17652ffbd024', 'route': ['p2', 'e1', 'i1', 'x4', 'p2', 'c5']}
1769497557.9737682,SENT,061ac0bf-6dbc-421b-9513-b9bfd61f4c3a,2c9bcb5f-07f8-41b3-aa87-ab9dc009000b,c2,c1,3388,?,p2,
1769497557.9739084,CREATED,17557a93-5f73-4d92-b4db-4c5d762e02b6,ca89828b-e87c-44a2-80b0-03585a201fba,c2,c1,27,?,?,surb={'id': 'ef97c099-15a6-4167-8530-96bf3270efc6', 'route': ['p1', 'e11', 'i10', 'x9', 'p2', 'c2']}
1769497558.0912862,SENT,1aa1dd4f-f086-4ab9-bcd4-a1e97a658801,46335919-101c-4bd1-b959-ffcce6e6f2c0,c2,c1,3392,?,p2,
1769497558.0914361,CREATED,07759c96-67cd-46fa-b241-18bf5e3f81be,375b5cea-2352-4405-bda8-ae79616fca99,c2,c1,27,?,?,surb={'id': '1122d8c0-174e-430d-9e00-3104b6f700fa', 'route': ['p1', 'e9', 'i3', 'x11', 'p2', 'c2']}
1769497558.5498552,RECEIVED,6f331059-1676-401d-8cc7-5330b61992e1,a4560ed9-4d84-4dea-8918-8648a70b4a0b,c5,c2,27,p2,?,surb={'id': '770e158e-db28-4c18-94af-bc2a0845b623', 'route': ['p2', 'e12', 'i1', 'x11', 'p2', 'c5']}
1769497558.5821517,SENT,b8b39941-fa43-40e3-b9a1-9ba5df72200d,5d10a4bd-d097-496a-ab24-3f9e905c1206,c2,c1,3370,?,p2,
1769497558.582297,CREATED,c95399c4-f205-42e0-bb89-ed58481a4855,375b5cea-2352-4405-bda8-ae79616fca99,c2,c1,27,?,?,surb={'id': '1122d8c0-174e-430d-9e00-3104b6f700fa', 'route': ['p1', 'e9', 'i3', 'x11', 'p2', 'c2']}
1769497558.61046,SENT,1dce9db3-50b9-418d-ae27-4a7dec60badf,c51413f9-f753-4716-bad4-b978c7b2ba09,c2,c1,3374,?,p2,
1769497558.6106265,CREATED,71819535-e7e7-4048-9758-2f95dfbf9cf0,ab7dae13-cb90-4b33-9ce0-18da77f6daca,c2,c1,27,?,?,surb={'id': 'a897c5b3-2beb-4265-8e4a-f4bda3342e15', 'route': ['p1', 'e7', 'i8', 'x11', 'p2', 'c2']}
1769497558.7307734,SENT,2168e459-5a82-4b30-ad21-43fbbf439f0a,a32f5585-8eec-49c5-9722-f8b9429ca586,c2,c1,3380,?,p2,
1769497558.730921,CREATED,ad36d23c-4992-4178-8d6c-f7e3da5ad1f0,ab7dae13-cb90-4b33-9ce0-18da77f6daca,c2,c1,27,?,?,surb={'id': 'a897c5b3-2beb-4265-8e4a-f4bda3342e15', 'route': ['p1', 'e7', 'i8', 'x11', 'p2', 'c2']}
1769497558.9407928,SENT,b740ad89-c8be-4e35-8365-efe2608c84ab,cb4ea3e1-1d2f-4533-b484-caeb8ea41b4c,c2,c1,3383,?,p2,
1769497558.9409404,CREATED,7317a06e-be7b-494d-9a9b-9307b778c1d0,b940539d-a55d-4fd0-ba22-41d75329514c,c2,c1,27,?,?,surb={'id': 'b36433c0-3ea6-4a86-b5c4-304f095c5e86', 'route': ['p1', 'e12', 'i4', 'x5', 'p2', 'c2']}
1769497559.1296256,SENT,bd023660-658e-41ff-a6e6-48ce221a506c,61f49386-ce5f-4922-ac46-98883c730b44,c2,c1,3378,?,p2,
1769497559.1297858,CREATED,65a4e22e-da23-4173-a4ea-609ff7e64c2f,b940539d-a55d-4fd0-ba22-41d75329514c,c2,c1,27,?,?,surb={'id': 'b36433c0-3ea6-4a86-b5c4-304f095c5e86', 'route': ['p1', 'e12', 'i4', 'x5', 'p2', 'c2']}
1769497559.150991,SENT,3e5a8c55-06cf-4df1-8150-c7015960d317,2dc513b0-5801-4a62-8149-94852840146e,c2,c1,3387,?,p2,
1769497559.1511674,CREATED,9c90ff9c-067b-474a-9203-ddc3a6ce4808,ebbc4fa3-73ad-46d5-abd3-c2ee53812917,c2,c1,27,?,?,surb={'id': 'f1473309-e7c9-4ce1-966a-2441bf5863bb', 'route': ['p1', 'e8', 'i4', 'x12', 'p2', 'c2']}
1769497559.249388,SENT,7941de83-f597-42dd-bf8f-3e18c6bc5d85,a0bebd4e-f4c4-4a55-8b1c-286030c4e6c7,c2,c1,3383,?,p2,
1769497559.2495427,CREATED,d3039e53-47c0-4515-a5a3-599b62ed639c,ebbc4fa3-73ad-46d5-abd3-c2ee53812917,c2,c1,27,?,?,surb={'id': 'f1473309-e7c9-4ce1-966a-2441bf5863bb', 'route': ['p1', 'e8', 'i4', 'x12', 'p2', 'c2']}
1769497559.283749,SENT,ec3456f7-6783-4ff8-8ef1-ea7b7bd99649,a0d4fa14-ad5d-4589-9ad2-b7c099692ea3,c2,c1,3387,?,p2,
1769497559.2839372,CREATED,94fbb27f-816f-4592-9470-ee5e22ac53c0,b7905d7b-681c-462a-80e8-53914b6f5cc7,c2,c1,27,?,?,surb={'id': '2dcd4dcf-f8c0-421c-aae5-04c4e7cae093', 'route': ['p1', 'e4', 'i3', 'x9', 'p2', 'c2']}
