timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769497547.3017447,SENT,07e3b6a2-821d-4ac4-94b8-e136c11d1bb8,03b4fb2c-a8c8-4466-8873-9afe256b9b08,c2,c1,3396,?,p2,
1769497547.3019025,CREATED,b63789b4-c579-4d9d-b7d7-0cc3a8194818,4e024b63-186a-49b2-96ae-21ed68b6f4b2,c2,c1,27,?,?,surb={'id': 'd991c29d-138f-4835-bcad-8268526c462d', 'route': ['p1', 'e3', 'i9', 'x12', 'p2', 'c2']}
1769497548.4340005,SENT,dcd9f9b3-412a-4351-9c57-75a4c3ba3d59,194bdea3-af70-481c-9631-c60cec7a7215,c2,c1,3375,?,p2,
1769497548.4341729,CREATED,14c2beb5-c085-4c92-ab1c-e16628f56fca,4e024b63-186a-49b2-96ae-21ed68b6f4b2,c2,c1,27,?,?,surb={'id': 'd991c29d-138f-4835-bcad-8268526c462d', 'route': ['p1', 'e3', 'i9', 'x12', 'p2', 'c2']}
1769497548.498865,SENT,baffa36e-8082-43ae-beb2-9edf87513ce4,0a0153e4-0a0d-4f9c-a223-51eb3ed954c7,c2,c1,3372,?,p2,
1769497548.499,CREATED,e44a914e-377b-437d-b868-ac1ce231bc7c,4869998b-9256-43a1-b61c-ac3efc5074c5,c2,c1,27,?,?,surb={'id': '7eea5968-a43e-4fda-9310-9d10e1b1e34d', 'route': ['p1', 'e3', 'i2', 'x3', 'p2', 'c2']}
1769497548.8244119,SENT,dd6bb18f-3d13-4465-9868-f8d3db0f8b63,55e8dc22-a0ff-4b89-91bb-87d3e00354d3,c2,c1,3399,?,p2,
1769497548.8245852,CREATED,a66c7c37-cc4b-452d-a5c6-0dbbd04cbd1b,4869998b-9256-43a1-b61c-ac3efc5074c5,c2,c1,27,?,?,surb={'id': '7eea5968-a43e-4fda-9310-9d10e1b1e34d', 'route': ['p1', 'e3', 'i2', 'x3', 'p2', 'c2']}
1769497549.212399,SENT,f716b9b5-51e3-4d10-aae3-34ac1a39be7c,93996bd2-1494-49aa-ab59-c75ecfd35fac,c2,c1,3383,?,p2,
1769497549.2125335,CREATED,c8ec58ee-6f1f-4b3a-b31e-a147c7a811c4,110636de-6ff0-4a86-b612-7818700cf933,c2,c1,27,?,?,surb={'id': 'cfe04508-09e2-4b5a-ab28-7a4484afc90b', 'route': ['p1', 'e7', 'i5', 'x3', 'p2', 'c2']}
1769497549.8811147,RECEIVED,060bf12d-4cc0-467f-8254-f2d0c7fa153f,d0c885ec-32ed-4d66-8791-82e519751ee0,c5,c2,27,p2,?,surb={'id': 'fdfd6fe4-b875-465a-a243-6c9da650f863', 'route': ['p2', 'e2', 'i2', 'x6', 'p2', 'c5']}
1769497550.0037448,RECEIVED,5f8408e3-3b57-4dc9-85f6-eb57bb98fead,b19fe449-62b2-4285-a4cf-fbf781e190b8,c5,c2,26,p2,?,surb={'id': '1092a857-b5be-4127-bdce-dc2602c45779', 'route': ['p2', 'e8', 'i8', 'x7', 'p2', 'c5']}
