timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769497550.0518858,SENT,ad0cbca6-40ca-40a6-8f5c-6e5086df5e10,4e33d5f7-fc84-4cd9-b335-cb6ead784258,c5,c2,3359,?,p2,
1769497550.0520277,CREATED,c59040b1-e44e-4118-9e4d-3ad23b8f538d,b19fe449-62b2-4285-a4cf-fbf781e190b8,c5,c2,26,?,?,surb={'id': '1092a857-b5be-4127-bdce-dc2602c45779', 'route': ['p2', 'e8', 'i8', 'x7', 'p2', 'c5']}
1769497550.1013362,SENT,1d84d7be-71cd-4a51-a2ed-22811e6d976a,16341c91-c9d4-4d7f-b495-f9c2439f6198,c5,c2,3405,?,p2,
1769497550.1014798,CREATED,8c9d0ac5-fd28-4917-962d-b04b82dbd439,87393924-a9ee-423c-853d-2af7ee24c3fd,c5,c2,27,?,?,surb={'id': '18cb5223-c5b0-44ae-807c-3a02b6bc5e67', 'route': ['p2', 'e10', 'i10', 'x1', 'p2', 'c5']}
1769497550.1456003,SENT,53b17cbc-e0c0-4d8c-bbb1-5137bff4cc49,fac2c029-4a47-4c83-b916-4f8ff4f42fbf,c5,c2,3396,?,p2,
1769497550.1457474,CREATED,37f1ac21-679b-42d9-9f08-34c264d064a0,87393924-a9ee-423c-853d-2af7ee24c3fd,c5,c2,27,?,?,surb={'id': '18cb5223-c5b0-44ae-807c-3a02b6bc5e67', 'route': ['p2', 'e10', 'i10', 'x1', 'p2', 'c5']}
1769497550.725424,SENT,b3fe94fe-0766-4a06-86d9-c939b5520435,ec4bcdea-9f00-4cf5-8426-7bb4eb4a1e08,c5,c2,3379,?,p2,
1769497550.725572,CREATED,0888946f-ae9c-496e-aaa4-749f0278cd47,cad40a83-0561-4193-853d-25682bf749c5,c5,c2,27,?,?,surb={'id': '4b35f8ca-25e3-4dad-838e-ba67908080e1', 'route': ['p2', 'e8', 'i4', 'x9', 'p2', 'c5']}
1769497550.914517,SENT,da0e2cfd-d644-49fa-9e50-acc9d5955953,081449c1-6832-4968-a645-a8e5947b81d7,c5,c2,3367,?,p2,
1769497550.914658,CREATED,5031ae93-2f04-4a95-a665-8a804cc0e22e,cad40a83-0561-4193-853d-25682bf749c5,c5,c2,27,?,?,surb={'id': '4b35f8ca-25e3-4dad-838e-ba67908080e1', 'route': ['p2', 'e8', 'i4', 'x9', 'p2', 'c5']}
