timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769460534.5939572,SENT,cbc604d7-8aa9-42f0-9b73-65c8dca32ef2,3a8fff3c-6d27-40ff-a17f-05ef3ea02434,c4,DROP,2015,?,p1,
1769460534.5941105,CREATED,5bf6ab3d-960f-438b-b710-4e3eb5d7ec07,d03e8295-42ec-4891-be22-4e175f5e311d,c4,DROP,27,?,?,
1769460534.8120694,SENT,1123a582-5c5b-4050-a4cf-e9968c740e74,6352cfc1-53da-4795-94ba-b8c0d20a31ac,c4,c3,3359,?,p1,
1769460534.8122284,CREATED,09e26d16-94b6-4cbf-b99a-88a5b0b2625a,2b01e981-8f91-4602-80aa-a19f9f4cde19,c4,c3,26,?,?,surb={'id': 'e3d8a850-4d24-4d1d-9db1-06306152c446', 'route': ['p3', 'e8', 'i8', 'x10', 'p1', 'c4']}
1769460534.912965,SENT,5170ac3f-054a-4660-a56e-45aa017fcbb6,8dbe8755-8a4b-41c0-a702-92301a279218,c4,c3,3371,?,p1,
1769460534.9131594,CREATED,9180609a-d327-4901-bf0f-a5afa973d810,2b01e981-8f91-4602-80aa-a19f9f4cde19,c4,c3,26,?,?,surb={'id': 'e3d8a850-4d24-4d1d-9db1-06306152c446', 'route': ['p3', 'e8', 'i8', 'x10', 'p1', 'c4']}
1769460534.9465618,SENT,74deb3c6-f666-4696-9b0f-ff0a265009dd,18bd8a65-8f09-4440-8079-d5f8e4a6e47e,c4,c3,3381,?,p1,
1769460534.9467108,CREATED,6883052e-0791-47b0-a7dd-4b9f7ef20d68,fee5b041-cf99-4e26-8349-ff1561bad5cf,c4,c3,27,?,?,surb={'id': '8c674482-1d0f-4740-8e5f-56aa7be2f627', 'route': ['p3', 'e7', 'i9', 'x1', 'p1', 'c4']}
1769460535.1071074,SENT,a2851836-f5e4-467f-8404-4cc752fa6ed4,0c05e61d-e3f8-4b5b-9f0a-bd3088c77fca,c4,c3,3359,?,p1,
1769460535.1072423,CREATED,e6fb1824-36f0-4800-82a3-a39d29f640ce,fee5b041-cf99-4e26-8349-ff1561bad5cf,c4,c3,27,?,?,surb={'id': '8c674482-1d0f-4740-8e5f-56aa7be2f627', 'route': ['p3', 'e7', 'i9', 'x1', 'p1', 'c4']}
1769460535.262632,SENT,e94a6f89-fe2d-4394-b7b7-5878b0bdeeef,c314415b-d3aa-403e-8f5d-e9984a6b7cfc,c4,c3,3380,?,p1,
1769460535.2627776,CREATED,df9c746d-4afa-484f-8aba-497104a4df30,7a492384-1a51-47f8-82a8-e6457ea3017f,c4,c3,27,?,?,surb={'id': 'e0b45c64-0e96-4def-b822-943b6b720b06', 'route': ['p3', 'e3', 'i11', 'x2', 'p1', 'c4']}
1769460535.438728,SENT,a27383ac-e1f5-4a79-a3b3-c2a32ba04983,89602997-6598-4973-bbc1-3f7988866e3c,c4,c3,3371,?,p1,
1769460535.4388769,CREATED,3ee8746a-c1f6-4913-a59e-dcedccce60d4,7a492384-1a51-47f8-82a8-e6457ea3017f,c4,c3,27,?,?,surb={'id': 'e0b45c64-0e96-4def-b822-943b6b720b06', 'route': ['p3', 'e3', 'i11', 'x2', 'p1', 'c4']}
