timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769460538.2268126,RECEIVED,7900fb8c-2541-4da1-b64d-8b4b5597f45a,6a0221f6-c548-44f8-8a2e-c60ae5eabc9b,c5,c3,26,p3,?,surb={'id': '5626b1f5-ae43-4a58-849a-7d7d522254d3', 'route': ['p3', 'e4', 'i7', 'x10', 'p2', 'c5']}
1769460538.3144107,RECEIVED,714a9709-529a-44bc-92a9-aafb6e1b1fc8,a1f53143-57d9-41b8-a50d-3a89ec5297ee,c1,c3,27,p3,?,surb={'id': 'a2b8287e-9466-4d0b-b3b9-0cfc0faa73fc', 'route': ['p3', 'e2', 'i3', 'x9', 'p1', 'c1']}
1769460538.3543687,RECEIVED,64438c92-443f-4314-9a66-0c0de117be6f,5295c7fe-4d2f-4a7b-bdb2-25261c95d4a1,c4,c3,27,p3,?,surb={'id': '181e3ef1-cef3-4c04-9abf-3c471b2fdab0', 'route': ['p3', 'e6', 'i8', 'x7', 'p1', 'c4']}
1769460538.376857,RECEIVED,09e26d16-94b6-4cbf-b99a-88a5b0b2625a,2b01e981-8f91-4602-80aa-a19f9f4cde19,c4,c3,26,p3,?,surb={'id': 'e3d8a850-4d24-4d1d-9db1-06306152c446', 'route': ['p3', 'e8', 'i8', 'x10', 'p1', 'c4']}
1769460538.3874145,SENT,a044ab5c-5a0d-4d12-99b8-3847cf446602,2c63162b-6bb9-4ac7-89d7-2f253dbd29c9,c3,c2,3373,?,p3,
1769460538.3875666,CREATED,c5d8d312-e20f-4abb-861b-bfa1cc088e3d,377ddccd-0eee-4d17-a513-a70456a2e9ec,c3,c2,27,?,?,surb={'id': '1e64053b-14c1-4017-a4f4-978f76c87eb6', 'route': ['p2', 'e12', 'i1', 'x5', 'p3', 'c3']}
1769460538.6036086,RECEIVED,e6fb1824-36f0-4800-82a3-a39d29f640ce,fee5b041-cf99-4e26-8349-ff1561bad5cf,c4,c3,27,p3,?,surb={'id': '8c674482-1d0f-4740-8e5f-56aa7be2f627', 'route': ['p3', 'e7', 'i9', 'x1', 'p1', 'c4']}
1769460538.6409702,RECEIVED,3e5f8351-f6d4-4ac0-9a93-58537143b5da,49f9690a-22fb-48c8-a2c8-8f9ec64ba528,c1,c3,27,p3,?,surb={'id': '20d2ce54-5ef7-41a5-8fab-248d7c648d6e', 'route': ['p3', 'e10', 'i3', 'x4', 'p1', 'c1']}
1769460538.722759,RECEIVED,3ee8746a-c1f6-4913-a59e-dcedccce60d4,7a492384-1a51-47f8-82a8-e6457ea3017f,c4,c3,27,p3,?,surb={'id': 'e0b45c64-0e96-4def-b822-943b6b720b06', 'route': ['p3', 'e3', 'i11', 'x2', 'p1', 'c4']}
1769460538.7830899,RECEIVED,c4a3f99a-1201-43a9-909f-a34dfff3313e,1e900d51-a715-43e5-9240-6ea1d242ee82,c5,c3,26,p3,?,surb={'id': '75b6b9e9-8827-4918-9725-66fe411b736c', 'route': ['p3', 'e6', 'i10', 'x5', 'p2', 'c5']}
1769460538.787666,RECEIVED,0bd8216c-1622-4b98-85e8-a5df3448d499,b2c5f527-3de6-4891-bd5b-bb980c1364a6,c1,c3,26,p3,?,surb={'id': '283244ed-3cb6-4756-a52d-32e03d2c06bb', 'route': ['p3', 'e3', 'i11', 'x12', 'p1', 'c1']}
1769460538.8257658,RECEIVED,c0036283-decd-4252-b30c-fa32b1147061,bf8b9284-f458-4597-ab33-7ab9d4592da0,c4,c3,27,p3,?,surb={'id': 'ee0bb34f-faef-4b69-971e-8f5fd28a8b45', 'route': ['p3', 'e3', 'i9', 'x8', 'p1', 'c4']}
1769460538.8596458,RECEIVED,984c38cd-c021-4290-b800-23f57d076a00,bf8b9284-f458-4597-ab33-7ab9d4592da0,c4,c3,27,p3,?,surb={'id': 'ee0bb34f-faef-4b69-971e-8f5fd28a8b45', 'route': ['p3', 'e3', 'i9', 'x8', 'p1', 'c4']}
1769460539.049889,RECEIVED,f1837785-b2f1-427b-b361-453f7a13fb3e,5295c7fe-4d2f-4a7b-bdb2-25261c95d4a1,c4,c3,27,p3,?,surb={'id': '181e3ef1-cef3-4c04-9abf-3c471b2fdab0', 'route': ['p3', 'e6', 'i8', 'x7', 'p1', 'c4']}
1769460539.0537305,RECEIVED,6cb02bb1-5ba6-4172-95c7-e5c986ea3bc1,9ffcd96e-54a1-4e2a-b979-3086a145e48a,c1,c3,26,p3,?,surb={'id': 'b14fcdcb-6fb4-4046-99f4-17f9f4d6a7af', 'route': ['p3', 'e12', 'i1', 'x6', 'p1', 'c1']}
