timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769460535.1680076,SENT,478b54ae-c8de-46f9-8961-b2f93433e6c4,49c8875f-618a-4d74-b07c-964558e0c8a6,c2,c4,3401,?,p2,
1769460535.1682053,CREATED,8ec3c058-92fb-4f02-8d80-c4a141282ec0,96b53825-9edb-49ad-9f5e-f295e8baa5bc,c2,c4,27,?,?,surb={'id': 'a9aa8a0c-332e-4ef1-90a0-c5097a91ace6', 'route': ['p1', 'e11', 'i2', 'x12', 'p2', 'c2']}
1769460535.2877443,SENT,471a81ad-9b69-4851-854e-1d37368f9f8f,497a4ab4-185f-47fb-989d-a056a4181086,c2,c4,3405,?,p2,
1769460535.2878866,CREATED,55fd01f4-3197-4d8e-93ce-35bcdbd03337,96b53825-9edb-49ad-9f5e-f295e8baa5bc,c2,c4,27,?,?,surb={'id': 'a9aa8a0c-332e-4ef1-90a0-c5097a91ace6', 'route': ['p1', 'e11', 'i2', 'x12', 'p2', 'c2']}
1769460535.6442409,SENT,011718df-efec-4b80-988c-61f4d549fa0b,5a6f9480-482b-4ca0-9c1f-b1b0d26ef1d3,c2,c4,3389,?,p2,
1769460535.644392,CREATED,fab91598-04e2-48f3-9f4e-bee6f366ac0b,03d08ece-9d3e-47b1-9988-363977fd612a,c2,c4,27,?,?,surb={'id': '82f4b28c-b71b-4e34-b28b-f64eececdf7e', 'route': ['p1', 'e11', 'i4', 'x10', 'p2', 'c2']}
1769460537.04688,SENT,0f27b017-aeed-40b6-8ba3-fd9a311e5d19,41180ef9-cee4-44bd-a914-b57e84e4e76b,c2,c4,3376,?,p2,
1769460537.0470996,CREATED,6138cd81-4c8e-4d79-977f-8d0b2401d7d1,03d08ece-9d3e-47b1-9988-363977fd612a,c2,c4,27,?,?,surb={'id': '82f4b28c-b71b-4e34-b28b-f64eececdf7e', 'route': ['p1', 'e11', 'i4', 'x10', 'p2', 'c2']}
1769460537.6396632,SENT,438ccf9b-22b5-4874-ae93-30de4b93e20f,9b4a7d3e-54b7-46df-bae6-7971c96685b1,c2,c4,3379,?,p2,
1769460537.6398106,CREATED,2734e7b4-1fd4-49fe-8f79-744edb5f68db,e8f0b63a-a53a-4a26-89c0-d9ef88e200eb,c2,c4,26,?,?,surb={'id': '56699db9-4fa8-4690-8a72-12a25c5e0ec4', 'route': ['p1', 'e2', 'i4', 'x11', 'p2', 'c2']}
1769460538.4759088,RECEIVED,af66ea87-796d-472f-bb9c-f3b5a837b782,b02ff3b2-f564-4e43-9050-3061bdda899d,c3,c2,27,p2,?,surb={'id': 'ad728629-13e7-4f64-b907-6aaab9220b4a', 'route': ['p2', 'e10', 'i12', 'x11', 'p3', 'c3']}
1769460538.5756867,SENT,b6a2bbea-d030-4b93-a250-33184ba6f7c5,30ed3514-f3e4-48f5-83ba-f7d0c32bb3d4,c2,c4,3380,?,p2,
