timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744836.751067,RECEIVED,0cfa86aa-a312-4a4a-99d1-27935552fc2a,3d38d468-5303-43c6-8b04-8370ea84d097,c1,c4,26,p1,?,surb={'id': '434419af-5792-4f9e-ba96-b16508533174', 'route': ['p1', 'e10', 'i9', 'x11', 'p1', 'c1']}
1769744836.9681,RECEIVED,5db150ff-964e-4a78-9510-9a648eb8ba3f,ee2db082-94a0-4fed-85c4-0a09a5df4509,c1,c4,27,p1,?,surb={'id': 'ebaee74f-3974-4c31-8891-d977c888f7bf', 'route': ['p1', 'e7', 'i9', 'x3', 'p1', 'c1']}
1769744837.0114899,SENT,4db71ba2-f170-4a32-9797-5cfb34ec2d66,bbdc2c7b-275e-4270-b5eb-6fd6ceef0650,c4,c2,3380,?,p1,
1769744837.01164,CREATED,f33851d7-28ef-4c80-bfc5-83d48501a91d,18824eae-1459-4d31-9e8a-5c319512b4a1,c4,c2,27,?,?,surb={'id': 'd93f1168-916e-488d-a5ce-081fd30ce8f8', 'route': ['p2', 'e7', 'i12', 'x1', 'p1', 'c4']}
1769744837.3102303,SENT,1ba963ac-9594-47b3-94d3-95bb16fe78b8,b8926903-8c61-45c1-99a5-c8eae1a2cb00,c4,c2,3396,?,p1,
1769744837.3103666,CREATED,0915e8d3-05d0-4e66-939d-875324635bd7,294d77e1-a45d-4126-84fc-fbb96854e0d2,c4,c2,27,?,?,surb={'id': '63bcccc4-0ff0-4436-a2de-0c4b3ea2157e', 'route': ['p2', 'e12', 'i11', 'x7', 'p1', 'c4']}
1769744837.3792765,SENT,68c0c929-9a7b-4eb7-a201-bc741118e2d5,abdf5b39-3f09-4635-9e51-d2ac42ec13cb,c4,c2,3399,?,p1,
1769744837.3794081,CREATED,f59c009c-0617-4390-8c84-9c26c3eb1ef3,b603af41-d906-42f8-8d81-43991cd311f2,c4,c2,27,?,?,surb={'id': 'f86cb06b-6880-46ea-96a2-0db92ed627b3', 'route': ['p2', 'e4', 'i12', 'x7', 'p1', 'c4']}
1769744837.415522,SENT,f95d6c96-9907-4613-a426-b5d721bf40c0,441b718f-ed8f-4089-8834-681931da603a,c4,c2,3377,?,p1,
1769744837.4175334,CREATED,277c80cb-b4fc-4d6d-ae10-c4ce9e5086c5,7eb50072-7abc-48cd-8272-aeb2c2af2391,c4,c2,26,?,?,surb={'id': '34e72413-acc7-406c-a831-89620e8e9f4e', 'route': ['p2', 'e4', 'i8', 'x1', 'p1', 'c4']}
1769744837.4758584,RECEIVED,b5326fed-8f39-45df-ab74-34b3499dcfd0,3d27550c-ed1a-490b-8e1f-73b2cdef09c5,c1,c4,27,p1,?,surb={'id': '95d1927c-ba4f-45ea-b03b-3b45c5479d04', 'route': ['p1', 'e3', 'i10', 'x6', 'p1', 'c1']}
1769744838.0746636,SENT,5b1082cb-7842-47df-83ef-5da294f6a053,11bda771-c848-449f-a0f8-9a22359c9108,c4,c2,3371,?,p1,
1769744838.0748332,CREATED,2a5245eb-6a66-4bf6-a64f-3d457cef23e0,93696ee4-ec47-4ae2-ae60-8546937f1bc2,c4,c2,26,?,?,surb={'id': '02b97d2a-3ade-4cfd-b74d-518a9a0c9f17', 'route': ['p2', 'e2', 'i3', 'x3', 'p1', 'c4']}
1769744838.1076994,SENT,fadc7104-fcef-4afb-b22a-cf30eb099c91,de77d3ee-e47e-4710-906d-44c1317296f8,c4,c2,3376,?,p1,
1769744838.1078477,CREATED,5f37c95c-deb7-44d0-a26c-75ba84e424bd,af454513-e33c-4e2b-a881-0d4f762fcc13,c4,c2,27,?,?,surb={'id': '1ae9e8bf-7f43-4e8c-8fb7-ee5dc35224f0', 'route': ['p2', 'e7', 'i1', 'x6', 'p1', 'c4']}
1769744838.2372105,RECEIVED,3fed40b3-610b-4634-b490-267caec16836,200898af-2dc2-4a30-8775-c424cf30e1fe,c1,c4,27,p1,?,surb={'id': '9489fd58-9f7e-461f-a64b-94f3074108c3', 'route': ['p1', 'e9', 'i1', 'x1', 'p1', 'c1']}
1769744838.5469596,RECEIVED,901dddfc-f8d1-4e5d-8c8d-9f74872d8f1c,7e1ba36b-3634-43de-b541-abf2bea28600,c1,c4,27,p1,?,surb={'id': '10f28255-bafb-4c23-874b-3d54a7b5fe09', 'route': ['p1', 'e1', 'i5', 'x11', 'p1', 'c1']}
1769744838.8798459,SENT,032892de-f345-440d-8e8e-4e93094ade49,dfc3fcee-cca2-49c4-b94b-aa489ffe456b,c4,c2,3375,?,p1,
1769744838.879979,CREATED,70dfd2a2-2cee-4547-bd76-7f83f10358e8,598a7549-3a42-4a7b-9960-25f379240fe2,c4,c2,27,?,?,surb={'id': '455dc037-7313-4f60-b49c-2e34bb4ea81a', 'route': ['p2', 'e6', 'i8', 'x4', 'p1', 'c4']}
1769744838.966499,RECEIVED,baad2348-62a2-41d6-81ae-f95991f00dba,de4fda88-de34-4b47-9aba-71fe281d7810,c1,c4,27,p1,?,surb={'id': 'af682237-ce12-4b46-be1e-e8aee761c044', 'route': ['p1', 'e7', 'i12', 'x7', 'p1', 'c1']}
1769744839.4331086,RECEIVED,b5d2de42-568c-415c-96f4-ee897af790cd,fd8597b6-ced3-4196-861a-51e8ce56bf00,c1,c4,26,p1,?,surb={'id': 'd5300132-9647-4dc3-acc5-4b57c8e5a053', 'route': ['p1', 'e9', 'i9', 'x3', 'p1', 'c1']}
1769744839.459534,RECEIVED,895a9462-e5df-4bfa-9c03-0c4b4c6fe57a,e29d1a26-3019-4143-bea1-7e0fccf3b015,c1,c4,27,p1,?,surb={'id': 'eba02a15-5582-425d-a48a-e1426b256c5a', 'route': ['p1', 'e1', 'i7', 'x3', 'p1', 'c1']}
1769744839.6258698,SENT,db2a8fd2-b3b3-4230-988f-a320e0e4a5a5,d0597d0e-09d6-43bf-ae32-a5263a9766b5,c4,c2,3396,?,p1,
1769744839.626001,CREATED,2b0c0316-50f5-409a-a64e-014c249da435,c09ffdb3-7f66-4e6b-9b6b-8157faf0dc5f,c4,c2,27,?,?,surb={'id': '70654367-9b88-4109-8a52-e628530bdb69', 'route': ['p2', 'e6', 'i11', 'x5', 'p1', 'c4']}
1769744840.1757472,RECEIVED,b9a3fec6-655e-415f-96f9-61ccbd1a45fe,0be7ab9b-a4d7-45da-85f4-7056b020e36c,c1,c4,27,p1,?,surb={'id': '52bf9296-1879-4dc5-996d-41defd9452fa', 'route': ['p1', 'e8', 'i11', 'x5', 'p1', 'c1']}
1769744840.4650633,SENT,a717fc29-e051-460a-8579-6790c15405dc,9cecd0af-0202-4f2b-b702-f5543d456574,c4,c2,3374,?,p1,
1769744840.4652045,CREATED,8c146118-ea70-437c-b02c-b8b160626e27,dd9f68a2-de79-44f9-a140-1ac0ae4f392e,c4,c2,26,?,?,surb={'id': 'b996ef7a-8941-4aba-b438-34c0dcac0b57', 'route': ['p2', 'e2', 'i7', 'x6', 'p1', 'c4']}
1769744840.5252838,SENT,7eccef4c-f436-4d51-a726-42f2e51b91f7,3a1b8e75-e958-435a-933d-f1918d17661b,c4,c2,3380,?,p1,
1769744840.5254145,CREATED,649854f7-f49f-4c0e-b39e-1d3668ca5115,8c3e61aa-f0c1-4153-9d74-c8289b87237b,c4,c2,27,?,?,surb={'id': 'c46326ea-e2c6-4d98-abf5-9fe5511f3926', 'route': ['p2', 'e9', 'i5', 'x10', 'p1', 'c4']}
1769744840.8508902,RECEIVED,f70e073b-ef6e-4eb1-8c00-485c170e672e,3896d9bc-3580-4f0c-8e66-e4bc390bd1d1,c1,c4,27,p1,?,surb={'id': '85fd0941-5e8e-4ad5-ba2e-6d15a56bd80a', 'route': ['p1', 'e12', 'i4', 'x11', 'p1', 'c1']}
1769744840.8636703,RECEIVED,e303d87d-bca8-43e9-9953-338b25595db7,710f8d83-d41b-4c95-b38b-582d3aca6337,c1,c4,27,p1,?,surb={'id': 'e9df2db2-5c7d-4bdc-9d16-273d322db861', 'route': ['p1', 'e9', 'i4', 'x8', 'p1', 'c1']}
1769744841.087064,SENT,bd41412a-0bf2-4b8a-b543-70a9ee29e87f,f8228762-5724-4b29-9071-1d2d5aeb6448,c4,c2,3388,?,p1,
1769744841.0872009,CREATED,e687be54-42e0-4a99-b91d-14316ae5ebf0,f2f68a80-5c4a-4556-8a13-47dc10d16843,c4,c2,27,?,?,surb={'id': '9524b9cd-5af3-428e-89b2-74fc3adf5f70', 'route': ['p2', 'e11', 'i3', 'x10', 'p1', 'c4']}
1769744841.4010623,SENT,00105df1-5e2e-4b86-a26a-125902f2e494,c44cafc0-19f0-4c9e-9f01-45f3ed893be5,c4,c2,3382,?,p1,
1769744841.401215,CREATED,65d419f2-2c89-4acf-833a-7e3993b32435,a92add83-6dce-4ca3-9028-8e0c945dc434,c4,c2,27,?,?,surb={'id': 'f08b1b38-7867-4324-855c-b85268e0085e', 'route': ['p2', 'e2', 'i6', 'x6', 'p1', 'c4']}
1769744841.4414766,RECEIVED,15f5b116-2e73-4d53-bed5-d6cfb92a3f2e,75f286e0-2b8b-435f-ac3c-831d7f16ba22,c1,c4,26,p1,?,surb={'id': 'bfc13982-7e71-4e4a-ad7b-ee7c4adc2339', 'route': ['p1', 'e6', 'i11', 'x10', 'p1', 'c1']}
1769744841.547335,RECEIVED,51d9ff66-eaa2-494a-b169-6bd905c2ddf7,3fef13cc-0e42-4e07-96e3-ce3e76bdd3e1,c1,c4,25,p1,?,surb={'id': '0e393a3d-e39b-4f7a-ad6c-b479daaa465e', 'route': ['p1', 'e7', 'i7', 'x9', 'p1', 'c1']}
1769744842.457438,SENT,6701dd29-e69e-49f0-b16f-bc38ac76dd3f,a12448db-9c3a-470f-a58d-2c623462ad3c,c4,c2,3377,?,p1,
1769744842.4575849,CREATED,3e85304b-a804-4743-b54a-0cb9be2d44f2,7762a1d9-587d-4495-91a2-66e11b13e2f2,c4,c2,27,?,?,surb={'id': 'e316ea6c-1329-4127-a50a-9275dec2bf08', 'route': ['p2', 'e8', 'i1', 'x1', 'p1', 'c4']}
1769744842.5523102,SENT,8ede63b5-6026-49fc-9d57-988e886a3b3c,cfe3f1ae-68bd-48fd-b03c-456ec43748df,c4,c2,3388,?,p1,
1769744842.5524619,CREATED,5a5a99df-4e40-4f90-ae46-eebdbed3c696,651a81cd-1b6d-4003-b7c0-12743fcde0c9,c4,c2,26,?,?,surb={'id': '16226902-b9f8-415d-9afd-add5f429fbf4', 'route': ['p2', 'e4', 'i7', 'x6', 'p1', 'c4']}
1769744842.627856,SENT,5b06213f-d755-4020-8682-11ddab4bb0c3,6f368b0c-ae64-4311-92ee-a815941e45ce,c4,c2,3375,?,p1,
1769744842.6279829,CREATED,071ce309-37dd-4aec-94eb-686915d8018f,3054ccf0-3632-400b-a872-3884c93cf3b5,c4,c2,27,?,?,surb={'id': '2c8bed10-d6e2-419d-bd19-b261e4eb5649', 'route': ['p2', 'e12', 'i1', 'x9', 'p1', 'c4']}
1769744842.8465593,SENT,264509b5-f007-4a5e-95df-189cf69342f7,7ef5d725-f77d-4528-a982-31e2ac6ebed9,c4,c2,3371,?,p1,
1769744842.8467205,CREATED,19e82dac-58e5-4495-8031-0d3b451b7759,f06d1f10-e318-4045-bb4b-c3af0cc539a7,c4,c2,27,?,?,surb={'id': 'a159a735-b1f3-4213-b42e-b3ce62cff82d', 'route': ['p2', 'e10', 'i5', 'x4', 'p1', 'c4']}
1769744842.9693332,RECEIVED,78e36f9c-a5a0-4ae7-8457-d5d913c33b44,4c9c59ca-515b-4698-a200-b5d47759d416,c1,c4,27,p1,?,surb={'id': 'babc42f9-b5c4-4c0b-ad1b-b38ceb2c3863', 'route': ['p1', 'e12', 'i9', 'x1', 'p1', 'c1']}
1769744843.26945,SENT,2ad98f56-3deb-4a5e-8b1c-0bf730194585,af6367c6-bb7a-4d86-a76a-638416616a9a,c4,c2,3383,?,p1,
1769744843.269582,CREATED,327277e0-2453-456d-8986-3fbf6c345e47,36d47c56-0020-4a88-8e94-ce5cbf0d7e93,c4,c2,27,?,?,surb={'id': '857cc02c-c29a-454b-9902-af671a308ae5', 'route': ['p2', 'e3', 'i7', 'x10', 'p1', 'c4']}
1769744843.3162613,RECEIVED,a573a1a5-8f43-4812-8669-13aa46547fdc,c6eb9a9a-3860-492f-a3d1-aa2733d65188,c1,c4,27,p1,?,surb={'id': '39608a24-eb09-45fb-9de7-deed5b11c85f', 'route': ['p1', 'e2', 'i1', 'x10', 'p1', 'c1']}
1769744843.3438232,SENT,ccd810b3-4bca-4124-ac00-cf33e55695f9,22f221cc-b4d5-4f41-ad2c-6193f4e2f25a,c4,c2,3397,?,p1,
1769744843.343956,CREATED,320dc890-9263-405f-854b-86726ccd3f37,f8b3a9fc-5004-46ad-8b55-3b7d6d778881,c4,c2,26,?,?,surb={'id': 'c38b35a3-4d62-4dd6-87c8-89ec18dd4f47', 'route': ['p2', 'e12', 'i11', 'x10', 'p1', 'c4']}
1769744843.6399207,RECEIVED,3a586479-6907-4191-9493-3fa0c5c0f0dd,3bff9eda-65b7-4355-86e2-cd60e627b4a2,c1,c4,27,p1,?,surb={'id': '08dfd93f-6c5c-41ad-b773-6ad5757f493e', 'route': ['p1', 'e11', 'i6', 'x2', 'p1', 'c1']}
