timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744836.9590747,RECEIVED,dfaf5b07-8933-48e8-b3bf-a6cc7616d337,36e393a0-e2fd-43f7-92ea-253ab9bc9fb7,c4,c2,27,p2,?,surb={'id': '48bb3783-9cd8-4fe2-a08c-cee1f63db9e2', 'route': ['p2', 'e12', 'i3', 'x11', 'p1', 'c4']}
1769744837.1576712,SENT,53b9ce9e-60cd-4e13-b14f-1590fb9fb40d,c7395125-4522-4ee2-8fe0-b1297ae2083c,c2,c5,3380,?,p2,
1769744837.1578004,CREATED,fdbb28a9-7180-4dad-9f8c-f87cec082d2e,53cad03c-66ae-4e9e-9b2d-3b1ee3f6d3b2,c2,c5,27,?,?,surb={'id': '6d3ee893-e51e-4a52-af57-bf600fcd30b9', 'route': ['p2', 'e9', 'i4', 'x9', 'p2', 'c2']}
1769744837.3048658,RECEIVED,df24ba20-228f-4635-b0b7-4a1b4215b5e4,eebe7af4-fa2e-463c-9703-e9cae3bdf435,c4,c2,27,p2,?,surb={'id': 'ce7b7e39-5fb7-42e5-837d-9464a7974fb6', 'route': ['p2', 'e7', 'i8', 'x4', 'p1', 'c4']}
1769744837.422351,RECEIVED,bfaacad5-29b9-41f9-89e2-a84fa217dabd,7327c8d1-7d60-4916-b6ec-f3a17fb773b0,c4,c2,26,p2,?,surb={'id': '666b98ff-52bf-4e5a-8318-918316696042', 'route': ['p2', 'e2', 'i11', 'x8', 'p1', 'c4']}
1769744838.379166,SENT,8c870877-388b-44ce-8f69-056e3730f831,246405bd-98bb-4314-ba87-37864e2f8ee8,c2,c5,3363,?,p2,
1769744838.3793418,CREATED,d1d944e9-3d72-49e8-8f2c-0d56a31edef7,d3f58c82-9dde-4a62-97f6-7ca10091a7d0,c2,c5,27,?,?,surb={'id': '02337fef-d362-41dd-8008-8fa71ee0018f', 'route': ['p2', 'e9', 'i6', 'x1', 'p2', 'c2']}
1769744838.8401873,RECEIVED,f33851d7-28ef-4c80-bfc5-83d48501a91d,18824eae-1459-4d31-9e8a-5c319512b4a1,c4,c2,27,p2,?,surb={'id': 'd93f1168-916e-488d-a5ce-081fd30ce8f8', 'route': ['p2', 'e7', 'i12', 'x1', 'p1', 'c4']}
1769744838.8669224,RECEIVED,5ac2ce8b-4d90-4b73-a868-04b962b1496e,f78da4c9-90c4-4aa3-8de4-9c4d86f5e5ec,c4,c2,27,p2,?,surb={'id': '88d2bb6b-b05f-4985-9a21-691d987e60c2', 'route': ['p2', 'e4', 'i2', 'x5', 'p1', 'c4']}
1769744838.8784678,RECEIVED,0915e8d3-05d0-4e66-939d-875324635bd7,294d77e1-a45d-4126-84fc-fbb96854e0d2,c4,c2,27,p2,?,surb={'id': '63bcccc4-0ff0-4436-a2de-0c4b3ea2157e', 'route': ['p2', 'e12', 'i11', 'x7', 'p1', 'c4']}
1769744838.913246,RECEIVED,66e74eae-2a83-4591-a893-edfa9e38ae51,d3e8099a-cca6-4f49-a10d-f0c102fa0c02,c4,c2,27,p2,?,surb={'id': '05362966-9389-4eae-adb7-333496c8ad20', 'route': ['p2', 'e9', 'i3', 'x3', 'p1', 'c4']}
