timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769487680.3367033,CREATED,434d2486-a7b0-44f9-b069-944d5a42edfe,a569db69-8a7e-439f-b3be-c200cf046808,c1,c5,26,?,?,surb={'id': '6d41fa5f-61b1-4866-a2c9-674ca94be42a', 'route': ['p2', 'e5', 'i4', 'x5', 'p1', 'c1']}
1769487680.5537255,SENT,fb4a3117-4778-4d44-aa99-b1cb5b6157a1,adbd3d5a-5174-4bdb-afb9-f4139a8e91cc,c1,c5,3382,?,p1,
1769487680.5538542,CREATED,838f2764-04b8-4fb9-a827-bcfa4a188c3e,efd0afef-077e-49a1-b9c3-120e868b2e15,c1,c5,27,?,?,surb={'id': '86f0a433-52b8-471e-8132-4386e29c60da', 'route': ['p2', 'e9', 'i3', 'x3', 'p1', 'c1']}
1769487680.7427711,SENT,6b452ca7-5565-4a0e-8c4a-54f8c006e45e,6b2936a3-005e-4190-8855-5524f5604b52,c1,c5,3380,?,p1,
1769487680.7429132,CREATED,b43cf892-4e3b-463d-9f30-8033972cc945,0197900b-a180-4d0e-b579-42c74f4e8ea7,c1,c5,27,?,?,surb={'id': '016b1f04-dd39-453e-b4bf-687f91155e94', 'route': ['p2', 'e12', 'i3', 'x1', 'p1', 'c1']}
1769487681.0472367,RECEIVED,f3cc5389-3431-45d8-ac27-4a840aff1a38,6c3283f6-b1c2-41b7-a678-db6c3bf27f63,c2,c1,27,p1,?,surb={'id': 'b602d2ac-cfe3-4ac4-98f1-5b7763a5cff6', 'route': ['p1', 'e10', 'i11', 'x11', 'p2', 'c2']}
1769487681.197117,SENT,e5d5710c-6363-4e44-b23b-816d8e246c5a,8d2d3d9d-f5b6-42cf-99cc-44995f2eb324,c1,c5,3385,?,p1,
1769487681.197264,CREATED,21094633-4b46-4f19-94fe-877f6cbca2f4,b03a4da0-d67c-445d-b540-833dfd1cd654,c1,c5,27,?,?,surb={'id': 'df3fff17-746c-4ecb-b6ef-c1a48d827336', 'route': ['p2', 'e5', 'i10', 'x5', 'p1', 'c1']}
1769487681.205801,SENT,389a3c73-2913-4476-9462-22d6c5cfcebc,d34277f1-6200-4b22-8d48-c807e3777e47,c1,c5,3379,?,p1,
1769487681.2059531,CREATED,b5713afa-3e0a-4407-ad12-6371df28e946,a26f3f50-2628-4120-a0a8-d3134c8c6da4,c1,c5,27,?,?,surb={'id': '66b7ccd5-8507-4b10-9d2d-464133b52c77', 'route': ['p2', 'e6', 'i5', 'x5', 'p1', 'c1']}
1769487681.2324247,SENT,440bb65c-5e92-4cd0-8a9d-e93a9a14a5f6,650e3887-d265-4b01-81b3-7983f6a05b34,c1,c5,3396,?,p1,
1769487681.2325733,CREATED,9d9607d1-4249-4512-a63f-c34ef6b7d578,2a6489b1-f789-4905-bf73-465627967870,c1,c5,27,?,?,surb={'id': 'e9a15e05-0565-4d7c-ac61-dcdd4795d143', 'route': ['p2', 'e2', 'i6', 'x10', 'p1', 'c1']}
1769487681.3372846,RECEIVED,1af76701-ad3c-4937-9ff1-a708ab398be3,94151d54-abe5-4ad0-9e8d-5901ef093c93,c2,c1,27,p1,?,surb={'id': '21cbdc3f-49f9-4d97-a09c-513f1e0e4696', 'route': ['p1', 'e8', 'i10', 'x5', 'p2', 'c2']}
1769487681.5238597,SENT,81eaa984-7de2-45a7-ac35-c5f8d485306e,cbe8e292-f2a9-4b00-b67b-0ef5f99b4027,c1,c5,3360,?,p1,
1769487681.523997,CREATED,7df7d905-7a66-4ccd-b37f-60373feb5741,fdfdcdbc-342f-48d3-94f1-038044c875ef,c1,c5,26,?,?,surb={'id': 'b0b4dc53-faef-44b5-be77-599b135a8956', 'route': ['p2', 'e9', 'i11', 'x4', 'p1', 'c1']}
1769487681.8766427,SENT,8e9f344b-8c34-4540-9415-fd3cb480f3be,bdda48ec-f737-424e-b48b-5c785b17ab8f,c1,c5,3361,?,p1,
1769487681.8767931,CREATED,21aa37a6-56f7-4d31-855a-093f38b2805c,86078a33-203e-4474-a35e-7f6dd87d5669,c1,c5,27,?,?,surb={'id': 'a419b224-3d11-4507-85fb-8934b5e1463f', 'route': ['p2', 'e4', 'i2', 'x8', 'p1', 'c1']}
1769487681.9011965,SENT,f9e8388d-baee-4cd4-a1b6-ac09dce087ad,108eebd3-0963-4fee-a08b-c47684430be2,c1,DROP,2019,?,p1,
1769487681.9013314,CREATED,766463fb-2793-49e5-8b3b-91b90412e686,4eca4f37-4659-4497-95bc-c93e82151a82,c1,DROP,27,?,?,
1769487682.0200977,RECEIVED,dd281082-73a6-4171-8aa6-61efcf899ab5,baeb8f28-ebfe-4d66-a1cd-667bb9e0a890,c2,c1,26,p1,?,surb={'id': '8d2bab80-49c2-4cec-b91b-7f686d593ec3', 'route': ['p1', 'e5', 'i7', 'x4', 'p2', 'c2']}
1769487682.0566003,SENT,370f8240-fb4f-45bf-8c33-f17f1508329c,b590f47b-a0af-40e0-9f3e-229ae97d2397,c1,DROP,2040,?,p1,
1769487682.0567338,CREATED,e0b1185f-ea5e-4aa5-b6db-4fbbecbf8cff,54428099-1227-40ee-aa0e-95168c3ab810,c1,DROP,26,?,?,
1769487682.111218,SENT,fe25dee8-ba35-4164-8008-b97dac47fbb3,075603db-b365-4a15-8288-4c7e2c2de729,c1,DROP,2016,?,p1,
1769487682.1113527,CREATED,1afaeda4-22f2-4a49-bc50-8cac938e371c,3fafea31-7100-4002-9920-6b41ee9330fc,c1,DROP,27,?,?,
