timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769446346.7645013,SENT,ba805f97-6e34-4462-9510-4ae69b72e89e,98a24bb3-310c-4bdc-88a2-a446201bc1e4,c4,DROP,2033,?,p1,
1769446346.7646425,CREATED,834a3a78-39b7-416f-a0ab-7554bdc7fdb0,4b1a18d4-477f-408e-931f-ff6046430f00,c4,DROP,27,?,?,
1769446347.2252038,SENT,acf30d71-d8dc-447d-b5fb-a79df0c3bd05,a098796e-099f-4cbd-9658-2c7a6072172e,c4,c5,3372,?,p1,
1769446347.2253637,CREATED,847ae152-ebf8-4fad-b90f-7b4ccb9d048a,474a32d4-a774-47f7-9e75-f5d39637b9ef,c4,c5,27,?,?,surb={'id': 'c5226f8f-bb99-4d39-b10b-795629ecb3de', 'route': ['p2', 'e5', 'i2', 'x11', 'p1', 'c4']}
1769446347.4263933,SENT,b6450f97-0be6-4163-b655-5feb20c30c94,de6d0db2-7e61-45b8-b8b7-21ec830bceda,c4,c5,3383,?,p1,
1769446347.426543,CREATED,e73c5e29-4ba6-4d05-9ac2-733852ad6ec2,2df7f888-2b67-448e-8851-f0b1ba910e84,c4,c5,27,?,?,surb={'id': 'b6ca622d-4536-424b-b809-f6cfab953eca', 'route': ['p2', 'e2', 'i7', 'x12', 'p1', 'c4']}
1769446347.5635715,SENT,b72345a0-f63e-4611-99ac-bfb36a5f7edd,43be1939-0e26-47cb-9830-0ed7b1f8c697,c4,c5,3380,?,p1,
1769446347.5637162,CREATED,18ef4773-bde4-4fcf-bb3b-82009512e9d9,1fd5757e-0e4e-4db7-a5f2-c49524a5ee41,c4,c5,26,?,?,surb={'id': '5c464dc2-b6c5-4eab-a859-5d935cde6160', 'route': ['p2', 'e12', 'i12', 'x1', 'p1', 'c4']}
1769446348.2744908,SENT,cb31f22b-725e-4e57-9f9b-d06517f9574c,7cea3cd4-c402-43c9-9dad-44972ea61331,c4,c5,3396,?,p1,
1769446348.274638,CREATED,7bbec792-874f-4245-ae14-e59df9386df1,7eb9b64a-674c-40fd-8049-48b9da2c94ae,c4,c5,27,?,?,surb={'id': 'cfcdf749-98bb-46be-9a71-590f2a7c789f', 'route': ['p2', 'e12', 'i5', 'x12', 'p1', 'c4']}
1769446348.2902646,RECEIVED,8ec91f99-e34c-4fb6-9f09-111d2eb987c2,bb13c6ca-e9ea-4264-8ec2-4ef7e8aa6f35,c5,c4,27,p1,?,surb={'id': '5a7d9fb4-5d7d-4877-ae1a-42c67b92d975', 'route': ['p1', 'e11', 'i12', 'x9', 'p2', 'c5']}
1769446348.5444827,SENT,dbb2531e-7a96-4703-804f-93e99c3a4f16,3d8ffa1e-2376-4574-a71b-67b201330894,c4,c5,3384,?,p1,
1769446348.54463,CREATED,48b4e475-6f8c-4a94-9b2f-9ae7eaead10e,c6a5e5d8-b17b-4237-8f3a-e5c21eac03f9,c4,c5,26,?,?,surb={'id': 'd01144ce-24e7-4911-b826-d8a9fe44725d', 'route': ['p2', 'e8', 'i12', 'x5', 'p1', 'c4']}
1769446348.558208,SENT,55fc8d5b-1ceb-4b3d-ae46-049415d7c364,add436ff-331e-4cc7-8d39-57c4d132c4cd,c4,c5,3393,?,p1,
1769446348.5583785,CREATED,c23a7d6a-2529-4fec-b823-5cb6110ffc6b,41f6765e-0b49-4dd0-8ea2-5eed090cd891,c4,c5,27,?,?,surb={'id': '0c1c3d89-f09b-45c0-a046-a9e969411698', 'route': ['p2', 'e7', 'i7', 'x3', 'p1', 'c4']}
1769446348.8602026,SENT,a7374767-fa95-4728-ac6c-1759d8e52c7a,673a5310-e79d-403f-8324-4f78b62d2fea,c4,c5,3376,?,p1,
1769446348.8603518,CREATED,aa006756-a8ac-4b95-85e7-7419ca932b93,35f2ecb5-6c51-4602-88f5-556a1f6a2e17,c4,c5,27,?,?,surb={'id': 'a8c00a6e-089d-46a4-94f2-2d89c4142518', 'route': ['p2', 'e9', 'i8', 'x7', 'p1', 'c4']}
