timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769446347.1693497,SENT,6ba0913f-5690-410d-a4c2-aaebb2b09f22,9c7d091d-7e0e-448c-ba16-0a55b1cab289,c5,c4,3397,?,p2,
1769446347.169508,CREATED,8ec91f99-e34c-4fb6-9f09-111d2eb987c2,bb13c6ca-e9ea-4264-8ec2-4ef7e8aa6f35,c5,c4,27,?,?,surb={'id': '5a7d9fb4-5d7d-4877-ae1a-42c67b92d975', 'route': ['p1', 'e11', 'i12', 'x9', 'p2', 'c5']}
1769446347.7604506,SENT,88f3ef4f-1c2c-4ead-a6b7-d94e01c6c0b3,4321d511-0491-4aa2-96ea-846573c66f89,c5,DROP,2016,?,p2,
1769446347.7605853,CREATED,2e6ec56d-a0dd-4590-8181-e0c679d3db5c,1179298f-ed84-46ad-b79a-838e62c570c1,c5,DROP,27,?,?,
1769446348.2324927,SENT,fb893c8f-0f64-4314-b52a-d55be5379c39,a7f551bd-b71d-4ae4-8da5-17ba0dd14927,c5,c4,3375,?,p2,
1769446348.232646,CREATED,811a1f97-23b7-4055-b977-d097b7932e94,6050cc3d-6880-4c4b-a2d6-72fbd8b1dee0,c5,c4,26,?,?,surb={'id': '10da0acd-affd-49b6-806f-4861e2402aac', 'route': ['p1', 'e6', 'i5', 'x6', 'p2', 'c5']}
1769446348.2964087,RECEIVED,9a34fece-31af-4bf7-829c-1368641b699a,9b74812c-2b1b-4f2a-94b9-886d474c424b,c1,c5,26,p2,?,surb={'id': 'b85796dd-601d-43ca-a977-93feb6a1d625', 'route': ['p2', 'e5', 'i8', 'x5', 'p1', 'c1']}
1769446348.3176105,SENT,ea152290-88ec-4a94-a9d1-3a5c0eb7f5dc,a51b2556-a6d9-4d8c-8202-650f222198bd,c5,c4,3400,?,p2,
1769446348.3177574,CREATED,4c141890-02ef-41d6-b8a3-d7d1511c729f,0d228f7d-2de6-4228-85a0-0544b985718f,c5,c4,27,?,?,surb={'id': 'd6f2363e-ce0b-4259-9bf4-ab17c9093a2f', 'route': ['p1', 'e2', 'i1', 'x11', 'p2', 'c5']}
1769446348.332618,SENT,975d04f3-6a71-4474-9e1d-98cb5a555281,4c488aac-78d9-45a9-867c-f35197e7d867,c5,DROP,2018,?,p2,
1769446348.3327494,CREATED,ecfeb009-55ea-435b-b697-e10eabf48eca,e8639acd-2845-4ac0-9944-44b491ec6e16,c5,DROP,27,?,?,
1769446348.6419985,SENT,730368fc-2a14-47e7-be78-baa40af180a5,65b87df5-fea3-4d9c-9550-6c40a0162e3c,c5,c4,3384,?,p2,
1769446348.6421964,CREATED,39aa01d2-1045-4a0c-8fb7-0ebf370f05e1,2905c527-921c-4b29-a65b-05947451cc2a,c5,c4,27,?,?,surb={'id': '99dab0b3-5273-4e77-a027-b5a4cf9b9a63', 'route': ['p1', 'e4', 'i9', 'x9', 'p2', 'c5']}
