timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490143.9604251,SENT,d5b94c32-7c1f-4fd2-948c-bc69efe7417c,7cb368e0-ded6-49c3-93d5-c4af234391ee,c5,c4,3372,?,p2,
1769490143.960584,CREATED,fe9e8091-b55c-4861-bb13-8b3ebb4749fa,6aac3a7c-3a50-4b78-b4cf-c5e568f0641c,c5,c4,27,?,?,surb={'id': '25742bea-dc5a-41e3-a7b6-f7b3a55d9fd1', 'route': ['p1', 'e12', 'i8', 'x10', 'p2', 'c5']}
1769490144.099526,SENT,4b602482-0894-4297-883d-a5e92ad5dcfd,22953648-bf7d-4904-8e6a-59adce215156,c5,c4,3381,?,p2,
1769490144.099661,CREATED,33381d07-10be-4426-8d50-28f4f6e7220b,6aac3a7c-3a50-4b78-b4cf-c5e568f0641c,c5,c4,27,?,?,surb={'id': '25742bea-dc5a-41e3-a7b6-f7b3a55d9fd1', 'route': ['p1', 'e12', 'i8', 'x10', 'p2', 'c5']}
1769490144.2506893,SENT,f21cacba-e0dc-4ca9-9905-5b45571b619a,b6d1ca46-6882-410a-a7aa-a991bb5f0323,c5,c4,3375,?,p2,
1769490144.25084,CREATED,016191f2-d2dd-4e12-a033-3af2258fb365,1d3674be-dc33-4f2e-acdd-3e8bda80fea8,c5,c4,26,?,?,surb={'id': 'b08ac2c0-a9ca-48a5-9e25-c84629e4ae22', 'route': ['p1', 'e1', 'i2', 'x3', 'p2', 'c5']}
1769490144.546653,SENT,b39e23ec-4ee3-4c4a-9c63-c6c5f2cc423a,4ccb7734-c76a-4961-bb0c-2f98e369261f,c5,c4,3385,?,p2,
1769490144.546784,CREATED,d1aed118-3c2a-426a-b5d9-7ee33b1fa26c,1d3674be-dc33-4f2e-acdd-3e8bda80fea8,c5,c4,26,?,?,surb={'id': 'b08ac2c0-a9ca-48a5-9e25-c84629e4ae22', 'route': ['p1', 'e1', 'i2', 'x3', 'p2', 'c5']}
1769490144.8766541,SENT,f642dfdb-f53e-49c8-be88-01829d9add57,85ad2ea8-003c-4ce5-9586-030060de5fef,c5,c4,3359,?,p2,
1769490144.8768053,CREATED,9cc41dac-794e-47e7-9634-f4095b8bc697,1b74f407-39a5-41f0-87c3-2347346062ea,c5,c4,26,?,?,surb={'id': '75ae48ef-a028-44ee-807f-7445b190368f', 'route': ['p1', 'e6', 'i12', 'x2', 'p2', 'c5']}
1769490144.8881383,SENT,94eebdc2-6899-4279-8ec1-1ee6034c8fc8,e2cb5bd4-12c6-40dd-9364-91dfe7087340,c5,c4,3363,?,p2,
1769490144.8882885,CREATED,6a2a0bc5-384e-4652-b105-15b2f6984057,1b74f407-39a5-41f0-87c3-2347346062ea,c5,c4,26,?,?,surb={'id': '75ae48ef-a028-44ee-807f-7445b190368f', 'route': ['p1', 'e6', 'i12', 'x2', 'p2', 'c5']}
1769490145.1497242,SENT,5ef14a31-f5a6-4012-8a67-185bc969f7ba,c147df96-ba7c-46e0-9cd4-c531c5ca2387,c5,c4,3383,?,p2,
1769490145.1498928,CREATED,71da291f-93b7-4877-975f-2d7e199bf6aa,d6509882-8b91-495e-afa0-34db9e94b5a6,c5,c4,26,?,?,surb={'id': 'be7bddba-0c9f-441c-ad9c-2f03fbd20afa', 'route': ['p1', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769490145.1561363,SENT,868b3e47-0fbd-47b5-a46b-b9140fee7144,93e0dc2c-94e2-4aff-893f-df8a4358a99a,c5,c4,3363,?,p2,
1769490145.1562684,CREATED,5e5bcea9-224e-47f8-87cb-86e270ffc75c,d6509882-8b91-495e-afa0-34db9e94b5a6,c5,c4,26,?,?,surb={'id': 'be7bddba-0c9f-441c-ad9c-2f03fbd20afa', 'route': ['p1', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769490145.5404706,SENT,3f26262f-3ea1-4478-a97f-61386f8fd53b,6d02aab0-635b-4dc0-889f-6324b1a2f9ba,c5,c4,3400,?,p2,
1769490145.5406015,CREATED,bc7a3653-8405-458f-a2e9-932410863dc1,05137c60-f7f5-4436-b27d-8cf14f04191a,c5,c4,27,?,?,surb={'id': 'ae6529d4-472c-4fe1-b41c-161dc9880b58', 'route': ['p1', 'e10', 'i8', 'x9', 'p2', 'c5']}
1769490146.1979172,SENT,7e232a21-affb-43c5-b480-44ca239f2099,6d7e9564-b2b8-43a1-9a2c-0be1670ff231,c5,c4,3373,?,p2,
1769490146.199031,CREATED,fccc4a6a-6f8d-45df-94c6-52234ff52f85,05137c60-f7f5-4436-b27d-8cf14f04191a,c5,c4,27,?,?,surb={'id': 'ae6529d4-472c-4fe1-b41c-161dc9880b58', 'route': ['p1', 'e10', 'i8', 'x9', 'p2', 'c5']}
1769490146.45168,SENT,f21c30dd-c0d9-4589-bd26-597246c5ff17,c6b0dab6-1211-442d-8449-1f1f6060ac3f,c5,c4,3401,?,p2,
1769490146.4518137,CREATED,be336bae-6c2a-490e-8892-14bbae1c14b6,31367f0a-81f4-41a5-a137-beb238498a87,c5,c4,27,?,?,surb={'id': 'd79a4942-846f-4c82-8047-37c1f6fcab27', 'route': ['p1', 'e7', 'i8', 'x6', 'p2', 'c5']}
