timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490143.8068492,SENT,d5fd512e-8b0d-4853-81fe-fad7660cfc83,d04042ba-cb13-4f91-a001-c58410004831,c4,c1,3374,?,p1,
1769490143.8070252,CREATED,a9aebe50-1593-4d4e-8c0a-39ea7fdb72b7,19584fcb-6e9c-47d2-8236-26292d677203,c4,c1,27,?,?,surb={'id': '2d8a9e70-b4a4-4bfd-ad24-0afa8d680a07', 'route': ['p1', 'e6', 'i3', 'x4', 'p1', 'c4']}
1769490144.3846846,SENT,7428dc0d-b104-4f45-b9ce-83d021f9af47,851219da-13b6-4cc4-bf29-f68ee091c78e,c4,c1,3380,?,p1,
1769490144.3848352,CREATED,f5881898-c5a8-480d-9a6a-997411ffdb8f,19584fcb-6e9c-47d2-8236-26292d677203,c4,c1,27,?,?,surb={'id': '2d8a9e70-b4a4-4bfd-ad24-0afa8d680a07', 'route': ['p1', 'e6', 'i3', 'x4', 'p1', 'c4']}
1769490144.4027863,SENT,cb72627a-cc20-4720-ad5d-8d2345d83bbb,496801d3-95ef-4e4c-871b-a5a667b97bb3,c4,c1,3391,?,p1,
1769490144.4029317,CREATED,ff84bd73-b602-4dc9-aa82-78cd8e32e162,3b0ba160-cde5-443e-b53f-467d93c0f863,c4,c1,27,?,?,surb={'id': 'e8d24405-9e89-4ae4-8407-1c5471c77ebb', 'route': ['p1', 'e12', 'i2', 'x12', 'p1', 'c4']}
1769490144.5462317,SENT,a1183073-7ae5-4af9-8a31-d536fe02414e,6dadd212-e9d4-4ae2-b0b3-dacaeb3ab838,c4,c1,3406,?,p1,
1769490144.5463662,CREATED,4fcba271-a4ae-40bc-98a8-2c2fc7ef38bf,3b0ba160-cde5-443e-b53f-467d93c0f863,c4,c1,27,?,?,surb={'id': 'e8d24405-9e89-4ae4-8407-1c5471c77ebb', 'route': ['p1', 'e12', 'i2', 'x12', 'p1', 'c4']}
1769490144.7370327,SENT,0f8fe69b-faad-454d-a2a5-4fd3c75a67ff,8c72351b-af4c-44ff-b28e-33e9be907357,c4,c1,3388,?,p1,
1769490144.737223,CREATED,5783f235-c99e-4c08-a8dc-3c4bed28c693,94118be1-971d-4b89-889e-e5fd688e4ce1,c4,c1,27,?,?,surb={'id': '1321a5bc-1b59-4342-8b88-0712346d4886', 'route': ['p1', 'e10', 'i7', 'x12', 'p1', 'c4']}
1769490144.757239,SENT,2202d7bc-5ed8-419a-b816-fa786fd12c28,ac4d12a0-2507-4e75-8d91-0e7ba7357956,c4,c1,3390,?,p1,
1769490144.757373,CREATED,1e0c8603-f0cf-4b8a-9f4e-f9f89cd087cf,94118be1-971d-4b89-889e-e5fd688e4ce1,c4,c1,27,?,?,surb={'id': '1321a5bc-1b59-4342-8b88-0712346d4886', 'route': ['p1', 'e10', 'i7', 'x12', 'p1', 'c4']}
1769490144.967571,RECEIVED,fe9e8091-b55c-4861-bb13-8b3ebb4749fa,6aac3a7c-3a50-4b78-b4cf-c5e568f0641c,c5,c4,27,p1,?,surb={'id': '25742bea-dc5a-41e3-a7b6-f7b3a55d9fd1', 'route': ['p1', 'e12', 'i8', 'x10', 'p2', 'c5']}
1769490145.151348,SENT,fe6725a3-8d45-48ea-ba27-b24ded2c6872,206d13a9-9fe8-4a1d-9740-09bba228e00d,c4,DROP,2029,?,p1,
1769490145.1514604,CREATED,63f989ef-f5d4-422a-ab25-c74a7a6f871e,c1c6aeff-1252-44e0-886e-3027c9472e87,c4,DROP,27,?,?,
1769490145.2487972,SENT,9afba223-056b-4df8-9329-d18d04d3fb46,47c45d09-2c1f-47b0-aae1-d2f5285b71c3,c4,DROP,2015,?,p1,
1769490145.2489147,CREATED,96dac013-561d-43e6-a0a7-99365bdc8ed7,8f0b0565-1b45-4197-af7f-a3429020d1b1,c4,DROP,26,?,?,
1769490145.5598774,SENT,49b2dbbe-3c7e-465f-8681-283b512e1896,a698f863-1fce-4154-9e32-6584ae08bd3f,c4,c1,3400,?,p1,
1769490145.5600235,CREATED,50b65582-f88e-40e5-a04a-670d26c5fb10,5c8660df-63af-4c00-8d93-f6fdf2bd6024,c4,c1,27,?,?,surb={'id': '791f9bfd-8212-4ab1-9a6e-01ceb439f0d5', 'route': ['p1', 'e10', 'i3', 'x7', 'p1', 'c4']}
1769490146.9373724,SENT,2b8339b2-dfa2-4556-9816-ce99d9527d58,f86ea996-a539-4953-85c9-07cbd8fbda8b,c4,c1,3388,?,p1,
1769490146.9375033,CREATED,b139c400-a4e9-42dd-8d7b-c8dc2fb484ce,5c8660df-63af-4c00-8d93-f6fdf2bd6024,c4,c1,27,?,?,surb={'id': '791f9bfd-8212-4ab1-9a6e-01ceb439f0d5', 'route': ['p1', 'e10', 'i3', 'x7', 'p1', 'c4']}
1769490147.1159055,RECEIVED,d1aed118-3c2a-426a-b5d9-7ee33b1fa26c,1d3674be-dc33-4f2e-acdd-3e8bda80fea8,c5,c4,26,p1,?,surb={'id': 'b08ac2c0-a9ca-48a5-9e25-c84629e4ae22', 'route': ['p1', 'e1', 'i2', 'x3', 'p2', 'c5']}
1769490147.264441,SENT,7d319f15-b691-4447-bd11-0a47f69b6ad1,8abac903-f647-4a8c-afb7-d195be2490a9,c4,c1,3393,?,p1,
1769490147.264587,CREATED,fc65a9f4-16c7-4e67-b29b-80497a5514b7,6a8a748d-bfa3-431b-88e8-f5f5e9f939f6,c4,c1,27,?,?,surb={'id': '8da8255b-7f69-4b6a-b24a-f0113494b91d', 'route': ['p1', 'e12', 'i11', 'x2', 'p1', 'c4']}
1769490147.2965593,SENT,4ea9507c-1645-4b92-86ed-b4b6fc1ceb51,6edd99fe-e641-454e-bddb-9077acf2dfb1,c4,c1,3396,?,p1,
1769490147.2967126,CREATED,b5b93051-956b-45c5-a160-c36e02e69095,6a8a748d-bfa3-431b-88e8-f5f5e9f939f6,c4,c1,27,?,?,surb={'id': '8da8255b-7f69-4b6a-b24a-f0113494b91d', 'route': ['p1', 'e12', 'i11', 'x2', 'p1', 'c4']}
1769490147.5657167,SENT,2dbfabec-d2ab-4c47-8e39-74062dd7bc2a,3c1bb0d2-7684-410e-ab0e-7284f984ec27,c4,c1,3380,?,p1,
1769490147.5658498,CREATED,c8019f99-a707-4911-903f-722841a8d409,244b1e84-6e2b-4289-843f-8bfb79fe5898,c4,c1,26,?,?,surb={'id': 'dbe17610-20aa-4764-9657-d22e73f27974', 'route': ['p1', 'e7', 'i2', 'x12', 'p1', 'c4']}
1769490147.7213306,SENT,f1fefd53-1ef8-46c4-b15a-bf37a3fda7ba,43f2bfdd-75e9-4fe6-bbcf-3709ddf25c38,c4,c1,3372,?,p1,
1769490147.7214618,CREATED,c23856e9-e512-474b-9ec4-b6f10a5087cb,244b1e84-6e2b-4289-843f-8bfb79fe5898,c4,c1,26,?,?,surb={'id': 'dbe17610-20aa-4764-9657-d22e73f27974', 'route': ['p1', 'e7', 'i2', 'x12', 'p1', 'c4']}
1769490147.8252208,SENT,9464f55c-f585-46ce-9255-5e1e28c85b01,c0e03121-def7-44b9-9888-55658cdbed65,c4,c1,3402,?,p1,
1769490147.8253562,CREATED,e0352b9d-afb0-42bc-86e8-84f66f37a1cd,9fb5fc0e-dfae-49a8-b329-fb657ea19521,c4,c1,27,?,?,surb={'id': 'd9716e48-e955-4e52-b94d-a516443b84af', 'route': ['p1', 'e4', 'i2', 'x10', 'p1', 'c4']}
1769490147.8769982,RECEIVED,71da291f-93b7-4877-975f-2d7e199bf6aa,d6509882-8b91-495e-afa0-34db9e94b5a6,c5,c4,26,p1,?,surb={'id': 'be7bddba-0c9f-441c-ad9c-2f03fbd20afa', 'route': ['p1', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769490148.176826,RECEIVED,016191f2-d2dd-4e12-a033-3af2258fb365,1d3674be-dc33-4f2e-acdd-3e8bda80fea8,c5,c4,26,p1,?,surb={'id': 'b08ac2c0-a9ca-48a5-9e25-c84629e4ae22', 'route': ['p1', 'e1', 'i2', 'x3', 'p2', 'c5']}
1769490148.2393959,SENT,8b0be89f-abb1-42a0-82c0-08e0c69bfc53,8ae56ec4-508b-48a1-bed6-ff1ce3ba60e1,c4,c1,3399,?,p1,
1769490148.239541,CREATED,bb2d4e1b-c36d-4602-856e-7ee1f58dd107,9fb5fc0e-dfae-49a8-b329-fb657ea19521,c4,c1,27,?,?,surb={'id': 'd9716e48-e955-4e52-b94d-a516443b84af', 'route': ['p1', 'e4', 'i2', 'x10', 'p1', 'c4']}
1769490148.2657156,RECEIVED,be336bae-6c2a-490e-8892-14bbae1c14b6,31367f0a-81f4-41a5-a137-beb238498a87,c5,c4,27,p1,?,surb={'id': 'd79a4942-846f-4c82-8047-37c1f6fcab27', 'route': ['p1', 'e7', 'i8', 'x6', 'p2', 'c5']}
1769490148.3170965,SENT,8931cfa4-a3c8-425f-a515-89cc92d97cb2,c6206053-054f-451d-94a8-3afed2c133f2,c4,c1,3374,?,p1,
1769490148.3172648,CREATED,f1c1e7c8-248e-4572-9c57-2c57eccc885c,9af8367c-9422-49fe-b94b-190d12fc4648,c4,c1,27,?,?,surb={'id': '7aa22b1e-baf8-4944-bd25-2a7ad662be7c', 'route': ['p1', 'e5', 'i12', 'x2', 'p1', 'c4']}
1769490148.3430223,RECEIVED,fccc4a6a-6f8d-45df-94c6-52234ff52f85,05137c60-f7f5-4436-b27d-8cf14f04191a,c5,c4,27,p1,?,surb={'id': 'ae6529d4-472c-4fe1-b41c-161dc9880b58', 'route': ['p1', 'e10', 'i8', 'x9', 'p2', 'c5']}
1769490148.5115583,RECEIVED,bc7a3653-8405-458f-a2e9-932410863dc1,05137c60-f7f5-4436-b27d-8cf14f04191a,c5,c4,27,p1,?,surb={'id': 'ae6529d4-472c-4fe1-b41c-161dc9880b58', 'route': ['p1', 'e10', 'i8', 'x9', 'p2', 'c5']}
1769490148.5859113,SENT,29422d87-e58c-40f7-911d-f7d23553a9cb,aa57c10c-84e1-42c1-8bd5-67ea0709498c,c4,c1,3396,?,p1,
