timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490148.390168,SENT,9a01b2cd-5437-4fe0-95a6-06dff5e49ec9,18db0ef0-b12b-4f5b-a526-96202f561645,c2,c1,3371,?,p2,
1769490148.3903186,CREATED,30aca972-a519-48f0-91c1-4e034f995944,bbc24114-39da-434f-aab0-d86507d7272b,c2,c1,27,?,?,surb={'id': 'e805c3d3-4da7-41ab-8be9-36222b9237e7', 'route': ['p1', 'e1', 'i9', 'x4', 'p2', 'c2']}
1769490148.5359938,SENT,46f56a98-2c28-4adf-9aa4-83fce1655030,f1822384-c47f-4534-93f7-f8e8dc43563e,c2,c1,3364,?,p2,
1769490148.5369163,CREATED,4d31a2fe-2d30-4a50-aae9-ebc4c364e23c,bbc24114-39da-434f-aab0-d86507d7272b,c2,c1,27,?,?,surb={'id': 'e805c3d3-4da7-41ab-8be9-36222b9237e7', 'route': ['p1', 'e1', 'i9', 'x4', 'p2', 'c2']}
1769490148.8063035,RECEIVED,8b1b64eb-eb58-4939-86cb-93652fc80dbf,f7610537-a7fb-4fee-8520-e19742e721c9,c1,c2,27,p2,?,surb={'id': '31a6da13-2959-4d5f-af71-f6085cadc1dc', 'route': ['p2', 'e7', 'i9', 'x3', 'p1', 'c1']}
1769490148.8095558,RECEIVED,fda785fb-e5e6-4af8-a4c3-3e1f2d98510c,f7610537-a7fb-4fee-8520-e19742e721c9,c1,c2,27,p2,?,surb={'id': '31a6da13-2959-4d5f-af71-f6085cadc1dc', 'route': ['p2', 'e7', 'i9', 'x3', 'p1', 'c1']}
1769490148.9554868,SENT,c9e40f52-7112-4137-a2da-4b05cf3ebe59,8cf5ea84-1276-40e3-9f74-966e9ddbea11,c2,c1,3382,?,p2,
1769490148.955797,CREATED,22cbe09e-a475-4e48-81a0-c8b66c87229f,959ff3c3-8b77-45e7-bfa1-8a7c56a18a6b,c2,c1,26,?,?,surb={'id': '3db93d08-2ca1-47f3-bacc-a8ec5b690fbf', 'route': ['p1', 'e6', 'i3', 'x9', 'p2', 'c2']}
1769490149.2924085,SENT,7920d8d6-2b19-4025-8ed7-760f3f806d6e,1b0572b5-a7cd-4449-8214-38af2794753e,c2,c1,3385,?,p2,
1769490149.2925527,CREATED,98c0aa1f-80b2-4aee-9e46-e558d6be03c0,959ff3c3-8b77-45e7-bfa1-8a7c56a18a6b,c2,c1,26,?,?,surb={'id': '3db93d08-2ca1-47f3-bacc-a8ec5b690fbf', 'route': ['p1', 'e6', 'i3', 'x9', 'p2', 'c2']}
1769490149.3498774,RECEIVED,3a141a4e-cc7a-4c37-8596-c1ba69077897,19535ab9-d274-491f-bc0a-9960b9e26b96,c1,c2,27,p2,?,surb={'id': 'a1d2a244-098c-4e06-afc3-23f46500def6', 'route': ['p2', 'e8', 'i4', 'x6', 'p1', 'c1']}
1769490149.5746143,RECEIVED,7fdacd7d-8530-46b6-ad8a-6bd19cad4499,19535ab9-d274-491f-bc0a-9960b9e26b96,c1,c2,27,p2,?,surb={'id': 'a1d2a244-098c-4e06-afc3-23f46500def6', 'route': ['p2', 'e8', 'i4', 'x6', 'p1', 'c1']}
1769490149.57645,SENT,6757cff3-eab0-4536-9cd3-e91db4ab071c,65aba893-6e1a-4ffc-ac2f-2a0350e5fad0,c2,c1,3375,?,p2,
1769490149.5766323,CREATED,ebddccdd-3948-484e-a522-2b4cadfdd53f,620bbe78-1d17-46ad-9231-546d6bed50bd,c2,c1,26,?,?,surb={'id': 'dc30bb9b-0fd7-484f-b0a7-ca8d3eb17d76', 'route': ['p1', 'e12', 'i1', 'x7', 'p2', 'c2']}
1769490149.9604437,RECEIVED,8b28cf5c-a71f-4da3-928a-895d21f74fc1,b19a150c-835b-4bf7-ad15-75fd0ef89d91,c1,c2,27,p2,?,surb={'id': 'd4bad471-ded0-4079-9441-9ab8b17d767d', 'route': ['p2', 'e5', 'i12', 'x3', 'p1', 'c1']}
1769490150.1485856,SENT,7cba4036-f4ed-4c86-9614-88f909934d32,b1cd8d88-425d-4f18-86a1-4051c35f3b65,c2,c1,3363,?,p2,
1769490150.1487312,CREATED,8ade67c4-be0c-424e-a570-825f5b492067,620bbe78-1d17-46ad-9231-546d6bed50bd,c2,c1,26,?,?,surb={'id': 'dc30bb9b-0fd7-484f-b0a7-ca8d3eb17d76', 'route': ['p1', 'e12', 'i1', 'x7', 'p2', 'c2']}
1769490150.5822184,RECEIVED,7cae8852-9efa-408b-a068-de57b199c83e,0161a8ac-cc13-4e4b-8ff8-2892654da79e,c1,c2,27,p2,?,surb={'id': '99601817-d49d-49f1-8520-5fbb5747a4d9', 'route': ['p2', 'e9', 'i7', 'x5', 'p1', 'c1']}
1769490150.6349585,SENT,df2b9be9-6db1-4a52-84f8-509c28d3a432,2ecc9dba-879d-4b05-a47e-13da79be80be,c2,c1,3378,?,p2,
1769490150.6351342,CREATED,c291c14d-1019-405a-ae1e-22f1046261ca,f0750fa9-1315-4214-aeaa-46a3fe5504f4,c2,c1,26,?,?,surb={'id': 'f4f84566-8834-4ab8-9798-88045d1a4dc1', 'route': ['p1', 'e8', 'i10', 'x7', 'p2', 'c2']}
1769490150.9754303,RECEIVED,5d84a0d3-8bf8-4487-88cf-bd338a73a4a9,12bb5609-1423-4c58-8ac5-a034830b027e,c1,c2,26,p2,?,surb={'id': '89ffadbf-96ee-4016-bb0e-e7679b4e5bc5', 'route': ['p2', 'e4', 'i8', 'x2', 'p1', 'c1']}
1769490151.0818033,SENT,d3d5e123-b5c3-4f66-9d0f-e62fa526738e,4b5a6e07-7ffe-4615-ab1e-22fd4283d59b,c2,c1,3360,?,p2,
1769490151.0822647,CREATED,0d9facb5-bb04-4a85-b4a9-d9ed28fb0d86,f0750fa9-1315-4214-aeaa-46a3fe5504f4,c2,c1,26,?,?,surb={'id': 'f4f84566-8834-4ab8-9798-88045d1a4dc1', 'route': ['p1', 'e8', 'i10', 'x7', 'p2', 'c2']}
