timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490149.306183,CREATED,06ecaaf6-da96-4760-811e-8a6b7cb54fb7,0161a8ac-cc13-4e4b-8ff8-2892654da79e,c1,c2,27,?,?,surb={'id': '99601817-d49d-49f1-8520-5fbb5747a4d9', 'route': ['p2', 'e9', 'i7', 'x5', 'p1', 'c1']}
1769490149.3481963,RECEIVED,b5b93051-956b-45c5-a160-c36e02e69095,6a8a748d-bfa3-431b-88e8-f5f5e9f939f6,c4,c1,27,p1,?,surb={'id': '8da8255b-7f69-4b6a-b24a-f0113494b91d', 'route': ['p1', 'e12', 'i11', 'x2', 'p1', 'c4']}
1769490149.3834295,RECEIVED,b139c400-a4e9-42dd-8d7b-c8dc2fb484ce,5c8660df-63af-4c00-8d93-f6fdf2bd6024,c4,c1,27,p1,?,surb={'id': '791f9bfd-8212-4ab1-9a6e-01ceb439f0d5', 'route': ['p1', 'e10', 'i3', 'x7', 'p1', 'c4']}
1769490149.3951783,RECEIVED,8d4e841e-4662-4498-bd79-f74fa36ed445,d756ef31-c21c-4741-8479-ceb769531dec,c2,c1,25,p1,?,surb={'id': 'fb07e137-d933-4d1b-8e9a-338e787fdb49', 'route': ['p1', 'e11', 'i11', 'x12', 'p2', 'c2']}
1769490149.6606734,RECEIVED,bb2d4e1b-c36d-4602-856e-7ee1f58dd107,9fb5fc0e-dfae-49a8-b329-fb657ea19521,c4,c1,27,p1,?,surb={'id': 'd9716e48-e955-4e52-b94d-a516443b84af', 'route': ['p1', 'e4', 'i2', 'x10', 'p1', 'c4']}
1769490149.8246212,RECEIVED,c23856e9-e512-474b-9ec4-b6f10a5087cb,244b1e84-6e2b-4289-843f-8bfb79fe5898,c4,c1,26,p1,?,surb={'id': 'dbe17610-20aa-4764-9657-d22e73f27974', 'route': ['p1', 'e7', 'i2', 'x12', 'p1', 'c4']}
1769490149.9291797,RECEIVED,3f99bef3-ce43-4c52-9794-7f7d51bcfc5c,9d0ad2bb-e874-40ec-9d92-e0db2cb43e60,c2,c1,27,p1,?,surb={'id': '81bd0bdc-13c0-4776-bb57-226d01361abf', 'route': ['p1', 'e12', 'i7', 'x6', 'p2', 'c2']}
1769490150.0009556,RECEIVED,ae35b573-a52c-4b42-a9cf-de9c4edc4a45,f51293a9-0c9a-4bcd-abb7-7efa7183592a,c4,c1,26,p1,?,surb={'id': 'd62c6387-7adb-4b0b-b87c-96e0468b6998', 'route': ['p1', 'e9', 'i6', 'x1', 'p1', 'c4']}
1769490150.1797316,RECEIVED,22cbe09e-a475-4e48-81a0-c8b66c87229f,959ff3c3-8b77-45e7-bfa1-8a7c56a18a6b,c2,c1,26,p1,?,surb={'id': '3db93d08-2ca1-47f3-bacc-a8ec5b690fbf', 'route': ['p1', 'e6', 'i3', 'x9', 'p2', 'c2']}
1769490150.359426,RECEIVED,2f54053c-28ca-4d01-a094-37b782a5b226,0cce8ace-cde8-4734-aa83-ad4d8be42813,c4,c1,27,p1,?,surb={'id': 'e559bec1-d6c3-47ae-983b-3141ef71ab68', 'route': ['p1', 'e8', 'i2', 'x11', 'p1', 'c4']}
1769490150.453097,SENT,5f7814fa-0d24-4b34-8122-5a54623d68f9,97f67538-f72b-42b0-bcb4-0e5eef121520,c1,c2,3360,?,p1,
1769490150.4533396,CREATED,08730405-2037-45e6-b944-94857740d40d,ab4199a7-cb22-4c6e-ad6f-ad5aec842682,c1,c2,27,?,?,surb={'id': 'd257bff3-d71b-43ea-afe1-574506aea6cd', 'route': ['p2', 'e11', 'i7', 'x4', 'p1', 'c1']}
1769490150.5170426,RECEIVED,a9e019f3-d4f0-450d-887e-4caa03c85620,802a08df-e62c-4ee2-a58f-c475db5ffafa,c2,c1,27,p1,?,surb={'id': '20d191ca-0f3b-4e7b-8eb0-b7212b916f63', 'route': ['p1', 'e8', 'i1', 'x10', 'p2', 'c2']}
1769490150.550999,SENT,7fa5fb98-7196-4e48-b3fa-309b3595837d,b1902544-033f-412c-adac-61fb5717e39d,c1,c2,3364,?,p1,
1769490150.5511737,CREATED,b3fe9aeb-4c20-4406-b388-f2bf44c68d65,ab4199a7-cb22-4c6e-ad6f-ad5aec842682,c1,c2,27,?,?,surb={'id': 'd257bff3-d71b-43ea-afe1-574506aea6cd', 'route': ['p2', 'e11', 'i7', 'x4', 'p1', 'c1']}
1769490150.6185014,RECEIVED,57e56120-b37f-4e4a-8058-aa175ec0d471,9a09f7b0-858c-4a20-84b2-520d0f4ef384,c4,c1,27,p1,?,surb={'id': 'f7ffe4d1-e69c-4b68-83f6-8972f6547e10', 'route': ['p1', 'e6', 'i5', 'x6', 'p1', 'c4']}
1769490150.7217607,RECEIVED,f1c1e7c8-248e-4572-9c57-2c57eccc885c,9af8367c-9422-49fe-b94b-190d12fc4648,c4,c1,27,p1,?,surb={'id': '7aa22b1e-baf8-4944-bd25-2a7ad662be7c', 'route': ['p1', 'e5', 'i12', 'x2', 'p1', 'c4']}
1769490150.8290942,RECEIVED,904c4fa9-ac5e-4eba-8643-8ae4e1862dff,9a09f7b0-858c-4a20-84b2-520d0f4ef384,c4,c1,27,p1,?,surb={'id': 'f7ffe4d1-e69c-4b68-83f6-8972f6547e10', 'route': ['p1', 'e6', 'i5', 'x6', 'p1', 'c4']}
1769490150.8678675,SENT,e42ddf5e-d1df-4809-a075-6d43ded9b03b,2fb767e3-f6af-4202-a3bc-846368b0d611,c1,c2,3375,?,p1,
1769490150.868015,CREATED,6f4da7e9-451c-4aad-af72-a6024f35fe59,0e26e93b-886f-4081-a73f-5913921d3ff1,c1,c2,26,?,?,surb={'id': '505e86e8-5086-40cc-a52e-c53fb1cd0de2', 'route': ['p2', 'e3', 'i9', 'x12', 'p1', 'c1']}
1769490150.939574,RECEIVED,9521b66e-36a5-489c-b7aa-569b7639938f,f51293a9-0c9a-4bcd-abb7-7efa7183592a,c4,c1,26,p1,?,surb={'id': 'd62c6387-7adb-4b0b-b87c-96e0468b6998', 'route': ['p1', 'e9', 'i6', 'x1', 'p1', 'c4']}
1769490151.0975137,SENT,34de001d-b296-46bd-8e61-7a8ea39b34cb,0be18e2c-afbd-4218-8081-8610165c31ba,c1,c2,3376,?,p1,
1769490151.0976498,CREATED,77d56c06-b8a2-4e00-96db-0e87539968f4,0e26e93b-886f-4081-a73f-5913921d3ff1,c1,c2,26,?,?,surb={'id': '505e86e8-5086-40cc-a52e-c53fb1cd0de2', 'route': ['p2', 'e3', 'i9', 'x12', 'p1', 'c1']}
1769490151.1330938,RECEIVED,e9b76694-6939-4a1d-a5be-a7c60ed3945d,9af8367c-9422-49fe-b94b-190d12fc4648,c4,c1,27,p1,?,surb={'id': '7aa22b1e-baf8-4944-bd25-2a7ad662be7c', 'route': ['p1', 'e5', 'i12', 'x2', 'p1', 'c4']}
1769490151.2254777,SENT,ae31a126-1180-4666-94a5-e9bc810f6156,2e383f96-2d88-49f8-a13f-7edad418b121,c1,c2,3384,?,p1,
1769490151.225628,CREATED,13e69e5e-877a-4640-a841-b4fb39d11b15,cff6505a-2065-40ac-bbc5-c35cdf180a49,c1,c2,27,?,?,surb={'id': 'eaea75de-e81a-4b47-8975-1523f08c5cd9', 'route': ['p2', 'e8', 'i6', 'x2', 'p1', 'c1']}
1769490151.4661613,RECEIVED,4945d4f6-e15d-4898-ab3f-1cf4df0cd057,0cce8ace-cde8-4734-aa83-ad4d8be42813,c4,c1,27,p1,?,surb={'id': 'e559bec1-d6c3-47ae-983b-3141ef71ab68', 'route': ['p1', 'e8', 'i2', 'x11', 'p1', 'c4']}
1769490151.498441,RECEIVED,6261a1ad-69b9-484f-b335-13b13b2f3b4e,802a08df-e62c-4ee2-a58f-c475db5ffafa,c2,c1,27,p1,?,surb={'id': '20d191ca-0f3b-4e7b-8eb0-b7212b916f63', 'route': ['p1', 'e8', 'i1', 'x10', 'p2', 'c2']}
1769490151.5671744,RECEIVED,c291c14d-1019-405a-ae1e-22f1046261ca,f0750fa9-1315-4214-aeaa-46a3fe5504f4,c2,c1,26,p1,?,surb={'id': 'f4f84566-8834-4ab8-9798-88045d1a4dc1', 'route': ['p1', 'e8', 'i10', 'x7', 'p2', 'c2']}
1769490151.7296305,RECEIVED,ac35026c-c0f9-4d07-9c4e-b6f07bbfde11,c4533fa7-0364-4ad7-8fb9-da0e4bb6704f,c4,c1,27,p1,?,surb={'id': 'b48055ae-3a10-4e36-90ec-34b51cd5b5e4', 'route': ['p1', 'e8', 'i9', 'x11', 'p1', 'c4']}
1769490151.8005786,RECEIVED,c5471f86-e17d-4fff-87e8-2dbe31528b71,9baa843e-302d-4e21-b731-29c2e49a19c2,c4,c1,27,p1,?,surb={'id': '3ce41a9e-71ec-4b89-ab44-50267bf359a5', 'route': ['p1', 'e8', 'i5', 'x4', 'p1', 'c4']}
1769490151.8513293,RECEIVED,30aca972-a519-48f0-91c1-4e034f995944,bbc24114-39da-434f-aab0-d86507d7272b,c2,c1,27,p1,?,surb={'id': 'e805c3d3-4da7-41ab-8be9-36222b9237e7', 'route': ['p1', 'e1', 'i9', 'x4', 'p2', 'c2']}
1769490151.915078,RECEIVED,ebddccdd-3948-484e-a522-2b4cadfdd53f,620bbe78-1d17-46ad-9231-546d6bed50bd,c2,c1,26,p1,?,surb={'id': 'dc30bb9b-0fd7-484f-b0a7-ca8d3eb17d76', 'route': ['p1', 'e12', 'i1', 'x7', 'p2', 'c2']}
1769490151.9858685,RECEIVED,9c84b38a-a496-46e9-9251-dc42c119ae18,9baa843e-302d-4e21-b731-29c2e49a19c2,c4,c1,27,p1,?,surb={'id': '3ce41a9e-71ec-4b89-ab44-50267bf359a5', 'route': ['p1', 'e8', 'i5', 'x4', 'p1', 'c4']}
1769490152.0099857,RECEIVED,d9e922b4-bba4-4e48-9056-6ada785457c1,c4533fa7-0364-4ad7-8fb9-da0e4bb6704f,c4,c1,27,p1,?,surb={'id': 'b48055ae-3a10-4e36-90ec-34b51cd5b5e4', 'route': ['p1', 'e8', 'i9', 'x11', 'p1', 'c4']}
1769490152.055655,SENT,a178ca4a-f7d2-459c-b572-c5e2fb6ccd10,19239d7c-41e0-4d41-bbac-f77a8a2a2dcf,c1,c2,3383,?,p1,
1769490152.0558043,CREATED,11f5bf7f-9461-47a8-8acd-9e6772cbec97,cff6505a-2065-40ac-bbc5-c35cdf180a49,c1,c2,27,?,?,surb={'id': 'eaea75de-e81a-4b47-8975-1523f08c5cd9', 'route': ['p2', 'e8', 'i6', 'x2', 'p1', 'c1']}
1769490152.2159483,SENT,42565bf8-1881-47bc-bb69-2a2d0b7c46f8,2652b3ad-844c-4470-bd5f-c91a71787d7e,c1,c2,3399,?,p1,
1769490152.2169743,CREATED,43f37835-b110-4ea1-bdc3-f61ca43fc95e,88efa5b5-8815-4624-b5e6-d463d930f44f,c1,c2,27,?,?,surb={'id': '47c3d41c-37c5-4e9d-b1dd-79cfabf42555', 'route': ['p2', 'e11', 'i3', 'x11', 'p1', 'c1']}
1769490152.2472758,SENT,25e15d74-f9ac-4ffa-94a3-0c825639b972,4125507f-475b-405b-b92f-00088f3a2ff4,c1,c2,3387,?,p1,
1769490152.2474563,CREATED,9f7e6fc7-0301-4805-9cca-6a35c4b0d2d0,88efa5b5-8815-4624-b5e6-d463d930f44f,c1,c2,27,?,?,surb={'id': '47c3d41c-37c5-4e9d-b1dd-79cfabf42555', 'route': ['p2', 'e11', 'i3', 'x11', 'p1', 'c1']}
1769490152.4298356,SENT,8e275153-3c32-4d8a-8b7f-3b06896e6841,4d246163-d3ef-4c62-825c-601bbfc85314,c1,c2,3359,?,p1,
1769490152.4299958,CREATED,d1ba5a24-57b3-4580-a988-67a62b262126,2b0aed80-2735-44e5-b6b3-efbe80b88023,c1,c2,27,?,?,surb={'id': '36ee3be9-6fde-4630-bcaf-c692889a6a2a', 'route': ['p2', 'e1', 'i7', 'x9', 'p1', 'c1']}
1769490152.50583,RECEIVED,98c0aa1f-80b2-4aee-9e46-e558d6be03c0,959ff3c3-8b77-45e7-bfa1-8a7c56a18a6b,c2,c1,26,p1,?,surb={'id': '3db93d08-2ca1-47f3-bacc-a8ec5b690fbf', 'route': ['p1', 'e6', 'i3', 'x9', 'p2', 'c2']}
1769490152.5956407,RECEIVED,4d31a2fe-2d30-4a50-aae9-ebc4c364e23c,bbc24114-39da-434f-aab0-d86507d7272b,c2,c1,27,p1,?,surb={'id': 'e805c3d3-4da7-41ab-8be9-36222b9237e7', 'route': ['p1', 'e1', 'i9', 'x4', 'p2', 'c2']}
1769490152.9137406,SENT,7308a5e0-b026-487d-bc97-c18962e10f35,7cc6f095-7d79-4969-a330-acc5d585a483,c1,c2,3377,?,p1,
1769490152.9139714,CREATED,36d6777e-7fd8-4252-a532-da22f2229997,2b0aed80-2735-44e5-b6b3-efbe80b88023,c1,c2,27,?,?,surb={'id': '36ee3be9-6fde-4630-bcaf-c692889a6a2a', 'route': ['p2', 'e1', 'i7', 'x9', 'p1', 'c1']}
1769490152.9626083,SENT,c9beab38-8fd2-4ab0-bc67-9ccd4dd70038,26b1fb8b-a00a-4f61-982b-4395d96db72c,c1,c2,3376,?,p1,
1769490152.9627757,CREATED,7e52c50b-d789-4379-846a-d43aea0205ad,8f2a0ab9-5d88-4424-b3cd-ac9dc6ccf8e4,c1,c2,27,?,?,surb={'id': 'e58220a6-8809-4bb0-a776-f70c36aad462', 'route': ['p2', 'e3', 'i9', 'x7', 'p1', 'c1']}
1769490153.0806134,SENT,1118165c-8f32-4361-bca1-8662a2393876,5d590d68-ab2f-460e-a801-edc201dc1a17,c1,c2,3376,?,p1,
1769490153.0813138,CREATED,1b4fcebf-f487-402c-a559-84abfa8d1319,8f2a0ab9-5d88-4424-b3cd-ac9dc6ccf8e4,c1,c2,27,?,?,surb={'id': 'e58220a6-8809-4bb0-a776-f70c36aad462', 'route': ['p2', 'e3', 'i9', 'x7', 'p1', 'c1']}
1769490153.3471012,RECEIVED,36f7220e-6718-41ec-9a72-c7d82bc386c2,98780d57-2ea4-4963-ae2d-436cd95a6722,c4,c1,26,p1,?,surb={'id': '597a5543-c93e-48d1-bafc-45d3ec3a30cc', 'route': ['p1', 'e2', 'i6', 'x12', 'p1', 'c4']}
1769490153.4302847,RECEIVED,94047998-23bf-47cc-8a1d-51d1ef4e87de,a9991f66-be33-4e9c-910b-1fe11d170b97,c4,c1,25,p1,?,surb={'id': 'b2f0f2a6-3fc3-4fd0-a49a-91cb2208481f', 'route': ['p1', 'e5', 'i12', 'x2', 'p1', 'c4']}
1769490153.5415063,RECEIVED,bf63ab1c-1486-4de8-882e-38d3ceba3556,98780d57-2ea4-4963-ae2d-436cd95a6722,c4,c1,26,p1,?,surb={'id': '597a5543-c93e-48d1-bafc-45d3ec3a30cc', 'route': ['p1', 'e2', 'i6', 'x12', 'p1', 'c4']}
1769490153.6798518,RECEIVED,8ade67c4-be0c-424e-a570-825f5b492067,620bbe78-1d17-46ad-9231-546d6bed50bd,c2,c1,26,p1,?,surb={'id': 'dc30bb9b-0fd7-484f-b0a7-ca8d3eb17d76', 'route': ['p1', 'e12', 'i1', 'x7', 'p2', 'c2']}
1769490153.7229602,RECEIVED,98685914-4db1-48e4-99db-5517ee902e83,a9991f66-be33-4e9c-910b-1fe11d170b97,c4,c1,25,p1,?,surb={'id': 'b2f0f2a6-3fc3-4fd0-a49a-91cb2208481f', 'route': ['p1', 'e5', 'i12', 'x2', 'p1', 'c4']}
1769490153.8154957,RECEIVED,1ad5880f-3a96-4d40-8340-4bd1258722d9,a7f47219-b3de-4975-9fbe-f072f060babb,c2,c1,27,p1,?,surb={'id': '3ca72470-ee42-4136-a175-7e7d12943cbb', 'route': ['p1', 'e8', 'i10', 'x2', 'p2', 'c2']}
1769490153.990354,SENT,cfac004b-85bd-4fdf-adf1-e295d452ac96,942f9c19-63d6-4b24-aead-b97f10ac8450,c1,c2,3391,?,p1,
1769490153.9905038,CREATED,b03fd312-630f-4365-886e-e839960af838,1529b2d8-5fe4-4ebd-a27f-c1dc377c673c,c1,c2,26,?,?,surb={'id': 'e9784e53-76d1-4225-8b9d-f1b43f2f1c73', 'route': ['p2', 'e11', 'i5', 'x9', 'p1', 'c1']}
1769490154.032029,SENT,083f2598-92aa-4c30-ba77-4261eac29410,87c3f59a-ee39-4760-9161-9bd371789ba0,c1,c2,3377,?,p1,
1769490154.0322049,CREATED,592b3ba2-1630-4d21-b124-c3f1c0522ac5,1529b2d8-5fe4-4ebd-a27f-c1dc377c673c,c1,c2,26,?,?,surb={'id': 'e9784e53-76d1-4225-8b9d-f1b43f2f1c73', 'route': ['p2', 'e11', 'i5', 'x9', 'p1', 'c1']}
1769490154.1484852,RECEIVED,85369b03-7f13-4b36-aafb-c311db72a5e1,7118e808-03e7-4eb1-962a-84fb9378d4a1,c4,c1,26,p1,?,surb={'id': '7cc0a9c6-2bca-4225-91e8-389a3398b824', 'route': ['p1', 'e1', 'i3', 'x6', 'p1', 'c4']}
1769490154.3510814,RECEIVED,0d9facb5-bb04-4a85-b4a9-d9ed28fb0d86,f0750fa9-1315-4214-aeaa-46a3fe5504f4,c2,c1,26,p1,?,surb={'id': 'f4f84566-8834-4ab8-9798-88045d1a4dc1', 'route': ['p1', 'e8', 'i10', 'x7', 'p2', 'c2']}
1769490154.4458094,RECEIVED,c985b818-9e24-4ecb-9c8e-923ffb2f2cc4,f3cf9c85-0484-4a9f-89e3-ec42357484e1,c4,c1,27,p1,?,surb={'id': 'c101bcb9-88f6-4b79-876d-41dd495e2b4d', 'route': ['p1', 'e7', 'i4', 'x11', 'p1', 'c4']}
