timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769451281.1891384,SENT,086185fe-486a-4acd-a8cc-8d3bb980e112,8ade68a0-4f7a-4ca9-b18e-e0022d5734fe,c1,DROP,2045,?,p1,
1769451281.189281,CREATED,43455955-c90c-4763-8a8e-9afa024cf321,7181c355-268f-4224-a28e-9a5d355db2b9,c1,DROP,27,?,?,
1769451281.672961,SENT,22d08d1c-d7fa-4f43-a553-1fc5018dcb00,ba2ad2b2-736f-4b20-a601-2188dbe58f59,c1,c4,3347,?,p1,
1769451281.6734807,CREATED,e79d6a15-0da4-4e57-b994-01f6afd66efe,bd088ece-810b-460a-b228-30ec4f71d1d5,c1,c4,26,?,?,surb={'id': '8fca6501-2d55-497b-8e20-ea3f07d7cc42', 'route': ['p1', 'e8', 'i3', 'x1', 'p1', 'c1']}
1769451281.819826,SENT,a330b32b-4f3a-4628-bdda-2ab858ee0e01,e2b07bd2-511d-45ee-a49d-625adbeaf93c,c1,DROP,2015,?,p1,
1769451281.8199456,CREATED,7328cc16-3fe8-4b07-a62a-606f36ccbc3b,c84c835f-0f47-46ad-a850-5f043d49da9d,c1,DROP,27,?,?,
1769451282.1028197,SENT,849e447f-8fcc-4875-b8b4-4d918b6c9deb,57e00862-6434-49ef-9c77-b303cfe13052,c1,DROP,2018,?,p1,
1769451282.102953,CREATED,5a160ac4-4a3e-43cb-9e2f-c70aeae94692,d768f870-4920-435f-acf1-cf15b967d941,c1,DROP,27,?,?,
1769451282.2348754,SENT,c12416b0-0715-4e01-87e1-d19005604c48,3ba03b85-02d3-4367-b5c3-e683f1e81b8b,c1,DROP,2016,?,p1,
1769451282.235006,CREATED,0a8d89ec-e646-4132-addd-b4004bdd96cf,75215159-aad7-4a87-8330-05313e839099,c1,DROP,27,?,?,
1769451282.3277378,SENT,7491a76f-9d5d-4ec7-a272-ea37a673c4e9,355884f2-9515-4e71-875a-78ea94b2c6db,c1,c4,3387,?,p1,
1769451282.3278875,CREATED,b154814d-242f-4c7f-914e-93518b677864,edd25162-23e2-49b7-b620-01474fee974e,c1,c4,27,?,?,surb={'id': 'fd615f11-8503-46b0-97f4-af9fe5c1acf0', 'route': ['p1', 'e5', 'i4', 'x12', 'p1', 'c1']}
1769451282.5092964,SENT,e2463c23-48d9-451a-a3ad-b02c4269e63e,0082bafe-8764-420d-b377-9623c5b9fc84,c1,c4,3363,?,p1,
1769451282.509443,CREATED,f5f32318-bf6f-4c46-b7cf-ffbc279df131,d7efb48e-5275-4177-83a1-24da192f9e47,c1,c4,27,?,?,surb={'id': '782c6a97-0b5e-4448-9f9e-35e064fab1bb', 'route': ['p1', 'e5', 'i1', 'x2', 'p1', 'c1']}
1769451282.7513359,SENT,6e185671-1212-4f86-b69f-16f906e353fc,2e96e7d6-c996-4d08-a783-6828ee94efeb,c1,DROP,2019,?,p1,
