timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769461153.8624465,CREATED,245cd6f0-f3fb-4f68-a8ea-95f701b54301,a2cd4da9-ccd6-4b04-af18-039b5888ec93,c4,c5,27,?,?,surb={'id': 'b3b4ab76-41df-4d96-92f1-b697c0cb1936', 'route': ['p2', 'e11', 'i1', 'x5', 'p1', 'c4']}
1769461154.144019,SENT,314285e1-0d38-4b73-9a51-eea4b287ed35,f075aeb4-c968-45ac-91b6-438bb80184ac,c4,c5,3400,?,p1,
1769461154.1441975,CREATED,2eda54f8-e071-4c97-9c04-c0bc81a50157,418cdecc-b53f-4a26-90c6-ab1cdfdc0774,c4,c5,27,?,?,surb={'id': '9d64fc3e-ee48-4286-8fa6-5036401456cc', 'route': ['p2', 'e7', 'i4', 'x10', 'p1', 'c4']}
1769461154.2766154,SENT,0f268490-bd2c-415f-8fce-8465b200a1c8,e1facb06-35c9-48ff-b974-79689aac7b0b,c4,c5,3367,?,p1,
1769461154.2767625,CREATED,473835f8-3efb-4c1c-bd5e-2d32b437b495,cfd0a282-cbf9-48e0-9f31-6829038269a8,c4,c5,26,?,?,surb={'id': '236c5dde-91bd-4106-b0cb-07d3ddef4274', 'route': ['p2', 'e5', 'i3', 'x9', 'p1', 'c4']}
1769461154.3439236,SENT,05c516bb-84e7-4d56-b6a3-5ab780d4fbdc,0d98f605-c83b-4fe3-98fb-474dea14ebe5,c4,c5,3377,?,p1,
1769461154.3441036,CREATED,f9a2a2bc-55fe-4428-9657-d1f669b5e90a,7ba03c9a-c6da-4507-a88c-dd3543fd7c61,c4,c5,27,?,?,surb={'id': 'ab23426e-4f28-4fe2-b608-09a45bf496a3', 'route': ['p2', 'e1', 'i6', 'x7', 'p1', 'c4']}
1769461154.4840076,RECEIVED,ad409b12-f8c2-4737-ba70-7dfe722a3f23,a8a80a50-bae6-4c8d-940a-8c2f950bd1ae,c3,c4,26,p1,?,surb={'id': '8c299631-0e2b-4049-a5e3-8d43af358fe6', 'route': ['p1', 'e3', 'i7', 'x4', 'p3', 'c3']}
1769461154.5547173,RECEIVED,15851a13-0024-4fd6-a379-ab5036df98f4,f0f5c0ff-a805-4738-a83c-8279df80cd28,c3,c4,27,p1,?,surb={'id': 'f4c0f076-3569-4942-ae75-f88f436b8e8d', 'route': ['p1', 'e8', 'i8', 'x9', 'p3', 'c3']}
1769461154.6419108,SENT,7372648d-cf0d-4b02-85ef-e9f657f2d74d,b3902b3d-4bde-48ca-b7da-e8c813143c14,c4,c5,3365,?,p1,
1769461154.6420865,CREATED,8bbfdd34-1384-4c4b-a420-e6c92edead6a,061af6b2-5905-429c-bbc6-57ea2b78bccf,c4,c5,27,?,?,surb={'id': '9d80025c-fb27-4e65-90ee-e56ebd37213b', 'route': ['p2', 'e1', 'i5', 'x4', 'p1', 'c4']}
1769461154.7273076,RECEIVED,3dfd2942-6b2b-4e40-b97e-49b05cd0d6d9,49f0c3bf-cfca-44a0-a573-34d8d5176de4,c3,c4,27,p1,?,surb={'id': 'd299a3a6-5b8d-411b-a40b-c7ad6065083f', 'route': ['p1', 'e4', 'i2', 'x10', 'p3', 'c3']}
