timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490760.5282373,SENT,e56257c7-ee73-4949-a4cd-4d6f532f1048,5a7d74c7-fafc-4c15-b62b-14276e397e89,c4,DROP,2018,?,p1,
1769490760.5283802,CREATED,1a11a5a9-6556-4c8b-8e5e-f1b765912cb8,95361c74-6a34-4b8b-9290-7a66feb44625,c4,DROP,26,?,?,
1769490761.4490328,SENT,ba32e497-f6d4-4df6-85fd-6af2e6f8b31d,e4124771-6aa7-40d9-934a-df86942382d9,c4,c2,3391,?,p1,
1769490761.4492273,CREATED,557820f1-bb7b-446b-a27c-52a2aaf2c95f,9dbd7bdf-0877-4d99-9e12-08376878fe20,c4,c2,27,?,?,surb={'id': 'e4cf8fb5-4796-41e2-9717-51d61483f5f1', 'route': ['p2', 'e8', 'i11', 'x6', 'p1', 'c4']}
1769490761.5439994,RECEIVED,8778a96c-81af-4a02-8c87-5e8e0913a93e,5d7162bd-2115-48ee-9b8f-5d2433cb7a39,c1,c4,27,p1,?,surb={'id': '48d3c5ba-d7ec-478d-9bc4-8fa7ffc427d0', 'route': ['p1', 'e5', 'i3', 'x3', 'p1', 'c1']}
1769490761.8931596,SENT,a2c1c99e-6d74-4724-850e-a08bff4e73c0,61b53f01-ade1-4620-9621-808012a20906,c4,c2,3396,?,p1,
1769490761.8933094,CREATED,904e0ae9-7622-41ad-b1bd-5a6486a25c9d,a2a64d92-2167-44f2-91c2-155d10bf0d99,c4,c2,27,?,?,surb={'id': 'e12456f2-6504-4c77-b1a7-b920d1a9231c', 'route': ['p2', 'e9', 'i10', 'x12', 'p1', 'c4']}
1769490761.9238038,SENT,76ed541c-c416-4e85-b25d-e43e3e6168be,4a9b5615-f269-4519-b1c1-99e9eebe516e,c4,c2,3401,?,p1,
1769490761.924111,CREATED,864718c5-380e-4ea8-a493-7887be6e0a57,ec02c101-a035-4c58-98f1-dabbd796f7a0,c4,c2,26,?,?,surb={'id': 'a80c4320-ff95-4b3a-a5c7-2ce46951d5c9', 'route': ['p2', 'e11', 'i11', 'x9', 'p1', 'c4']}
1769490762.2541058,SENT,5729c41f-861f-458d-b125-b377b58c6f87,1f74b3ab-fa14-42f6-8d9d-54d4a5ed4793,c4,c2,3374,?,p1,
1769490762.2542586,CREATED,3b3f6f04-c2fc-4feb-97e7-bb7f20e027cf,67f64c2e-232c-419c-93ff-f6d4854d39f2,c4,c2,27,?,?,surb={'id': '183449ec-8af4-4566-80c5-f2b181047bea', 'route': ['p2', 'e2', 'i5', 'x9', 'p1', 'c4']}
1769490762.4073622,SENT,ffb240a7-0d76-49cd-9a36-db98af8a5f29,1a8d71d2-ab50-49b9-ab91-667d3efcd292,c4,c2,3368,?,p1,
1769490762.4074957,CREATED,ec14d26d-d13f-47de-9122-f5117b43d140,766ff627-4437-416e-b26e-63de3a6faeba,c4,c2,27,?,?,surb={'id': '09634fdd-e7f9-4f30-a353-f04c62523c97', 'route': ['p2', 'e1', 'i10', 'x11', 'p1', 'c4']}
1769490762.5918968,SENT,e67f64af-f2ae-423a-8ba5-f548ab36d2e8,b2f3afee-a099-4642-8327-759d5090c231,c4,c2,3392,?,p1,
