timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490760.6598105,SENT,b51e89d7-f3b4-41bd-8a5e-4d2b3d3f74a8,3eb6d21e-9cf0-4f67-b418-7ba6b6c1e1b1,c2,DROP,2032,?,p2,
1769490760.6599844,CREATED,f23d5c7b-4f41-4aee-8ac8-d95968bc7970,a590a613-2611-40ed-bf95-5b2b575dc295,c2,DROP,27,?,?,
1769490760.7520826,SENT,02a5f123-e63d-4c5c-a04f-95b8887e12c8,0c879ca5-56aa-40a0-b3f3-48c158098868,c2,c4,3364,?,p2,
1769490760.752357,CREATED,ab05bca9-706f-4689-9cb9-d2c4b63430be,dd0baa9f-b441-4810-b5bb-da6c39602ab1,c2,c4,27,?,?,surb={'id': '416c97e4-1f93-402b-bf85-bc6b5c7c1ae9', 'route': ['p1', 'e4', 'i2', 'x7', 'p2', 'c2']}
1769490761.002455,SENT,ee5ad106-a400-42ec-935b-34e0556bc186,dda0973d-0d3c-4994-aaa7-3f083682db55,c2,c4,3379,?,p2,
1769490761.0026052,CREATED,b912cdf0-a935-4948-9612-df6cd7276c8c,d8e6b415-db4f-4dfa-b4c4-a83512e62880,c2,c4,26,?,?,surb={'id': 'f2b2d2e1-01f5-4fcf-b6ee-f2ee11a34ec0', 'route': ['p1', 'e10', 'i8', 'x1', 'p2', 'c2']}
1769490761.6586518,SENT,a736b39b-bccc-4e36-bf25-ad33e86cafca,f9bc501d-1388-489b-bd29-398e172ee6bc,c2,c4,3376,?,p2,
1769490761.658867,CREATED,55bd20d4-169b-4ae7-8261-adf9efe9d752,fda230ed-8733-48b5-9e20-6fa169e7d5cc,c2,c4,27,?,?,surb={'id': 'b4ab3bc4-ca0b-43db-9337-1491f8eb5826', 'route': ['p1', 'e2', 'i8', 'x7', 'p2', 'c2']}
1769490761.8044333,SENT,dc308653-f30c-4bce-93a2-a9b66fc48676,3f94e66a-b0f9-4a25-8241-6e60d46443d3,c2,c4,3395,?,p2,
1769490761.804584,CREATED,1d45621d-5ab5-4850-ad09-1336f28fe69f,405aa473-3f83-48f3-bbbb-5a0bf14df33d,c2,c4,27,?,?,surb={'id': '5d62eae7-2c15-43ab-b2a0-e9141535c8b0', 'route': ['p1', 'e10', 'i8', 'x5', 'p2', 'c2']}
1769490761.9365351,SENT,0209c9ad-703c-4648-a536-aaa593410d97,d3ffe0f9-246f-4224-b73a-dc6ce222d50c,c2,c4,3392,?,p2,
1769490761.9369235,CREATED,3fa85562-4e5d-4200-a8fb-a3630c1cce1b,1f8c9186-6d78-4240-8bde-0b7108b0cbcc,c2,c4,27,?,?,surb={'id': '171035a5-2d36-426f-ac4a-31b074aa7c66', 'route': ['p1', 'e1', 'i10', 'x6', 'p2', 'c2']}
1769490763.1886275,RECEIVED,b1f517e4-bdb6-4d70-a7d9-4629bca33738,59a6eb8c-4a67-49be-b777-a130068a5236,c3,c2,26,p2,?,surb={'id': 'b331706b-081a-4473-b3da-480798fa4a5d', 'route': ['p2', 'e3', 'i5', 'x4', 'p3', 'c3']}
1769490763.189821,SENT,24580a31-e347-4882-a658-25a218932da6,ad2fcaf4-645c-4fa2-b183-74f14d9252e6,c2,c4,3379,?,p2,
