timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488860.5203018,RECEIVED,fd1046a5-50ff-449e-b0e1-10e57415d079,c1,c2,1304,e10,?,
1768488860.5932138,RECEIVED,d85a4460-4e2a-4ee9-abf1-614f71330304,c5,c4,1297,e3,?,
1768488860.6501944,RECEIVED,4a3d8006-c804-4e5f-9ec0-b1b8cc5d050f,c1,c2,1309,e10,?,
1768488860.7426505,SENT,4a3d8006-c804-4e5f-9ec0-b1b8cc5d050f,c1,c2,907,?,x12,
1768488860.7427824,FORWARDED,4a3d8006-c804-4e5f-9ec0-b1b8cc5d050f,c1,c2,907,?,x12,
1768488860.7838101,SENT,d85a4460-4e2a-4ee9-abf1-614f71330304,c5,c4,903,?,x9,
1768488860.7838495,FORWARDED,d85a4460-4e2a-4ee9-abf1-614f71330304,c5,c4,903,?,x9,
1768488860.872244,RECEIVED,a2c0aba4-4673-46b0-804f-fa8431e53119,c3,c2,1302,e9,?,
1768488860.9438136,RECEIVED,696cbb12-371e-4c37-b435-facabda732c2,c1,c3,1311,e11,?,
1768488860.9487777,SENT,fd1046a5-50ff-449e-b0e1-10e57415d079,c1,c2,906,?,x12,
1768488860.9488583,FORWARDED,fd1046a5-50ff-449e-b0e1-10e57415d079,c1,c2,906,?,x12,
1768488861.0159905,SENT,a2c0aba4-4673-46b0-804f-fa8431e53119,c3,c2,904,?,x9,
1768488861.016038,FORWARDED,a2c0aba4-4673-46b0-804f-fa8431e53119,c3,c2,904,?,x9,
1768488861.025943,RECEIVED,8a024412-1bcc-42cb-a930-d3983f587857,c3,c2,1300,e9,?,
1768488861.0965214,SENT,696cbb12-371e-4c37-b435-facabda732c2,c1,c3,912,?,x6,
1768488861.0965714,FORWARDED,696cbb12-371e-4c37-b435-facabda732c2,c1,c3,912,?,x6,
1768488861.2653658,RECEIVED,c6cda6ad-2d4b-439c-b297-2f68ce5d61d3,c1,c3,1309,e11,?,
1768488861.3052776,SENT,c6cda6ad-2d4b-439c-b297-2f68ce5d61d3,c1,c3,908,?,x6,
1768488861.3061657,FORWARDED,c6cda6ad-2d4b-439c-b297-2f68ce5d61d3,c1,c3,908,?,x6,
1768488861.317426,RECEIVED,d43a406c-4762-4f10-86c7-916ceeb3f536,c4,c5,1307,e10,?,
1768488861.3514476,SENT,8a024412-1bcc-42cb-a930-d3983f587857,c3,c2,903,?,x9,
1768488861.351492,FORWARDED,8a024412-1bcc-42cb-a930-d3983f587857,c3,c2,903,?,x9,
1768488861.4290924,RECEIVED,6e9991b1-b12f-498d-95f3-0eaf14777ce9,c4,c5,1308,e10,?,
1768488861.7269099,RECEIVED,d145ba5d-f25f-4a47-a4d1-19aa0488cdf1,c1,c4,1308,e6,?,
1768488861.7894928,SENT,d145ba5d-f25f-4a47-a4d1-19aa0488cdf1,c1,c4,907,?,x3,
1768488861.7895427,FORWARDED,d145ba5d-f25f-4a47-a4d1-19aa0488cdf1,c1,c4,907,?,x3,
1768488861.879901,RECEIVED,7dd494bd-b815-45d6-8883-730ff7769fa6,c2,c4,1305,e7,?,
1768488861.936264,RECEIVED,dc31e2e7-414c-4bed-b9ae-72075900bedc,c2,c4,1308,e1,?,
1768488862.0723307,RECEIVED,ff0b2501-e630-42bb-b289-0946884a5424,c1,c4,1311,e4,?,
1768488862.1086783,RECEIVED,480b5a8d-f6ae-41a7-a57e-182e5605a055,c4,c5,1313,e10,?,
