timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769476144.3987958,CREATED,3450321a-cae3-4c14-a2c2-e75abc4c9e4f,1adee145-bcf3-42ff-8ab7-33ac71328a00,c2,c1,27,?,?,surb={'id': '9cb783d5-17b1-4e16-ae15-0c8a631cc88d', 'route': ['p1', 'e8', 'i12', 'x11', 'p2', 'c2']}
1769476144.541871,RECEIVED,f665c2ae-9112-4947-a717-3f4533562e27,1ef6da3c-b5ef-488e-b57b-59340b32dab9,c3,c2,27,p2,?,surb={'id': 'fd5d4985-5967-4033-bdd7-c00913bf0f45', 'route': ['p2', 'e4', 'i5', 'x3', 'p3', 'c3']}
1769476144.5435727,RECEIVED,7689e1dd-821f-476e-b22f-a2631bf3abf4,918f3f82-25db-46d2-abd0-595f0256a943,c3,c2,27,p2,?,surb={'id': '00e0981f-c181-4e07-b52a-1413723caa32', 'route': ['p2', 'e8', 'i2', 'x11', 'p3', 'c3']}
1769476144.764807,RECEIVED,6d1ff227-ef20-48a7-afa3-290ca5ff9a2a,29fea9ee-8e5b-42e1-83fc-99110760da05,c1,c2,26,p2,?,surb={'id': 'c6a1a235-f2d4-4383-9b7a-35cfa411e5da', 'route': ['p2', 'e6', 'i4', 'x4', 'p1', 'c1']}
1769476144.8809843,RECEIVED,d5ad9c2f-23a4-407e-a549-71d4ebd85a97,93b3a6f1-2d59-4145-afaa-82e5e7654a65,c3,c2,27,p2,?,surb={'id': 'ff827181-e527-404f-b1a3-76b0eb2c03b7', 'route': ['p2', 'e6', 'i10', 'x7', 'p3', 'c3']}
1769476144.9316149,RECEIVED,7f66e086-656e-4947-a77d-930873b0b913,f636ee81-9342-4d28-924e-f0583350049c,c1,c2,27,p2,?,surb={'id': 'e3e42642-16f8-4840-8e5b-e3da7f1ec02c', 'route': ['p2', 'e8', 'i2', 'x7', 'p1', 'c1']}
1769476145.0476503,RECEIVED,de40e849-b269-44d3-a62b-af817f6f4440,c7d99188-d8aa-43c1-8d83-5be426a2b17b,c3,c2,26,p2,?,surb={'id': 'f373b846-a463-4814-81c0-9a1a6877ccfa', 'route': ['p2', 'e3', 'i8', 'x4', 'p3', 'c3']}
1769476145.1274931,RECEIVED,25d62155-274a-441e-866b-a3ec35c931b3,489991a7-e603-49e0-a203-6430948a3939,c3,c2,27,p2,?,surb={'id': 'd4211b8e-649e-4aa5-9555-90d16e45a922', 'route': ['p2', 'e8', 'i10', 'x10', 'p3', 'c3']}
1769476145.151566,RECEIVED,089c7fe7-8c27-45fd-9789-35aa0a8c9969,74f3ea1e-cf55-4c2d-925f-a7c17e2cb2d0,c1,c2,26,p2,?,surb={'id': 'a3f8ea96-26fa-4c53-b271-cb92f578899c', 'route': ['p2', 'e10', 'i12', 'x7', 'p1', 'c1']}
1769476145.286464,RECEIVED,08dfd273-e8c7-4974-8a73-654bfdbfad03,6d437462-4b7a-4808-84b2-e4367c44779a,c1,c2,27,p2,?,surb={'id': '29105daf-d282-4145-83fb-44a549477f91', 'route': ['p2', 'e4', 'i12', 'x4', 'p1', 'c1']}
1769476145.2937567,RECEIVED,aab50102-7b02-47d7-a05b-b0fef98db113,1908e8ae-ca3c-4266-bcf5-c13b06ff70bf,c3,c2,26,p2,?,surb={'id': '5cd37527-5ff7-40d5-9a6d-458d6af88c65', 'route': ['p2', 'e2', 'i4', 'x3', 'p3', 'c3']}
1769476145.3014588,SENT,bfd44509-1a32-410a-b322-98c263a24222,6e1ab68d-020e-4eb6-89fe-02224a46c155,c2,c1,3395,?,p2,
1769476145.3015082,CREATED,ed11f071-7f4b-4cf0-886c-0ff94b94ddf0,fee8ec3a-dfcc-4ccb-b726-067b18bffb3e,c2,c1,27,?,?,surb={'id': '6142acea-ac64-496a-b345-335f178ad5bc', 'route': ['p1', 'e4', 'i3', 'x10', 'p2', 'c2']}
1769476145.376866,SENT,7e6f3e92-7719-421c-8472-1d8a9ab2ccb4,8b05e2cc-8d2e-4b7a-831b-7bc4358f3bb6,c2,c1,3396,?,p2,
1769476145.3769143,CREATED,8484ed4f-3f56-4eae-b0cd-17462a0aa2e3,f524802a-ac66-4ee2-b56a-73311bc3193b,c2,c1,25,?,?,surb={'id': '5f5d4062-c6e2-4e81-87dd-2bb108f1be20', 'route': ['p1', 'e7', 'i5', 'x12', 'p2', 'c2']}
1769476145.3976054,SENT,9971f2ad-f9f4-420f-b9c1-52b7f8bb3b88,41f51a16-d0dd-4b10-805f-6e700d33396a,c2,c1,3395,?,p2,
1769476145.3976705,CREATED,0a2c0296-04fc-4677-9e66-8fee75fc7063,093c157c-fec8-40c2-ba82-b4985808ec5a,c2,c1,27,?,?,surb={'id': '015e019e-7b4a-4a4f-ab7e-a3254102497a', 'route': ['p1', 'e4', 'i3', 'x11', 'p2', 'c2']}
1769476145.4647613,RECEIVED,23683c61-7a9e-4f63-a302-e58cf773af4d,a6da1b44-1421-45b3-b874-8c237688eb46,c1,c2,27,p2,?,surb={'id': 'daadc4ef-085f-42b6-a320-a4c01c4dc89a', 'route': ['p2', 'e7', 'i6', 'x5', 'p1', 'c1']}
1769476145.471556,RECEIVED,83c4485e-d803-4a53-88d9-6e12177d0c7b,12027444-057f-40c4-9578-8294985a86a5,c1,c2,26,p2,?,surb={'id': '6462904b-a146-4b68-8548-009e61166031', 'route': ['p2', 'e3', 'i9', 'x5', 'p1', 'c1']}
1769476145.5617845,SENT,a0e73e1d-2190-40b5-b05a-30e963b72cc1,1048b6d9-b0b9-47d6-9265-20282ed9e97a,c2,c1,3389,?,p2,
1769476145.5618334,CREATED,bf3a4c3c-39aa-4cbc-962d-200bac1f13f6,37a365ba-235b-41e2-bd7d-37a38af645ca,c2,c1,26,?,?,surb={'id': '6244b1f3-c291-4ed6-8b4a-b855a3525bf2', 'route': ['p1', 'e12', 'i11', 'x2', 'p2', 'c2']}
1769476145.6940358,RECEIVED,7b69b6dd-52c3-4639-a547-9f045774509f,849fecb7-5c39-424d-9b1d-2f3e72756577,c4,c2,27,p2,?,surb={'id': '64a46aaf-3ccc-420c-b7a8-eef2494dd514', 'route': ['p2', 'e12', 'i1', 'x10', 'p1', 'c4']}
1769476145.8064036,RECEIVED,fecd7aa6-2a4d-410f-956d-0461344b96ac,ec622aa2-63c8-42b4-bfbe-27bbeaf289b2,c4,c2,27,p2,?,surb={'id': '576c7c2b-7617-449f-8941-71ab18834266', 'route': ['p2', 'e5', 'i12', 'x10', 'p1', 'c4']}
1769476145.8176942,RECEIVED,8ac4d719-d52c-4fee-8df5-4a44578a1de7,62c586bd-0647-4a08-9bc2-d507e3b5e0ef,c3,c2,27,p2,?,surb={'id': '5c8aeb5a-807c-40bc-a9e3-b2f169406670', 'route': ['p2', 'e9', 'i9', 'x8', 'p3', 'c3']}
1769476146.2518165,RECEIVED,5858078e-eee9-43ca-b17a-be623c9404c4,d9c67f15-ddf7-4489-ad7b-f550b218cc2a,c3,c2,27,p2,?,surb={'id': '6d4c0268-b5e8-4f27-aedf-a700e5d0364c', 'route': ['p2', 'e7', 'i1', 'x7', 'p3', 'c3']}
1769476146.3837173,RECEIVED,3e0fb29a-ac59-4f27-ade8-afdd073634af,f6623064-29df-4635-aeec-ca0fa3f51b63,c3,c2,27,p2,?,surb={'id': 'e5e09bd8-8be9-4581-b196-13e533d4eefb', 'route': ['p2', 'e10', 'i8', 'x6', 'p3', 'c3']}
1769476146.4296741,RECEIVED,e0aaf793-6d6e-4dca-8602-6cddabd6728a,9cb556b1-ced4-4c5a-9649-f312cd25cf06,c4,c2,27,p2,?,surb={'id': '20b8d3ae-742e-42a1-8db3-d2773ad4017f', 'route': ['p2', 'e10', 'i6', 'x10', 'p1', 'c4']}
1769476146.651766,SENT,2808328b-f3c9-402c-9674-18297350af4b,c34fee7a-3678-4047-b710-867e214b038c,c2,c1,3392,?,p2,
1769476146.6518123,CREATED,1415290d-857b-49a8-82ed-ac936643f21e,b5b94102-edf0-48a4-8017-647b4c2cc45d,c2,c1,27,?,?,surb={'id': '7f22f4ff-ce72-4225-86f4-ab38c0ce77ec', 'route': ['p1', 'e4', 'i5', 'x8', 'p2', 'c2']}
1769476146.7322805,RECEIVED,833ce5ec-5050-4955-a724-3a20f3f881d3,7abc5487-65e4-4306-8e93-703ccbaef286,c4,c2,27,p2,?,surb={'id': 'bad581d9-ebeb-4f92-b795-26376c5e46c3', 'route': ['p2', 'e9', 'i1', 'x6', 'p1', 'c4']}
1769476146.8728886,RECEIVED,05f9e26a-a352-4776-b1d1-9318fd191d91,ac0355c6-e3fc-45cc-a484-cf49430621fa,c3,c2,27,p2,?,surb={'id': 'c37d11dd-9cff-48e6-bdd6-f60ae3e37e0a', 'route': ['p2', 'e7', 'i12', 'x11', 'p3', 'c3']}
1769476146.8999815,SENT,2db4bdb3-cab0-4e65-9721-504af91af7a5,f8e89b16-5734-4dcf-847b-c4d6221283f6,c2,c1,3409,?,p2,
1769476146.90003,CREATED,92bcdfa6-db5d-473f-bbf8-52737e4957b5,29dd0ceb-9f56-4ddb-9bf3-ad67308d8772,c2,c1,27,?,?,surb={'id': 'f393267d-1643-44ac-94c3-c1807a20f703', 'route': ['p1', 'e2', 'i11', 'x6', 'p2', 'c2']}
1769476146.9115326,RECEIVED,0e5d5338-d420-410b-8fe5-623ce3ced61d,dbdde054-1256-4d30-90e7-5cb3c5aba122,c4,c2,27,p2,?,surb={'id': '2e3089ad-de3b-4a20-8ba8-3bf7875879e6', 'route': ['p2', 'e7', 'i12', 'x8', 'p1', 'c4']}
1769476146.9522738,RECEIVED,e7bc2a5b-1bf0-4019-ac17-5e7259dcef33,ecdd9a10-91c6-43d2-acbc-4346ebade794,c3,c2,27,p2,?,surb={'id': 'a68180e4-6540-4e6c-882d-1d6dfc1b957c', 'route': ['p2', 'e8', 'i12', 'x7', 'p3', 'c3']}
1769476146.9903538,RECEIVED,0e250e4b-ad4b-45ed-bb1a-8e4cd36a786c,62f2cdd1-fd55-4fff-8b2f-348a60e0c271,c4,c2,27,p2,?,surb={'id': '8a0566aa-3a1c-4fdd-84f4-70e7216cfc0e', 'route': ['p2', 'e3', 'i8', 'x12', 'p1', 'c4']}
1769476147.2002995,SENT,3b4c23d2-e329-4d02-a590-521f1e6aab8e,d5f0f749-f48d-434b-8fc2-fd255da6a39d,c2,c1,3391,?,p2,
1769476147.200346,CREATED,a5508317-70d4-4345-b65e-b45b08b27beb,d282fd22-8684-43f0-a2f0-6ebb67cd2774,c2,c1,27,?,?,surb={'id': '8df54fc4-2d49-4685-8ee7-54618d8401f7', 'route': ['p1', 'e10', 'i3', 'x4', 'p2', 'c2']}
1769476147.2212849,RECEIVED,f08db4fe-a845-4600-b9f3-b95b19bea08e,dd89ff33-67c6-40ad-a235-4ac4d302d5f9,c4,c2,25,p2,?,surb={'id': 'bc167d1b-a52e-4492-9fa2-f625e98dd01d', 'route': ['p2', 'e3', 'i5', 'x6', 'p1', 'c4']}
1769476147.2759337,RECEIVED,2acd0b64-3fbf-4a88-9702-4b94b34f4c37,ee67a1a3-235c-42ae-ba2b-cb8ac0e63ffa,c4,c2,27,p2,?,surb={'id': '3234deca-af5e-424e-8c9d-41956b1b47f0', 'route': ['p2', 'e5', 'i7', 'x7', 'p1', 'c4']}
1769476147.2789414,RECEIVED,21f18392-1dfb-4dc2-882b-89827642bbf6,94f4788f-81e9-4d07-adf5-b170fe81688f,c1,c2,26,p2,?,surb={'id': 'f86c6f24-0c20-40eb-b796-4159101837a8', 'route': ['p2', 'e5', 'i4', 'x8', 'p1', 'c1']}
1769476147.4231663,SENT,debc8a6d-ac1c-4f6a-ba58-15a0c2ac745e,c332e74f-ee21-4d36-a474-7c8a23b763f1,c2,c1,3375,?,p2,
1769476147.4232097,CREATED,8fc15b34-70e9-4cce-a1cd-311afad763dd,0fdfb5fc-f47a-484e-96b7-bbfc56230977,c2,c1,25,?,?,surb={'id': '11164bdd-dcd3-483e-b663-553755608ad9', 'route': ['p1', 'e5', 'i10', 'x4', 'p2', 'c2']}
1769476147.458913,RECEIVED,c5d5e75e-0109-442a-a910-2e9d0cb49af6,9da59ff8-126d-47da-b0e6-2173adbf1626,c1,c2,26,p2,?,surb={'id': '5240171c-bb65-42ad-8456-75d2d0edd1fa', 'route': ['p2', 'e5', 'i3', 'x4', 'p1', 'c1']}
1769476147.5724192,SENT,aa9a5068-a374-4e48-ad81-57aa4ef59ed2,aba5053f-945e-4eb5-8126-a423ad593ebf,c2,c1,3371,?,p2,
1769476147.5724723,CREATED,7b8a8a46-2845-4f7e-b090-16e04d58ad7b,b961c9a9-2b2b-4650-b3be-ea3aa6cf48fa,c2,c1,27,?,?,surb={'id': '4ddf78ad-994a-44de-9338-b57d386b70a6', 'route': ['p1', 'e5', 'i8', 'x6', 'p2', 'c2']}
1769476147.5911467,RECEIVED,82b89472-c832-432a-925c-ad3f301689ee,389e96d9-afb8-44e8-862f-8140e021e573,c4,c2,27,p2,?,surb={'id': '9002f7bd-5108-4d9e-9380-18c4b2049471', 'route': ['p2', 'e7', 'i8', 'x1', 'p1', 'c4']}
1769476147.6948252,RECEIVED,d4f7bb60-2970-454f-aae2-e3c4d1c7c42e,ac3a893a-bd28-4425-b116-3cc90902b89e,c3,c2,27,p2,?,surb={'id': '14ba9a18-1cf4-4589-ad2e-9567fced73ea', 'route': ['p2', 'e7', 'i12', 'x2', 'p3', 'c3']}
1769476147.6954837,RECEIVED,030056d4-a1bd-42f3-a5fa-3271caa1dfa5,9dc45974-1507-48f8-b9b5-4dae56e0f4c3,c1,c2,26,p2,?,surb={'id': '7263d406-13d5-4641-b2ce-a7edc4ca31bb', 'route': ['p2', 'e3', 'i2', 'x2', 'p1', 'c1']}
1769476147.7656877,RECEIVED,d5d40fc2-3914-4ffe-abe1-1d9104bd98b9,9afec4b5-b0f7-460c-8366-4961bcaa34b3,c3,c2,26,p2,?,surb={'id': 'd0ea5f28-cb19-4ebe-a061-e5bba720419d', 'route': ['p2', 'e7', 'i9', 'x12', 'p3', 'c3']}
1769476147.9301345,RECEIVED,150bdb9e-2063-47d1-bef7-846d9e37ada3,6b1a5e8d-4d25-4feb-b74e-d32787be619c,c4,c2,27,p2,?,surb={'id': '8c86d6fb-d8de-4430-919a-e12eb5b02e28', 'route': ['p2', 'e10', 'i5', 'x7', 'p1', 'c4']}
1769476148.015059,RECEIVED,f9119d62-9841-4841-85b1-9a20973faece,102cdc55-65ef-4525-9930-4d429e99c9f4,c1,c2,27,p2,?,surb={'id': '17deeb7f-a5b0-42f0-bec9-d43ab2d7f0a3', 'route': ['p2', 'e8', 'i10', 'x2', 'p1', 'c1']}
1769476148.0277755,RECEIVED,1c583d6e-17ab-47ac-8efa-827d1ad65353,c5a1de06-bff5-4d7e-86b0-366b1353fea7,c4,c2,27,p2,?,surb={'id': '56cbdb7e-10f1-4ccd-a325-9bc32650b743', 'route': ['p2', 'e12', 'i11', 'x8', 'p1', 'c4']}
1769476148.073787,SENT,1b10be81-a752-4684-ae4a-a06f89be187a,5cc3f078-1803-441e-8ebb-cddafdb5288e,c2,c1,3396,?,p2,
1769476148.0738375,CREATED,7a654029-59d2-4a6d-976f-7b8de713818f,d42e14c6-3536-4d61-9916-1965567174a5,c2,c1,27,?,?,surb={'id': '711a5281-f344-4e34-929a-7c31c7a2c44e', 'route': ['p1', 'e10', 'i2', 'x9', 'p2', 'c2']}
1769476148.1168685,RECEIVED,6c630258-cb79-458d-ae24-196884db91f6,e75c108f-8085-4695-a934-12b4c8d35437,c1,c2,27,p2,?,surb={'id': '7576117c-e9a0-49f9-ade9-8c5ce613d640', 'route': ['p2', 'e11', 'i8', 'x9', 'p1', 'c1']}
1769476148.1310718,SENT,5e1c3c43-0cb5-4c91-9659-41b21bbbb454,55b5bef6-5d2a-4592-83c0-ca23055e4b1e,c2,c1,3376,?,p2,
1769476148.1311214,CREATED,00c97675-0143-433d-bf21-d122592362ea,b259667d-748e-445e-a03e-01514ce0c22b,c2,c1,27,?,?,surb={'id': '9b78ba3e-5c84-48fd-bc51-7adbf7d462cf', 'route': ['p1', 'e12', 'i2', 'x2', 'p2', 'c2']}
1769476148.2048006,RECEIVED,42a097f3-a357-4827-a82f-c6fd0dced4b5,70f8270a-2320-4190-8a2c-aeadf6270998,c3,c2,27,p2,?,surb={'id': '6035f1fb-91a0-4a7b-b5cc-4b14ff9c243e', 'route': ['p2', 'e7', 'i2', 'x1', 'p3', 'c3']}
1769476148.207936,RECEIVED,51c8c086-9e3d-45c7-b310-d105b72fc227,48c60644-562b-4289-bb64-3826597311f5,c4,c2,26,p2,?,surb={'id': '788e1961-c9a9-48bb-8c6a-f333259ef6a9', 'route': ['p2', 'e11', 'i3', 'x11', 'p1', 'c4']}
1769476148.417547,RECEIVED,c30fb039-b705-4c9a-bd46-588dc4f1eda3,5f6a4fea-ecd0-4c93-b21b-03ece00debd3,c3,c2,25,p2,?,surb={'id': 'fc947bf8-b8eb-4118-925b-451ac6768015', 'route': ['p2', 'e5', 'i12', 'x1', 'p3', 'c3']}
1769476148.4342222,RECEIVED,bb753fa1-283a-4575-8945-dc13938cbfa3,97d3e3ef-f333-40b7-aa60-e03a56c2f348,c4,c2,27,p2,?,surb={'id': 'eb5b8cea-bc09-4aa1-a235-6d71e8a49f5b', 'route': ['p2', 'e9', 'i3', 'x7', 'p1', 'c4']}
1769476148.4507585,RECEIVED,cd031719-7686-4f80-b273-c7a0dd0f61fd,2d3f0dd4-6310-4a78-857e-1d90185380f7,c3,c2,27,p2,?,surb={'id': '759a965d-eda8-47fc-82fd-f5c3a035d3f0', 'route': ['p2', 'e7', 'i9', 'x1', 'p3', 'c3']}
1769476148.4903789,RECEIVED,bcbd19b4-f7c4-469a-ad92-f24a172ec1fc,cb8d9f33-b99a-4eaf-a340-93c80bed12c8,c3,c2,27,p2,?,surb={'id': '2b304407-f8b6-412e-8e74-63370a5c3887', 'route': ['p2', 'e1', 'i1', 'x6', 'p3', 'c3']}
1769476148.5147045,RECEIVED,5b32d4e2-e6a0-45f8-ae3c-998e301fc546,c3e1183d-d1c9-42b6-a66d-ae5b66930b58,c3,c2,27,p2,?,surb={'id': '8ac74260-d088-4c61-84b5-929b6f127bdc', 'route': ['p2', 'e8', 'i3', 'x1', 'p3', 'c3']}
1769476148.725198,SENT,e20cabe7-55de-41aa-99c6-ad93f4fa064f,86fa2b5d-aa93-4178-9103-a801dde313b1,c2,c1,3378,?,p2,
1769476148.7252517,CREATED,915ad809-67de-48fe-bccb-5168fcaaa62a,d369160a-5d9b-4812-9cfa-b34bbf1d3db7,c2,c1,26,?,?,surb={'id': '24ddfb65-2169-4ea7-b6f6-e0f95dc8c086', 'route': ['p1', 'e7', 'i3', 'x3', 'p2', 'c2']}
1769476148.7342,SENT,80edef60-6ad1-47f2-a140-3ff520002ac2,c11e4b5d-eec4-4434-a79b-d460bc99f5ad,c2,c1,3404,?,p2,
1769476148.7342591,CREATED,a54ec634-9bbf-45d3-928e-29af80e30301,2d255344-933e-4d0c-a228-0dedfc3d568c,c2,c1,27,?,?,surb={'id': '43392e66-9322-4511-917b-1567eaf2ae3d', 'route': ['p1', 'e6', 'i10', 'x11', 'p2', 'c2']}
1769476148.7649052,RECEIVED,5828fb61-bf53-462f-b5da-015caac0aeca,8da2b1f5-8bb3-43db-8b6e-d0f22145b97c,c4,c2,27,p2,?,surb={'id': '3ed522ba-771d-498a-b4d7-ec4c4c76b141', 'route': ['p2', 'e1', 'i12', 'x12', 'p1', 'c4']}
1769476148.8249505,RECEIVED,1797a26f-8978-44fe-a6a6-5a604dd5b70d,1544279d-8739-48ce-bb06-b82ef553b507,c4,c2,27,p2,?,surb={'id': '0b621296-22f2-4887-b041-75cfb51e159c', 'route': ['p2', 'e6', 'i6', 'x3', 'p1', 'c4']}
1769476148.9065301,RECEIVED,5416fdf3-3658-4ee3-8706-f6c8f7e1576a,2adc8fbf-0586-4cf4-9c04-6701bc3a1d66,c1,c2,27,p2,?,surb={'id': '343086af-5f84-4fac-9610-1157f782c87a', 'route': ['p2', 'e7', 'i11', 'x12', 'p1', 'c1']}
1769476149.1109538,SENT,e456ba09-302b-4fe6-92c9-ffc7193d21cc,c66f7239-4fce-4f3c-a30e-b181c17ac8ca,c2,c1,3393,?,p2,
1769476149.1110034,CREATED,f61c5790-bfd0-4c68-a4c6-dc1910585203,9bdb3555-82c8-48f3-b7b4-bb2df9243b3a,c2,c1,27,?,?,surb={'id': '567e6317-6f5f-40cc-b11e-8876d5b77eca', 'route': ['p1', 'e2', 'i9', 'x8', 'p2', 'c2']}
1769476149.1142926,RECEIVED,7f42524c-28b9-4cb9-9911-467b75594cea,2d600410-cdcd-4e11-99bb-db86bdd847f2,c4,c2,27,p2,?,surb={'id': '1a719961-e260-47d7-bed8-a14059b0c957', 'route': ['p2', 'e9', 'i5', 'x10', 'p1', 'c4']}
1769476149.134873,RECEIVED,342d96f2-98a0-4d9b-8802-f38c5ef30757,4ce580df-e79d-42e6-97e8-1932e82bcda5,c1,c2,27,p2,?,surb={'id': 'd392b78a-2855-4f62-9c92-7dc5b4bce7e8', 'route': ['p2', 'e8', 'i12', 'x10', 'p1', 'c1']}
1769476149.309734,RECEIVED,01246aac-a706-4acc-94ee-b37d45397a4a,39292b67-9b49-4c19-a72f-d39eda67f4ae,c3,c2,27,p2,?,surb={'id': '7f9283c5-1bca-407d-b34b-e58a85075069', 'route': ['p2', 'e9', 'i6', 'x2', 'p3', 'c3']}
1769476149.3346338,RECEIVED,eb2ec226-9d37-41ee-af15-43a1486f3096,4b94bc96-142b-487f-8ac6-5ad21bf63f8a,c3,c2,27,p2,?,surb={'id': '1a831ee6-1e15-4975-938b-12474c121e54', 'route': ['p2', 'e7', 'i10', 'x9', 'p3', 'c3']}
1769476149.369188,RECEIVED,46742c4a-2524-48ba-8b46-0fcf2f426db5,2524bdce-9b64-46e5-ae5c-8d94579132ad,c1,c2,27,p2,?,surb={'id': '8e4541c2-5bf7-45fc-a858-0f32ebca5787', 'route': ['p2', 'e3', 'i7', 'x1', 'p1', 'c1']}
1769476149.53114,RECEIVED,37ee52c0-93d1-47da-ab41-000fc55f69c4,f6caa8ba-ac7c-4696-8d0b-f00134ec87c3,c1,c2,27,p2,?,surb={'id': 'ddf25752-c030-40df-be33-db285df6725d', 'route': ['p2', 'e5', 'i11', 'x9', 'p1', 'c1']}
1769476149.5473526,SENT,417c1592-4a41-4679-99eb-fb1b351ba88b,e8ed06ab-cd10-4d58-bb20-e2e9874f025a,c2,c1,3375,?,p2,
1769476149.547405,CREATED,d65d8355-61f4-42d0-9613-21a19d3e1c5d,0090ef90-c5be-411e-a80a-3e51ced259fb,c2,c1,27,?,?,surb={'id': '870f9ff8-fe9c-428c-90ea-e5b3f95f9a1e', 'route': ['p1', 'e6', 'i1', 'x11', 'p2', 'c2']}
1769476149.6016278,RECEIVED,7f511b05-75a7-41ca-aeae-c39d670565e7,6a70087b-19a8-4da9-a512-cfc821e28efe,c1,c2,27,p2,?,surb={'id': 'd7b0a879-7526-4270-8bd0-cc0744f9d32b', 'route': ['p2', 'e11', 'i8', 'x5', 'p1', 'c1']}
1769476149.630765,RECEIVED,e2fbb2c0-5533-4cb6-90a1-913816ff9819,ec9c63dd-5acc-4023-9206-98962f669844,c3,c2,27,p2,?,surb={'id': '2b8dde87-33d6-4a3f-b01f-a3a7263e6523', 'route': ['p2', 'e9', 'i5', 'x2', 'p3', 'c3']}
1769476149.6711314,SENT,628de642-68fa-452c-bf4f-b7cadb58c6db,ea4908d7-73b2-48a2-81ad-82a18ea53428,c2,c1,3375,?,p2,
1769476149.6711879,CREATED,d3831654-3b05-49e7-ae2e-ace529b61359,32759b9e-ebfd-4cc4-bc72-082c30e2733e,c2,c1,27,?,?,surb={'id': '4293f992-852c-465e-974a-8cb82a023ef8', 'route': ['p1', 'e7', 'i1', 'x7', 'p2', 'c2']}
1769476149.7196796,RECEIVED,8a2a0afc-c649-45ca-a48e-b1fe7ca27333,f70c5835-ff82-442b-9b4e-5c83651c6794,c3,c2,27,p2,?,surb={'id': '2a155274-d6ba-4a70-8aaf-abd0b8c6b37f', 'route': ['p2', 'e2', 'i9', 'x9', 'p3', 'c3']}
1769476149.813883,SENT,27ec2f09-7cfc-4fee-bcaa-ca6116460509,0a7d1e88-99f6-43dd-aeb7-878bdcc28385,c2,c1,3376,?,p2,
1769476149.8139336,CREATED,5749d1e8-d142-4109-b37f-6e8b9af01392,28d52848-b79b-4f71-ad76-fdd9b9664f48,c2,c1,27,?,?,surb={'id': 'c619bde8-e242-4b22-a4c2-37d0644e8830', 'route': ['p1', 'e8', 'i8', 'x3', 'p2', 'c2']}
1769476150.011676,RECEIVED,18b505a3-601f-4b38-a474-aa9ed7ed8341,db2ce393-1d93-4064-b094-a1c0828be1a2,c4,c2,27,p2,?,surb={'id': '9ec73a9b-faa5-44d5-a7c2-ef459863efae', 'route': ['p2', 'e5', 'i10', 'x3', 'p1', 'c4']}
1769476150.058315,SENT,a29af339-8a99-4759-8229-f7b97c1c0c99,18d45f1c-2d1c-41f0-b54c-76d737673522,c2,c1,3391,?,p2,
1769476150.0583699,CREATED,7574b60d-38a0-45c0-9b80-4a214b2cefb3,2737ff30-a46b-466d-985c-00158abf91a6,c2,c1,27,?,?,surb={'id': '05bf5a99-0e8b-4327-8030-427b5d5e70fc', 'route': ['p1', 'e7', 'i9', 'x5', 'p2', 'c2']}
1769476150.2323947,RECEIVED,8f516c44-a9ff-4850-b74a-a605262b34f7,f1bbd80c-54ee-4311-b59f-2ca3585cb9f3,c3,c2,27,p2,?,surb={'id': '3995700c-cd3a-4aef-affd-08827e041f0f', 'route': ['p2', 'e4', 'i7', 'x1', 'p3', 'c3']}
1769476150.2531586,RECEIVED,a3c10b49-cf11-4a79-aa9c-a01b19d2878d,8500674a-f7a3-4e96-835f-196697cfa99e,c3,c2,27,p2,?,surb={'id': '16526516-e4c5-499e-a210-ab2ac375b7a6', 'route': ['p2', 'e10', 'i3', 'x9', 'p3', 'c3']}
1769476150.2782812,SENT,0a60861e-8f2d-4fbb-b4fb-3da844987b29,7069eb9d-edc9-4190-b546-529fbe37edbe,c2,c1,3363,?,p2,
1769476150.2783375,CREATED,e15eab03-fa7c-41ce-94de-b4bed58a6075,cf46ef01-52fc-4552-92d5-b90c03e571e5,c2,c1,27,?,?,surb={'id': '4a718526-d8f9-4070-be7c-14c3b99cf951', 'route': ['p1', 'e5', 'i5', 'x7', 'p2', 'c2']}
1769476150.3088412,SENT,ae1d7359-e147-43c5-85a9-b63bcb216460,8883029f-f433-4055-9b26-91429b369758,c2,c1,3392,?,p2,
1769476150.3088923,CREATED,a63e8a00-0921-443d-af6f-6aa70ec63ff2,9f673360-f039-4c9f-b613-f8fd7bbc3585,c2,c1,27,?,?,surb={'id': '55e1bba9-2a18-40e5-8e5b-5b9f1c12e3d2', 'route': ['p1', 'e10', 'i8', 'x10', 'p2', 'c2']}
1769476150.3485208,SENT,0b2929f8-3c7b-4a90-befc-e8cce7d45d99,7681b6cf-246c-4e53-af9f-a9b58299f60f,c2,c1,3391,?,p2,
1769476150.3485737,CREATED,7e6914e1-074f-4d37-be1c-fd296a8bad22,24a5a6a0-b03b-474c-ae4d-42a6b87ab6b9,c2,c1,27,?,?,surb={'id': '770129df-1d12-489d-9eb1-c039b7266611', 'route': ['p1', 'e10', 'i11', 'x5', 'p2', 'c2']}
1769476150.4280145,RECEIVED,fe956116-bf11-42d5-a1f9-bd76e1822a5c,b396c5ac-8986-460b-b3ac-1849f78e0cd9,c3,c2,26,p2,?,surb={'id': '842664ef-e102-4d6a-a2bc-7a84c96bdded', 'route': ['p2', 'e9', 'i8', 'x8', 'p3', 'c3']}
