timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475962.1852648,RECEIVED,18dd69a2-0edc-4761-a4aa-177e4e0bddf1,d59c43fa-3f7e-4d2b-b9d2-d06fc559537c,c1,c2,26,p2,?,surb={'id': '366c5756-0417-402d-b5f2-63cab3f0e5c4', 'route': ['p2', 'e5', 'i5', 'x6', 'p1', 'c1']}
1769475962.2882004,RECEIVED,5602dc74-2475-4cea-8185-cc1dbcd891f0,be58edb3-5900-4139-965e-5c32f0439ca1,c3,c2,26,p2,?,surb={'id': '61bf7b23-b1b2-4474-9a5f-7be458a973cb', 'route': ['p2', 'e5', 'i12', 'x1', 'p3', 'c3']}
1769475962.2918444,RECEIVED,d43ed6af-d5db-4877-90f1-dafbe58172f7,5e5832af-91c9-4472-9f16-5c390f2b2d16,c1,c2,27,p2,?,surb={'id': 'e3419539-6ff1-464f-b9e1-48e940552894', 'route': ['p2', 'e2', 'i2', 'x6', 'p1', 'c1']}
1769475962.3611743,SENT,e5458138-6ab6-466c-b0a8-cfa8111ef5d5,55091565-c42b-4f59-a59e-637dd55b0cfe,c2,c1,3400,?,p2,
1769475962.36132,CREATED,cd9a26f7-a499-4c27-af02-ba6860482318,292c4984-d1d9-48a6-baa9-f289be7e21b3,c2,c1,27,?,?,surb={'id': 'dc158e0c-522f-41af-8be3-7f9d0fc912c2', 'route': ['p1', 'e1', 'i7', 'x1', 'p2', 'c2']}
1769475962.396128,RECEIVED,2115f963-fbf5-4ba3-bfc1-ec7bb78924cc,038928c0-a7cb-410e-a12a-b520e1ef0350,c4,c2,27,p2,?,surb={'id': 'b259abd9-09fc-4bc2-bfd5-ef7c5d0d48df', 'route': ['p2', 'e3', 'i11', 'x10', 'p1', 'c4']}
1769475962.481131,SENT,ab6bd2ea-5f91-4894-8edd-cc31af0959c4,ffcbe19b-1f08-4865-8bc1-7da42934a523,c2,c1,3384,?,p2,
1769475962.4812803,CREATED,95ad04d4-5f46-46c6-974c-cdbb5ddd4145,7b0bfde0-8ad4-4c4c-8408-cfa5da3fc9e2,c2,c1,27,?,?,surb={'id': 'e0db2d69-5a5f-4fd6-b7dd-9f1415e96cea', 'route': ['p1', 'e6', 'i4', 'x3', 'p2', 'c2']}
1769475962.6496713,SENT,4873122c-0b40-49b5-9d11-a7bbdc35c200,187755d9-7909-4eeb-bb11-a3f0a1a587df,c2,c1,3379,?,p2,
1769475962.6498184,CREATED,6405263d-48b4-418b-b0d0-7a7d312d928e,e0df96c8-7e37-4f4a-b261-e49f8be82d3c,c2,c1,27,?,?,surb={'id': 'bdccfc79-0321-47ae-9536-7131d4621e18', 'route': ['p1', 'e10', 'i11', 'x2', 'p2', 'c2']}
