timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734963.915091,SENT,e7068e83-d3cf-40bb-8bf7-ea2fc7d13aaf,64c22ff4-4e95-48b6-b4da-ad98e0955a3c,c3,c2,3382,?,p3,
1769734963.9152539,CREATED,7696bcd1-63a9-4673-a037-fa75603b156b,4329615b-5c3c-468d-bf07-d65db758f1b4,c3,c2,27,?,?,surb={'id': '775543f8-d35d-4a19-85a7-2c5cacfcb769', 'route': ['p2', 'e6', 'i3', 'x9', 'p3', 'c3']}
1769734964.707879,SENT,522d3e80-2acd-425f-a27b-d68e9b81c740,3c15d91b-f021-4fd3-95b0-8467628347f6,c3,c2,3364,?,p3,
1769734964.7081895,CREATED,05fd1ade-194d-4672-b31c-d8f212aa8dac,3f636509-ec56-467c-ab34-91721a12596d,c3,c2,26,?,?,surb={'id': '87422632-68f9-4a53-8e47-417d05cf4777', 'route': ['p2', 'e1', 'i8', 'x10', 'p3', 'c3']}
1769734964.759265,SENT,2f71899c-d888-496b-bdfb-1efc622cf688,00257f6d-93e7-410f-8c17-ee46a8ec9d5e,c3,DROP,2039,?,p3,
1769734964.7593827,CREATED,4a329608-6862-4064-8d0e-ea0b6d9a49fc,da1a1efc-7141-473a-9c4b-b655304b953a,c3,DROP,27,?,?,
1769734965.0727973,SENT,66611065-3f7e-4269-8073-59d76d55f7b5,1792ba87-2bc0-4922-9adb-1060bf38e266,c3,DROP,2015,?,p3,
1769734965.0729167,CREATED,f0ebec33-66e7-419f-b4cb-4879cbe64fb0,b005ad9e-5263-4450-98aa-27616a00c65a,c3,DROP,26,?,?,
1769734965.3349152,SENT,a77d2f93-7599-44da-b1ea-4f13cc2fa8f2,c35b7dc5-3853-4aa5-89f8-79b7307506ef,c3,c2,3371,?,p3,
1769734965.3353083,CREATED,588fe66b-0518-43f7-b0b0-734c8c011087,99582fe6-cda2-4def-adc8-ec15045b514f,c3,c2,27,?,?,surb={'id': '1a4f792b-354c-4de0-a34a-f165ccfbd46e', 'route': ['p2', 'e5', 'i5', 'x4', 'p3', 'c3']}
1769734965.661928,SENT,8872eaaf-f143-4e55-9764-83e140bd2053,d827618e-e032-4670-9d40-df0b4c563033,c3,DROP,2011,?,p3,
1769734965.662109,CREATED,cfeeef4c-c6f0-439d-af87-1c379c65efe5,3233af2a-6c41-43c9-92af-e55982347fdb,c3,DROP,27,?,?,
1769734965.9315152,SENT,c5ea78ce-b339-49d4-8a38-f50b39d58bc6,4d5aa1fe-538b-4ca2-95f0-95b196ae45c4,c3,DROP,2027,?,p3,
1769734965.9316504,CREATED,2eefbca2-dae9-40bc-bd79-f342ed47bf1b,38ecc898-6318-4de2-b766-9ba2591c0544,c3,DROP,27,?,?,
1769734965.9864097,SENT,e20930aa-5586-4ab3-996e-50297d16c53a,10560564-e4f6-4bb9-95a1-64a136910d1a,c3,DROP,2020,?,p3,
1769734965.9865305,CREATED,149c14e5-470b-4b56-b41c-c9cd58586050,420ece00-dd06-4923-b9ad-41cc62f2a412,c3,DROP,27,?,?,
1769734966.078054,SENT,24092584-355f-476c-aa15-eeb4808b7801,482a3caa-7b33-4f76-b91c-7b36fddb893c,c3,DROP,2027,?,p3,
1769734966.0781932,CREATED,a16e87aa-9a00-4732-ae9b-237efaa5b465,1ea38207-8e3b-485e-9a58-45e8f2f97e8c,c3,DROP,27,?,?,
1769734966.2652547,SENT,7600b678-996f-4907-aad2-489e84d7482c,bce8f6a3-5f2b-4426-a0bd-b97b3725090c,c3,DROP,2026,?,p3,
1769734966.2653732,CREATED,38db297f-ef74-4c2b-adab-8157e3a6f38b,686fc9b1-da51-43a1-8218-0ae9375641c9,c3,DROP,27,?,?,
1769734966.7081213,RECEIVED,fec16a2c-9b09-485a-8d44-64d1667e63bf,305c1840-cc43-4645-8d90-789752d67339,c2,c3,27,p3,?,surb={'id': 'b9d3733b-ed6b-4713-9a35-5e2d27ccd2ab', 'route': ['p3', 'e9', 'i8', 'x8', 'p2', 'c2']}
1769734966.810968,RECEIVED,8dfa6ace-cd9a-4203-83df-2057439346ce,4f62faf3-0888-4aff-8f78-fda50ecad8d2,c2,c3,27,p3,?,surb={'id': 'ba515600-549e-4c26-a2e5-68ea67979ba5', 'route': ['p3', 'e6', 'i12', 'x9', 'p2', 'c2']}
1769734967.2678304,RECEIVED,fd2ffc73-ef91-4d28-9a52-e7f70e31f9a6,2b71b30e-8052-42ab-849a-1656cd166fe1,c2,c3,26,p3,?,surb={'id': 'e99ece17-d7c4-40bb-8258-cbbd3df0a5bf', 'route': ['p3', 'e2', 'i6', 'x5', 'p2', 'c2']}
1769734967.2849877,RECEIVED,5134579e-d725-413c-b704-ff422afb4dfa,69744b3a-eef5-4f04-a4a1-564d20d5b928,c1,c3,27,p3,?,surb={'id': '8080fbcf-9b26-478e-a5e6-8e9b60a0379e', 'route': ['p3', 'e6', 'i8', 'x7', 'p1', 'c1']}
1769734967.2986867,RECEIVED,cd9299c4-240c-4518-b6f7-c40b4dbf89d3,a576051d-41ce-4bb4-abbf-75c35a77713e,c2,c3,27,p3,?,surb={'id': 'c9a087aa-333e-473c-ac2b-b053f8369e8d', 'route': ['p3', 'e8', 'i3', 'x10', 'p2', 'c2']}
1769734967.349668,RECEIVED,521e339f-ce8c-4183-a90b-62343b86ad82,d7360551-2c98-4627-a35d-f0084f6991dc,c1,c3,27,p3,?,surb={'id': '9e8033de-3356-4673-ab7b-4bb053b25260', 'route': ['p3', 'e4', 'i9', 'x6', 'p1', 'c1']}
