timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734966.368236,SENT,b048b70a-8dad-4ea3-8790-b9d68e3cc60e,462c0bef-e188-42a2-9f21-6d9c9dcb7ed4,c2,c3,3384,?,p2,
1769734966.3684027,CREATED,ca8424ae-dbee-4bfd-9f29-664bb2da915c,0b2d7ee6-25f9-4a75-bb1c-edca94c92cc9,c2,c3,27,?,?,surb={'id': '0a073fb9-1000-4ed9-8ff6-feb745623abc', 'route': ['p3', 'e4', 'i7', 'x12', 'p2', 'c2']}
1769734966.6682367,SENT,6ce5f6c6-10b6-4274-975d-ff8e7fad9c30,62f223f5-cbac-4982-acfe-0bf0fa5a68e4,c2,c3,3376,?,p2,
1769734966.6683688,CREATED,826a1301-367a-4205-9e2a-2089e54b7a09,d0948a21-8c99-4da0-afcc-152450f84a5d,c2,c3,26,?,?,surb={'id': '5514977b-3768-4dad-85ba-a47f9f11f3fd', 'route': ['p3', 'e8', 'i3', 'x4', 'p2', 'c2']}
1769734966.8152847,SENT,252dfae4-9d2f-4690-965b-905df8a8a6ee,f7e0f850-d0ad-4115-ae32-212dd4f356fd,c2,c3,3404,?,p2,
1769734966.8154345,CREATED,79ebaa30-79f4-4ad1-99f9-6af73f8b9cf2,5ae8ab81-317c-44f2-8576-328dd4237efe,c2,c3,27,?,?,surb={'id': '2b10562c-5f2b-454b-97c4-8047de5e4ff3', 'route': ['p3', 'e8', 'i12', 'x10', 'p2', 'c2']}
1769734967.1754408,SENT,f22788a7-4adb-43a7-8826-38ea6fc91e12,5652e299-521c-42fc-9b32-bb2d3240ab74,c2,c3,3367,?,p2,
1769734967.175576,CREATED,9ad647b2-291c-4ebf-a149-de70f87b2985,d4e7ee05-e6c8-494f-9b0d-d54cce86797b,c2,c3,27,?,?,surb={'id': 'c81deebc-6001-45bb-8297-5e914d509328', 'route': ['p3', 'e5', 'i11', 'x6', 'p2', 'c2']}
1769734967.5578802,SENT,364b8c5a-9d5e-4a11-b6bd-2a9c20672dc6,c807bc05-dba8-40ae-a0dd-9203b2c7dfd3,c2,c3,3392,?,p2,
1769734967.5580347,CREATED,a4a4ead0-a423-4f38-b0ed-f01f2fab8277,4dd6d1d0-d498-4644-b626-8ed150ca0d3d,c2,c3,26,?,?,surb={'id': '5578e964-cdeb-4e51-9bb4-6e86ccf98ec9', 'route': ['p3', 'e9', 'i9', 'x8', 'p2', 'c2']}
1769734967.8687751,SENT,b7a711d4-b915-4a9e-b349-63a16adab240,a397e238-5ccc-4fff-b0c0-d3b4cdf43fb4,c2,c3,3390,?,p2,
1769734967.8689218,CREATED,6af39c81-107d-4dca-8aad-a1fcc62f2377,6a0e70ee-ce9c-42c7-b0a8-790911229a1f,c2,c3,27,?,?,surb={'id': '393b0fbb-1601-4dcc-ae2f-01d916e018ea', 'route': ['p3', 'e11', 'i3', 'x3', 'p2', 'c2']}
1769734968.0074582,SENT,55ea93d9-6078-4516-8aa0-42bf440e15f3,91f2fe6e-15c5-4472-950f-bf201ae0b590,c2,c3,3387,?,p2,
