timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734964.067355,SENT,f86f0b1a-48be-4c8a-a08b-3ca145b7768f,74b436c4-cd3e-425d-96c0-705fb87d6f5b,c4,c5,3371,?,p1,
1769734964.0675154,CREATED,4aa0e76c-2e18-4b02-8d1c-5e31768d19a4,2054ad7f-a2b6-419e-a9db-cb88e0ee7f8c,c4,c5,27,?,?,surb={'id': 'e21e7922-04fe-438f-8ec0-fd7ec830de6a', 'route': ['p2', 'e9', 'i9', 'x6', 'p1', 'c4']}
1769734964.8268638,SENT,b280b91b-63dd-4d1d-b3e6-e2fee4472aaa,0c8da919-09af-4f1c-b6a2-9820fc8c5853,c4,c5,3396,?,p1,
1769734964.827017,CREATED,4c72ed4c-9dfa-4b41-8132-7a439e8e3992,3a4ce81c-295b-4648-87b6-1c1087fa2ae0,c4,c5,27,?,?,surb={'id': 'b3e1f458-e700-4231-8029-57d9d68b9e75', 'route': ['p2', 'e7', 'i12', 'x1', 'p1', 'c4']}
1769734964.9285223,SENT,71c2042c-d490-47ab-85e5-391fc6703715,0edbf2d5-d51b-44e2-915b-8c01979b5db4,c4,DROP,2015,?,p1,
1769734964.9289346,CREATED,680be8a2-1a9c-4a88-a38f-96f399606f8e,567a49ae-961e-48fc-8332-a1c25909227d,c4,DROP,27,?,?,
1769734964.9409277,SENT,b2003a96-18d0-4b76-8532-7f83c702b3c3,ebfba70c-a31d-48cc-aa6b-b8f0997d8ba5,c4,DROP,2008,?,p1,
1769734964.941095,CREATED,bc811040-bf01-4f10-a911-1990684c7c74,5ce31f0b-598f-4114-9242-ac5f7a14befb,c4,DROP,25,?,?,
1769734965.4924898,SENT,160bd83e-30ac-43c2-8ddd-9cbd39ecf858,98d166d0-7e90-4e03-9213-f82f7f227ba3,c4,c5,3383,?,p1,
1769734965.4926405,CREATED,a7ec6f3e-03a8-4257-9d11-196780617834,c6c7c681-8b97-49f8-9267-cde97e1d0a77,c4,c5,27,?,?,surb={'id': 'b625e2c3-006c-48e1-af54-7570ffd19b8e', 'route': ['p2', 'e4', 'i3', 'x9', 'p1', 'c4']}
1769734965.5844584,SENT,232353c2-2e57-4d3a-bd77-73586fcad713,23355f3f-afc0-409f-8e2b-1edc94dd7429,c4,c5,3375,?,p1,
1769734965.5845907,CREATED,4ed1b414-7aec-4deb-a2a2-96af39fe1947,eccde5e9-38a7-4953-beb3-3ecaa591015f,c4,c5,27,?,?,surb={'id': '829e39ba-f080-4985-a351-12ca8e5b2a0f', 'route': ['p2', 'e2', 'i2', 'x9', 'p1', 'c4']}
1769734965.6123204,SENT,45dff23d-0006-424a-9d46-09bdc786658c,ea636342-6fe7-4e74-a9b9-06910d6c91a9,c4,c5,3372,?,p1,
1769734965.6124692,CREATED,839e58cf-d6f9-41cc-ba36-67a76af7abf0,989cb613-cdbf-478d-8a90-3281555e2038,c4,c5,27,?,?,surb={'id': '6c835fff-3e2c-4408-9105-4ead951ccf56', 'route': ['p2', 'e8', 'i5', 'x8', 'p1', 'c4']}
1769734965.7589827,SENT,3fe2e8a7-dcc5-41e8-b485-59339ac54e18,3f7e93b6-b4ef-49ee-bdb8-0e07a96849d0,c4,c5,3380,?,p1,
1769734965.7591496,CREATED,a95eaf8f-fdaa-4210-884f-085e95690444,a6c27fc8-296c-4580-a022-486e993ed09f,c4,c5,27,?,?,surb={'id': 'e5d2154f-c469-4349-b0f9-6b04ee5f23ce', 'route': ['p2', 'e9', 'i2', 'x4', 'p1', 'c4']}
1769734965.9167335,SENT,24618e44-4e5a-415c-80cf-532c4dc94637,7eb00a97-2138-4199-a9bc-e03bf0c6ee19,c4,c5,3381,?,p1,
1769734965.9168832,CREATED,08de1d55-15da-4de1-a17c-38942c1afb2f,35fc8332-29d6-49b9-8a09-365ab2743d94,c4,c5,27,?,?,surb={'id': 'b6430fe1-b538-4d61-96ea-68303274f2b3', 'route': ['p2', 'e4', 'i4', 'x2', 'p1', 'c4']}
1769734966.4152966,SENT,cdda3029-20ff-4aec-b503-21d153658b87,c3f69dda-3bed-4012-9950-9533c1edd745,c4,c5,3381,?,p1,
