timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760874.0999415,CREATED,b289f9bb-6ff3-4161-81d1-323b4464fb42,19b8274b-cccd-497a-99d8-1fa5aefd0944,c3,c1,26,?,?,surb={'id': 'de1fda70-1fe0-49db-a890-3ece5857c9d2', 'route': ['p1', 'e2', 'i6', 'x2', 'p3', 'c3']}
1769760874.470923,RECEIVED,e197a3dd-599e-40e9-b9da-1260f506b6af,3f769a15-8543-4b93-aa0c-ea2fafa6fe6b,c5,c3,27,p3,?,surb={'id': 'c8b9bd4f-dd76-408b-a7b3-844e96dc688f', 'route': ['p3', 'e1', 'i4', 'x2', 'p2', 'c5']}
1769760874.7377698,SENT,3c176c83-80f4-4d8c-a2b0-3f17204d94d6,73370945-15c9-4eff-8898-e555aff94f3c,c3,c1,3388,?,p3,
1769760874.7379024,CREATED,661e5360-06d3-4def-bcb4-fc91e149a847,f1801b81-c6a6-44e9-b4bc-54dc69efbdae,c3,c1,27,?,?,surb={'id': 'a08ae792-b588-4e15-bc59-c45ddd0e221b', 'route': ['p1', 'e11', 'i1', 'x10', 'p3', 'c3']}
1769760875.3738365,SENT,8be65ecb-fb36-4475-a623-4c1d8a0f9f2c,fa3453a6-798d-474c-8027-1846a1a4e91c,c3,c1,3383,?,p3,
1769760875.3740163,CREATED,7a241ec7-a165-42c2-8b18-f936c0c2dad7,431bf908-9f1a-4469-9560-d3014384c105,c3,c1,27,?,?,surb={'id': 'b2636347-b0e1-4057-b246-024b743ea3bd', 'route': ['p1', 'e11', 'i7', 'x4', 'p3', 'c3']}
1769760876.0519855,RECEIVED,db84f5e3-6e4a-4bb0-97d0-33d763370ae4,17ba4677-5d63-4841-b23b-49babbfd4ef6,c5,c3,27,p3,?,surb={'id': '70f2b152-ce7b-4ecd-883a-957a7baf75dc', 'route': ['p3', 'e12', 'i9', 'x3', 'p2', 'c5']}
1769760876.1013618,SENT,cdaab67f-5af3-4a25-80d4-41aad02c41ef,a913669a-40ca-4cee-a775-d85210c1cccb,c3,c1,3393,?,p3,
1769760876.101751,CREATED,85fc2ca1-0041-4230-922e-76899003fa95,7b00dab7-1839-4c38-b1b1-17e2efbf3940,c3,c1,27,?,?,surb={'id': 'f3a6cb5f-26d8-441a-a5da-330cc5f1092b', 'route': ['p1', 'e3', 'i8', 'x5', 'p3', 'c3']}
1769760876.17178,SENT,42d81903-1adf-4150-9ad8-fa5a53d65e24,31279484-1c02-4d96-8b8c-7a37776d3679,c3,c1,3371,?,p3,
1769760876.1718993,CREATED,eb7a8d9d-c3f0-49bd-9a33-781c1d8ae1b9,48d8d8b1-eac4-4fb6-8568-d3221e1d26cc,c3,c1,27,?,?,surb={'id': 'aa217fa9-220c-4cc6-bf2b-78ba1368e082', 'route': ['p1', 'e9', 'i1', 'x6', 'p3', 'c3']}
1769760876.594558,RECEIVED,4102547e-ae90-46d4-8ae8-8812a80a1eb6,11fe4919-3e49-49c1-8abb-83ebe900c9aa,c5,c3,27,p3,?,surb={'id': 'aa21343a-4877-4c7e-b4d6-376e4c7e69e9', 'route': ['p3', 'e7', 'i11', 'x4', 'p2', 'c5']}
1769760876.631406,RECEIVED,010801f6-d740-40fb-9e5c-044ecfc704a4,8be6d37c-cb55-4b80-92c3-3557627f230e,c5,c3,27,p3,?,surb={'id': '1e7e2698-5d7c-43e5-88a6-6e647ad3c599', 'route': ['p3', 'e9', 'i11', 'x9', 'p2', 'c5']}
1769760876.846342,RECEIVED,1048e9ff-9c49-47ba-8196-2524c2a28eac,dc29d242-c136-4512-bc3f-46dc7bbe25ca,c5,c3,27,p3,?,surb={'id': '906fda9c-88d3-44d2-be30-08cbdf3365a6', 'route': ['p3', 'e3', 'i7', 'x8', 'p2', 'c5']}
1769760876.9412992,RECEIVED,e7adbe9d-a8d8-415d-b689-d3c8980bee61,6e0940fb-c0ac-47fa-897a-e9a2d20e10c7,c5,c3,26,p3,?,surb={'id': 'c92262f3-8b73-4b8e-b72c-8c0e9f52b19f', 'route': ['p3', 'e12', 'i7', 'x12', 'p2', 'c5']}
1769760877.1105537,SENT,95eb5bce-07fa-431f-8176-e4ff1e66bbf3,48e047f9-8f47-4530-a051-51fa49447a17,c3,c1,3388,?,p3,
1769760877.110732,CREATED,3674ab31-12d3-4852-976c-dfbcee71a096,1ad254c4-d392-41d2-9d5f-53eaa25e7a83,c3,c1,27,?,?,surb={'id': 'a4f4cfcf-9fb3-4203-839e-e66ce5dc1b4d', 'route': ['p1', 'e2', 'i2', 'x10', 'p3', 'c3']}
1769760877.2401156,RECEIVED,c996c652-949d-4f23-9393-524821a914d0,15be0ce9-04ce-4a09-9b27-6bd5edcc13e1,c5,c3,27,p3,?,surb={'id': '888e73d2-0b8a-4fdc-8b11-521939282070', 'route': ['p3', 'e7', 'i11', 'x4', 'p2', 'c5']}
1769760877.4399452,SENT,6f10b19f-140a-46ff-b5df-ad6c73df4748,0cda8d08-31db-4a35-aa13-2cb48efb3b99,c3,c1,3403,?,p3,
1769760877.4401038,CREATED,c88995dd-5e01-4623-8f4b-df02574e9cc7,d5f9433b-eb77-4afd-b6f4-71c4aaede271,c3,c1,27,?,?,surb={'id': 'afb407a8-da7a-4928-b232-915d70a15e2e', 'route': ['p1', 'e1', 'i8', 'x11', 'p3', 'c3']}
1769760877.836888,SENT,6f0b30a7-f06a-433a-81b6-21dda3737fc5,b0b1d2bc-a6be-48c7-b0d6-863fc943eec8,c3,c1,3383,?,p3,
1769760877.8374639,CREATED,3e85db73-7de9-4d8f-bf90-63e99f4f804f,0e13ac20-b0bb-4405-8946-bcef6a66ea4a,c3,c1,27,?,?,surb={'id': '75def7e9-503d-45c6-918e-d33804f5798e', 'route': ['p1', 'e6', 'i6', 'x4', 'p3', 'c3']}
1769760877.8902464,RECEIVED,63f0f692-a331-4a05-8950-d3133f0f360b,ecce35a4-ae41-47c1-a73b-bba3e7ad4e7b,c5,c3,26,p3,?,surb={'id': 'f9ebdecd-c5aa-4d96-b84e-a53a03b40318', 'route': ['p3', 'e9', 'i6', 'x5', 'p2', 'c5']}
1769760878.4379413,SENT,e9392d6a-d226-44e3-9746-07b9a6bb8d94,f42959f8-32f2-416d-8573-6f4a45dadf3c,c3,c1,3388,?,p3,
1769760878.4381366,CREATED,3c6a5aa9-0cb3-4b11-830f-3f765676e5b6,1de47f13-a7bd-4387-b7b4-2e9d82f7ac11,c3,c1,26,?,?,surb={'id': '3305e1ec-5246-43ab-88e4-24e95269e4c6', 'route': ['p1', 'e11', 'i12', 'x3', 'p3', 'c3']}
