timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760870.0039496,SENT,1993adda-8462-41c0-8739-e389d0bccae1,d05dfdd2-2166-4666-9fb4-aafbe19b31ea,c2,DROP,2020,?,p2,
1769760870.00432,CREATED,e5d71fd9-9694-4e3d-8bf3-bf89ffce36a2,a787b9f8-7b55-45fe-9a53-4c10de56e5ac,c2,DROP,27,?,?,
1769760870.0487351,SENT,cbe585a2-f7be-4a57-9a47-a4e3377c1824,5417fbb0-e04d-4d3b-ab5e-4fba9c6aa7b3,c2,DROP,2029,?,p2,
1769760870.0488546,CREATED,203522a3-d316-4347-baae-5ff3e5921014,17f81809-6ea0-4cb3-a307-6f7a2e5c7fd6,c2,DROP,27,?,?,
1769760870.089672,SENT,ad9cb1c4-2150-4ce1-b40b-533eb3405a68,09036a0b-3f82-471c-a072-9f8ac7e179de,c2,DROP,2032,?,p2,
1769760870.089788,CREATED,24222296-3adf-4d7c-b6e5-e10dfe46ef21,166df0f1-b206-4a03-9bd1-2aea2c576e98,c2,DROP,27,?,?,
1769760870.4645228,SENT,19c3da1e-6ed8-43c4-abae-493c33b429e2,b0574549-f906-4b24-b678-b84a7eaeadb3,c2,DROP,2017,?,p2,
1769760870.4646418,CREATED,34859c43-b543-4ca0-99b3-084107b51dbe,406e8eeb-f3bd-46be-8e8c-fa034f1a3b2d,c2,DROP,27,?,?,
1769760870.632484,SENT,408e53dc-501b-4ced-ad9b-08d487e648a7,425b1e77-cdc4-4771-b5f5-e380bc8a0c0b,c2,DROP,2032,?,p2,
1769760870.6327238,CREATED,05d8008d-a42f-4dce-8de0-c1fbe0fb32a1,dae9e878-545c-4738-a09d-786335cf6a48,c2,DROP,27,?,?,
1769760870.6729302,SENT,620b2288-a327-4e3c-9df6-a89673cde0be,ec5d7ad5-ff5b-4e75-8d87-a62f00edc796,c2,DROP,2014,?,p2,
1769760870.6730728,CREATED,725658ce-ee60-4da7-bd22-15f0942e6f20,0153056b-a795-4458-897f-038e80ca85fd,c2,DROP,27,?,?,
1769760870.720939,SENT,16c1a82a-4681-4c0c-8a06-c677c81492e1,89b473f3-0b6b-4bcc-8fe6-e32c0166b7b9,c2,DROP,2026,?,p2,
1769760870.721079,CREATED,c98e233c-84e5-47ec-abe9-22220f7b2d1f,144ca4c6-4330-4f63-a6ab-535d06f66695,c2,DROP,27,?,?,
1769760872.12042,SENT,2f50d243-386b-4723-a357-0b6da52b6ab6,bb71b777-f1a0-49d0-b91a-a5dec68793d0,c2,c5,3377,?,p2,
1769760872.1205552,CREATED,1af44f5a-fb46-4f76-aa99-68fe16f42392,1180dd9a-e7f5-495b-ad0f-22e71e05c218,c2,c5,26,?,?,surb={'id': '8d9065d8-2e03-4b34-a1a5-d70b0c289087', 'route': ['p2', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769760872.5349786,SENT,670b561d-8c76-41e4-85c3-1c31c28ada73,42c8e9d4-2181-4cca-8959-7f510c6866df,c2,c5,3379,?,p2,
1769760872.5351467,CREATED,f773ccf4-0e76-4bda-883b-ba55a2e73376,de8b4c41-58a8-44f6-bc82-65a9caf167af,c2,c5,27,?,?,surb={'id': '43a638f9-319c-4dea-90c8-8c661adc9492', 'route': ['p2', 'e6', 'i2', 'x10', 'p2', 'c2']}
1769760872.9171643,RECEIVED,c9aa51fb-47cc-4e53-bd44-f13c2320169a,c379782f-b377-4bb3-b42c-4a84ee63baf2,c4,c2,27,p2,?,surb={'id': '79fb00ed-a657-4233-9a51-578686560cc2', 'route': ['p2', 'e4', 'i7', 'x5', 'p1', 'c4']}
1769760873.363955,SENT,9ccb95e9-9abf-4b5c-bb44-04db39c74452,7d4f950a-049d-4909-b889-8d529c8d0466,c2,c5,3358,?,p2,
1769760873.3641376,CREATED,1f95d64a-f165-4a21-a8ff-b69223c42e58,ab8fe9de-14b4-4912-ba75-bfeed2e05fe4,c2,c5,27,?,?,surb={'id': '80c2ab85-27b3-4e76-9c29-fa0a9a49c72f', 'route': ['p2', 'e10', 'i6', 'x6', 'p2', 'c2']}
1769760873.4667318,SENT,41a0d97a-7801-41a5-ad7e-5be35e763f72,3b2b555e-ff5e-462f-b05e-e4a694ab69af,c2,c5,3386,?,p2,
1769760873.4668787,CREATED,81652755-67dd-475f-bd44-c1ee159ed775,37a32023-9968-4ceb-83f3-d45aa2821ec8,c2,c5,27,?,?,surb={'id': '25fcf494-811f-4d37-9e5d-452ecd98fd77', 'route': ['p2', 'e12', 'i8', 'x2', 'p2', 'c2']}
1769760873.897588,RECEIVED,d41aac68-d229-48da-b4ad-41b37ec227f2,de4fff28-ceec-4481-bfef-75fa37b405d5,c4,c2,27,p2,?,surb={'id': '27562885-d7bd-48d4-9578-ff0a21028331', 'route': ['p2', 'e12', 'i10', 'x4', 'p1', 'c4']}
1769760874.0866745,SENT,d72dec68-516e-40c3-a545-8fd8661e0c22,85f067e1-bf2b-4c48-9f50-dfb9204a651a,c2,c5,3384,?,p2,
1769760874.086831,CREATED,ca61c7ce-f543-458d-8189-143e0f05aa1c,1c4495fb-1041-4712-ae73-51cfb64e176e,c2,c5,27,?,?,surb={'id': '3228ccb3-9244-47e1-8f3c-364317f70053', 'route': ['p2', 'e3', 'i3', 'x2', 'p2', 'c2']}
1769760874.2821178,SENT,c80a43ca-9494-423f-b03c-77c2907e087c,c030a459-f0a8-4478-8663-f46f347977c2,c2,c5,3383,?,p2,
1769760874.282253,CREATED,d8566127-f277-4fa8-949c-4d5d43397b18,60f65b2b-3b44-4624-9d25-f47906c3a614,c2,c5,26,?,?,surb={'id': 'ee23c60a-8fb1-4509-8e4c-3ee39960eaed', 'route': ['p2', 'e10', 'i3', 'x9', 'p2', 'c2']}
1769760874.5496867,SENT,c418bff3-84e4-41f9-9545-259302ae409b,8c373db4-d25a-4a41-b6a3-6238a79cc63b,c2,c5,3352,?,p2,
1769760874.549824,CREATED,0189e5a2-75cd-4212-ab79-4834ceadefe2,28ccb0a0-4534-4c6c-be0a-a381425cf200,c2,c5,26,?,?,surb={'id': 'd38f9ce3-74aa-4f74-9ec9-6b753bf2bad5', 'route': ['p2', 'e5', 'i3', 'x10', 'p2', 'c2']}
1769760874.599823,SENT,59b0976d-c570-435b-88e2-f2b174c7eeb7,eed30d8d-cd53-4b5a-9d8f-0a48b0a2917e,c2,c5,3395,?,p2,
1769760874.599964,CREATED,42d01862-5c6f-4827-8aff-48560583b7a5,f4bb45a7-8fc8-48f4-afbd-acbec2e8232a,c2,c5,27,?,?,surb={'id': 'a535ecef-9cb2-459d-bfba-9d71b5b5fd14', 'route': ['p2', 'e11', 'i6', 'x10', 'p2', 'c2']}
1769760874.6991606,RECEIVED,7c247c3e-005d-4877-b09a-8e8542c2c54a,ad57d2e5-7234-4aa4-9eb8-5d6fb23e2e48,c4,c2,27,p2,?,surb={'id': '0cc0caaa-6427-4647-9d77-72145765c759', 'route': ['p2', 'e11', 'i2', 'x5', 'p1', 'c4']}
1769760874.985611,SENT,1630d576-3b5c-45bd-a99c-5860d3db426f,ee9b9568-7d42-4ab5-9bb8-0d75d0bd31f5,c2,c5,3372,?,p2,
1769760874.985764,CREATED,c18a60e7-68f3-4e93-ba9b-05a86bf4f01e,7fe63acc-37cd-4e17-962a-8a8882f8d256,c2,c5,26,?,?,surb={'id': 'd2d87c43-a9be-492e-998a-f49ec3bddb42', 'route': ['p2', 'e5', 'i8', 'x9', 'p2', 'c2']}
1769760875.068289,RECEIVED,c8f71a8a-0bcb-4fed-9cfd-123da16ed997,ba2fe676-d665-4aaa-8ab1-aab36a41ccd3,c4,c2,26,p2,?,surb={'id': 'e1e97c9e-342d-4638-a070-312629a6a074', 'route': ['p2', 'e3', 'i5', 'x9', 'p1', 'c4']}
1769760875.2176092,SENT,df512249-34a7-464f-bd96-47b8e47be399,83a8e15f-5ca7-49e6-892d-a2fc4ab3adbd,c2,c5,3402,?,p2,
1769760875.217761,CREATED,ecd61a74-e2bc-44c8-85be-07ab740e7e17,fe6eb4b6-5fa2-4d23-9de3-7c558bde17f8,c2,c5,27,?,?,surb={'id': 'dbdf17ce-e711-435f-9003-5c933cfd70fb', 'route': ['p2', 'e1', 'i1', 'x12', 'p2', 'c2']}
1769760875.7225142,SENT,fa57c39d-380d-43e0-8f4a-1261df669627,6bf72767-8a9b-420f-8c42-eb978c39afd2,c2,c5,3397,?,p2,
1769760875.7226462,CREATED,8f12dcec-c0f6-4778-9efe-555b69ecd9fe,1ab36f52-fefd-4dd1-b868-d869fa3a0f37,c2,c5,26,?,?,surb={'id': '2cda35ec-6c3b-4bff-863e-d81290271b56', 'route': ['p2', 'e11', 'i11', 'x8', 'p2', 'c2']}
1769760875.7281685,SENT,dc1905f8-c195-415c-8a92-ae49672b605e,295e2a2c-d8b3-4f03-a31b-12abc36a6f70,c2,c5,3401,?,p2,
1769760875.7283003,CREATED,fa462975-f3cb-4e1d-8a08-f2b73eb06739,0ae39d35-a841-4944-85b1-cb88cbe69956,c2,c5,27,?,?,surb={'id': 'f7ee687f-172e-4dc4-a93d-814f4f9b2ce7', 'route': ['p2', 'e10', 'i4', 'x2', 'p2', 'c2']}
1769760875.8654532,SENT,925efdf5-2132-4992-bca2-9c5536624666,92291596-9e1a-47bd-bc1d-868f63f9485c,c2,c5,3388,?,p2,
1769760875.8655863,CREATED,1a081ed4-3cf6-44f2-8f26-927f2f3ec0e2,39b9e3a7-9b1d-45c1-8f90-223349daab7a,c2,c5,27,?,?,surb={'id': '75260314-c790-48ec-8d2a-a49e87dfb1ad', 'route': ['p2', 'e3', 'i6', 'x10', 'p2', 'c2']}
1769760876.0139794,RECEIVED,46a804c0-d111-46a4-8b79-cbfa159b327a,1f4427d5-0cc4-4f48-995f-c34290f8fb28,c4,c2,26,p2,?,surb={'id': 'b2591379-29ac-4cd0-86d0-c64df59a9c45', 'route': ['p2', 'e5', 'i5', 'x8', 'p1', 'c4']}
1769760876.139263,RECEIVED,78dee0f8-3b17-40ef-a991-121385a1ff52,7b9c3370-3e98-4f10-b49b-e3bce944c2b8,c4,c2,27,p2,?,surb={'id': '5a5eea1c-0fce-452d-96b2-9050e592b717', 'route': ['p2', 'e12', 'i6', 'x1', 'p1', 'c4']}
1769760876.2836533,SENT,f9c8d1ce-1db2-4028-834d-6e8a9be1bd0b,d0879864-25b7-4640-85b1-88e32e45d4f3,c2,c5,3371,?,p2,
1769760876.2837882,CREATED,1b462d2a-7da6-49f2-80ee-2cae6a1d14dd,b5af1c43-f93b-429e-8015-14f38ae16f01,c2,c5,26,?,?,surb={'id': 'e7a7bfb8-9908-4856-8452-bf17e5009b10', 'route': ['p2', 'e6', 'i3', 'x4', 'p2', 'c2']}
1769760876.415426,RECEIVED,6f0db1f1-c2cb-4a24-b65e-cbe7c375449b,d2850871-c3d3-423c-8437-0591973937e9,c4,c2,26,p2,?,surb={'id': '522a17ce-a8ad-4a3e-b170-13df3f839362', 'route': ['p2', 'e11', 'i12', 'x11', 'p1', 'c4']}
1769760876.7369673,SENT,03dc6d09-97ec-46b8-8dbe-783917931095,481f6f85-6a8e-43d5-b83c-4846c519547c,c2,c5,3383,?,p2,
1769760876.7372372,CREATED,a6fa03d2-6ff9-4937-9c16-735b4a44cb3a,663e1fda-deb6-4570-858e-119353fbf75e,c2,c5,27,?,?,surb={'id': '08233b04-d15c-4e7b-aac8-6b6dc1881dd9', 'route': ['p2', 'e10', 'i1', 'x8', 'p2', 'c2']}
1769760877.1415918,RECEIVED,58ed433b-db03-4a72-a310-4bd05f71aaac,87b063b4-2163-4eb2-bcfb-2f5543d84ab9,c4,c2,27,p2,?,surb={'id': '67b5a241-cabe-4071-a32a-35f2a3f80178', 'route': ['p2', 'e10', 'i6', 'x5', 'p1', 'c4']}
