timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769748533.3388345,SENT,9122eae7-e716-4bcf-842b-80d17dac04d7,4cc34346-ead1-483f-872e-a9c767688619,c5,DROP,2040,?,p2,
1769748533.3389602,CREATED,cdd41605-b27f-48d4-a24b-95742fd0b589,baff62e8-24f0-4b25-a662-f433adf3f7f4,c5,DROP,27,?,?,
1769748533.629176,SENT,42824b3d-d7e9-4f58-9da2-7e83e9defce3,f61f3e0b-bf40-4a10-b1c6-30f22e6d53ff,c5,DROP,2021,?,p2,
1769748533.6293113,CREATED,6406ebc5-1312-48e7-b8f6-81f3c22dc976,c89f7961-4ed8-440a-8027-7657ce37e281,c5,DROP,26,?,?,
1769748533.6775281,SENT,ba87871c-346e-4862-8372-264f222c4acf,821d9162-ee2f-4f4d-8b9d-9eb80d18348a,c5,DROP,2041,?,p2,
1769748533.6777034,CREATED,d2823b00-4d39-4bb7-97a0-6ee915c45669,386a3409-f052-4a67-a977-a97d9f994032,c5,DROP,27,?,?,
1769748533.9389954,SENT,d644f173-1751-4fd3-a638-3b316361c360,a6794c43-eca5-45d3-a2a7-849ac308f320,c5,c3,3386,?,p2,
1769748533.939158,CREATED,299df2dc-26dc-4c60-aa70-629252893763,c1fb8fd0-6b7e-4536-8a9a-c42185a614f8,c5,c3,27,?,?,surb={'id': 'bebc4c76-36e3-4f08-8fe2-3f1f7fa42da1', 'route': ['p3', 'e12', 'i5', 'x9', 'p2', 'c5']}
1769748534.4794288,SENT,de0b28b3-c3ef-4f6f-bd81-2ba0da0e3572,178baf2a-7c62-43e1-a88e-696c6c4a8224,c5,DROP,2017,?,p2,
1769748534.4795609,CREATED,db74231d-c605-47c9-b740-a7b521e800ac,1e1bc82e-6409-4c73-ad1b-0fc25a07c2b3,c5,DROP,27,?,?,
1769748534.8975718,SENT,dbafd1e5-9ad4-4a26-b2de-e7b8dc8b26d6,feef66e9-f9ac-4f18-9630-a3be60e6b1a1,c5,c3,3387,?,p2,
1769748534.8977036,CREATED,725783b5-564e-48df-a158-e852ef523348,687beedb-0b55-4a5c-8caf-50ab3e473062,c5,c3,27,?,?,surb={'id': '9bd7af3f-0825-440a-8a50-61f57f8253f6', 'route': ['p3', 'e10', 'i12', 'x2', 'p2', 'c5']}
1769748534.9401667,SENT,cdc95908-fc77-4ca3-b4c2-97033690d19e,4a0bc4fc-d9c2-4b0b-afee-d64e3a17fa74,c5,DROP,2016,?,p2,
1769748534.9402857,CREATED,2c1a96f8-46ee-486d-9e14-9377d14dfd6f,08052d95-7c31-4605-a8fc-19e7bff25630,c5,DROP,27,?,?,
1769748535.0724611,SENT,60ae87d3-4f31-42a7-806f-37750aebbe00,90d91021-e0a8-4186-bfdd-56be2b37c504,c5,c3,3384,?,p2,
1769748535.072593,CREATED,a0ef2f60-daa0-411f-824e-4b8cddb9b202,7d21d146-1a1a-4e3f-b229-0fdda6e446c0,c5,c3,26,?,?,surb={'id': 'db0c5898-37fd-4bfc-8115-d5b504a05989', 'route': ['p3', 'e12', 'i12', 'x2', 'p2', 'c5']}
1769748535.3688133,SENT,0fe6cdd2-ff42-4583-9f96-8b8c11e48e38,ce12d00c-f37e-4d90-b897-2be604b2239a,c5,c3,3377,?,p2,
1769748535.368958,CREATED,92808759-d935-4025-9c37-475fe7d99144,0aa6526a-9f05-432e-abf2-c474dd95f4fd,c5,c3,27,?,?,surb={'id': '66f92749-8de5-4c4e-9eae-ee10958b05aa', 'route': ['p3', 'e1', 'i8', 'x2', 'p2', 'c5']}
1769748535.6663933,RECEIVED,8c1dab03-2d2e-4c80-997a-9b92899dd562,8ba694ea-c631-459c-8c7a-54a797817346,c2,c5,25,p2,?,surb={'id': '32b280d7-a3c7-4b12-a742-e6c7f2ab66b7', 'route': ['p2', 'e4', 'i4', 'x10', 'p2', 'c2']}
1769748535.7171783,RECEIVED,4cfc8852-4239-4ab8-9e33-1d052be04fa4,c5641114-374c-49df-9509-ebb0569d42ed,c1,c5,27,p2,?,surb={'id': '13d65039-330f-4be6-a88e-4bd84ca5c564', 'route': ['p2', 'e6', 'i7', 'x7', 'p1', 'c1']}
1769748535.8812146,SENT,f1b525a6-2b9c-4936-a684-47b8e4fd83fd,6a103762-09d8-4e82-8d17-514918be02f4,c5,c3,3364,?,p2,
1769748535.8813624,CREATED,c213506e-67d8-4aae-a2d5-5d663fea3d7d,63801cfa-8c14-47b3-b865-a8c0e7371b15,c5,c3,27,?,?,surb={'id': '51db80e2-192e-4199-93e2-209e12ed4809', 'route': ['p3', 'e5', 'i3', 'x9', 'p2', 'c5']}
1769748535.8895152,SENT,2cf93ab8-0c84-4c59-94aa-b650b9c3696a,0c4a98fe-500d-4246-a306-cb2ffd9e8235,c5,c3,3359,?,p2,
1769748535.8896482,CREATED,d8d68df2-0824-4bc9-a591-4d0096b1a2ed,eb51c54d-fcc1-4011-aae0-e98d1f3863b4,c5,c3,27,?,?,surb={'id': '92f4b37a-1604-48bf-a593-cb6c7de3b527', 'route': ['p3', 'e9', 'i2', 'x4', 'p2', 'c5']}
1769748536.2192898,SENT,ef609835-e6b0-4805-bac3-dc9acbf0e2e3,c7f8e43b-6258-4976-9c9b-1017d760e74a,c5,c3,3377,?,p2,
1769748536.2194383,CREATED,17065966-c9b3-4579-ad0d-175c538844f0,cc3ed06a-5a92-46eb-a5f6-bb59bc6e7fab,c5,c3,27,?,?,surb={'id': 'bb0d4776-c764-4ea7-ae6d-a9090c657c1d', 'route': ['p3', 'e1', 'i9', 'x10', 'p2', 'c5']}
1769748536.851955,SENT,34a21edd-b5fb-4ef8-8b9c-62cca2557086,a4e93204-6b5d-45e5-9332-f2485d515a68,c5,c3,3379,?,p2,
1769748536.8521354,CREATED,a92fed75-7eae-4efb-941e-2d7eefe6dbcc,004edba5-fe78-4f6c-b17d-0b3432a7cef0,c5,c3,26,?,?,surb={'id': '5332fab2-52f1-464b-8e3e-05acd8ddf562', 'route': ['p3', 'e6', 'i8', 'x7', 'p2', 'c5']}
1769748536.9491367,RECEIVED,35fe5a72-3cf3-4c0e-a912-7f300591380a,03acfd1b-c9ce-4b5b-b722-5aa761177dbc,c1,c5,26,p2,?,surb={'id': '7d599ea3-fb8f-4db3-b68f-a8ff7e15ae97', 'route': ['p2', 'e3', 'i2', 'x4', 'p1', 'c1']}
1769748537.1217992,RECEIVED,c141c474-dd4f-4ac4-aa74-e362bbda8539,3db747c2-c355-4d41-b57b-f404611bde64,c1,c5,26,p2,?,surb={'id': '5fd495bb-44af-42a8-838b-c8d4259ade90', 'route': ['p2', 'e7', 'i1', 'x4', 'p1', 'c1']}
1769748537.4356093,SENT,a045bba0-27f9-4b9f-9a7e-80e91eac860f,57209c92-b12e-4e02-a2bd-c0bf2afdd0fa,c5,c3,3388,?,p2,
1769748537.4357438,CREATED,9f20cf0f-4b2c-4212-bef2-83538ec13a7e,ceaee83c-631c-49e9-84f2-8fce8aec17ed,c5,c3,27,?,?,surb={'id': 'a914b5d1-7dc4-4cc8-bbff-29af6ad7636c', 'route': ['p3', 'e7', 'i10', 'x2', 'p2', 'c5']}
1769748537.4585707,RECEIVED,8c3eba81-d6b0-449b-8c37-63d44f88a28a,177be8cc-a8c6-4515-b4af-c7d0a8449186,c2,c5,27,p2,?,surb={'id': '1b18f7dc-0190-47e7-a417-05dd72631839', 'route': ['p2', 'e5', 'i6', 'x3', 'p2', 'c2']}
