timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769748533.4161255,SENT,797ed7a5-12f4-42b8-87c8-92dc918d600c,e1aecf99-e357-46bb-ad20-88b1b11871df,c3,c4,3388,?,p3,
1769748533.4162688,CREATED,7a5c0ecc-1236-4307-b448-1b3fe81155c9,ed5909dd-a79f-4af9-95ce-be3f58dd03c8,c3,c4,27,?,?,surb={'id': '65572540-345d-4d42-9b69-2167413366b3', 'route': ['p1', 'e7', 'i10', 'x9', 'p3', 'c3']}
1769748533.5514934,SENT,0c45fa0c-5bf9-4b16-9de5-f297809a2039,425b07c8-abf3-4911-8354-8275fc67bc87,c3,DROP,2031,?,p3,
1769748533.5516107,CREATED,ee99d2a1-830a-4603-9ba5-167ce7c6950d,6c947ec7-f481-49b5-917e-8901fadb1d3f,c3,DROP,27,?,?,
1769748534.5321631,SENT,f76f2af4-0bb0-43a6-b664-cd7c7473ca54,e653b6f5-13db-41f8-b8ee-2db843dd53da,c3,c4,3380,?,p3,
1769748534.5323155,CREATED,8abb7e3e-56de-4f31-ac53-0b08df103d9c,4d956d9d-36a1-4a29-85b5-a060d64313c0,c3,c4,26,?,?,surb={'id': 'a90f9715-c74d-4f88-94fe-c395fc501d58', 'route': ['p1', 'e8', 'i7', 'x6', 'p3', 'c3']}
1769748534.6595511,SENT,5ac73e25-133a-43fa-92b3-b8628b3a0041,8d5215fc-29ab-450f-aa27-9220134f04bf,c3,c4,3359,?,p3,
1769748534.6597,CREATED,ab650822-502d-4320-99a9-fdfedb2f8409,15457eae-9967-423e-9d89-7ecdad94f61e,c3,c4,27,?,?,surb={'id': 'bea39083-737f-4b8e-a5cc-f2df501810e5', 'route': ['p1', 'e2', 'i3', 'x1', 'p3', 'c3']}
1769748535.0078912,SENT,1d586126-e57c-4dda-a58b-576567662d0a,730169fe-4161-4462-9122-1144574037c7,c3,c4,3376,?,p3,
1769748535.0080733,CREATED,a8d4cc09-bdc9-4d3d-ba9e-705a81bbe18c,77523bc7-9723-4e79-b60d-0e4028c409e5,c3,c4,27,?,?,surb={'id': '5d6a611c-5c63-4513-8c41-90db78f5c6bf', 'route': ['p1', 'e3', 'i6', 'x10', 'p3', 'c3']}
1769748535.0897508,SENT,ab6a9ecb-1107-421e-b1f9-840d3bb4de50,7dbe1040-9007-47a4-aa05-de57f439bf34,c3,DROP,2028,?,p3,
1769748535.0898716,CREATED,5e236382-3e24-497f-9b41-e1e30b1f247d,4c3d792f-94af-43b0-bc60-3e0ebc290257,c3,DROP,26,?,?,
1769748535.5949545,SENT,396a743e-c8fc-4d14-82a4-42cd2c7b66d4,75df6488-2e66-4461-89b7-7209e8a60fe5,c3,DROP,2023,?,p3,
1769748535.5951095,CREATED,58efd166-a571-44ee-b676-1da4df3109b8,8e1c6534-b94b-4b16-b7a7-2e24b4b0f982,c3,DROP,27,?,?,
1769748535.8852673,RECEIVED,4d8c345e-f91b-4701-be61-6bb310a46ffc,90e43d09-91a5-4685-904f-7317887ad85e,c4,c3,27,p3,?,surb={'id': '7fc078b9-adb9-48f5-b6a2-7faa3dee28f6', 'route': ['p3', 'e7', 'i7', 'x3', 'p1', 'c4']}
1769748536.1223738,RECEIVED,92808759-d935-4025-9c37-475fe7d99144,0aa6526a-9f05-432e-abf2-c474dd95f4fd,c5,c3,27,p3,?,surb={'id': '66f92749-8de5-4c4e-9eae-ee10958b05aa', 'route': ['p3', 'e1', 'i8', 'x2', 'p2', 'c5']}
1769748536.4619112,SENT,8e1bc0c5-a53f-446d-95f2-0b7b47e31c31,3b32a740-0ca0-428e-8f37-48cb7805820c,c3,DROP,2031,?,p3,
1769748536.4620278,CREATED,6b144565-5249-425e-9094-63e8847ba4dc,b4dad5cc-e3c2-42ec-a6cb-5c4bcc10188e,c3,DROP,27,?,?,
1769748536.6266189,RECEIVED,299df2dc-26dc-4c60-aa70-629252893763,c1fb8fd0-6b7e-4536-8a9a-c42185a614f8,c5,c3,27,p3,?,surb={'id': 'bebc4c76-36e3-4f08-8fe2-3f1f7fa42da1', 'route': ['p3', 'e12', 'i5', 'x9', 'p2', 'c5']}
1769748536.6353226,SENT,8bbb8882-9fb3-436c-b54a-a891dca22671,e6d37c09-8adf-47d9-a7d9-89c5fa826768,c3,c4,3359,?,p3,
1769748536.6354601,CREATED,5eb4857a-648a-4330-94a6-58d12470c2b0,eda6020e-bd04-4652-bcc9-5975e9e4014f,c3,c4,27,?,?,surb={'id': '116722bd-89d3-4d4f-ad9c-c96a127ce112', 'route': ['p1', 'e7', 'i1', 'x11', 'p3', 'c3']}
