timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769472872.7532868,SENT,56fbb9b5-e2f9-46b1-94cb-7acf07a2976b,7274ca5b-e80d-419b-8447-02a6ce58925d,c4,DROP,2016,?,p1,
1769472872.753428,CREATED,cf8d97f9-bd58-4bba-95cb-0cfb9db47757,91928d3f-2170-4f76-9e32-015b649a4243,c4,DROP,26,?,?,
1769472873.3740196,SENT,567b20a3-7b49-42ba-af39-f2ac3aa5747a,77031b37-b58d-4b51-9c6a-bdd53f264440,c4,c3,3376,?,p1,
1769472873.3741903,CREATED,009b393f-53a5-4dc5-bcac-9e9da0d4e325,0b8e7b6a-a909-4552-b69b-ce52f5a523ce,c4,c3,27,?,?,surb={'id': 'f2832fc0-1ac1-4a6d-b914-e4cf28a9c19a', 'route': ['p3', 'e1', 'i12', 'x6', 'p1', 'c4']}
1769472874.3243084,SENT,e68ddee4-be4f-4d99-8a33-84a0acaff403,7549fd86-2472-4a18-b31c-a7560d0a64da,c4,c3,3375,?,p1,
1769472874.324462,CREATED,51a8c912-3d6b-4e89-a0b0-9b3577b8b5fa,38d5ac61-cb19-4fd1-8513-b88ffa494ee3,c4,c3,26,?,?,surb={'id': '045d324a-bad7-4a6e-978c-0a5b9948b79d', 'route': ['p3', 'e3', 'i4', 'x6', 'p1', 'c4']}
1769472874.5253346,RECEIVED,0b7db396-0f0c-4628-b4fc-6007365a5d02,cd945d6b-7c20-4941-ac31-adbe31a73b76,c3,c4,27,p1,?,surb={'id': '711c8f83-31a7-41e6-b577-24a76ab88ec2', 'route': ['p1', 'e3', 'i12', 'x4', 'p3', 'c3']}
1769472874.6394627,SENT,ee4824b2-f548-4802-af34-1597d9450f86,95d911b1-55e1-4ee1-ab55-50c30344e322,c4,DROP,2042,?,p1,
1769472874.6395879,CREATED,63add77f-fa9c-4f9f-8ca4-fdaf22d462cd,1a4a95f7-356f-4100-b485-0f75297f536c,c4,DROP,27,?,?,
1769472874.7297897,SENT,a5cefaa5-dd68-449a-ad3c-d2ea0f0aac1d,a37b2f3c-9b58-4d69-abe0-436954ac7de7,c4,DROP,2032,?,p1,
1769472874.7299268,CREATED,9e12df80-b23b-4b01-ac58-480718160b82,a1beeb7a-d8fa-4259-a9f0-a43330d4ad26,c4,DROP,27,?,?,
1769472874.7686188,SENT,a22d7b1a-6876-49ec-9969-6021b7adb866,3105bf66-e5a5-4253-a188-1e07e50cfdf8,c4,DROP,2016,?,p1,
1769472874.7687345,CREATED,03cd8a65-4a71-4313-9856-e9934ca1008c,1bb8d47b-0559-4f59-b4b5-d8fa31c174ab,c4,DROP,27,?,?,
1769472874.8772602,SENT,6751de82-b869-4072-b9ee-d4491277ae34,3dd0c46b-3ee0-4949-ad02-785ee2832e8a,c4,DROP,2023,?,p1,
1769472874.8773959,CREATED,d100b909-0523-498c-a946-e2c04cd6b199,fc9efac5-d51e-4361-a208-2de1823592cf,c4,DROP,27,?,?,
1769472874.9821606,SENT,465ad620-1595-4189-ad6b-ce975c783a13,61187ca8-408f-4438-bcfe-40c52dc0824c,c4,DROP,2012,?,p1,
1769472874.9822807,CREATED,6bb188a9-42dd-44c2-8e69-2c5b7a88ddc1,8a423146-5efc-4726-8009-93ad8b2b09b9,c4,DROP,24,?,?,
1769472875.437795,SENT,c9fcbc36-9fc1-482e-973a-19d1fd3888db,ec221810-58fb-4bb0-be51-92c87bc93cb5,c4,c3,3368,?,p1,
1769472875.4379277,CREATED,d82382a8-b1d9-4ed5-9afd-8f438977689c,07f92e25-b7e0-4bac-9622-0764abf99580,c4,c3,26,?,?,surb={'id': '6754b545-45ad-4d15-ab44-d6c2505d1b3a', 'route': ['p3', 'e4', 'i10', 'x5', 'p1', 'c4']}
1769472875.5617712,SENT,dddc786b-2890-4acf-946a-c5f29baaebc0,bd28735d-50b5-4e10-a129-09875652e975,c4,c3,3401,?,p1,
1769472875.5619075,CREATED,a92438af-beb7-4422-b1ba-0b3a34c808ab,55f16225-0b4d-460e-93f4-8160f1908435,c4,c3,27,?,?,surb={'id': 'c7b36468-3e14-484a-ae43-1758db866d79', 'route': ['p3', 'e12', 'i3', 'x7', 'p1', 'c4']}
1769472875.7817569,RECEIVED,9e2bf907-3de2-4c76-8050-9193831b953d,0bdc4b53-fab3-49bf-9021-2b091d186df7,c3,c4,27,p1,?,surb={'id': 'd4a56b4f-45a5-49f5-9677-7fd0b98a0c34', 'route': ['p1', 'e10', 'i2', 'x5', 'p3', 'c3']}
1769472875.9293234,SENT,7a2d896e-a506-4906-a48e-c8be9cacb26d,0263ca71-be02-48bd-8f0c-ae1ae27b734f,c4,c3,3371,?,p1,
1769472875.929457,CREATED,7cf589bc-cd06-4e95-b192-ac7bd03c12c7,f6577eca-5c42-415f-87bc-682647e43e0a,c4,c3,26,?,?,surb={'id': '3cd20b8b-94fe-468d-924a-2585b245abb0', 'route': ['p3', 'e9', 'i10', 'x8', 'p1', 'c4']}
1769472876.339772,SENT,9f721a15-d6a3-4a94-91e3-5d191cf5dad0,4f2ee1d9-4bc8-4957-a38f-c195db5ab8c6,c4,c3,3387,?,p1,
1769472876.3399038,CREATED,d9ce0e4d-6a0d-4e27-9f19-735e33233731,786a2a7c-31cc-44e5-b594-64cadfa37ed9,c4,c3,27,?,?,surb={'id': 'e18f2bfd-eee8-4f3b-8e7e-e0407735dec1', 'route': ['p3', 'e1', 'i3', 'x4', 'p1', 'c4']}
1769472876.4175394,RECEIVED,40970e39-fcc2-4991-a6e4-acf912eaf16f,45254cd1-ca13-41c4-bb5c-00a700cae9f7,c3,c4,27,p1,?,surb={'id': 'f2ce9e67-8277-4182-af7b-1ffe77b75963', 'route': ['p1', 'e9', 'i7', 'x12', 'p3', 'c3']}
1769472876.5019758,SENT,29bc30eb-e0a1-43aa-9f06-c41c1cdcb0b0,6046b210-a8c7-4802-964a-c9ebf51012a7,c4,c3,3393,?,p1,
1769472876.5021448,CREATED,6703ee18-722f-4bc9-95ab-439a59be8a3b,a2f6ce8f-9c7c-4a74-be51-333e9b71b032,c4,c3,27,?,?,surb={'id': 'e93c6ea0-9ada-4717-a791-a206ecf28cd7', 'route': ['p3', 'e10', 'i4', 'x12', 'p1', 'c4']}
1769472876.7709804,SENT,90421c73-333e-49e1-aeb4-6756eedf01dd,ad5ee002-1f2a-4cf4-81b4-b41615602507,c4,c3,3379,?,p1,
1769472876.7713466,CREATED,150a3210-c779-4532-9657-c582b3da1e68,801cef33-f134-4b8a-837b-b169e95e93f1,c4,c3,26,?,?,surb={'id': '83aa9440-2feb-4994-8bb9-30b16092ae52', 'route': ['p3', 'e8', 'i10', 'x11', 'p1', 'c4']}
1769472877.3499844,RECEIVED,f9162a68-0f81-4168-b54f-8e7fd10b5bff,f9d5e383-e30f-4e9e-9b57-f4592d163e78,c3,c4,27,p1,?,surb={'id': '0488cd54-a445-43ed-b0e4-c3d4c48071b1', 'route': ['p1', 'e3', 'i1', 'x7', 'p3', 'c3']}
1769472877.399953,RECEIVED,f8bcdc5a-38e7-4f7a-ba56-0a9988e89dd3,a0d4354e-07cc-42c8-ac93-1ac3a4c57375,c3,c4,25,p1,?,surb={'id': 'ef0a8e34-2882-4011-97cb-b96762c7d9bb', 'route': ['p1', 'e1', 'i1', 'x12', 'p3', 'c3']}
